Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,82824.36,25353.05,132279.56,36060.73,n.d.,184617.97,n.d.,80.59,n.d.,12.05,12.05,110794.58,85522.12000000001,58783.12,45698.11,n.d.,178.83,178.83,261895.01,705.05,261895.01,n.d.,0.0,86490.32,8.209999999999999,86012.08,184617.97,2.0,-31566.88,470.03,21404.39,22722.39,77264.98999999999,0,51809.350000000006,82824.36,77162.4,n.d.,-166.78,-871.829,12.05,77277.04,-871.829,-178.83,n.d.,21404.39,218769.88,218769.88,45710.16,SKI-BIKE LLIVIA SL_resum
2022,69544.36,51974.13,143850.04,36060.73,4757.29,230972.37,n.d.,9876.23,3080.75,3623.96,6704.71,110244.58,68146.68000000001,59654.95,52414.26,n.d.,399.58,399.58,319982.69,1547.84,320053.74,n.d.,0.0,87195.37000000001,8.209999999999999,86012.08,230972.37,2.0,-29962.4,1175.08,23729.23,23594.22,85457.40999999999,0,49871.97,69544.36,101846.1,n.d.,3224.38,1676.54,3623.96,89081.37000000001,1676.54,-399.58,n.d.,23729.23,231045.41,231045.41,59118.97,SKI-BIKE LLIVIA SL_resum
2021,57325.77,25966.74,131879.109,36060.73,11162.06,231753.87999999998,n.d.,10274.89,3255.7599999999998,11119.82,14375.58,88244.58,72552.73,57978.41,50613.72,n.d.,578.09,578.09,327410.23000000004,2635.4300000000003,328910.23000000004,n.d.,0.0,91823.96,8.209999999999999,89092.83,231753.88,1.0,-32167.05,2722.92,33359.64,21917.68,86036.53,0,82432.15000000001,57325.77,108398.89,n.d.,10541.73,7906.299,11119.82,97156.349,7906.299,-578.09,n.d.,33359.64,223703.07,223703.07,64989.29899999999,SKI-BIKE LLIVIA SL_resum
2020,53719,33783.9,107214.62,36060.73,-12819.3,185106.31999999998,n.d.,4399.57,3255.7599999999998,-20458.7,-17202.940000000002,96744.58,67360.25,50072.11,43994.47,n.d.,974.71,974.71,238094.52,-5358.35,238444.52,n.d.,0.0,97715.15,8.209999999999999,92348.59,185106.32,2.0,-26546.67,5358.35,6070.469999999999,14011.38,73796.9,0,67354.76,53719,101138.66,n.d.,-21433.41,-16075.06,-20458.7,53338.19899999999,-16075.06,-974.71,n.d.,6070.469999999999,204929.77,204929.77,26791.53,SKI-BIKE LLIVIA SL_resum
2019,47763.63,21922.460000000003,114628.64,36060.73,-337.46,171349.37,n.d.,2284.4300000000003,3255.7599999999998,-1717.44,1538.32,84244.58,64606.549,66147.17000000001,52050.15,n.d.,1586.5,1586.5,262899.45,289.28,262899.45,n.d.,0.0,95612.56,8.209999999999999,95604.35,171349.37,5.0,-37961.61,n.d.,28099.63,30086.44,93267.52,0,74407.93999999999,47763.63,96330.4,n.d.,-3303.94,-3593.22,-1717.44,91550.08,-3593.22,-1586.5,n.d.,28099.63,210241.2,210241.2,53588.47,SKI-BIKE LLIVIA SL_resum
2018,35089.7,45103.07,117334.71,36060.73,3315.57,201961.14,n.d.,2165.75,2509.17,2258.36,4767.53,106568.51,63631.189,69740.39,51799.34,n.d.,1183.16,1183.1599999999999,286081.89,268.8,286081.89,n.d.,0.0,98868.32,8.209999999999999,98860.11,201961.14,2.0,-27553.878999999997,n.d.,8600.449999999999,33679.66,81862.39,0,66269.869,35089.7,111372.94,n.d.,1075.2,806.4,2258.36,84120.75,806.4,-1183.16,n.d.,8600.449999999999,216203.03,216203.03,56566.869,SKI-BIKE LLIVIA SL_resum
2017,16470.829999999998,45675.56,124734.7,36060.73,2164.3790000000004,207330.22,n.d.,5370.6,1395.74,1286.9,2682.64,104343.08,64038.12,68933.98999999999,55592.87,n.d.,262.05,262.05,291405.85,256.209,291405.85,n.d.,0.0,71144.32,8.209999999999999,71136.11,207330.22,2.0,-25800.12,n.d.,15021.02,32873.259999999995,82788.73,0,64798.64,16470.829999999998,110474.2,n.d.,1024.848,768.638,1286.9,84075.62900000002,768.638,-262.05,n.d.,15021.02,195879.02,195879.02,58275.508,SKI-BIKE LLIVIA SL_resum
2016,6354.17,42225.37,105015.81,36060.73,3080.67,173065.91,n.d.,803.42,1892.42,1862.56,3754.98,83043.08,41621.13,68165.35,57280.95,n.d.,278.22,278.21999999999997,258468.11,396.09,258468.11,n.d.,0.0,71162.67000000001,8.209999999999999,71154.45999999999,173065.91,2.0,-24366.27,n.d.,21169.31,32104.62,83539.64,0,59433.59,6354.17,101658.96,n.d.,1584.34,1188.25,1862.56,85402.19900000001,1188.25,-278.22,n.d.,21169.31,176178.47999999998,176178.47999999998,61035.929,SKI-BIKE LLIVIA SL_resum
2015,1537.51,36187.259999999995,97664.88,36060.73,4307.92,204021.59,n.d.,345.38,3332.07,1579.39,4911.46,80043.08,44201.2,66977.1,48464.98,n.d.,289.75,289.75,247347.7,325.28999999999996,247347.7,n.d.,11.5,73055.09,8.209999999999999,73046.88,171788.1,1.0,10050.33,n.d.,17276.420000000002,30916.37,41746.719999999994,0,66018.1,1537.51,102205.36,n.d.,1301.14,975.85,1579.39,43326.11,975.85,-278.25,n.d.,17276.420000000002,170719.97,170719.97,53387.94,SKI-BIKE LLIVIA SL_resum
2014,n.d.,82053.23,121216.52,36060.73,4265.610000000001,167990.01,n.d.,1703.51,3332.07,1548.27,4880.34,106950.95,26601.229,66001.25,45503.17,n.d.,303.55,303.55,244684.95,311.18,244684.95,n.d.,0.0,74692.16,278.69,74413.47,167990.01,2.0,-26311.43,n.d.,12562.06,29940.52,75146.67000000001,0,47854.2,n.d.,129907.43,n.d.,1244.72,933.54,1548.27,76694.93999999999,933.54,-303.55,n.d.,12562.06,195908.68,195908.68,50383.51,SKI-BIKE LLIVIA SL_resum
