Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,10868.27,475721.21,6010.120000000001,38199.7,17420.37,n.d.,152633.81999999998,5396.67,46018.67,51415.34,18222.609999999997,159988.16,462715.09,510869.84,n.d.,0.0,n.d.,835346.91,13215.64,835346.91,n.d.,0.0,82975.95999999999,n.d.,20837.76,35420.37,13.0,-255641.36,62138.2,304864.78,456704.97,771907.87,3930.56,81183.25,3930.56,92051.52,n.d.,46018.67,32803.03,46018.67,817926.54,32803.03,0.0,n.d.,304864.78,558697.1699999999,558697.1699999999,562285.1799999999,SOMER GESTORIA ASSESSORIA SL_resum
2022,n.d.,1973.78,450972.32,6010.120000000001,94832.5,38232.619999999995,n.d.,103497.26,13535.83,106313.89,119849.72,744.15,102267.62900000002,429912.06,526894.98,n.d.,0.03,0.03,866213.09,25017.2,866256.47,n.d.,0.01,77317.2,n.d.,24467.23,38232.62,14.0,-181279.15,52849.97,346730.91000000003,423901.94,721709.9600000001,4879.67,91524.01,4879.67,93497.79,n.d.,106313.87,81296.67000000001,106313.89,828023.8500000001,81296.67000000001,-0.019,n.d.,346429.05,528289.52,528289.52,646744.71,SOMER GESTORIA ASSESSORIA SL_resum
2021,n.d.,1330.6899999999998,396061.81,6010.120000000001,77786.489,27046.3,n.d.,154766.7,14455.75,83530.88,97986.63,n.d.,153436.01,348615.39,553200.93,n.d.,0.58,n.d.,864139.4400000001,20243.65,865078.7889999999,n.d.,44.09,89242.56,4826.7699999999995,31386.99,27046.3,14.0,-186844.93,53028.8,241295.11,342605.27,754501.61,7381.81,127976.48,7381.81,129307.17,n.d.,83574.39,63330.74,83530.88,838032.489,63330.74,43.51,n.d.,241051.97,485304.37,485304.37,651231.07,SOMER GESTORIA ASSESSORIA SL_resum
2020,n.d.,4707.01,304825.2,6010.120000000001,46690.72899999999,28767.68,n.d.,148328.08,15562.57,39706.57,55269.14,n.d.,143621.069,285284.65,531127.3500000001,n.d.,0.0,n.d.,787412.4,9412.7,787412.4,n.d.,834.2900000000001,100688.98,10484.369999999999,35167.93,28767.68,14.0,-172248.23,55036.679,156497.12,279274.52900000004,718938.149,7603.92,107918.599,7603.92,112625.61,n.d.,40540.86,31128.16,39706.57,758644.72,31128.16,834.2900000000001,n.d.,156497.12,405514.18,405514.18,587230.7789999999,SOMER GESTORIA ASSESSORIA SL_resum
2019,n.d.,9686.17,276004.24,6010.110000000001,36497.380000000005,30632.420000000002,n.d.,148969.44,14749.83,27946.8,42696.63,n.d.,139283.27000000002,254156.49,490846.71,n.d.,0.0,n.d.,787478.6799999999,6199.25,787478.6799999999,n.d.,0.0,109341.51,17007.329999999998,38053.54,30632.42,13.0,-223302.91999999998,54280.64,127034.8,248146.379,728899.4600000001,6117.24,115385.85,6117.24,125072.02,n.d.,27946.8,21747.55,27946.8,756846.26,21747.55,0.0,n.d.,127034.8,385345.75,385345.75,533543.339,SOMER GESTORIA ASSESSORIA SL_resum
2018,n.d.,3930.38,233704.91,6010.110000000001,40028.64,26689.2,n.d.,148398.61000000002,8530.32,41131.810000000005,49662.13,n.d.,144468.229,232408.94,503635.18,n.d.,0.0,n.d.,774541.63,9767.05,774541.63,n.d.,133.56,112566.55,23530.29,37741.4,26689.2,12.0,-194555.12,51294.86,85306.3,226398.83,706720.62,4417.71,105514.43,4417.71,109444.81,n.d.,41265.37,31498.32,41131.810000000005,747852.43,31498.32,133.56,n.d.,85306.3,346271.46,346271.46,553430.87,SOMER GESTORIA ASSESSORIA SL_resum
2017,n.d.,7585.41,233493.1,6010.110000000001,31944.59,28928.18,n.d.,110167.76,9972.61,29169.16,39141.77,n.d.,102582.349,200910.62,489924.42,n.d.,0.0,n.d.,751017.1799999999,7323.99,751017.1799999999,n.d.,126.81,91361.97,1403.22,34162.52,28928.18,13.0,-193022.81,55796.22899999999,123325.34,194900.51,692919.8400000001,3263.8,113095.239,3263.8,120680.65,n.d.,29295.97,21971.980000000003,29169.16,722089,21971.980000000003,126.81,n.d.,123325.34,324855.07,324855.07,529193.0,SOMER GESTORIA ASSESSORIA SL_resum
2016,n.d.,4241.58,394185.45,6010.110000000001,28113.57,44045.32,n.d.,293878.79000000004,11962.5,20280.18,32242.68,n.d.,289637.20900000003,378588.23,438805.9900000001,n.d.,0.0,n.d.,705599.71,4905.57,705599.71,n.d.,776.4599999999999,100149.58,446.97999999999996,40481.37,44045.32,13.0,-190505.72,59221.22899999999,100306.66,372578.12,641274.21,3263.8,108241.42,3263.8,112483.0,n.d.,21056.64,16151.07,20280.18,661554.39,16151.07,776.4599999999999,n.d.,100306.66,494335.03,494335.03,471825.13,SOMER GESTORIA ASSESSORIA SL_resum
2015,n.d.,5737.110000000001,361374.62,6010.110000000001,27315.71,45144.810000000005,n.d.,267117.81,12971.96,25448.45,38420.41,n.d.,261380.7,362437.16,416131.92,n.d.,7000.0,n.d.,683469.9600000001,4781.24,683469.9600000001,n.d.,676.54,97201.93,n.d.,41658.33,45144.810000000005,12.0,-183772.81999999998,55543.6,94256.81,356427.05,612876.7,2645.58,87756.7,2645.58,93493.81,n.d.,19124.99,14343.75,25448.45,638325.149,14343.75,-6323.46,n.d.,94256.81,458576.55,458576.55,448228.87,SOMER GESTORIA ASSESSORIA SL_resum
2014,n.d.,4533.34,336022.65,6010.110000000001,24600.11,63799.83,n.d.,247411.3,12694.55,13556.15,26250.699,n.d.,242877.96,348093.41000000003,456057.6,n.d.,0.0,n.d.,685292.9400000001,2946.4300000000003,685791.009,n.d.,1295.84,111796.57,n.d.,49800.04,63799.83,12.0,-139682.87999999998,61996.53,88611.35,342083.3,608435.03,1790.83,93401.64,1790.83,97934.98,n.d.,14851.99,11905.56,13556.15,621991.1789999999,11905.56,1295.84,n.d.,88611.35,447819.22,447819.22,483604.139,SOMER GESTORIA ASSESSORIA SL_resum
