Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,53857.83,33860.46,76754.48999999999,3005.06,12307.07,182614.66,n.d.,20288.04,10317.17,4942.860000000001,15260.029,36096.450000000004,22524.03,131854.299,216514.06,n.d.,2358.57,2358.57,470072.56,594.39,470072.56,n.d.,0.0,185245.14,5523.429999999999,179709.69,187099.51,5,-55683.810000000005,12.02,20370,128849.239,282515.04,0,42427.04,53857.83,76287.5,n.d.,2584.29,1989.9,4942.860000000001,287457.89900000003,1989.9,-2358.57,n.d.,20370,261999.63,261999.63,231774.09,TALLER DE FUSTERIA SL_resum
2022,77020.04,24647.629999999997,98920.11,3005.06,10377.3,158310.09,n.d.,40417.5,8602.869999999999,4020.56,12623.43,24020.45,39790.319,129864.4,211900.58,n.d.,1654.66,1654.66,435918.98,591.47,437875.639,n.d.,0.0,152509.6,9193.03,143304.55,161129.64,5,-55041.54,12.02,34482.159999999996,126859.34,275544.99000000005,0,19897.64,77020.04,44545.27,n.d.,2365.9,1774.43,4020.56,279565.549,1774.43,-1654.66,n.d.,34482.159999999996,251429.71,251429.71,224524.009,TALLER DE FUSTERIA SL_resum
2021,53655.3,26413.56,100939.45,3005.06,31675.51,210447,n.d.,57025.65,20973.41,16156.21,37129.619,20471.09,51083.18,128089.97,188684.84,n.d.,1886.74,1886.74,493585.83,3567.3700000000003,493585.83,n.d.,0.0,126243.23999999999,12943.78,113287.43999999999,181296.8,4,-57324.37,12.02,23442.71,125084.91,266982.62,0,19023.859,53655.3,45437.42,n.d.,14269.47,10702.099,16156.21,283138.83,10702.099,-1886.74,n.d.,23442.71,227182.69,227182.69,225814.46,TALLER DE FUSTERIA SL_resum
2020,62753.25,23162.86,105866.49,3005.06,5620.019,54450.528999999995,n.d.,44612.94,4057.45,4144.68,8202.130000000001,50921.2,72371.28,117387.87,145334.8,n.d.,2061.25,2061.25,257748.73,520.8599999999999,257748.73,n.d.,0.0,147216.65,22244.16,124960.47,89951.43,4,-49761.27,12.02,10332.349999999999,114382.81,199153.52,0,49779.16,62753.25,72942.02,n.d.,2083.429,1562.569,4144.68,203298.2,1562.569,-2061.25,n.d.,10332.349999999999,253083.14,253083.14,153536.92899999995,TALLER DE FUSTERIA SL_resum
2019,23290.25,4743.26,85380.51,3005.06,49483.49,168345.83,n.d.,64809.33,21349.16,38102.75,59451.91,8756.210000000001,68822.28,115825.3,140055.13,n.d.,590.31,590.31,413398.23,9378.11,413398.23,n.d.,0.0,126413.6,22418.85,103982.73,168345.83,3,-45545.36,12.02,11814.97,112820.24,206949.65,0,67935.3,23290.25,72678.56,n.d.,37512.44,28134.33,38102.75,245052.4,28134.33,-590.31,n.d.,11814.97,211794.11,211794.11,199507.04,TALLER DE FUSTERIA SL_resum
2018,9673.710000000001,28024.95,81874.67000000001,3005.06,29287.55,110259.84,n.d.,54958.46,20695.04,11746.58,32441.62,22600.329999999998,49533.840000000004,87690.97,107920.98,n.d.,276.56,276.56,298829.73000000004,2877.51,299551.23000000004,n.d.,0.0,106440.95999999999,n.d.,106428.93999999999,110259.84,3,-48928.78999999999,12.02,4315.88,84685.909,177544.81,0,62926.0,9673.710000000001,90950.95,n.d.,11470.02,8592.51,11746.58,189291.38899999997,8592.51,-276.56,n.d.,4315.88,188315.63,188315.63,140362.6,TALLER DE FUSTERIA SL_resum
2017,27913.54,26823.8,80801.88,3005.06,26278.99,131934.94,n.d.,49436.77,21373.24,9111.01,30484.25,21390.08,44003.05,79098.45999999999,96323.38,n.d.,2570.01,2570.01,302655.41000000003,1635.25,302656.41000000003,n.d.,0.0,127136,n.d.,127123.98,131934.94,3,-43913.840000000004,12.02,9975.03,76093.4,161610.46,0,74102.08,27913.54,100925.88,n.d.,6541.0,4905.75,9111.01,170721.46899999998,4905.75,-2570.01,n.d.,9975.03,207937.88,207937.88,126807.63,TALLER DE FUSTERIA SL_resum
2016,54975.719999999994,17962.22,93621.87,3005.06,30043.64,120348.82,n.d.,65092.06,23328.67,11232.98,34561.649,26240.309999999998,73370.15000000001,74192.70999999999,79459.73999999999,n.d.,2279.69,2279.69,273650.72000000003,2238.32,273650.72000000003,n.d.,0.0,148509.24000000002,n.d.,148497.22,120348.82,2,-39280.51,12.02,2289.5,71187.65000000001,142068.919,0,95000.46,54975.719999999994,112962.68,n.d.,8953.29,6714.969999999999,11232.98,153301.89899999998,6714.969999999999,-2279.69,n.d.,2289.5,242131.11,242131.11,114021.39,TALLER DE FUSTERIA SL_resum
2015,82523.81,14541.369999999999,96557.7,3005.06,41115.95,154028.9,n.d.,37937.689999999995,37868.2,8872.07,46740.27,27445.85,50842.17,67477.73999999999,93671.87,n.d.,4541.73,4541.73,340913.87,1082.59,341276.56,n.d.,0.0,171837.91,n.d.,171825.88999999998,154028.9,3,-46835.52,12.02,31174.16,64472.68,178375.59,0,103852.69,82523.81,118394.06,n.d.,4330.34,3247.75,8872.07,187247.66,3247.75,-4541.73,n.d.,31174.16,268395.61,268395.61,140412.139,TALLER DE FUSTERIA SL_resum
2014,92331.3,12475.62,81135.82,3005.06,38016.29899999999,75139.06,n.d.,49858.36,34965.63,8129.73,43095.36,22320.480000000003,59703.219,64229.99,79781.43999999999,n.d.,4062.17,4062.17,236229.55,1016.89,236229.55,n.d.,0.0,188966.11000000002,n.d.,188954.09,75139.06,2,-38213.689999999995,12.02,8956.98,61224.93,152960.76,0,101065.019,92331.3,113540.64,n.d.,4067.56,3050.67,8129.73,161090.49,3050.67,-4062.17,n.d.,8956.98,270101.93000000005,270101.93000000005,122876.8,TALLER DE FUSTERIA SL_resum
2013,153646.87999999998,29747.780000000002,151623.78,3005.06,44296.36,217766.21000000002,n.d.,133296.67,34965.63,21127.66,56093.289,2963.64,106512.53,61039.84,59547.05,n.d.,8686.69,8686.69,389415.47,3110.24,389416.37,n.d.,0.0,223931.74000000002,n.d.,223919.72,217766.21,1,-56009.82,12.02,15363.47,58034.78,150522.5,0,131121.02,153646.87999999998,160868.8,n.d.,12440.97,9330.73,21127.66,171650.16,9330.73,-8686.69,n.d.,15363.47,375555.52,375555.52,115640.34,TALLER DE FUSTERIA SL_resum
2012,169728.03,12967.89,75994.23999999999,3005.06,36018.619,91952.87000000001,n.d.,55389.2,34965.63,12554.08,47519.71,17320.62,59741.929,51709.11,61651.45,n.d.,11127.84,11127.84,252305.4,397.67,252305.4,n.d.,24.42,258897.37,n.d.,258885.34999999998,91952.87,n.d.,-51181.37,12.02,3284.42,48704.049,147798.449,0,100486.58,169728.03,113454.47,n.d.,1450.66,1052.99,12554.08,160352.53,1052.99,-11103.42,n.d.,3284.42,334891.61,334891.61,109195.579,TALLER DE FUSTERIA SL_resum
