Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,1376.55,289800.4,112990.26,n.d.,31396.260000000002,153949.47,3220.49,n.d.,-42326.74,-42326.74,286500.0,288343.94,89744.68000000001,81060.67000000001,n.d.,7121.23,7121.23,84733.90999999999,-11373.03,84733.90999999999,n.d.,0,43706.82,n.d.,15158.3,31396.26,2.0,-14603.720000000001,28548.52,79.91000000000001,-23245.58,95664.39,0,88436.519,n.d.,243762.54,n.d.,-49447.97,-38074.94,-42326.74,53337.65,-38074.94,-7121.23,n.d.,79.91000000000001,333507.22000000003,333507.22000000003,38733.929,TALLER ELECTRIC PERE LIMERES SL_resum
2022,n.d.,13060.67,314053.1,112990.26,n.d.,79034.68000000001,156804.23,16174.22,n.d.,-22539.13,-22539.13,297500.0,300613.55,127819.62,80545.39,n.d.,8038.04,8038.04,179324.94999999998,-7640.02,179324.94999999998,n.d.,0,32333.79,n.d.,15158.3,79034.68000000001,3.0,-42284.01,17175.49,378.88,14829.36,122829.4,0,48702.369,n.d.,218567.27,n.d.,-30577.17,-22937.149,-22539.13,100290.27,-22937.149,-8038.04,n.d.,378.88,346386.89,346386.89,58006.26,TALLER ELECTRIC PERE LIMERES SL_resum
2021,n.d.,13310.5,329732.34,112990.26,n.d.,81599.95,149635.38999999998,30479.43,n.d.,-11645.62,-11645.62,297500.0,314668.93000000005,150756.77000000002,97150.48,n.d.,7594.69,7594.69,186789.78,-4810.07,186789.78,n.d.,0,24693.77,n.d.,15158.3,81599.95,4.0,-19684.97,9535.47,1752.91,37766.51,116835.45,0,40723.45,n.d.,203669.34,n.d.,-19240.31,-14430.240000000002,-11645.62,105189.83,-14430.240000000002,-7594.69,n.d.,1752.91,354426.11,354426.11,85504.86,TALLER ELECTRIC PERE LIMERES SL_resum
2020,n.d.,18299.14,336620.92000000004,112990.26,n.d.,91357.89,120247.48,36876.94,n.d.,-12137.64,-12137.64,297500.0,316077.8,160461.61000000002,72863.61,n.d.,6763.98,6763.98,178575.63,n.d.,178575.63,n.d.,0,13127.03,n.d.,13127.03,91357.89,4.0,-26491.77,n.d.,2243.98,47471.350000000006,99355.38,0,50739.72,n.d.,189286.34,n.d.,-18901.62,-18901.62,-12137.64,87217.73999999999,-18901.62,-6763.98,n.d.,2243.98,349747.95,349747.95,60725.97,TALLER ELECTRIC PERE LIMERES SL_resum
2019,4812.42,17498.03,346821.35,112990.26,4356.17,89943.98999999999,121476.03,39362.28,229.8,18970.43,19200.23,304500.0,326364.25,179363.23,97150.58,n.d.,14844.06,14844.06,189284.27,n.d.,189284.27,n.d.,0,12211.07,n.d.,12211.07,89943.98999999999,4.0,17010.53,n.d.,2959.07,66372.97,80369.85,0,35882.71,4812.42,174856.77000000002,n.d.,4126.37,4126.37,18970.43,99340.27900000001,4126.37,-14844.06,n.d.,2959.07,359032.42000000004,359032.42000000004,116350.81,TALLER ELECTRIC PERE LIMERES SL_resum
2018,20445.66,17008.56,351923.42000000004,112990.26,5040.54,88203.31,154184.24000000002,35492.380000000005,229.8,19178.77,19408.57,312000.0,330483.82,135236.86,96380.55,n.d.,14368.08,14368.08,201873.62,n.d.,201874.729,n.d.,0.05,12325.99,n.d.,12325.99,88203.31,4.0,2117.7,n.d.,4431.04,22246.6,94492.65000000001,0,37374.09,20445.66,208566.89,n.d.,4810.74,4810.74,19178.77,113671.419,4810.74,-14368.03,n.d.,4431.04,364249.41,364249.41,115789.17,TALLER ELECTRIC PERE LIMERES SL_resum
2017,35015.68,24265.01,354541.14,112990.26,5243.41,86775.62000000001,140929.54,38387.04,229.8,19267.84,19497.64,305000.0,319122.02900000004,130426.12,94969.37,n.d.,14255.01,14255.01,219363.32,n.d.,219364.03,n.d.,0.78,9300.71,n.d.,9300.71,86775.62000000001,4.0,-18121.4,n.d.,11154.1,17435.86,113320.569,0,33205.5,35015.68,198400.05,n.d.,5013.610000000001,5013.610000000001,19267.84,132588.41,5013.610000000001,-14254.23,n.d.,11154.1,363841.85,363841.85,114467.79,TALLER ELECTRIC PERE LIMERES SL_resum
2016,115101.95,17595.35,324889.36,112990.26,5362.360000000001,84979.77,41662.340000000004,40263.850000000006,229.8,19777.47,20007.27,283000.0,305668.5,131412.51,95551.92,n.d.,14684.76,14684.76,202928.22,n.d.,202946.35,n.d.,39.849999999999994,7852.6,n.d.,7852.6,84979.77,4.0,-2407.389,n.d.,1625.51,18422.25,98189.10900000001,0,26969.81,115101.95,86227.5,n.d.,5132.56,5132.56,19777.47,117966.58,5132.56,-14644.91,n.d.,1625.51,332741.96,332741.96,115599.04,TALLER ELECTRIC PERE LIMERES SL_resum
2015,71797.48999999999,15273.34,314685.92000000004,112990.26,6354.91,88231.45,68761.89,42247.880000000005,865.19,19366.79,20231.980000000003,272000.0,298974.54,136279.94999999998,63545.64,n.d.,13932.9,13932.9,203354.2,n.d.,203369.72,n.d.,55.83,6775.56,n.d.,6775.56,88231.45,4.0,-31360.649999999998,n.d.,438.04,23289.69,95771.48,0,29348.81,71797.48999999999,113384.04,n.d.,5489.72,5489.72,19366.79,115138.27,5489.72,-13877.07,n.d.,438.04,321461.48000000004,321461.48000000004,83833.45,TALLER ELECTRIC PERE LIMERES SL_resum
2014,82522.82,13615.03,306508.32,112990.26,8553.29,75072.5,72396.92,37439.17,865.19,20732.55,21597.739,265000.0,288824.139,130790.23,47293.77,n.d.,13054.01,13054.01,172549.96,n.d.,172579.56,n.d.,9.56,7344.68,n.d.,7344.68,75072.5,4.0,-28615.55,n.d.,4069.15,17799.97,76774.51,0,14528.0,82522.82,100539.95,n.d.,7688.1,7688.1,20732.55,97507.06,7688.1,-13044.45,n.d.,4069.15,313853.0,313853.0,68901.069,TALLER ELECTRIC PERE LIMERES SL_resum
