Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,900638.25,606306.69,491218.2,120202.42,161427.08,714852.07,n.d.,380352.58,70652.63,155314.66,225967.29,110865.62000000001,-115088.489,2334805.96,371807.67,n.d.,32874.989,32874.989,1506933.12,31665.22,1506933.12,n.d.,0.0,3599039.32,n.d.,2902108.75,714852.07,9.0,-194306.09,696930.57,n.d.,2214603.54,636766.39,0,248506.62,900638.25,854813.31,n.d.,122439.67,90774.45,155314.66,792081.05,90774.45,-32874.989,n.d.,n.d.,4090257.52,4090257.52,597774.959,TALLERES ELECTROMECANICOS SORIANO SA_resum
2022,865254.89,570917.8200000001,379087.04,120202.42,104485.59,470778.03,n.d.,251196.42,62628.1,65863.81,128491.91,127890.62000000001,-191830.779,2244495.96,364434.18,n.d.,10053.84,10053.84,1155952.82,13952.48,1155952.82,n.d.,0.0,3537989.15,n.d.,2809393.36,470778.03,9.0,-192248.699,728595.7899999999,n.d.,2124293.54,619310.98,0,236407.52,865254.89,807325.3400000001,n.d.,55809.97,41857.49,65863.81,685174.7899999999,41857.49,-10053.84,n.d.,n.d.,3917076.19,3917076.19,492926.09,TALLERES ELECTROMECANICOS SORIANO SA_resum
2021,997126.56,373530.13,414219.44,120202.42,120675.33,403853.72000000003,113974.16,285316.46,56442.5,107770.85,164213.34999999998,127890.62000000001,39676.95,2166658.49,319669.15,n.d.,22127.07,22127.07,1110842.6900000002,21410.95,1110842.6900000002,n.d.,0.0,3380114.64,n.d.,2706026.65,403853.72,8.0,-223106.47,674087.99,1012.3599999999999,2046456.07,599218.12,0,143044.74000000002,997126.56,630549.03,n.d.,85643.78,64232.83,107770.85,706988.97,64232.83,-22127.07,n.d.,1012.3599999999999,3794334.08,3794334.08,483882.5,TALLERES ELECTROMECANICOS SORIANO SA_resum
2020,1113870.6600000001,298029.68,408705.31,120202.42,67375.63,370886.38,160911.2,276565.46,42149.69,59955.5,102105.19,127890.62000000001,106426.4,2102425.66,274048.7,n.d.,26320.91,26320.91,912586.55,8408.65,912586.55,n.d.,0.0,3354344.07,n.d.,2658845.13,370886.38,8.0,-165546.28,695498.9400000001,4249.23,1982223.24,481744.67,0,87812.18000000001,1113870.6600000001,546753.06,n.d.,33634.59,25225.939,59955.5,541700.1699999999,25225.939,-26320.91,n.d.,4249.23,3763049.38,3763049.38,376153.89,TALLERES ELECTROMECANICOS SORIANO SA_resum
2019,980359.05,232490.97999999998,497320.75,120202.42,263988.74,226329.94,n.d.,374960.95,26380.29,339279.88,365660.17,104828.68000000001,247298.65,2077199.72,219053.39,n.d.,22468.61,22468.61,913051.37,79202.82,913051.37,n.d.,0.0,3005939.65,n.d.,2449844.82,226329.94,6.0,-102007.87000000001,556094.8300000001,17531.12,1956997.3,347441.55,0,213210.65,980359.05,445701.63,n.d.,316811.27,237608.45,339279.88,686721.429,237608.45,-22468.61,n.d.,17531.12,3503260.4,3503260.4,584713.56,TALLERES ELECTROMECANICOS SORIANO SA_resum
2018,941054.15,122821.51,454760.94,120202.42,175649.27000000002,202443.04,n.d.,349932.26,17297.940000000002,233185.09,250483.03,104828.68000000001,331939.43000000005,1839591.27,178751.14,n.d.,21529.02,21529.02,744776.49,53304.74,744776.49,n.d.,0.0,2614285.81,n.d.,1978988.16,202443.04,5.0,-113099.28,635297.649,n.d.,1719388.85,309148.36,0,165579.81999999998,941054.15,288401.33,n.d.,211656.07,158351.33,233185.09,542333.4500000001,158351.33,-21529.02,n.d.,n.d.,3069046.75,3069046.75,429234.17,TALLERES ELECTROMECANICOS SORIANO SA_resum
2017,887910.02,70311.12000000001,262082.95,120202.42,9828.99,97193.85,n.d.,157254.27000000002,12335.15,24692.56,37027.71,104828.68000000001,191771.83,1681239.94,138772.53,n.d.,28034.11,28034.11,350906.78,-835.39,350906.78,n.d.,0.0,2545513.14,n.d.,1856910.75,97193.85,3.0,-77912.69,688602.389,n.d.,1561037.52,229020.37,0,168135.01,887910.02,238446.13,n.d.,-3341.55,-2506.16,24692.56,253712.93,-2506.16,-28034.11,n.d.,n.d.,2807596.09,2807596.09,175800.24000000002,TALLERES ELECTROMECANICOS SORIANO SA_resum
2016,834356.26,70496.23,204715.13,120202.42,-76841.37000000001,90254.64,n.d.,99598.37,16349.92,-92225.88,-75875.95999999999,104828.68000000001,133930.81999999998,1683746.1,132777.109,n.d.,32716.44,32716.44,213998.19,-31751.03,213998.19,n.d.,0.0,2557012.9,n.d.,1869245.9,90254.64,4.0,-66842.4,687767.0,288.08,1563543.6800000002,215969.42899999997,0,173129.44,834356.26,243625.67,n.d.,-124942.32,-93191.29,-92225.88,123743.55,-93191.29,-32716.44,n.d.,n.d.,2761728.03,2761728.03,56901.148,TALLERES ELECTROMECANICOS SORIANO SA_resum
2015,663636.59,253885.9,605079.2899999999,120202.42,-104089.491,81655.02,n.d.,499962.53,24855.13,-151716.97999999998,-126861.85,104828.68000000001,350905.309,1776937.39,135558.97999999998,n.d.,44046.9,44046.9,164807.02,-66819.259,164807.02,n.d.,0.0,2173320.37,n.d.,1885595.82,81655.02,4.0,-74454.87000000001,287724.55,288.08,1656734.969,234868.97999999998,0,83939.78,663636.59,337825.68,n.d.,-195763.88,-128944.621,-151716.97999999998,83151.999,-128944.621,-44046.9,n.d.,n.d.,2778399.66,2778399.66,8697.130000000001,TALLERES ELECTROMECANICOS SORIANO SA_resum
2014,410570.69,221689.67,648955.49,120202.42,-64397.139,70874.92,45549.810000000005,541706.3,27721.91,-86808.89,-59086.979,104828.68000000001,424845.309,1905882.01,141505.13,n.d.,36807.42,36807.42,249230.18,-30910.82,249230.18,n.d.,586.4399999999999,2131356.259,n.d.,1910450.97,70874.92,4.0,-95937.11,220905.29,2420.51,1785679.59,265164.149,0,196619.57,410570.69,463859.05,n.d.,-123029.87,-92119.049,-86808.89,178355.26,-92119.049,-36220.979,n.d.,2420.51,2780311.75,2780311.75,83004.59,TALLERES ELECTROMECANICOS SORIANO SA_resum
