Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,57428.06,72569.23999999999,1648890.51,192089.48,291318.97000000003,2423038.3899999997,24697.84,644674.53,124124.24,223975.78,348100.02,311499.38,883604.6699999999,2211112.75,503922.24,n.d.,5715.4,5377.99,3861914.86,51065.65,3861914.86,n.d.,0,1261738.26,2000,618809.42,2423038.39,14.0,-586854.21,640928.8400000001,692716.6,2019023.27,1214900.6900000002,30705.18,514115.7,88133.23999999999,611382.7799999999,n.d.,218260.38,167194.73,223975.78,1438876.469,167194.73,-5715.4,n.d.,692716.6,2910628.77,2910628.77,851684.8500000001,TERVEX SUBSTRATS SL._resum
2022,82125.9,62441.97,2034907.52,192089.48,360747.029,2499294.2,25720.829999999998,787143.07,112021.51,340165.33,452186.84,313549.68,1038250.78,2041918.02,465166.71,n.d.,20500.92,4468.2,3850495.83,70938.89,3850495.83,n.d.,0,778862.5,n.d.,737933.66,2499294.2,16.0,-433848.079,40928.84,934214.77,1849828.54,1011036.3,30851.68,570711.62,112977.58,658874.42,n.d.,319664.41000000003,248725.519,340165.33,1351201.6300000001,248725.519,-20500.92,n.d.,842355.49,2813770.02,2813770.02,901320.83,TERVEX SUBSTRATS SL._resum
2021,52443.08,56040.7,2105801.9,192089.48,513605.259,2356888.9699999997,2466.34,929881.02,60095.57,598019.12,658114.69,312006.38,1185846.7,1793192.5,427405.73,n.d.,3200.1,3200.1,3823248.55,144719.26,3823248.55,n.d.,3409.9300000000003,779212.3,n.d.,630391.4600000001,2356888.97,14.0,-380839.16,148820.84,863914.5,1601103.02,868340.4600000001,20990.54,959881.04,73433.62000000001,1018388.08,n.d.,598228.9500000001,453509.689,598019.12,1466359.5790000001,453509.689,209.829,n.d.,863914.5,2885014.2,2885014.2,1088930.35,TERVEX SUBSTRATS SL._resum
2020,3940.7,40892.380000000005,1503147.96,192089.48,253475.52,1655925.6500000001,11671.05,537305.6699999999,59956.51,256066.16,316022.67,313084.68,809497.97,1339682.81,375467.36,n.d.,3138.3500000000004,3138.3500000000004,2707879.15,59477.39,2707879.15,n.d.,68.59,445510.22,n.d.,296689.38,1655925.65,12.0,-360463.47000000003,148820.84,652757.61,1147593.33,795887.3400000001,9259.17,543212.07,13199.87,595775.5,n.d.,252996.4,193519.01,256066.16,1051953.5,193519.01,-3069.759,n.d.,652757.61,1948658.18,1948658.18,691558.62,TERVEX SUBSTRATS SL._resum
2019,15611.78,31924.02,1356538.14,192089.48,211539.83,1616022.76,27716.780000000002,507601.46,65759.66,194217.64,259977.3,322959.98000000004,798637.419,1146163.8,348507.23000000004,n.d.,3924.21,3924.21,2600625.44,44710.75,2600625.44,n.d.,197.49,308103.77,n.d.,274894.93000000005,1616022.76,13.0,-376118.14999999997,33208.839,525976.6989999999,954074.32,790385.04,0,443225.53,15611.78,502866.33,n.d.,190490.92,145780.17,194217.64,984602.6789999999,145780.17,-3726.72,n.d.,525976.6989999999,1664641.91,1664641.91,608682.02,TERVEX SUBSTRATS SL._resum
2018,43328.56,26079.47,1107121.12,192089.48,186445.65,1287701.25,43677.57,438989.26,64878.09,164560.37999999998,229438.47,373403.15,786312.9400000001,1000383.63,334086.31,n.d.,4166.359,4166.359,2168751.35,38826.46,2168751.35,n.d.,0,348019.58,n.d.,314810.74,1287701.25,11.0,-317525.32,33208.839,294728.71,808294.149,716489.72,0,341671.47000000003,43328.56,411428.51,n.d.,160394.02,121567.56,164560.37999999998,881050.1,121567.56,-4166.359,n.d.,294728.71,1455140.7,1455140.7,563524.7789999999,TERVEX SUBSTRATS SL._resum
2017,87006.13,31451.09,988800.54,192089.48,124442.16,1046232.53,46200.87,388038.41,57998.61,90337.38,148335.99,395491.04,752078.3600000001,878816.07,305979.45,n.d.,4974.88,4974.88,1808252.47,19169.11,1808252.47,n.d.,250.16,386519.51,n.d.,353310.67,1046232.53,10.0,-307704.5,33208.839,205271.09,686726.59,671682.559,0,331845.89,87006.13,409497.85,n.d.,85612.66,66443.55,90337.38,762019.9400000001,66443.55,-4724.72,n.d.,205271.09,1375320.05,1375320.05,454565.6,TERVEX SUBSTRATS SL._resum
2016,84021.84,15449.88,1087807.24,192089.48,170143.2,1058695.37,41303.98,460940.62,66877.92,143134.14,210012.06,414903.22,860393.9600000001,812372.52,284144.98000000004,n.d.,5470.57,5470.57,1842286.8,34398.28999999999,1842286.8,n.d.,0,287477.33,n.d.,254268.49,1058695.37,11.0,-289434.389,33208.839,211963.4,620283.04,640457.2889999999,0,422136.35,84021.84,478890.21,n.d.,137663.57,103265.28,143134.14,783591.429,103265.28,-5470.57,n.d.,211963.4,1375284.57,1375284.57,494157.04,TERVEX SUBSTRATS SL._resum
2015,122379.93,6909.49,874644.55,192089.48,87108.019,933704.31,44552.759999999995,351870.79000000004,51811.810000000005,55448.68,107260.489,455389.25,800350.55,709107.24,278593.79000000004,n.d.,8697.43,8697.43,1656817.24,11455.04,1656817.24,n.d.,0,301647.54,n.d.,268438.7,933704.31,9.0,-337258.64999999997,33208.839,67384.51,517017.76,667664.25,0,293342.67,122379.93,344804.92000000004,n.d.,46751.25,35296.21,55448.68,723112.929,35296.21,-8697.43,n.d.,67384.51,1176292.09,1176292.09,385854.279,TERVEX SUBSTRATS SL._resum
2014,39880.92,5032.9,831291.3300000001,192089.48,54339.289,651111.05,129941.84,300774.65,45143.1,29885.28,75028.38,511027.4,806769.15,673811.03,278713.85,n.d.,16557.14,16557.14,1206524.99,4131.95,1207524.99,n.d.,0,236242.72,n.d.,203033.88,651111.05,9.0,-202671.709,33208.839,19489.28,481721.55,526528.659,232.76999999999998,218634.59,40113.69,353609.33,n.d.,13328.14,9196.189,29885.28,556413.9400000001,9196.189,-16557.14,n.d.,19489.28,1067534.05,1067534.05,353742.23000000004,TERVEX SUBSTRATS SL._resum
