Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,246445.71,53339.15,193782.02,30050.61,132550.269,61831.8,0.2,186229.88,86766.09,54524.2,141290.289,n.d.,132890.73,283227.76,221778.56,n.d.,9431.89,9431.89,520215.36,n.d.,522531.47,n.d.,691.87,406219.78,n.d.,297087.29000000004,61831.8,7,-97630.819,109132.49,7552.14,253177.15,406175.47000000003,0,16988.980000000003,246445.71,70328.33,n.d.,45784.18,45784.18,54524.2,460699.67,45784.18,-8740.019,n.d.,n.d.,600001.8,600001.8,363760.72,TRANSPORTS PUBLICS OLIVET SL TPO_resum
2022,327291.78,51555.71,128919.66,30050.61,19438.089,75192.75,0.2,115424.32,57766.350000000006,-26071.64,31694.71,n.d.,63868.61,237443.58,197183.3,n.d.,12256.62,12256.62,376364.79,n.d.,395054.779,n.d.,0.0,492985.87,n.d.,355665.38,75192.75,6,-90984.02,137320.49,13495.34,207392.97,345933.67,0,5614.26,327291.78,57170.17,n.d.,-38328.26,-38328.26,-26071.64,319862.02900000004,-38328.26,-12256.62,n.d.,6458.14,621905.53,621905.53,228878.009,TRANSPORTS PUBLICS OLIVET SL TPO_resum
2021,399423.93000000005,50801.450000000004,196070.48,30050.61,113109.53,50043.63,n.d.,196070.48,87405.25,47044.78999999999,134450.04,n.d.,145269.03,275771.84,196231.27,n.d.,12772.62,12772.62,429665.7,8568.09,454627.95,n.d.,0.2,560951.2,n.d.,385243.73000000004,50043.63,5,-73903.01,175707.47,n.d.,245721.23,357539.52900000004,0,31024.460000000003,399423.93000000005,81825.90999999999,n.d.,34272.37,25704.28,47044.78999999999,404584.32,25704.28,-12772.42,n.d.,n.d.,757021.6799999999,757021.6799999999,330681.51,TRANSPORTS PUBLICS OLIVET SL TPO_resum
2020,312471.22000000003,34720.15,180283.91,30050.61,25983.62,30822.480000000003,n.d.,180283.91,48366.350000000006,-12256.08,36110.27,n.d.,145563.76,250067.56,194521.87,n.d.,10126.65,10126.65,333019.26,n.d.,333019.26,n.d.,0.0,455256.3,n.d.,247460.97999999998,30822.480000000003,6,-71564.64,207795.32,n.d.,220016.949,314452.86,0,38281.28,312471.22000000003,73001.43,n.d.,-22382.73,-22382.73,-12256.08,302196.78,-22382.73,-10126.65,n.d.,n.d.,635540.21,635540.21,230632.139,TRANSPORTS PUBLICS OLIVET SL TPO_resum
2019,296216.99000000005,36020.57,177378.6,30050.61,91868.709,52712.75,1494.5,177378.6,77381.81,32360.03,109741.84,n.d.,141358.03,272450.29000000004,214952.81,n.d.,13093.64,13093.64,470267.35,4828.96,470267.35,n.d.,49.47,503019.6,n.d.,267639.33,52712.75,6,-92859.95,235380.27,n.d.,242399.68,385194.57,0,74215.85,296216.99000000005,111730.92,n.d.,19315.86,14486.9,32360.03,417554.6,14486.9,-13044.17,n.d.,n.d.,680398.2,680398.2,324744.12,TRANSPORTS PUBLICS OLIVET SL TPO_resum
2018,358773.31,34022.14,157526.22,30050.61,82130.17000000001,50055.71,3064.73,157526.22,76396.64,20696.93,97093.57,n.d.,123504.08,258595.02,210649.81,n.d.,13548.29,13548.29,403425.83,1911.1699999999998,403425.83,n.d.,496.06,585230.3500000001,n.d.,316833.13999999996,50055.71,6,-45626.74,268397.20900000003,n.d.,228544.41,332673.19,0,88301.37000000001,358773.31,125388.24,n.d.,7644.7,5733.53,20696.93,353370.12,5733.53,-13052.23,n.d.,n.d.,742756.57,742756.57,308239.44,TRANSPORTS PUBLICS OLIVET SL TPO_resum
2017,274010.78,41963.950000000004,171070.36,30050.61,84405.86,52448.2,4178.49,171069.65,63352.87,39284.68,102637.55,n.d.,129105.7,252861.49,195138.77,n.d.,11214.71,11214.71,408572.62,7017.660000000001,408572.62,n.d.,0.68,493236.9900000001,n.d.,204746.61000000002,52448.2,6,-58348.1,288490.379,0.7100000000000001,222810.88,316839.74,0,91292.64,274010.78,137435.08,n.d.,28070.65,21052.99,39284.68,356124.42000000004,21052.99,-11214.029,n.d.,n.d.,664307.3500000001,664307.3500000001,297777.0,TRANSPORTS PUBLICS OLIVET SL TPO_resum
2016,287422.72000000003,30041.37,171402.69,30050.61,35709.91,45065.37,n.d.,171401.97999999998,30593.66,23291.39,53885.05,n.d.,141360.61000000002,238712.98,217704.1,n.d.,16470.348,16470.348,378025.36,1705.41,378025.36,n.d.,0.6200000000000001,501359.73,n.d.,193855.47999999998,45065.37,6,-61370.840000000004,307504.25,0.7100000000000001,208662.37,309668.6,0,116585.349,287422.72000000003,146626.72,n.d.,6821.660000000001,5116.25,23291.39,332959.99000000005,5116.25,-16469.728000000003,n.d.,n.d.,672762.42,672762.42,271589.768,TRANSPORTS PUBLICS OLIVET SL TPO_resum
2015,358998.08,24733.67,215218.84,30050.61,64181.979,35571.77,n.d.,215218.13,36418.97,54168.02,90586.989,n.d.,190484.46,233596.73,190524.19,n.d.,17154.980000000003,17154.980000000003,362926.97,9254.33,362926.97,n.d.,4.3,533658.8,n.d.,194411.14,35571.77,6,-46244.02,339247.66,0.7100000000000001,203546.12,273187.18,0,131549.16,358998.08,156282.83,n.d.,37017.34,27763.009,54168.02,327355.199,27763.009,-17150.68,n.d.,n.d.,748877.64,748877.64,281115.48000000004,TRANSPORTS PUBLICS OLIVET SL TPO_resum
2014,272104.56,23934.03,201215.39,30050.61,10024.11,41592.41,n.d.,201215.39,28188.0,-2285.8300000000004,25902.17,n.d.,177281.36,205833.72,208297.54,n.d.,21933.71,21933.71,306222.02,-6054.63,306222.02,n.d.,1.02,416689.9900000001,n.d.,n.d.,41592.41,6,-30429.9,416689.9900000001,n.d.,175783.11000000002,266915.44,0,116033.069,272104.56,139967.1,n.d.,-24218.52,-18163.89,-2285.8300000000004,264629.61,-18163.89,-21932.69,n.d.,n.d.,617905.38,617905.38,234200.73,TRANSPORTS PUBLICS OLIVET SL TPO_resum
