Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,59298.189999999995,103652.43999999999,455053.31,3005.06,32226.499,601217.23,83825.73999999999,46653.61,17546.01,27067.980000000003,44613.99,86313.82,29314.989,211425.26,520679.04,n.d.,6504.610000000001,6504.610000000001,1339876.64,5915.929999999999,1341781.64,n.d.,33.05,179705.64,n.d.,60049.15,601217.23,13,-175271.37999999998,119656.48999999999,322085.88,208420.199,713496.43,0,176557.31999999998,59298.189999999995,364035.5,n.d.,20596.42,14680.489,27067.980000000003,740564.409,14680.489,-6471.559,n.d.,22472.49,634758.9500000001,634758.9500000001,565326.08,VALL D'EN BAS EXCAVACIONS SL_resum
2022,85105.26,113864.04,235054.48,3005.06,72804.16,667922.89,31654.86,22384.39,17583.62,74988.51,92572.12900000002,41313.82,-50165.829,196744.77,542622.4,n.d.,4124.429999999999,4124.429999999999,1487327.1,15643.54,1491050.6800000002,n.d.,0,282531.62,n.d.,77595.16,667922.89,13,-187933.26,204936.46,171356.27000000002,193739.71,748139.2799999999,0,90217.17,85105.26,235736.07,n.d.,70864.08,55220.54,74988.51,823127.7899999999,55220.54,-4124.429999999999,n.d.,170928.07,517586.1,517586.1,635194.53,VALL D'EN BAS EXCAVACIONS SL_resum
2021,98726.84,8594.96,866173.5,3005.06,94892.52,29507.08,6047.34,278632.3,14733.3,83481.98,98215.28,542499.01,812536.3500000001,141524.23,393685.4,n.d.,3322.7599999999998,3322.7599999999998,631541.49,n.d.,631541.49,n.d.,0,153795.36,n.d.,65922.58,479507.08,12,-110133.73,87872.78,45042.19,138519.169,518552.43000000005,0,765075.49,98726.84,779717.7899999999,n.d.,80159.22,80159.22,83481.98,602034.409,80159.22,-3322.7599999999998,n.d.,44517.8,1019968.86,1019968.86,491900.68,VALL D'EN BAS EXCAVACIONS SL_resum
2020,9496.51,1513.6799999999998,201364.91,3005.06,38332.91,130798.78,6047.34,25368.17,16977.59,24242.62,41220.21,92364.67000000001,116219.16,61365.01,220771.43,n.d.,3202.06,3202.06,490670.03,n.d.,490670.03,n.d.,314.76,93950.29,n.d.,61655.880000000005,179758.74000000002,6,-97879.61,32294.41,83632.069,58359.95,335628.63,0,216892.66,9496.51,224453.68,n.d.,21355.32,21355.32,24242.62,359871.25,21355.32,-2887.3,n.d.,83107.68000000001,295315.2,295315.2,262306.4,VALL D'EN BAS EXCAVACIONS SL_resum
2019,32332.68,1613.6799999999998,89692.16,3005.06,27542.58,52418.03,n.d.,8076.64,25762.66,3833.16,29595.82,43362,49824.96,40009.69,236503.21,n.d.,2057.699,2057.699,422750.93000000005,n.d.,422750.93000000005,n.d.,4.46,72193.90999999999,n.d.,51355.17,92418.03,7,-104233.87000000001,20838.74,38253.52,37004.63,366499.74,0,87930.02,32332.68,89543.7,n.d.,1779.92,1779.92,3833.16,370332.9,1779.92,-2053.239,n.d.,37825.32,161886.07,161886.07,266103.48900000006,VALL D'EN BAS EXCAVACIONS SL_resum
2018,42198.810000000005,1475.23,58833.12,3005.06,34622.450000000004,74500.16,597.14,51762.8,27115.420000000002,10870.9,37986.32,3362,53649.57,38229.77,223469.13,n.d.,3363.8700000000003,3363.8700000000003,350062.85,n.d.,350062.85,n.d.,0,75402.40999999999,n.d.,64511.87,74500.16,6,-14107.240000000002,10890.54,3708.319,35224.708999999995,264691.78900000005,0,51734.58,42198.810000000005,53806.95,n.d.,7507.03,7507.03,10870.9,275562.689,7507.03,-3363.8700000000003,n.d.,3280.12,134235.53,134235.53,261455.45,VALL D'EN BAS EXCAVACIONS SL_resum
2017,116373.83,n.d.,51985.42,3005.06,58008.86,141970.94999999998,10966.26,25833.41,27115.12,35332.68,62447.8,5131,30964.41,30722.74,121102.43,n.d.,4442.44,4442.44,359225.18,n.d.,359225.18,n.d.,3.5,144948.47,n.d.,91627.29,141970.94999999998,4,-33704,53321.18,21021.01,27717.68,181921.55,0,38871.06,116373.83,49837.32,n.d.,30893.74,30893.74,35332.68,217254.229,30893.74,-4438.94,n.d.,20592.81,196933.89,196933.89,183553.729,VALL D'EN BAS EXCAVACIONS SL_resum
2016,53156.46,21724.2,75125.3,3005.06,28558.51,4841.2,n.d.,48706.92,21129.43,12333.32,33462.75,13431,40413.72,-171.0,56838.36,n.d.,4916.120000000001,4916.120000000001,154499.49,n.d.,154499.49,n.d.,11.88,106148.47,n.d.,66242.40999999999,18272.2,2,-59357.18,39906.06,12987.38,-3176.06,137324.96899999998,0,106564.11,53156.46,128288.31,n.d.,7429.08,7429.08,12333.32,149658.289,7429.08,-4904.24,n.d.,5916.23,181273.77,181273.77,90312.989,VALL D'EN BAS EXCAVACIONS SL_resum
2015,45315.46,21724.2,22353.51,3005.06,26059.39,24319.93,11498.8,16385.117,28012,4052.72,32064.72,n.d.,-5339.082,-7600.08,44601.61,n.d.,6020.37,6020.37,175070.63,n.d.,175070.63,n.d.,15.04,131134.84,n.d.,84308.56,24319.93,1,-74084.37000000001,46826.28,5968.389,-10605.14,146697.979,0,82549.97,45315.46,115772.97,n.d.,-1952.61,-1952.61,4052.72,150750.7,-1952.61,-6005.33,n.d.,4540.1900000000005,153488.34999999998,153488.34999999998,76681.37000000001,VALL D'EN BAS EXCAVACIONS SL_resum
2014,56907.87,22437.58,42655.09,3005.06,52897.159999999996,46526.43,11696.29,31588.22,51361.15,10106.91,61468.06,n.d.,9150.64,-5647.469999999999,38848.48,n.d.,8579.7,8579.7,239958.69,n.d.,239958.69,n.d.,8.8,128057.07,n.d.,112320.56,46526.43,1,-93115.72,15736.51,11066.87,-8652.53,183325.34999999998,0,85317.89,56907.87,119451.76,n.d.,1536.01,1536.01,10106.91,193432.26,1536.01,-8570.9,n.d.,10638.67,170712.16,170712.16,100325.34,VALL D'EN BAS EXCAVACIONS SL_resum
2013,68604.16,44796.67,66567.13,3005.06,-17374.71,42319.7,13739.65,38945.25,9363.94,-7122.18,2241.76,21650,15798.58,-7183.48,44408.07,n.d.,19632.08,19632.08,158639.0,n.d.,158639.0,n.d.,15.61,166909.23,n.d.,163681.71000000002,19900.94,2,-69669.47,3227.52,5971.88,-10188.54,123441.48,0,113519.36,68604.16,172055.68,n.d.,-26738.65,-26738.65,-7122.18,116319.299,-26738.65,-19616.47,n.d.,5543.68,233476.36,233476.36,46665.44,VALL D'EN BAS EXCAVACIONS SL_resum
2012,65206.75,42471.91,147692.91999999998,3005.06,10579.44,59234.36,8839.220000000001,89562.86,42007.37,-22064.66,19942.71,44068.759999999995,91159.709,19555.17,71598.20999999999,n.d.,9378.34,9378.34,211710.11,n.d.,211710.11,n.d.,15.07,183840.72,n.d.,173045.65,39250.87,2,-60934.83,10795.07,14061.3,16550.108999999997,174540.41,0,195460.59,65206.75,246771.72,n.d.,-31427.93,-31427.93,-22064.66,152475.75,-31427.93,-9363.27,n.d.,13633.1,331533.64,331533.64,91555.99,VALL D'EN BAS EXCAVACIONS SL_resum
2011,75042.85,70035,199283.32,3005.06,-51271.29899999999,66130.17000000001,17470.260000000002,110036.36,17059.960000000003,-56193.82,-39133.86,77052.40999999999,117053.77,50983.1,87799.79,n.d.,12148.69,12148.69,190716.77,n.d.,190716.77,n.d.,11.25,204574.49,n.d.,196418.71,58730.17,2,-75920.67000000001,8155.78,12194.55,47978.04,180780.419,0,190326.6,75042.85,277831.86,n.d.,-68331.26,-68331.26,-56193.82,124586.599,-68331.26,-12137.44,n.d.,11766.35,403857.81,403857.81,48677.18,VALL D'EN BAS EXCAVACIONS SL_resum
