Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,64394.75,129784.29,856737.2799999999,481401.0,186475.479,1065153.28,142975.72,484381.94,28559.09,229996.6,258555.69,49417.46,404015.11,1699514.51,453131.62,n.d.,19457.2,19457.2,2119477.049,52638.78999999999,2119746.099,n.d.,15.78,1341148.01,n.d.,752655.3300000001,1065153.28,9.0,-342905.51,588492.6799999999,322937.88,1218113.51,824596.22,16276.720000000001,144939.3,80671.47,417699.31,n.d.,210555.18,157916.38899999997,229996.6,1054592.818,157916.38899999997,-19441.42,n.d.,322937.88,2197885.29,2197885.29,711703.09,VIGUETES ESPA SL_resum
2022,198255.41999999998,420919.89,1328948.32,481401.0,310537.49000000005,1871367.43,138830.07,590227.2,28559.09,398188.15,426747.24,59737.46,229044.769,1541598.12,406917.87,n.d.,22216.960000000003,22216.960000000003,3145344.23,93992.79,3145833.23,n.d.,0,1369707.1,n.d.,781214.42,1871367.43,9.0,-440800.69,588492.6799999999,678983.659,1060197.12,876277.65,13231.07,385820.85,211486.49,945570.81,n.d.,375971.19,281978.4,398188.15,1274465.8,281978.4,-22216.960000000003,n.d.,635989.3200000001,2698655.42,2698655.42,833665.11,VIGUETES ESPA SL_resum
2021,330746.45,396122.17,899915.59,481401.12,48123.89,993247.08,65977.28,617439.3300000001,12182.6,69507.32,81689.92,68874.27,290191.43000000005,1268756.53,311226.75,n.d.,21585.56,21585.56,1614662.53,11980.47,1615355.23,n.d.,0,1444875.77,n.d.,809773.51,993247.08,7.0,-229191.47999999998,635102.26,213601.99,787355.41,552600.8300000001,6091.3,277097.63,336837.75,739197.08,n.d.,47921.76,35941.28999999999,69507.32,622108.15,35941.28999999999,-21585.56,n.d.,213601.99,2344791.36,2344791.36,392916.67,VIGUETES ESPA SL_resum
2020,330746.45,145906.81999999998,621426.72,481401.12,8440.720000000001,644770.8,226697.56,275854.27,12182.6,48169.17,60351.77,138607.46,268554.91000000003,1232628.34,324765.83,n.d.,46520.65,46520.65,1400134.97,5390.4,1412134.97,n.d.,0,1407839.14,n.d.,821956.11,644770.8,11.0,-382246.57,585883.03,206964.99,751227.22,719195,3045.65,90241.04,333792.1,462845.42,n.d.,1648.52,-3741.879,48169.17,767364.169,-3741.879,-46520.65,n.d.,52027.9,2029265.86,2029265.86,385117.6,VIGUETES ESPA SL_resum
2019,278246.45,467776.19,732472.1,481401.0,37567.92,2007189.76,n.d.,326522.02,12182.6,58956.66,71139.26,55059.9,-86194.269,1236370.22,428682.47,n.d.,25109.57,25109.57,3842843.79,8461.77,3842843.79,n.d.,0,1420021.74,n.d.,834138.71,2007189.76,16.0,-1335832.3,585883.03,350890.18,754969.22,1776697.37,3045.65,167055.33,281292.1,634831.52,n.d.,33847.09,25385.319,58956.66,1835654.03,25385.319,-25109.57,n.d.,313722.48000000004,2152493.84,2152493.84,499821.7290000001,VIGUETES ESPA SL_resum
2018,28306.55,445581.5,484891.96,481401.12,22151.45,1356146.45,26626.55,209543.7,12182.6,45078.49,57261.09,26559.9,-209477.9,1210984.9,377724.84,n.d.,27813.7,27813.7,2424214.5,7295.94,2424214.5,n.d.,0,1432004.34,n.d.,846121.31,1356146.45,13.0,-633082.12,585883.03,248788.36,729583.7799999999,1022989.559,3045.65,202351.15,31352.2,674559.2,n.d.,17264.79,9968.85,45078.49,1068068.05,9968.85,-27813.7,n.d.,239537.4,1916896.3,1916896.3,434985.93000000005,VIGUETES ESPA SL_resum
2017,84410.9,238859.22,313746.82,481401.12,28928.75,1099186.6,123605.57,220197.05,11567.6,61123.49,72691.09,54307.11,35644.939,1201016.05,296435.86,n.d.,37975.3,37975.3,1998938.85,5787.04,1998938.85,n.d.,0,1444186.94,n.d.,858303.91,1099186.6,9.0,-530625.3,585883.03,39242.659999999996,719614.93,838628.76,0,110042.02,84410.9,472506.81,n.d.,23148.19,17361.148999999998,61123.49,899752.25,17361.148999999998,-37975.3,n.d.,39242.659999999996,1757933.76,1757933.76,369126.949,VIGUETES ESPA SL_resum
2016,218556.73,205356.36,524300.1989999999,481401.12,25082.27,518866.25,158485.55,276450.59,13994.49,85115.9,99110.39,169727.11000000002,240821.34,1183654.9,236130.4,n.d.,70332.2,70332.2,1187663.55,3695.92,1187663.55,n.d.,0,1440785.87,n.d.,869636.41,518866.25,7.0,-333556.51,571149.4600000001,78122.5,702253.7799999999,583681.4,0,199032.53,218556.73,562874.4400000001,n.d.,14783.7,11087.78,85115.9,668797.3,11087.78,-70332.2,n.d.,78122.5,1965086.07,1965086.07,335240.79000000004,VIGUETES ESPA SL_resum
2015,212202.97999999998,159235.7,488473.55,481401.12,17417.79,538388.43,314149.32,254666.54,14248.48,54667.350000000006,68915.83,209800.12,305230.96,1172567.12,234616.43,n.d.,50441.6,50441.6,1152294.07,1056.44,1152294.07,n.d.,0,1443482.79,n.d.,881819.11,538388.43,6.0,-310373.38,561663.6799999999,24006.89,691166.0,559238.2889999999,0,73801.22,212202.97999999998,547186.24,n.d.,4225.75,3169.3100000000004,54667.350000000006,613905.64,3169.3100000000004,-50441.6,n.d.,24006.89,1931956.34,1931956.34,303532.26,VIGUETES ESPA SL_resum
2014,281618.62,91201.82,538086.49,481401.12,20264.69,297822.86,326719.54,169412.62,17950.52,67106.929,85057.449,190930.12,269140.92000000004,1169397.81,186116.7,n.d.,64021.37,64021.37,834687.48,771.39,834687.48,n.d.,0,1424600.71,n.d.,896067.59,345315.86,5.0,-265690.468,528533.12,177743.75,687996.69,469757.689,0,93749.41,281618.62,511670.77,n.d.,3085.56,2314.17,67106.929,536864.62,2314.17,-64021.37,n.d.,161508.13,1962687.2,1962687.2,271174.15,VIGUETES ESPA SL_resum
