Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,82893.0,0.0,136137.87,31853.64,471.699,0.0,0.0,2048.679,998.65,-809.41,189.24,122421.21,124469.889,20179.49,0.0,0.0,90.65,90.65,0.0,-225.84,6010.120000000001,0.0,147.26999999999998,28990.5,0.0,7621.06,-15199.0,0.0,-25397.93,21369.44,11667.98,-11674.149,26152.78,0.0,144948.87,82893.0,144948.87,0.0,-752.7900000000001,-526.949,-809.41,52928.16,-526.9499999999999,56.620000000000005,0.0,11667.98,165128.36,165128.36,12959.649,ACABADOS DECORATIVOS SL_resum
2000-01-01,82893.0,0.0,136137.87,31853.64,471.699,0.0,0.0,2048.679,998.65,-809.41,189.24,122421.21,124469.889,20179.49,12623.14,0.0,90.65,90.65,6010.120000000001,-225.84,6010.120000000001,0.0,147.26999999999998,28990.5,0.0,7621.06,-15199.0,3.0,-25397.93,21369.44,11667.98,-11674.149,26152.78,0.0,144948.87,82893.0,144948.87,0.0,-752.7900000000001,-526.949,-809.41,52928.16,-526.9499999999999,56.620000000000005,0.0,11667.98,165128.36,165128.36,12959.649,ACABADOS DECORATIVOS SL_resum
2001-01-01,82893.0,0.0,127047.06,31853.0,4206.22,0.0,0.0,8105.78,1539.55,21709.63,23249.18,77817.1,85922.88,22846.16,0.0,18030.36,19.12,19.12,162273.27000000002,1142.86,162273.27000000002,0.0,149.38000000000002,45511.37,0.0,24111.87,115943.1,0.0,-25397.93,21399.5,41124.179,-9006.84,26152.78,0.0,149712.26,82893.0,149712.26,0.0,21839.9,20697.04,21709.63,52928.16,2666.67,130.258,-18030.36,41124.17,172558.41999999998,172558.41999999998,5368.2,ACABADOS DECORATIVOS SL_resum
2002-01-01,82893.0,0.0,93815.09,31853.0,2452.1,0.0,0.0,7543.09,1729.74,19081.27,20811.01,60217.1,67760.19,23568.52,0.0,18146.26,0.2,0.2,132222.68,309.59,132222.68,0.7400000000000001,96.4,27010.980000000003,0.0,5611.49,98587.59,0.0,-25397.93,21399.489,26054.899,-8284.48,26152.78,0.0,97257.55,82893.0,97257.55,0.0,19177.47,18867.88,19081.27,52928.16,722.3599999999999,96.2,-18145.52,26054.9,120826.07,120826.07,2761.8900000000003,ACABADOS DECORATIVOS SL_resum
2003-01-01,82893.0,0.0,95483.91,31853.0,2700.79,0.0,0.0,5564.335,1169.32,83.63,1252.949,35586.7,35586.7,25099.99,0.0,0.0,6.51,6.51,56658.53,656.3399999999999,56658.53,0.0,2110.69,25841.66,0.0,4442.17,48386.9,0.0,-25397.93,21399.489,59897.21,-6753.009,26152.78,0.0,96225.58,82893.0,96225.58,0.0,2187.8100000000004,1531.469,83.63,52928.16,1531.47,2104.18,0.0,59897.21,121325.57,121325.57,3363.64,ACABADOS DECORATIVOS SL_resum
2004-01-01,82893.0,0.0,91176.29,31853.0,3595.63,0.0,0.0,3585.58,855.8399999999999,3002.66,3858.5,28100.0,31685.58,27839.78,5313.84,10.0,0.14,0.14,183634.94,1174.1899999999998,184078.78,3.66,917.8,84985.82,0.0,63586.33,141157.26,1.0,-25397.93,21399.49,59490.709,-4013.22,26152.78,0.0,148322.33,82893.0,148322.33,0.0,3920.32,2746.13,3002.66,52928.16,2739.79,917.66,-6.34,59490.71,176162.11000000002,176162.11000000002,10083.8,ACABADOS DECORATIVOS SL_resum
2005-01-01,82893.0,0.0,181433.27,31853.0,2172.54,0.0,0.0,10263.2,788.61,2780.53,3569.14,93250.3,103513.5,29223.71,0.0,0.0,1036.1699999999998,1036.1699999999998,170247.66,593.12,170247.66,0.0,232.69,88397.20999999999,0.0,66997.72,127396.26,0.0,-25397.93,21399.49,77919.769,-2629.29,26152.78,0.0,157713.77000000002,82893.0,157713.77000000002,0.0,1977.05,1383.929,2780.53,52928.16,1383.93,-803.48,0.0,77919.77,269830.48000000004,269830.48000000004,3801.83,ACABADOS DECORATIVOS SL_resum
2006-01-01,251446.5,0.0,39706.05,31853.0,13340.15,0.0,0.0,14812.17,635.3199999999999,-49461.44,-48826.12,9277.66,24089.83,41928.54,0.0,0.0,1198.64,1198.64,312918.0,5444.929999999999,312918.0,68730.02,79.82,157426.84999999998,0.0,136027.36,317818.57,0.0,-25397.93,21399.49,15616.22,10075.54,26152.78,0.0,155204.36,251446.5,155204.36,0.0,-50580.26,-56025.19,-49461.44,52928.16,12704.83,-1118.82,68730.02,15616.22,197132.9,197132.9,19983.72,ACABADOS DECORATIVOS SL_resum
2007-01-01,420000.0,0.0,471773.51,31853.0,-21578.1,0.0,0.0,55737.01,774.65,-18677.75,-17903.1,344488.06,400225.07,24207.54,0.0,0.0,12661.94,12661.94,0.0,-7450.92,309688.5,1527.76,8.26,158152.2,0.0,136752.71000000002,-61412.66,0.0,-25397.93,21399.49,71548.43999999999,-7645.459,26152.78,0.0,185718.17,420000.0,185718.17,0.0,-31331.43,-23880.51,-18677.75,52928.16,-22352.75,-12653.68,1527.76,71548.43999999999,629925.71,629925.71,-16367.079,ACABADOS DECORATIVOS SL_resum
2008-01-01,667546.57,33481.46,554915.11,31853.0,-1346.01,-52928.16,0.0,54806.55,754.8499999999999,26775.38,27530.23,465963.06,487288.149,22106.68,0.0,0.0,29582.6,29582.6,0.0,-700.2900000000001,306459.0,0.0,6.07,168219.6,0.0,135997.86,68546.84,0.0,-25397.93,32221.739,34145.5,-9746.32,26152.78,0.0,97068.06000000001,667546.57,33481.46,0.0,-2801.15,-2100.86,26775.38,52928.16,-2100.86,-29576.53,0.0,34109.44,723134.71,723134.71,27536.3,ACABADOS DECORATIVOS SL_resum
2009-01-01,746513.76,33659.119999999995,655860.11,31853.0,-21677.989,-27138.77,0.0,59860.99,794.4499999999999,-3744.81,-2950.3590000000004,584963.06,611164.93,-365.76,0.0,0.0,26221.63,26221.63,0.0,-7490.81,303229.5,0.0,3.19,132364.95899999997,0.0,92652.41,91861.23,0.0,-30089.129,39712.55,11036.06,-32218.76,30883.58,0.0,8417.949999999999,746513.76,42077.07,0.0,-29963.25,-22472.44,-3744.81,27138.77,-22472.44,-26218.44,0.0,52540.55,788225.07,788225.07,-2947.169,ACABADOS DECORATIVOS SL_resum
