Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,360398.59,198161.26,3005.06,25624.149,1450480.93,0.0,170975.23,1146.64,36532.93,37679.57,7487.04,178462.27000000002,41982.99,18573.44,0.0,618.7800000000001,618.7800000000001,547601.19,10490.37,547601.19,0.0,431.14,9567.92,0.0,9567.92,469191.2,1.0,-132226.0,0.0,19698.989,38977.93,309363.64,0.0,163857.02,0.0,163857.02,0.0,36345.28999999999,25854.92,36532.93,389954.23,24477.51,-187.64,0.0,19698.99,207729.18,207729.18,55306.739,ACCES RAPID SL_resum
2000-01-01,1889.17,360398.59,198161.26,3005.06,25624.149,1450480.93,0.0,170975.23,1146.64,36532.93,37679.57,7487.04,178462.27000000002,41982.99,18573.44,1377.41,618.7800000000001,618.7800000000001,547601.19,10490.37,547601.19,0.0,431.14,9567.92,0.0,9567.92,469191.2,1.0,-132226.0,0.0,19698.989,38977.93,309363.64,0.0,163857.02,1889.17,163857.02,0.0,36345.28999999999,25854.92,36532.93,389954.23,24477.51,-187.64,-1377.41,19698.99,207729.18,207729.18,55306.739,ACCES RAPID SL_resum
2001-01-01,0.0,360398.59,246036.19,3005.06,22489.47,1450480.93,0.0,205125.44,1371.74,30335.18,31706.92,8328.98,213454.42,63100.72,35789.74,0.0,271.02,271.02,656838.3500000001,9050.45,656838.3500000001,71.46000000000001,32.56,10091.35,0.0,10091.35,563011.2699999999,3.0,-132226.0,0.0,32581.769,60095.66,309363.64,0.0,193026.82,0.0,193026.82,0.0,30096.72,21046.27,30335.18,389954.23,21117.73,-238.46,71.46000000000001,32581.77,256127.54,256127.54,67600.68000000001,ACCES RAPID SL_resum
2002-01-01,0.0,360398.59,292693.85,3005.06,16396.599,1450480.93,0.0,211116.59,2102.13,22255.23,24357.36,23565.55,234682.139,77395.19,38208.17,0.0,1835.11,1835.11,742041.2,6126.2,742041.2,0.0,0.55,14084.53,0.0,14084.53,632102.5,3.0,-132226.0,0.0,58011.709,74390.13,309363.64,0.0,229383.19,0.0,229383.19,0.0,20420.67,14294.469,22255.23,389954.23,14294.47,-1834.56,0.0,58011.71,306778.38,306778.38,62566.079,ACCES RAPID SL_resum
2003-01-01,0.0,360398.59,352106.45,3005.06,18287.989,1450480.93,0.0,241840.53,2860.0,23152.0,26012.0,16585.55,258426.08,92823.18,34178.83,49.48,1062.65,1062.65,826696.69,6611.99,826696.69,0.0,0.11,11224.53,0.0,11224.53,702978.69,3.0,-132226.0,0.0,93680.37,89818.12000000001,309363.64,0.0,270507.8,0.0,270507.8,0.0,22089.460000000003,15477.47,23152.0,389954.23,15427.99,-1062.54,-49.48,93680.37,363330.98,363330.98,60141.46,ACCES RAPID SL_resum
2004-01-01,0.0,360398.59,428134.8,3005.06,22394.71,1450480.93,0.0,272882.4,5354.8,24902.73,30257.53,10018.87,282901.27,109863.09,55982.15,0.0,713.91,713.91,1262365.81,7302.820000000001,1263060.48,0.0,153.91,32926.61,0.0,32926.61,1113231.63,4.0,-132226.0,0.0,145233.52899999998,106858.03,309363.64,0.0,351198.32,0.0,351198.32,0.0,24342.73,17039.91,24902.73,389954.23,17039.91,-560.0,0.0,145233.53,461061.41,461061.41,86393.59,ACCES RAPID SL_resum
2005-01-01,0.0,360398.59,520711.98,3005.06,22610.58,1450480.93,0.0,292771.29000000004,5927.469999999999,24637.960000000003,30565.43,10018.87,302790.16,126546.2,60779.87,169.4,827.49,827.49,1219829.62,7149.91,1219831.76,0.0,191.95,28399.14,0.0,26999.14,1067156.97,4.0,-132226.0,1400.0,217921.82,123541.14,309363.64,0.0,422564.92,0.0,422564.92,0.0,24002.42,16852.51,24637.960000000003,389954.23,16683.109999999997,-635.54,-169.4,217921.82,549111.12,549111.12,91367.85,ACCES RAPID SL_resum
2006-01-01,0.0,360398.59,758076.88,3005.06,88958.81,1450480.93,0.0,536806.15,7691.79,113691.83,121383.62,10018.87,546825.02,207813.22,82677.67000000001,0.0,413.79,413.79,1740413.83,34828.73,1740413.83,0.0,2817.71,33086.68,0.0,31686.68,1433997.02,6.0,-132226.0,1400.0,211251.86,204808.16,309363.64,0.0,583350.3400000001,0.0,583350.3400000001,0.0,116095.75,81267.019,113691.83,389954.23,81267.02,2403.92,0.0,211251.86,791163.56,791163.56,206879.0,ACCES RAPID SL_resum
2007-01-01,0.0,360398.59,834273.97,3005.06,75438.569,1450480.93,0.0,516824.72,8519.78,86551.93,95071.709,10018.87,526843.5889999999,274732.01,163055.41999999998,0.0,2836.15,2836.15,1927128.27,22306.27,1927128.3,0.0,5509.28,24566.9,0.0,23166.9,1550675.98,6.0,-132226.0,1400.0,307430.38,271726.95,309363.64,0.0,584108.8600000001,0.0,584108.8600000001,0.0,89225.06,66918.789,86551.93,389954.23,66918.789,2673.13,0.0,307430.38,858840.87,858840.87,263636.40900000004,ACCES RAPID SL_resum
2008-01-01,0.0,360398.59,686851.11,3005.06,76823.35,1450480.93,0.0,464315.69,10050.23,80590.59,90640.819,10018.87,113935.969,241505.13,167087.41,0.0,4725.820000000001,4725.820000000001,1840435.16,22257.7,1840435.16,0.0,13166.05,14516.67,0.0,13116.67,1450480.93,5.0,-132226.0,1400.0,212516.55,238500.069,309363.64,0.0,99464.06,0.0,459862.65,0.0,89030.82,66773.12000000001,80590.59,389954.23,66773.12000000001,8440.230000000001,0.0,212516.55,701367.7799999999,701367.7799999999,270894.28,ACCES RAPID SL_resum
2009-01-01,202413.14,246605.39,746339.24,3005.06,47024.02,1010884.33,0.0,450216.01,5916.0,48763.28999999999,54679.28999999999,11658.87,215269.49,282613.15,166920.57,0.0,400.13,400.13,1336364.37,13702.67,1336364.37,0.0,6447.53,8600.67,0.0,7200.67,1012524.33,5.0,-103880.18,1400.0,284464.36,279608.09,276716.75,0.0,23308.23,202413.14,269913.62,0.0,54810.69,41108.02,48763.28999999999,325480.04,41108.02,6047.4,0.0,284464.36,754939.91,754939.91,228047.39,ACCES RAPID SL_resum
2010-01-01,122941.92,312701.06,781199.1799999999,3005.06,28663.22,811318.2,0.0,309477.48000000004,4421.0,26346.91,30767.91,15339.87,12116.289,306855.37,179541.84,0.0,280.78,280.78,1110866.6900000002,8080.74,1110866.6900000002,0.0,6256.83,4179.67,0.0,2779.67,811318.2,4.0,-89238.739,1400.0,456381.83,303850.31,273201.58,0.0,42880.5,122941.92,355581.56,0.0,32322.960000000003,24242.22,26346.91,299548.49000000005,24242.22,5976.05,0.0,456381.83,785378.8500000001,785378.8500000001,216566.58,ACCES RAPID SL_resum
2011-01-01,102699.68,393329.48,851632.8400000001,3005.06,18007.460000000003,891006.7699999999,0.0,376256.44,2254.9300000000003,8883.38,11138.31,31447.28,14374.239,322727.9,194407.96,0.0,4345.56,4345.56,1164697.57,5250.85,1164697.57,0.0,16465.56,1924.74,0.0,524.74,891006.7699999999,4.0,-68144.53,1400.0,443929.12,319722.84,264807.41900000005,0.0,34800.52,102699.68,428130.0,0.0,21003.38,15752.53,8883.38,273690.8,15752.53,12120.0,0.0,173929.12,853557.58,853557.58,222011.83,ACCES RAPID SL_resum
2012-01-01,111699.68,314210.33,777527.04,3005.06,11991.63,721406.64,0.0,303474.53,1828.33,4111.68,5940.01,33317.28,22581.480000000003,332891.21,184295.77,0.0,642.07,642.07,969880.89,3387.77,969880.89,0.0,10081.46,3228.3300000000004,0.0,1828.33,721406.64,4.0,-58238.47,1400.0,440735.23,329886.149,244362.569,0.0,21954.15,111699.68,336164.48000000004,0.0,13551.07,10163.3,4111.68,248474.25,10163.3,9439.39,0.0,130735.23,780755.37,780755.37,200317.24,ACCES RAPID SL_resum
2013-01-01,111699.67,323746.94,747446.01,3005.06,18288.62,682177.13,0.0,299562.0,6108.67,6876.58,12985.25,24731.34,546.4,345071.16,197932.65,0.0,1735.45,1735.45,983705.68,4059.99,984463.84,0.0,11098.81,62569.71,0.0,61169.71,682177.13,7.0,-91368.81,1400.0,423152.67,342066.1,295410.13,0.0,29497.95,111699.67,353244.89,0.0,16239.94,12179.95,6876.58,302286.71,12179.95,9363.359,0.0,113152.67,810015.72,810015.72,222016.71,ACCES RAPID SL_resum
2014-01-01,0.0,298354.75,647119.7,3005.06,23120.2,761940.81,0.0,273792.89,10472.01,17384.57,27856.58,24196.34,-365.519,357719.35,215385.35,0.0,449.44,449.44,1090064.02,4289.4,1090064.02,0.0,2.46,52097.7,0.0,50697.7,761940.81,7.0,-84881.28,1400.0,349130.47000000003,354714.29000000004,310738.64,0.0,43143.3,0.0,341498.05,0.0,16937.59,12648.19,17384.57,328123.20900000003,12648.19,-446.98,0.0,39130.47,699217.4,699217.4,243244.39,ACCES RAPID SL_resum
2015-01-01,77258.72,213510.15,652128.3,3005.06,24124.29,835559.19,0.0,237732.62,10472.0,13633.65,24105.65,39202.49,63424.959,371371.64,277251.92000000004,0.0,32.809999999999995,32.809999999999995,1223147.38,4588.08,1223196.279,0.0,4639.53,38493.78999999999,0.0,37093.78999999999,835559.19,10.0,-86279.52,1400.0,375193.19,368366.579,374003.44,0.0,28481.58,77258.72,241991.73,0.0,18240.37,13652.289,13633.65,387637.089,13652.289,4606.719,0.0,88193.19,690622.09,690622.09,305997.1,ACCES RAPID SL_resum
2016-01-01,0.0,309994.34,700057.2899999999,3005.06,29747.969,1003202.33,0.0,275082.3,10472.0,18033.480000000003,28505.480000000003,27348.34,-7563.7,390647.61,258545.55,0.0,1004.3,1004.3,1383263.37,6508.88,1383922.73,0.0,8755.67,28021.79,0.0,26621.79,1003202.33,8.0,-93669.37,1400.0,397626.65,387642.55,362686.92,0.0,27437.13,0.0,337431.47000000003,0.0,25784.85,19275.969,18033.480000000003,380720.4,19275.969,7751.37,0.0,122626.65,728079.08,728079.08,295806.699,ACCES RAPID SL_resum
2017-01-01,0.0,366327.68,789227.43,3005.06,37371.479,1027625.0,0.0,415172.47,12099.0,32141.33,44240.33,17896.22,66741.009,415920.09,282423.97000000003,0.0,479.72,479.72,1450057.25,7901.63,1450110.97,0.0,1512.5,33187.350000000006,0.0,31787.35,1027625.0,8.0,-95821.67,1400.0,356158.74,412915.029,390344.639,0.0,40167.01,0.0,406494.69,0.0,33174.11,25272.480000000003,32141.33,422485.97,25272.480000000003,1032.78,0.0,81158.73999999999,822414.7799999999,822414.7799999999,328176.79900000006,ACCES RAPID SL_resum
2018-01-01,0.0,289439.52,743793.9,3005.06,39819.54,1061036.09,0.0,346866.49000000005,14652.0,33533.58,48185.58,22911.460000000003,80338.43,441087.63,399097.56,0.0,1094.5,1094.5,1650274.59,7711.89,1650353.2,0.0,440.35,32481.56,0.0,31081.56,1061036.09,11.0,-142033.97,1400.0,374015.95,438082.57,555783.529,0.0,45748.310000000005,0.0,335187.83,0.0,32879.43,25167.54,33533.58,589317.11,25167.54,-654.15,0.0,119015.95,776275.4600000001,776275.4600000001,447723.4900000001,ACCES RAPID SL_resum
2019-01-01,0.0,318918.06,786820.55,3005.06,41120.13,1068779.53,0.0,379730.64,16391.59,28630.56,45022.15,23166.12,83978.7,465816.17,408665.85,0.0,45.0,45.0,1630214.2,7489.44,1630552.8490000002,0.0,3632.42,33462.32,0.0,32062.32,1068779.53,11.0,-108085.32,1400.0,383923.79,462811.11,533142.76,0.0,35548.64,0.0,354466.7,0.0,32217.980000000003,24728.54,28630.56,561773.319,24728.54,3587.42,0.0,383923.79,820282.87,820282.87,457320.42,ACCES RAPID SL_resum
2020-01-01,0.0,257685.93,708874.6,3005.06,16809.01,874632.61,0.0,319125.69,12843.0,5667.64,18510.64,16580.649999999998,78020.40999999999,469782.18,409543.72,0.0,180.93,180.93,1487849.0,1632.47,1490227.81,0.0,111.77,64535.5,0.0,63135.5,874632.61,10.0,-187540.84,1400.0,373168.26,466777.12,609927.559,0.0,45941.99,0.0,303627.92000000004,0.0,5598.48,3966.009,5667.64,615595.2,3966.009,-69.16,0.0,218168.26,773410.1,773410.1,428166.129,ACCES RAPID SL_resum
2021-01-01,3752.39,286627.04,813107.63,3005.06,57088.04,985247.98,3949.1,360399.68,16908.0,55758.58,72666.58,16799.3,90571.94,509962.22,450865.67,0.0,3270.16,3270.16,1672781.27,13586.71,1680868.64,0.0,1278.33,75135.48,0.0,73735.48,985247.98,11.0,-172088.41,1400.0,435908.65,506957.16,639862.08,0.0,83952.36,3752.39,374528.5,0.0,53766.75,40180.04,55758.58,695620.66,40180.04,-1991.83,0.0,280908.65,888243.11,888243.11,524810.5789999999,ACCES RAPID SL_resum
