Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,201050.0,1843020.0,3998580.0,2464150.0,-331120.0,7489000.0,525070.0,3022030.0,26780.0,-236520.0,-209740.0,601100.0,3623130.0,2005010.0,859790.0,25020.0,102550.0,101310.0,7956310.0,71290.0,7956310.0,5700.0,490.0,2050420.0,51990.0,89590.0,6581000.0,26.0,-2152000.0,1908840.0,375450.0,-459140.0,4711000.0,51000.0,3842940.0,201050.0,3842940.0,0.0,-338570.0,-338570.0,-236520.0,5975000.0,-357900.0,-102050.0,-19320.0,340840.0,6049000.0,6049000.0,629980.0,ACO PRODUCTOS POLIMEROS SAU_resum
2000-01-01,2080280.0,1843020.0,5944240.0,2464150.0,-2370.0,7489000.0,525070.0,4314970.0,299580.0,-118700.0,180880.0,1543020.0,4014970.0,1703050.0,1595900.0,12160.0,176790.0,174000.0,9789830.0,71290.0,9824890.0,1060.0,4650.0,2639220.0,91560.0,2537170.0,6043190.0,67.0,-2152000.0,10490.0,86250.0,-761100.0,4711000.0,51000.0,2432030.0,2080280.0,4800120.0,0.0,-290850.0,-290850.0,-118700.0,5975000.0,-301950.0,-172150.0,-11100.0,61030.0,8583460.0,8583460.0,1767530.0,ACO PRODUCTOS POLIMEROS SAU_resum
2001-01-01,1292380.0,1524830.0,5514500.0,2464150.0,134000.0,7489000.0,287140.0,4168779.0,293050.0,730.0,293780.0,1056360.0,3700309.0,1544010.0,1814640.0,530.0,179640.0,178640.0,10354150.0,71290.0,10417450.0,19220.0,1150.0,2474150.0,75800.0,2388120.0,6351320.0,66.0,-2152000.0,10230.0,289360.99900000007,-920140.0,4711000.0,51000.0,3340300.0,1292380.0,5152270.0,0.0,-177760.0,-177760.0,730.0,5975000.0,-159050.0,-178480.0,18690.0,282310.0,7988650.0,7988650.0,2127280.0,ACO PRODUCTOS POLIMEROS SAU_resum
2002-01-01,877000.0,1493000.0,5499000.0,2464000.0,200000.0,7489000.0,92000.0,4042000.0,266000.0,3000.0,269000.0,1198000.0,3747000.0,1478000.0,1958000.0,0.0,87000.0,87000.0,9033000.0,71290.0,9079000.0,18000.0,2896.666666666667,2275000.0,38000.0,2227000.0,4781000.0,61.0,-2152000.0,10000.0,259000.0,-986000.0,4711000.0,51000.0,3783000.0,928000.0,5368000.0,51000.0,-84000.0,-84000.0,3000.0,5975000.0,-66000.0,-87000.0,18000.0,217000.0,7774000.0,7774000.0,2245000.0,ACO PRODUCTOS POLIMEROS SAU_resum
2003-01-01,2023000.0,1354000.0,5289000.0,2464000.0,358000.0,7489000.0,95000.0,3794000.0,261000.0,206000.0,467000.0,1063000.0,3503000.0,2325000.0,1884000.0,0.0,160000.0,160000.0,8660000.0,71290.0,8751000.0,51000.0,4643.333333333334,2219000.0,27000.0,2182000.0,4580000.0,53.0,-2152000.0,10000.0,432000.0,-139000.0,4711000.0,16000.0,1695000.0,2039000.0,3144000.0,16000.0,46000.0,46000.0,206000.0,5975000.0,97000.0,-160000.0,51000.0,348000.0,7508000.0,7508000.0,2402000.0,ACO PRODUCTOS POLIMEROS SAU_resum
2004-01-01,1799530.0,1612640.0,5672370.0,2464150.0,970779.0,7489000.0,91250.0,4206480.0,259579.0,828230.0,1087809.0,1303910.0,3897750.0,3036890.0,1474920.0,0.0,147520.0,147520.0,9315390.0,71290.0,9412570.0,24100.0,6390.0,2155210.0,20000.0,2132860.0,5178700.0,43.0,-2152000.0,2350.0,161980.0,572740.0,4711000.0,3000.0,1284270.0,1802530.0,2988160.0,3000.0,687100.0,687100.0,828230.0,5975000.0,711200.0,-141130.0,24100.0,154450.0,7827580.0,7827580.0,2593219.0,ACO PRODUCTOS POLIMEROS SAU_resum
2005-01-01,1574060.0,1627410.0,6126140.0,2464150.0,880970.0,7489000.0,86970.0,4421740.0,280620.0,747520.0,1028140.0,989940.0,3784270.0,3487250.0,1785450.0,2230.0,97910.0,97770.0,10242410.0,71290.0,10267540.0,19560.0,4700.0,2032660.0,13910.0,2016490.0,6022570.0,43.0,-2152000.0,2260.0,714460.0,1023100.0,4711000.0,32460.0,1350650.0,1606520.0,3065030.0,32460.0,654310.0,583020.0,747520.0,5975000.0,600350.0,-93210.0,17330.0,706220.0,8158800.0,8158800.0,2835480.0,ACO PRODUCTOS POLIMEROS SAU_resum
2006-01-01,1331400.0,2013850.0,6953100.0,2464150.0,585090.0,7489000.0,289310.0,5387120.0,221030.0,605890.0,826920.0,1341730.0,4715000.0,3401290.0,1986950.0,1670.0,87500.0,87490.0,11651410.0,172260.0,11748150.0,4450.0,15150.0,2039280.0,82140.0,1954880.0,7016310.0,46.0,-2152000.0,2260.0,224250.0,937140.0,4711000.0,480.0,1956050.0,1331880.0,4259210.0,480.0,533540.0,361280.0,605890.0,5975000.0,364060.0,-72350.0,2780.0,221960.0,8992380.0,8992380.0,2831790.0,ACO PRODUCTOS POLIMEROS SAU_resum
2007-01-01,1075830.0,2284700.0,7270380.0,2464150.0,824710.0,7489000.0,137850.0,5702210.0,178730.0,1030490.0,1209220.0,1525810.0,4943320.0,3797280.0,1963370.0,12320.0,85220.0,82620.0,13298320.0,310440.0,13375930.0,2160.0,21310.0,2036540.0,63550.0,1970740.0,7930020.0,46.0,-2152000.0,2250.0,42360.0,1333130.0,4711000.0,15480.0,1995780.0,1091310.0,4418330.0,15480.0,966580.0,656140.0,1030490.0,5975000.0,645980.0,-63910.0,-10160.0,39920.0,9306920.0,9306920.0,3181140.0,ACO PRODUCTOS POLIMEROS SAU_resum
2008-01-01,799000.0,1183000.0,7425000.0,2464000.0,1047000.0,7489000.0,553000.0,5921000.0,206000.0,1264000.0,1470000.0,1349000.0,6087000.0,4337000.0,2353000.0,0.0,89000.0,89000.0,13373000.0,352000.0,13464000.0,0.0,18000.0,1993000.0,48000.0,1943000.0,7308000.0,53.0,-2152000.0,2000.0,155000.0,1873000.0,4711000.0,15000.0,2531000.0,814000.0,4267000.0,15000.0,1193000.0,841000.0,1264000.0,5975000.0,841000.0,-71000.0,0.0,153000.0,9418000.0,9418000.0,3841000.0,ACO PRODUCTOS POLIMEROS SAU_resum
