Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,226095.45,108197.44,161260.65,54092.0,63903.32,948648.91,0.0,133937.81,62760.62,6887.75,69648.37000000001,57200.0,133937.81,77626.58,88217.5,0.0,14709.72,14709.72,418682.92,489.73,418682.92,9452.87,1.54,348110.15,170449.41,177660.74000000002,97922.59,10.0,-917286.64,0.0,27322.839,23534.58,1699869.5,60052.95,205648.78,226095.45,205648.78,0.0,-7820.429999999999,-8310.16,6887.75,1852516.219,1142.7,-14708.18,9452.87,9101.96,509370.81,509370.81,167320.27000000002,ALBERT TULSA SL_resum
2000-01-01,274119.07,108197.44,172555.1,54091.09,83709.62000000001,948648.91,0.0,153418.31999999998,82590.23999999999,-233.94,82356.3,57200.0,153418.31999999998,78745.05,130646.23,0.0,18891.6,18891.6,578742.41,479.73,578742.41,20724.56,0.1,387545.06,154007.08,233537.98,129031.26,10.0,-917286.64,0.0,19136.78,24653.960000000003,1699869.5,60052.95,207236.04,274119.07,207236.04,0.0,-19125.44,-19605.17,-233.94,1852516.219,1119.38,-18891.5,20724.56,5210.57,560100.16,560100.16,233727.18,ALBERT TULSA SL_resum
2001-01-01,220211.24,108197.44,343073.09,126212.54,141543.55,948648.91,0.0,334419.34,97928.76,87636.58,185565.34,57200.0,334419.34,194481.29,174781.17,13458.4,19517.9,19517.9,954718.43,18692.05,954718.43,7646.259,0.3,358372.08,75021.93,283350.15,226616.54,8.0,-917286.64,0.0,8653.75,68268.75,1699869.5,60052.95,286752.64,220211.24,286752.64,0.0,68118.98,49426.929,87636.58,1852516.219,43614.78999999999,-19517.6,-5812.14,47619.87633333332,701445.1699999999,701445.1699999999,354534.67,ALBERT TULSA SL_resum
2002-01-01,332556.88,108197.44,370037.71,126212.54,160199.36,948648.91,0.0,353806.94,108800.08,91855.19,200655.27,57200.0,353806.94,245880.57,258582.25,0.0,22734.32,22734.32,1169130.71,22028.26,1169130.71,4160.419,146.25,539686.3600000001,236206.89,303479.47000000003,215588.5,14.0,-917286.64,0.0,16230.77,119668.03,1699869.5,60052.95,331286.62,332556.88,331286.62,0.0,69267.12000000001,47238.86,91855.19,1852516.219,51399.28,-22588.07,4160.419,90029.18266666663,909724.07,909724.07,463544.19,ALBERT TULSA SL_resum
2003-01-01,325836.6,108197.44,696544.26,126212.54,422762.19,948648.91,0.0,553729.03,159058.74000000002,417040.43000000005,576099.169,57200.0,553729.03,509584.02,322253.79000000004,0.0,16740.22,16740.22,2043643.91,138554.44,2043643.91,1935.57,22.110000000000003,632506.12,237757.77,394748.35,495822.0,17.0,-917286.64,0.0,142815.229,383371.48,1699869.5,60052.95,493629.76,325836.6,493629.76,0.0,400322.32,261767.88,417040.43000000005,1852516.219,263703.45,-16718.109999999997,1935.57,132438.48899999997,1329050.38,1329050.38,900310.639,ALBERT TULSA SL_resum
2004-01-01,438016.36,108197.44,676615.519,126212.54,274612.819,948648.91,0.0,569022.41,207869.2,106551.88,314421.08,57200.0,569022.41,576327.64,392255.4,39750.0,15540.81,15540.81,2057355.82,29004.13,2057355.82,43180.21,1306.47,821699.9600000001,263329.88,558370.08,682263.05,18.0,-917286.64,0.0,107593.109,450115.1,1699869.5,60052.95,483971.48,438016.36,483971.48,0.0,92317.54,63313.409,106551.88,1852516.219,66743.619,-14234.34,3430.209,95914.54,1498315.48,1498315.48,711413.159,ALBERT TULSA SL_resum
2005-01-01,368730.1,108197.44,769175.14,126212.54,322683.10799999995,948648.91,0.0,713427.25,262733.718,87413.87000000001,350147.588,57200.0,713427.25,636277.03,328050.19,9045.23,18767.53,18767.53,2007094.18,25692.59,2007094.18,25107.809,933.06,879389.06,262391.58,616997.48,712241.52,14.0,-917286.64,0.0,55747.89,510064.4900000001,1699869.5,60052.95,643557.07,368730.1,643557.07,0.0,69579.4,43886.810000000005,87413.87000000001,1852516.219,59949.39,-17834.47,16062.579,45261.96,1648564.2,1648564.2,695193.4180000001,ALBERT TULSA SL_resum
2006-01-01,389914.4900000001,108197.44,985728.36,126212.54,448046.12,948648.91,0.0,918834.6,305454.69,219807.58,525262.2699999999,57200.0,918834.6,778868.4600000001,364177.11,127152.27,16611.668999999998,16611.668999999998,2524876.64,67533.66,2524876.64,134059.259,22.19,921763.33,186149.28,735614.05,872210.1699999999,14.0,-917286.64,0.0,66893.76,652655.919,1699869.5,60052.95,738708.74,389914.4900000001,738708.74,0.0,203218.1,135684.44,219807.58,1852516.219,142591.43,-16589.480000000003,6906.989,59464.67,1907491.69,1907491.69,896368.5580000001,ALBERT TULSA SL_resum
2007-01-01,543119.1799999999,108197.44,1210696.65,54092.0,462105.949,948648.91,0.0,1118149.75,347882.92000000004,63692.380000000005,411575.3,57200.0,1118149.75,893091.49,483963.63,65466.14,29745.45,29745.45,2980595.66,31758.99,2988307.48,176833.78,667.4499999999999,1260500.83,253156.33,1007344.5,1118952.02,19.0,-917286.64,0.0,92546.9,838999.49,1699869.5,60052.95,1034986.81,543119.1799999999,1034986.81,0.0,34614.380000000005,2855.389,63692.380000000005,1852516.219,114223.03,-29078.0,111367.64,80222.6,2471197.48,2471197.48,1007574.02,ALBERT TULSA SL_resum
2008-01-01,559214.31,108197.44,1054393.74,54092.0,396528.97,948648.91,0.0,1023567.95,313122.4,152646.72,465769.12,57200.0,915370.51,976498.06,469460.46,0.0,39204.06,39204.06,2790040.59,30717.59,2801165.13,0.0,681.5,1269901.99,0.0,1269901.99,948648.91,18.0,-917286.64,79007.83,30825.79,922406.06,1699869.5,60052.95,620332.97,619267.26,728530.41,0.0,114124.16,83406.57,152646.72,1852516.219,83406.57,-38522.56,0.0,30825.79,2324295.73,2324295.73,935911.08,ALBERT TULSA SL_resum
2009-01-01,730904.2,92928.28,1165980.92,54092.0,299370.32,817009.0,0.0,1052095.1490000002,298676.14,39059.0,337735.14,57200.0,1016366.869,977192.24,377141.68,0.0,38489.96,38489.96,2118407.529,256.39,2152544.049,0.0,381.53,1292834.65,0.0,1292834.65,817009.0,14.0,-620658.23,158015.66,56685.77,923100.24,1296476.05,36010.83,621780.02,766915.03,714708.3,0.0,950.57,694.1800000000001,39059.0,1335535.049,694.1800000000001,-38108.43,0.0,56685.77,2458815.57,2458815.57,715258.3500000001,ALBERT TULSA SL_resum
2010-01-01,627095.81,173047.34,1440564.83,54092.0,228605.55,1005770.25,0.0,1383364.83,228332.15,39044.14,267376.28900000005,57200.0,1267517.49,1077872.42,388222.28,0.0,38886.04,38886.04,2351970.34,583.2900000000001,2367030.52,0.0,698.59,1288692.5,0.0,1288692.5,1005770.25,12.0,-705661.7,237023.49,111858.98000000001,1023780.42,1322216.13,29823.19,821418.57,656919.0,994465.91,0.0,856.69,273.4,39044.14,1361260.27,273.4,-38187.45,0.0,111858.98000000001,2729257.33,2729257.33,656297.16,ALBERT TULSA SL_resum
2011-01-01,545641.25,143896.77000000002,1875814.22,54092.0,187750.55,1583858.25,0.0,1651582.03,204004.42,42735.41,246739.83,57200.0,1564885.26,1061618.55,478061.61,0.0,58556.93,58405.36,3519887.91,629.9,3539755.58,0.0,197.55,1100425.55,0.0,1100425.55,1583858.25,18.0,-1231095.89,316031.32,167032.19,1007526.549,1913161.919,29656.0,1195427.2,575297.25,1339323.97,0.0,-15623.97,-16253.869,42735.41,1955897.33,-16253.869,-58359.380000000005,0.0,167032.19,2976239.77,2976239.77,724847.42,ALBERT TULSA SL_resum
2012-01-01,544675.8600000001,84676.56,1486388.09,54092.0,196321.83,539951.58,0.0,1373003.24,193335.22,37271.07,230606.29,57200.0,1345526.6800000002,1064605.1590000002,372543.65,0.0,32938.489,32938.489,1903260.47,1448.21,1924133.93,0.0,102.24,1172718.53,0.0,1172718.53,539951.58,14.0,-781032.409,395039.15,56184.850000000006,1010513.16,1346911.279,29608.02,935541.02,574283.88,1020217.58,0.0,4434.820000000001,2986.609,37271.07,1384182.35,2986.609,-32836.249,0.0,56184.850000000006,2659106.62,2659106.62,603252.1789999999,ALBERT TULSA SL_resum
2013-01-01,533348.6699999999,80336.67000000001,889171.99,54092.0,98554.4,259069.21,0.0,742765.3300000001,96421.3,43161.08,139582.37999999998,121500.0,783928.659,1066738.26,297023.94,0.0,40468.43,40468.43,1352536.1800000002,680.4,1370012.24,0.0,120.85,1632902.0,0.0,1158855.02,319069.21,10.0,-674336.71,474046.98,24906.66,1012646.259,1067781.95,29560.04,812090.3500000001,562908.71,892427.02,0.0,2813.5,2133.1,43161.08,1110943.03,2133.1,-40347.58,0.0,24906.66,2522073.99,2522073.99,436727.17,ALBERT TULSA SL_resum
2014-01-01,617304.2799999999,81355.0,812890.25,54092.0,228401.41,292482.87,0.0,650166.74,226165.7,37915.52,264081.22000000003,111500.0,680311.74,1068973.97,255289.77,0.0,39684.26,39684.26,1467223.23,829.9,1486593.53,0.0,4834.35,1765536.3,0.0,1188689.32,332482.87,9.0,-674739.6699999999,576846.98,51223.51,1014881.97,1156195.14,29534.59,781258.71,646838.87,862613.71,0.0,3065.61,2235.71,37915.52,1194110.66,2235.71,-34849.91,0.0,51223.51,2578426.55,2578426.55,524205.339,ALBERT TULSA SL_resum
