Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,18030.36,38197.34,809455.71,279470.63,383626.28,0.0,0.0,41557.25,54669.69,489955.74,544625.429,0.0,41557.25,2132744.17,89226.75,140.14,469.84,469.84,649815.47,177130.47,915712.53,1799.76,14941.55,1495421.1900000002,0.0,1366804.6,0.0,7.0,-588079.63,128616.589,767898.4600000001,1853273.54,1059113.35,0.0,154102.36,18030.36,154102.36,0.0,504427.45,327296.98000000004,489955.74,1521795.71,328956.59,14471.72,1659.62,767898.47,2304876.9,2304876.9,650453.3400000001,APART HOTEL GOLF BEACH SA_resum
2000-01-01,18030.36,38197.34,486491.22,279470.63,283759.69,0.0,0.0,265130.468,65822.66,320688.85,386511.51,0.0,265130.468,2383349.51,86833.18000000001,483.09,0.02,0.02,676309.03,115790.66,852917.09,1737.15,11784.8,1970970.92,0.0,1893440.35,0.0,7.0,-588079.63,77530.569,221360.751,2103878.88,1059113.35,0.0,56082.27,18030.36,56082.27,0.0,332473.63,216682.97,320688.85,1521795.71,217937.03,11784.78,1254.06,221360.76,2457462.14,2457462.14,486383.55,APART HOTEL GOLF BEACH SA_resum
2001-01-01,18030.36,38197.34,150364.78,279465.0,291807.51,0.0,0.0,116097.95,84861.78,328869.01,413730.79,0.0,116097.95,2349890.41,109719.59,0.0,13362.77,13362.77,878691.37,111432.34,1061121.12,0.0,2871.8300000000004,3356554.16,0.0,3279023.6,0.0,10.0,-588079.63,77530.56,34266.83,2070425.41,1059113.35,0.0,1138998.1700000002,18030.36,1138998.1700000002,0.0,318378.07,206945.73,328869.01,1521795.71,206945.73,-10490.94,0.0,34266.829,3506918.94,3506918.94,526322.21,APART HOTEL GOLF BEACH SA_resum
2002-01-01,18030.36,38197.34,126236.82,279465.0,393461.35,0.0,0.0,99087.95,93242.15,446652.4900000001,539894.64,0.0,99087.95,2650109.61,121467.02,0.0,58667.71,58667.71,1051938.21,161656.49,1240115.7,73374.52,516.39,3937801.1,0.0,3860270.54,0.0,9.0,-588079.63,77530.56,27148.87,2370644.61,1059113.35,0.0,1395897.95,18030.36,1395897.95,0.0,388501.17,226844.68,446652.4900000001,1521795.71,300219.2,-58151.32,73374.52,27148.87,4064037.92,4064037.92,735252.57,APART HOTEL GOLF BEACH SA_resum
2003-01-01,18030.36,38197.34,71695.54,279465.0,509048.589,0.0,0.0,49037.33,96812.22,587122.53,683934.75,0.0,49037.33,3062345.98,170437.41999999998,0.0,22470.11,22422.34,1297281.15,221973.43,1486209.29,69279.5,277.88,3737879.12,0.0,3660348.56,0.0,13.0,-588079.63,77530.56,22658.209,2782880.98,1059113.35,0.0,729198.3200000001,18030.36,729198.3200000001,0.0,564930.3,342956.87,587122.53,1521795.71,412236.37,-22192.23,69279.5,22658.21,3809574.66,3809574.66,923881.78,APART HOTEL GOLF BEACH SA_resum
2004-01-01,18030.36,38197.34,56389.03,279465.0,379067.61,0.0,0.0,50675.24,98154.0,442895.45,541049.4500000001,0.0,50675.24,3343259.59,327258.74,151.73999999999998,11788.41,11545.61,1275384.23,151261.18,1454709.7,917.58,301.91,3748105.85,0.0,3670575.29,0.0,21.0,-588079.63,77530.56,5713.79,3063794.59,1059113.35,0.0,443204.93000000005,18030.36,443204.93000000005,0.0,431408.95,280147.77,442895.45,1521795.71,280913.61,-11486.5,765.8399999999999,5713.79,3804494.88,3804494.88,869133.14,APART HOTEL GOLF BEACH SA_resum
2005-01-01,18030.36,38197.34,65111.24,279465.0,411227.19,0.0,0.0,53507.76,99751.56,489187.93000000005,588939.49,0.0,53507.76,3654735.22,324493.22000000003,0.0,10308.75,10167.4,1264468.1900000002,167717.65,1465328.13,60.0,254.1,4192313.71,0.0,4114783.15,0.0,18.0,-588079.63,77530.56,11603.479,3375270.22,1059113.35,0.0,584659.37,18030.36,584659.37,0.0,479133.28,311415.63,489187.93000000005,1521795.71,311475.63,-10054.65,60.0,11603.48,4257424.95,4257424.95,913605.46,APART HOTEL GOLF BEACH SA_resum
2006-01-01,18630.36,38197.34,46656.68,279465.0,403071.54,0.0,0.0,36000.82,99716.22,476324.4900000001,576040.71,0.0,36000.82,3958090.54,374727.39,0.0,10825.92,10809.41,1332497.14,163345.18,1523859.049,1080.55,121.38,4127517.83,0.0,4048407.56,0.0,20.0,-588079.63,79110.27,10655.86,3678625.54,1059113.35,0.0,197453.61,18630.36,197453.61,0.0,465619.95,302274.77,476324.4900000001,1521795.71,303355.32,-10704.54,1080.55,10655.86,4174174.51,4174174.51,951953.52,APART HOTEL GOLF BEACH SA_resum
2007-01-01,18630.36,38197.34,482972.58,279465.0,480261.6,0.0,0.0,26240.36,122812.83,460167.92,582980.75,0.0,26240.36,4315539.31,371219.81,0.0,349.01,324.92,1378199.6800000002,172104.96,1589955.1800000002,2714.01,67020.81,4011402.65,0.0,3991792.58,0.0,16.0,-588079.63,19610.069,456732.22,4036074.309,1059113.35,0.0,160205.56,18630.36,160205.56,0.0,526839.72,354734.76,460167.92,1521795.71,357448.77,66671.8,2714.01,456732.22,4494375.23,4494375.23,1023911.29,APART HOTEL GOLF BEACH SA_resum
2008-01-01,18630.36,38197.34,784075.2799999999,279465.0,442970.24,0.0,0.0,11612.13,111619.09,462682.36,574301.4500000001,0.0,-26585.21,4646890.46,359414.63,0.0,4.89,0.0,1358016.84,142007.64,1521795.71,0.0,10681.32,3985586.61,0.0,3965976.54,0.0,14.0,-588079.63,19610.07,772463.15,4367425.46,1059113.35,0.0,65943.73,18630.36,104141.07,0.0,473358.79,331351.149,462682.36,1521795.71,331351.149,10676.43,0.0,32463.15,4769661.89,4769661.89,944392.509,APART HOTEL GOLF BEACH SA_resum
