Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,11873.78,72020.95,31214.21,3005.06,4272.849,270362.62,0.0,20994.26,3825.14,2321.16,6146.299,9798.31,30792.57,3684.29,34580.950000000004,0.0,2034.33,2034.33,133755.56,191.87,133755.56,0.0,352.75,13462.62,482.05,12980.58,76410.6,4.0,-41864.0,-0.009,421.64,679.23,195354.13,0.0,40992.54,11873.78,40992.54,0.0,639.59,447.72,2321.16,221251.22,447.71,-1681.58,0.0,421.65,44676.84,44676.84,41080.0,ARPUBA SL_resum
2000-01-01,11873.78,72020.95,34587.450000000004,3005.06,3243.79,270362.62,0.0,25399.86,2639.12,2467.8900000000003,5107.01,8794.02,34193.880000000005,4288.969999999999,39824.05,0.0,1850.91,1850.91,140365.76,259.14000000000004,140365.76,0.0,246.84,30490.460000000003,241.03,30249.43,79102.25,3.0,-41864.0,0.0,393.569,1283.91,195354.13,0.0,48915.17,11873.78,48915.17,0.0,863.8199999999999,604.6800000000001,2467.8900000000003,221251.22,604.6700000000001,-1604.08,0.0,393.57,65077.92,65077.92,45177.89,ARPUBA SL_resum
2001-01-01,9739.58,72020.95,31427.12,9030.0,3689.52,270362.62,0.0,20032.26,3012.07,1917.8,4929.87,10864.77,30897.03,10986.42,43948.55,0.0,2075.57,2075.57,145698.11000000002,290.34000000000003,145698.11000000002,0.0,1125.56,31498.29,0.0,31498.29,79178.88,4.0,-41864.0,0.0,530.09,1956.42,195354.13,0.0,42199.41,9739.58,42199.41,0.0,967.79,677.4499999999999,1917.8,221251.22,677.4499999999999,-950.01,0.0,530.09,62925.41,62925.41,50003.98,ARPUBA SL_resum
2002-01-01,7427.63,72020.95,18871.92,9030.0,8001.650000000001,270362.62,0.0,11281.02,7106.89,2559.62,9666.51,7319.76,18600.78,11881.17,48007.08,0.0,1622.91,1622.91,182255.92,383.48,182255.92,0.0,341.53,26268.93,0.0,26268.93,105769.42,3.0,-41864.0,0.0,271.139,2851.17,195354.13,0.0,25832.05,7427.63,25832.05,0.0,1278.24,894.76,2559.62,221251.22,894.76,-1281.38,0.0,271.14000000000004,45140.850000000006,45140.850000000006,58015.12,ARPUBA SL_resum
2003-01-01,4959.25,72020.95,41947.71,9030.0,5070.99,270362.62,0.0,34141.450000000004,4127.469999999999,-2003.68,2123.79,7806.26,41947.71,12824.69,61505.310000000005,0.0,1957.22,1957.22,205826.3,404.36,205826.3,4663.03,645.75,44883.62,0.0,44883.62,120003.95,4.0,-41864.0,0.0,0.0,3794.69,195354.13,0.0,69047.39,4959.25,69047.39,0.0,-3315.15,-3719.51,-2003.68,221251.22,943.52,-1311.47,4663.03,2760.72,86831.33,86831.33,68937.87900000002,ARPUBA SL_resum
2004-01-01,2429.61,72020.95,53445.11,9030.0,12047.46,270362.62,0.0,41326.19,11032.22,2321.71,13353.93,6868.620000000001,48194.810000000005,13839.93,66666.95999999999,0.0,1521.96,1521.96,292579.26,435.1,292579.26,0.0,650.59,36908.55,0.0,36908.55,190915.27,4.0,-41864.0,0.0,5250.299,4809.929999999999,195354.13,0.0,74084.12000000001,2429.61,74084.12000000001,0.0,1450.34,1015.239,2321.71,221251.22,1015.24,-871.37,0.0,5250.3,90353.66,90353.66,80671.48,ARPUBA SL_resum
2005-01-01,17124.62,72020.95,78931.58,9030.0,15008.07,270362.62,0.0,38128.92,13754.98,3293.19,17048.17,4920.77,43049.69,15093.02,86582.37000000001,0.0,1704.1899999999998,1704.1899999999998,340232.61,537.04,340232.61,0.0,201.13,53094.61,21720.0,31374.61,211340.45,4.0,-41864.0,0.0,35881.89,6063.02,195354.13,0.0,99808.55,17124.62,99808.55,0.0,1790.13,1253.09,3293.19,221251.22,1253.09,-1503.06,0.0,34625.58,132026.19,132026.19,103831.67,ARPUBA SL_resum
2006-01-01,12600.02,72020.95,94134.61,9030.0,28040.13,270362.62,0.0,71752.59,23322.24,7871.14,31193.38,925.95,72678.54,19810.91,82238.4,0.0,1563.03,1563.03,352069.41000000003,2021.95,352069.41000000003,0.0,431.73,40700.63,16913.460000000003,23787.17,210572.77,4.0,-41864.0,0.0,21456.07,10780.91,195354.13,0.0,102424.31,12600.02,102424.31,0.0,6739.84,4717.89,7871.14,221251.22,4717.89,-1131.3,0.0,20947.36,134835.24000000002,134835.24000000002,113863.51,ARPUBA SL_resum
2007-01-01,17057.649999999998,72020.95,143708.37,63210.0,45733.84,270362.62,0.0,69245.09,32719.26,18975.56,51694.82,353.74,69598.83,87005.48999999999,114902.45,0.0,2096.56,2096.56,458122.21,4338.2,458537.21,0.0,473.78,60980.380000000005,13136.46,47843.92,259333.21,4.0,-41864.0,0.0,74109.54,23795.49,195354.13,0.0,100625.61,17057.649999999998,100625.61,0.0,17352.780000000002,13014.579,18975.56,221251.22,13014.58,-1622.78,0.0,73868.57,204688.75,204688.75,167071.05,ARPUBA SL_resum
2008-01-01,19670.84,72020.95,221019.52,63210.0,47216.66,270362.62,0.0,89640.73999999999,25921.38,25897.09,51818.47,1003.57,18623.36,108300.77,127568.75,0.0,2092.9,2092.9,491613.84,7067.33,491613.84,0.0,4558.42,49774.09,0.0,49774.09,270688.01,6.0,-41864.0,200.0,130375.209,45090.77,195354.13,0.0,70801.05,19670.84,142822.0,0.0,28362.61,21295.28,25897.09,221251.22,21295.28,2465.52,0.0,10375.21,270793.61,270793.61,183945.639,ARPUBA SL_resum
