Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,502446.12,0.0,859974.57,360607.26,249256.81,0.0,0.0,81706.66,84693.61,246803.81,331497.42000000004,0.0,81706.66,835466.41,530862.939,14512.73,878.4499999999999,878.4499999999999,1509313.23,85034.93,1528498.97,4931.38,13254.13,1793275.71,0.0,577950.6699999999,77639.22,30.0,-1125104.1,1215325.04,778267.909,474859.15,2610917.77,0.0,1315337.75,502446.12,1315337.75,0.0,259179.49,174144.56,246803.81,3184307.36,164563.2,12375.68,-9581.349,778267.91,2653250.2800000003,2653250.2800000003,866033.129,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2000-01-01,502446.12,0.0,1081937.75,360607.26,270437.35,0.0,0.0,80545.4,101352.52,232487.29,333839.81,0.0,80545.4,839988.05,539794.59,4208.67,2697.82,2697.82,1611148.6800000002,84126.73,1639034.27,0.0,27630.76,1634602.45,0.0,491398.87,64279.93,31.0,-1125104.1,1143203.58,1001392.35,479380.79,2610917.77,0.0,1374106.04,502446.12,1374106.04,0.0,257420.23,173293.5,232487.29,3184307.36,169084.83,24932.94,-4208.67,1001392.35,2716540.2,2716540.2,897056.489,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2001-01-01,658384.31,0.0,885815.21,360600.0,298063.9,0.0,0.0,70432.26,101128.91,297605.38,398734.29,0.0,70432.26,699755.23,556184.7899999999,0.0,28268.26,3626.76,1789008.85,101418.75,1845690.26,0.0,29016.62,1565979.35,0.0,404268.39,72221.14,31.0,-1125104.1,1161710.96,815382.9500000001,339155.23000000004,2610917.77,0.0,1093655.02,658384.31,1093655.02,0.0,298353.74,196934.99,297605.38,3184307.36,196934.99,748.3599999999999,0.0,815382.9500000001,2451794.56,2451794.56,959294.2,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2002-01-01,634343.8300000001,0.0,1074151.34,360600.0,307962.08,0.0,0.0,87448.11,94588.54,369227.06,463815.6,0.0,87448.11,777928.7699999999,574823.3300000001,8573.17,69165.14,69165.14,2032671.51,100661.8,2067083.02,0.0,22546.59,1596401.26,0.0,321151.63,83117.59,29.0,-1125104.1,1275249.63,986703.23,417328.77,2610917.77,0.0,1258280.0,634343.8300000001,1258280.0,0.0,322608.51,221946.71,369227.06,3184307.36,213373.54,-46618.55,-8573.17,986703.23,2670552.6,2670552.6,1052612.3490000002,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2003-01-01,734343.8300000001,0.0,1560123.56,360600.0,330466.89,0.0,0.0,86872.19,94588.54,339801.53,434390.07,0.0,86872.19,969007.12,640676.42,0.0,4763.1900000000005,4763.1900000000005,2027237.89,112022.63,2050932.619,0.0,12862.64,967132.82,0.0,251609.11,69772.5,30.0,-1125104.1,715523.71,1473251.37,608407.12,2610917.77,0.0,823905.43,734343.8300000001,823905.43,0.0,347900.98000000004,235878.349,339801.53,3184307.36,235878.35,8099.45,0.0,1473251.37,2527256.38,2527256.38,1087929.13,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2004-01-01,643574.21,0.0,1227826.22,360600.0,347586.76,0.0,0.0,93412.84,95291.75,350302.83,445594.58,0.0,93412.84,991302.13,649238.7699999999,0.0,1191.65,1191.65,2275727.54,123820.76,2289360.24,8817.02,18187.57,1026506.45,0.0,156317.36,126278.97,28.0,-1125104.1,870189.09,1134413.38,630702.13,2610917.77,0.0,619456.3300000001,643574.21,619456.3300000001,0.0,367298.75,243477.99,350302.83,3184307.36,252295.01,16995.920000000002,8817.02,1134413.38,2254332.67,2254332.67,1121837.94,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2005-01-01,100000.0,0.0,605151.01,360600.0,397330.31,0.0,0.0,12620.1,95291.75,467082.1,562373.8500000001,0.0,12620.1,1293340.6900000002,779977.43,21066.58,26136.35,26136.35,2557184.7,153389.8,2588519.14,1570.4,33978.78999999999,985900.91,0.0,61025.61,143812.65,32.0,-1125104.1,924875.3,592530.91,932740.69,2610917.77,0.0,197711.23,100000.0,197711.23,0.0,474924.54,321534.74,467082.1,3184307.36,302038.56,7842.44,-19496.18,592530.91,1591051.92,1591051.92,1356833.89,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2006-01-01,734343.8300000001,0.0,1425650.04,360600.0,454469.51,0.0,0.0,247368.05,22483.61,732736.6799999999,755220.2899999999,0.0,247368.05,1425326.59,823638.3600000001,73042.0,28579.460000000003,28579.460000000003,2969620.6,223361.45,3012777.12,3387.54,20844.59,1274989.09,0.0,55988.00833333333,151691.44,30.0,-1125104.1,1274989.09,1178281.99,1064726.59,2610917.77,0.0,540968.71,734343.8300000001,540968.71,0.0,725001.81,501640.36,732736.6799999999,3184307.36,431985.9,-7734.87,-69654.45999999999,1178281.99,2700639.13,2700639.13,1530048.78,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2007-01-01,734343.8300000001,0.0,459277.83,360600.0,395237.8,0.0,0.0,350530.49000000005,18132.5375,555221.4500000001,555221.4500000001,0.0,350530.49000000005,1437513.03,1096475.26,-1235.92,39075.44,39075.44,3308213.47,152522.58,3354378.01,1038.55,46288.54,2184658.67,0.0,50950.40666666667,424980.7,32.0,-1125104.1,2184658.67,108747.34,1076913.03,2610917.77,0.0,472079.64,734343.8300000001,472079.64,0.0,562434.55,409911.97,555221.4500000001,3184307.36,412186.44,7213.1,2274.4700000000003,108747.34,2643936.5,2643936.5,1700259.72,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2008-01-01,734343.8300000001,376474.96,674299.7699999999,360600.0,336006.09,371846.63,0.0,193121.89,13781.465,573389.59,573389.59,0.0,-183353.07,1251053.12,1485813.6700000002,0.0,41673.49,41673.49,3556153.99,165967.01,3556153.99,0.0,47791.0,1932882.94,0.0,45912.805,371846.63,32.0,-1125104.1,1932882.94,481177.88,890453.12,2610917.77,0.0,245310.8,734343.8300000001,621785.76,0.0,579507.1,413540.089,573389.59,3184307.36,413540.089,6117.51,0.0,481177.88,2607182.71,2607182.71,2106994.26,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2009-01-01,772343.8300000001,382720.51,1215711.12,360600.0,276774.38,348528.18,0.0,230384.81,9430.3925,400994.27,400994.27,0.0,-152335.7,1126533.37,1578423.94,0.0,30963.91,30963.91,3499561.12,106601.61,3499885.87,0.0,12058.76,1261113.13,0.0,40875.20333333334,348528.18,36.0,-1171939.48,1261113.13,985326.31,765933.37,2750363.42,0.0,195226.54,772343.8300000001,577947.05,0.0,382089.12,275487.51,400994.27,3151357.69,275487.51,-18905.15,0.0,985326.31,2476824.25,2476824.25,1991476.97,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2010-01-01,772343.8300000001,253009.76,1057509.55,360600.0,217542.67,271017.56,0.0,241210.43,5079.320000000001,313526.61,318605.93000000005,0.0,-11799.33,1038996.72,1662784.45,0.0,36282.24,36282.24,3353052.46,81552.47,3353092.46,0.0,16771.45,1307636.3,0.0,35837.60166666667,271017.56,38.0,-1100684.52,1307636.3,816299.12,678396.72,2768548.2890000003,0.0,300795.54,772343.8300000001,553805.3,0.0,294015.82,212463.35,313526.61,3082074.9,212463.35,-19510.789,0.0,816299.12,2365145.85,2365145.85,1998161.83,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2011-01-01,336343.83,177852.21000000002,1218383.0,360600.0,186283.33,258973.37,0.0,218800.1,7200.0,216953.55,224153.55,0.0,40947.89,1218080.05,1623448.45,0.0,522.65,522.65,3217548.92,59694.45,3218192.42,0.0,22346.88,865551.23,0.0,30800.0,258973.37,38.0,-1111617.05,834751.23,999582.9,857480.049,2742265.5,0.0,351658.14,336343.83,529510.3500000001,0.0,238777.78,179083.33,216953.55,2959219.05,179083.33,21824.23,0.0,999582.9,2083934.23,2083934.23,1869948.88,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2012-01-01,336343.83,219167.4,889838.19,360600.0,163337.759,217026.38,0.0,554608.09,14400.0,196230.73,210630.73,0.0,335440.689,1367017.81,1664499.22,0.0,16280.06,16280.06,3330075.81,49605.01,3337869.81,0.0,18592.1,1570439.22,0.0,16400.0,217026.38,41.0,-1245713.48,1554039.22,335230.1,1006417.81,2924612.699,0.0,537748.37,336343.83,756915.7699999999,0.0,198542.77,148937.759,196230.73,3120843.43,148937.759,2312.039,0.0,334347.43000000005,2460277.41,2460277.41,1893722.05,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2013-01-01,365204.81,11656.32,1137955.37,360600.0,88623.5695,163802.87,0.0,509243.63,9000.0,82429.16,82429.16,0.0,497587.31,1444685.23,1429486.3214285714,0.0,1369.75,1369.75,327634.36,33286.04,327863.16,0.0,29894.05,725095.1699999999,0.0,16400.0,163802.87,35.285714285714285,-81631.13,708695.1699999999,628711.74,1084085.23,81631.13,0.0,41504.18,365204.81,53160.5,0.0,110953.46,77667.42,82429.16,164060.289,77667.42,28524.3,0.0,628711.74,1863050.54,1863050.54,112323.21,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2014-01-01,110040.0,1936.13,1183160.36,360600.0,13909.38,44487.67,0.0,486625.95,3600.0,-6890.59,-3290.59,0.0,484689.82,1454994.61,1194473.4228571428,0.0,1275.79,1275.79,140549.36,4289.73,140549.36,0.0,22765.49,420384.96,0.0,12800.0,44487.67,29.57142857142857,-99352.28,407584.96,696534.41,1094394.6090000002,102952.28,0.0,36574.58,110040.0,38510.71,0.0,14599.11,10309.38,-6890.59,96061.689,10309.38,21489.7,0.0,696534.41,1603545.32,1603545.32,19474.9,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2015-01-01,110040.0,449.23,1055730.36,360600.0,9131.92,4327.27,0.0,315867.01,3600.0,-1825.56,1774.44,0.0,315417.78,1460526.53,959460.5242857143,0.0,0.0,1168.694,51664.28,2151.3,53369.6,0.0,9508.78,558758.2,0.0,9200.0,4327.27,23.857142857142858,-47267.89,549558.2,739863.3500000001,1099926.53,50867.89,0.0,43472.8,110040.0,43922.03,0.0,7683.22,5531.92,-1825.56,49042.33,5531.92,9508.78,0.0,739863.3500000001,1614488.56,1614488.56,11283.22,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2016-01-01,110040.0,238.28,1144116.96,360600.0,13329.43,0.0,0.0,405447.26,3600.0,8159.5,11759.5,750.0,405958.98,1470255.96,724447.6257142856,0.0,0.0,1061.598,26175.47,3009.8100000000004,27880.79,0.0,4579.74,533158.1989999999,0.0,5600.0,2176.135,18.142857142857142,-16121.29,527558.1989999999,737919.7,1109655.96,19721.29,0.0,96740.92,110040.0,96979.2,0.0,12739.240000000002,9729.43,8159.5,27880.79,9729.43,4579.74,0.0,725107.2699999999,1677275.16,1677275.16,16339.240000000002,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2017-01-01,110040.0,30.25,671318.1699999999,360600.0,5573.269,25.0,0.0,502628.64,1800.0,1320.32,3120.3190000000004,750.0,503348.39,1474029.23,489434.72714285715,0.0,0.0,954.502,86143.12000000001,1024.42,87848.43999999999,0.0,3477.3700000000003,984886.2,0.0,3800.0,25.0,12.428571428571427,-84703.12000000001,981086.2,167939.53,1113429.23,86503.12000000001,0.0,72104.89,110040.0,72135.14,0.0,4797.6900000000005,3773.269,1320.32,87823.43999999999,3773.269,3477.3700000000003,0.0,157501.99,1656204.37,1656204.37,6597.6900000000005,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2018-01-01,110040.0,39.68,606741.75,360600.0,4610.25,0.0,0.0,436298.63,1800.0,85898.47,87698.47,750.0,437008.95,1476839.48,254421.82857142854,0.0,85500.0,847.406,144183.52,1424.1899999999998,145888.84,0.0,3835.97,1034392.6,0.0,2000.0,76.0,6.714285714285715,-58190.37,1032392.6,169693.12,1116239.48,59990.37,0.0,54215.19,110040.0,54254.87,0.0,4234.44,2810.249,85898.47,145888.84,2810.249,-81664.03,0.0,161245.43,1641134.35,1641134.35,6034.44,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
2019-01-01,110040.0,0.0,432487.51,360600.0,2241.62,0.0,0.0,304603.34,2000.0,567.22,2567.22,750.0,305353.34,1469141.54,19408.93,0.0,740.31,740.31,127732.64,1132.1899999999998,129437.96,0.0,1546.9,1158392.6,0.0,2000.0,127.0,1.0,-107461.81,1158392.6,127134.17,1108541.54,128870.739,0.0,11698.57,110040.0,11698.57,0.0,1373.81,241.619,567.22,129437.96,241.619,806.59,0.0,120127.01,1590880.11,1590880.11,23523.05,ASSESSORIA D'EMPRESES RIBAS-ALVAREZ SOCIEDAD LIMITADA_resum
