Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,27791.76,7931.56,121621.43,60101.21,21376.62,4258267.78,5773.88,17563.75,757.54,31974.54,32732.08,58391.0,75954.75,57756.22,69064.51,0.0,11355.45,11355.45,1696105.9,4317.07,1799383.029,0.0,373.32,134190.049,3379.02,3956.42,1667208.14,5.0,-69516.53,130233.62900000002,45666.679,-2344.989,224459.55,6750.0,170263.51,27791.76,170263.51,0.0,20619.08,20619.08,31974.54,228953.409,20619.08,-11355.45,0.0,45666.68,255811.49,255811.49,101796.579,AUSELLE I FILLS SL_resum
2000-01-01,42771.28,7931.56,166065.18,60101.21,23135.63,4258267.78,5773.88,35108.17,602.16,38535.09,39137.25,58391.0,93499.17,80289.69,76888.61,0.0,11684.55,11684.55,1985662.39,4317.07,2091577.92,0.0,373.32,170959.5,3379.02,5176.23,1938031.91,5.0,-69516.53,165783.27000000002,72566.01,20188.480000000003,224459.55,6750.0,213963.71,42771.28,213963.71,0.0,26850.54,22533.47,38535.09,228953.409,22533.47,-11684.55,0.0,72566.01,337024.68,337024.68,116025.86,AUSELLE I FILLS SL_resum
2001-01-01,26514.38,7931.56,155304.93,60100.0,6160.610000000001,4258267.78,5773.88,28297.4,763.9499999999999,15003.7,15767.65,55684.9,83982.3,85686.35,70002.58,5513.52,2786.16,2664.88,2167964.86,1307.35,2292339.25,0.0,373.32,170195.56,3379.02,4412.28,2160492.97,2.0,-69516.53,165783.28,71322.63,25586.35,224459.55,6750.0,213299.75,26514.38,213299.75,0.0,12217.54,10910.19,15003.7,228953.409,5396.660000000001,-2786.17,-5513.52,71322.63,325500.49000000005,325500.49000000005,80135.42,AUSELLE I FILLS SL_resum
2002-01-01,8988.720000000001,7931.56,129966.8,60100.0,8591.130000000001,4258267.78,5773.88,1405.59,971.9,12147.14,13119.039,56164.63,57570.219,93305.57,74978.48999999999,248.48,6721.38,6721.38,2292897.08,4138.27,2429178.81,6206.9,373.32,174043.19,3379.02,8259.91,2280113.99,2.0,-69516.53,165783.28,72396.58,33205.57,224459.55,6750.0,201715.7,8988.720000000001,201715.7,0.0,5799.08,1660.809,12147.14,228953.409,7619.23,-6348.06,5958.42,72396.58,304009.99000000005,304009.99000000005,94429.27,AUSELLE I FILLS SL_resum
2003-01-01,714.4,7931.56,63315.19,60100.0,7659.76,4258267.78,5773.88,1256.66,2349.21,10895.28,13244.49,55009.57,56266.23,98616.12,81233.54,105.75,3923.76,3923.76,2359953.1,1942.0,2504682.49,3.77,383.01,189856.11,3379.02,24072.83,2336030.16,3.0,-69516.53,165783.279,7048.96,38516.119,224459.55,6750.0,153840.78,714.4,153840.78,0.0,7354.53,5412.53,10895.28,228953.409,5310.55,-3540.75,-101.98,7048.96,253171.3,253171.3,94759.06,AUSELLE I FILLS SL_resum
2004-01-01,13687.15,7931.56,58465.92,60100.0,6578.41,4258267.78,5773.88,2035.83,4780.07,2752.8,7532.87,55223.45,57259.28,100414.46,85178.56,0.0,305.18,305.18,2842767.74,770.72,3010160.56,0.0,121.44,204000.2,3379.02,34837.9,2845581.68,3.0,-69516.53,165783.28,1206.64,40314.46,224459.55,6750.0,162051.66,13687.15,162051.66,0.0,2569.06,1798.34,2752.8,228953.409,1798.34,-183.74,0.0,1206.64,262466.12,262466.12,92832.87,AUSELLE I FILLS SL_resum
2005-01-01,26659.9,7931.56,88613.40999999999,60100.0,17356.329999999998,4258267.78,5773.88,4660.5,10267.56,8112.98,18380.54,49224.78999999999,53885.28999999999,107503.23,99419.43,0.0,5.68,5.68,3378203.39,2748.3900000000003,3552792.39,1525.71,204.15,215643.96,2515.06,45678.7,3337800.83,3.0,-69516.53,167450.2,34728.119999999995,47403.22899999999,224459.55,6750.0,196754.14,26659.9,196754.14,0.0,8311.449999999999,5563.06,8112.98,228953.409,7088.77,198.47,1525.71,34728.119999999995,304257.37,304257.37,119529.829,AUSELLE I FILLS SL_resum
2006-01-01,39632.65,7931.56,74913.56,60100.0,17127.47,4258267.78,5773.88,7677.64,11733.82,4611.42,16345.240000000002,57160.13,64837.77,112896.88,125486.51,0.0,877.7649999999999,877.7649999999999,3740504.63,2311.57,3936414.27,3093.8,166.11333333333334,199112.12,1651.1,41018.76,3707499.59,4.0,-69516.53,156442.259,10075.79,52796.880000000005,224459.55,6750.0,161128.8,39632.65,161128.8,0.0,4611.42,2299.8500000000004,4611.42,228953.409,5393.650000000001,-775.6899999999999,3093.8,10075.79,274025.68,274025.68,144925.55,AUSELLE I FILLS SL_resum
2007-01-01,52605.4,7931.56,76020.73999999999,60100.0,11184.28,4258267.78,5773.88,10832.62,16872.47,-8928.2,7944.269999999999,65188.12,76020.73999999999,107208.69,141767.0,0.0,1749.85,1749.85,3832690.51,-1896.06,4035990.15,3093.8,128.07666666666665,222005.74,787.14,114190.24,3787826.99,5.0,-69516.53,107028.359,0.0,47108.69,224459.55,6750.0,138212.38899999997,52605.4,138212.38899999997,0.0,-10678.05,-8781.99,-8928.2,228953.409,-5688.1900000000005,-1749.85,3093.8,15630.02,298026.48000000004,298026.48000000004,152805.07,AUSELLE I FILLS SL_resum
2008-01-01,41935.16,7931.56,77809.87000000001,60100.0,22590.68,4258267.78,5773.88,4475.73,21008.65,4493.860000000001,25502.51,52149.89,48694.06,133702.609,133934.37,0.0,2474.52,2474.52,4267609.639,527.3499999999999,4487221.188999999,0.0,90.04,213446.93,784.3833333333333,115832.02,4258267.78,5.0,-69516.53,97614.91,21184.25,73602.60900000001,224459.55,6750.0,100937.47,48685.16,108869.03,0.0,2109.38,1582.03,4493.860000000001,228953.409,1582.03,-2384.48,0.0,21184.25,291256.8,291256.8,159526.919,AUSELLE I FILLS SL_resum
2009-01-01,30706.95,13042.05,66134.399,60100.0,24891.31,3283703.87,5773.88,404.54,20225.24,8676.65,28901.89,62135.89,49498.380000000005,126274.88,117421.57,0.0,2455.23,2455.23,3289924.7,1555.35,3487698.62,0.0,0.0,132193.16,781.6266666666667,95606.78,3283703.87,4.0,-57671.289,36586.380000000005,3593.9700000000003,66174.88,195318.1,6750.0,15779.8,37456.95,34595.73,0.0,6221.42,4666.07,8676.65,203994.75,4666.07,-2455.23,0.0,3593.9700000000003,198327.56,198327.56,146323.46,AUSELLE I FILLS SL_resum
