Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,592929.99,569639.9,333088.5,126212.54,11720.55,2162424.88,0.0,87074.89,7815.13,30405.71,38220.84,333088.5,333088.5,138515.12,72852.06,0.0,28807.06,28807.06,2228416.5,2102.92,2238249.79,4330.98,78.71000000000001,160137.41999999998,2009.81,156625.08,2030371.44,5.0,-186646.62,1502.53,0.0,12302.58,670091.3,25097.62,354710.8,592929.99,354710.8,0.0,1677.37,-425.55,30405.71,825191.02,3905.42,-28728.34,4330.98,64910.01,493225.91,493225.91,115482.59,AUTO RECORD PADRO SL_resum
2000-01-01,592929.99,569639.9,535999.99,126212.54,20614.04,2162424.88,0.0,87074.89,8540.6,55938.47,64479.07,535999.99,535999.99,150588.56,79421.28,195.12,41624.22,41624.22,2564438.04,6501.08,2571486.21,5.53,4449.860000000001,189280.57,1339.87,186438.17,2323937.34,5.0,-186646.62,1502.529,0.0,24376.02,670091.3,25097.62,574692.0,592929.99,574692.0,0.0,18764.11,12263.03,55938.47,825191.02,12073.44,-37174.36,-189.59,64910.01,725280.56,725280.56,148160.62,AUTO RECORD PADRO SL_resum
2001-01-01,592929.99,569639.9,649500.0,126210.0,34758.038,2162424.88,0.0,87074.89,16593.348,61339.52,77932.868,465565.17,465565.17,168753.24000000002,79958.34,730.8599999999999,53912.97,53912.97,2874385.34,7601.89,2877594.01,647.58,18423.31,606948.51,421134.4900000001,184311.49,2602714.99,5.0,-186646.62,1502.53,183934.83,42543.239,670091.3,25097.62,494765.28,592929.99,494765.28,0.0,25849.86,18247.97,61339.52,825191.02,18164.69,-35489.66,-83.279,64910.01,1256448.51,1256448.51,176231.238,AUTO RECORD PADRO SL_resum
2002-01-01,596168.05,569639.9,966984.23,126210.0,50762.49,2162424.88,0.0,87074.89,25751.37,72982.6,98733.97,769134.75,856209.64,193764.36,77396.59,1054.65,74608.38,74608.38,3314387.9,8798.53,3314935.31,6188.39,30301.69,750022.6799999999,435869.95,312650.2,3019455.13,6.0,-186646.62,1502.53,110774.589,67554.35900000001,670091.3,25097.62,927074.5,596168.05,927074.5,0.0,28675.91,19877.379,72982.6,825191.02,25011.12,-44306.69,5133.74,155626.63,1717006.91,1717006.91,211565.99,AUTO RECORD PADRO SL_resum
2003-01-01,559744.2,569639.9,1103857.95,126210.0,157036.72,2162424.88,0.0,78028.09666666666,55418.05,117786.24,173204.29,746321.57,746321.57,295383.03,134988.44,18418.44,68941.37000000001,68941.37000000001,3814799.49,46563.06,3820017.06,51586.14,66169.16,772862.13,427596.47,345265.66,3283383.79,7.0,-186646.62,0.0,357536.38,169173.03,670091.3,25097.62,1021592.85,559744.2,1021592.85,0.0,115014.03,68450.97,117786.24,825191.02,101618.67,-2772.21,33167.69899999999,246343.25,1876720.08,1876720.08,407529.589,AUTO RECORD PADRO SL_resum
2004-01-01,934253.65,569639.9,1401711.98,200025.0,187826.94,2162424.88,0.0,68981.30333333333,71177.45,217319.02,288496.47000000003,874570.4400000001,874570.4400000001,412032.52,196415.3,3306.9300000000003,64271.310000000005,64271.310000000005,4048044.34,55238.62,4133408.56,16172.07,5975.26,1173869.77,765434.12,408327.47,3393322.59,7.0,-186646.62,108.18,527141.54,212007.52,670091.3,25097.62,1229295.58,934253.65,1229295.58,0.0,159022.97,103784.35,217319.02,825191.02,116649.49,-58296.05,12865.14,321056.94,2575581.75,2575581.75,503752.17,AUTO RECORD PADRO SL_resum
2005-01-01,833892.26,569639.9,1765658.1700000002,200025.0,219613.98,2162424.88,0.0,59934.51,84207.28,237210.45,321417.73000000004,1265051.61,1324986.12,547439.22,285135.33,8084.49,72474.61,72474.61,5239993.35,62295.0,5341768.79,35951.2,5099.150000000001,1245675.56,744829.25,500583.23,4473678.4,11.0,-186646.62,263.08,440672.049,347414.22000000003,670091.3,25097.62,1630002.25,833892.26,1630002.25,0.0,169834.99,107539.989,237210.45,825191.02,135406.7,-67375.45999999999,27866.71,247133.85,3011333.73,3011333.73,639518.92,AUTO RECORD PADRO SL_resum
2006-01-01,746866.61,569639.9,2053967.04,200025.0,197143.65,2162424.88,0.0,34778.18,88105.72,230353.15,318458.87,1583124.7,1617902.88,656477.15,356570.21,1061.98,101312.63,101312.63,5660825.1,48037.06,5795192.31,24413.69,4682.76,1294621.7,748072.8200000001,546285.8,4779085.79,11.0,-186646.62,263.079,436064.16,456452.15,670091.3,25097.62,1945244.98,746866.61,1945244.98,0.0,133723.28,85686.22,230353.15,825191.02,109037.93,-96629.87,23351.71,310521.7,3348588.74,3348588.74,703063.55,AUTO RECORD PADRO SL_resum
2007-01-01,733541.13,569639.9,2195075.07,200025.0,171659.7,2162424.88,0.0,18873.63,123207.56,175927.3,299134.86,1900653.06,1919526.69,704929.2899999999,433829.92,6255.429999999999,118389.94,118389.94,5164450.04,11746.53,5310782.34,4572.87,4343.87,1460451.71,810392.54,649796.09,4293633.2,12.0,-186646.62,263.079,275548.38,504904.29,670091.3,25097.62,2217056.36,733541.13,2217056.36,0.0,61881.23,50134.7,175927.3,825191.02,48452.14,-114046.07,-1682.56,172841.41,3655526.78,3655526.78,735626.0889999999,AUTO RECORD PADRO SL_resum
2008-01-01,553131.39,569639.9,2240287.37,200025.0,145030.81999999998,2162424.88,1522597.95,420.45,130764.67,155099.72,285864.39,2073694.06,1504474.6090000002,739046.2899999999,352680.01,0.0,137967.21000000002,137967.21000000002,2906074.16,4755.38,2987615.9,0.0,1889.02,1305219.81,0.0,1304932.6900000002,2365401.7800000003,8.0,-186646.62,287.12,166172.86,539021.2899999999,670091.3,25097.62,135994.03,578229.01,2228231.88,0.0,19021.53,14266.149,155099.72,825191.02,14266.149,-136078.19,0.0,130679.88,3545507.18,3545507.18,640433.42,AUTO RECORD PADRO SL_resum
