Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,395765.7,9682.19,1629259.36,90151.82,36035.479,4109758.87,0.0,62400.11,10224.63,74504.87000000001,84729.5,1565203.07,1627603.1800000002,133571.91,53692.61,0.0,38552.55,38552.55,297355.07,10231.92,297355.07,0.0,90.46,1042974.44,13001.58,961144.95,121907.35,8.0,315312.85,68827.909,1656.1799999999998,43420.09,253863.84,0.0,2142896.19,395765.7,2142896.19,0.0,36042.77,25810.85,74504.87000000001,416185.29,25810.85,-38462.09,0.0,1315.65,2672233.79,2672233.79,138512.56,AVET BLAU SL_resum
2000-01-01,392005.15,9682.19,283492.66,90151.82,32674.71,4109758.87,0.0,66241.259,14903.68,60896.0,75799.68000000001,168147.17,234388.429,151342.93,156647.09,150.25,39694.880000000005,39694.880000000005,380540.2,7479.7,380900.81,0.0,4199.87,858656.3500000001,2423.77,790109.22,111657.86,8.0,315312.85,66123.35900000001,49104.23,61191.109,253863.84,0.0,598800.92,392005.15,598800.92,0.0,25400.980000000003,17921.280000000002,60896.0,416185.29,17771.03,-35495.02,-150.25,49104.23,1142149.0,1142149.0,236496.38,AVET BLAU SL_resum
2001-01-01,453089.18,9682.19,481398.54,90151.82,28407.71,4109758.87,0.0,15968.22,14190.41,61809.42,75999.83,465430.32,481398.54,165560.24000000002,175568.65,0.0,46564.77,46564.77,339415.4,6093.13,339415.4,667.3299999999999,4398.45,942666.94,12128.83,790790.7799999999,57374.11,8.8,315312.85,139747.32899999997,0.0,75408.419,253863.84,0.0,805416.06,453089.18,805416.06,0.0,19643.1,13549.969,61809.42,416185.29,14217.3,-42166.32,667.3299999999999,35018.48333333334,1424065.48,1424065.48,256634.259,AVET BLAU SL_resum
2002-01-01,1007219.33,9682.19,1219571.91,90151.82,47745.24,4109758.87,0.0,46361.58,17250.16,91599.74,108849.9,1173210.33,1219571.91,196055.32,261125.88,1222.32,49343.95,49343.95,986306.93,13047.75,986306.93,373.4,2135.96,777427.98,12020.240000000002,588611.9500000001,565503.1699999999,9.6,315312.85,176795.79,0.0,105903.5,253863.84,0.0,793725.24,1007219.33,793725.24,0.0,44391.75,31344.0,91599.74,416185.29,30495.08,-47207.99,-848.92,20932.736666666668,1996999.89,1996999.89,371262.82,AVET BLAU SL_resum
2003-01-01,839437.48,9682.19,1578916.56,90151.82,116782.25,4109758.87,0.0,47889.49,20559.82,194947.03,215506.85,1524180.08,1572069.57,292277.75,283372.44,9592.96,46302.880000000005,46302.880000000005,1845831.77,44877.33,1845831.77,394.69,1653.88,519109.02,12020.240000000002,447995.64,1294705.24,10.4,315312.85,59093.139,6846.989,202125.93,253863.84,0.0,966310.35,839437.48,966310.35,0.0,150298.03,105420.7,194947.03,416185.29,96222.43,-44649.0,-9198.269,6846.99,2098025.58,2098025.58,491334.9,AVET BLAU SL_resum
2004-01-01,1656469.58,9682.19,3565223.66,90151.82,139085.25,4109758.87,0.0,59846.05,31293.72,204358.33,235652.05,3500728.06,3560574.11,400069.28,308966.93000000005,5354.23,42589.89,42589.89,1209496.02,51106.84,1209496.02,205.71,2278.4500000000003,829821.55,12020.240000000002,773548.41,601490.53,11.2,315312.85,44252.9,4649.55,309917.46,253863.84,0.0,2338506.35,1656469.58,2338506.35,0.0,164046.88999999998,112940.05,204358.33,416185.29,107791.53,-40311.44,-5148.519,4649.55,4395045.21,4395045.21,541748.91,AVET BLAU SL_resum
2005-01-01,2187320.68,9682.19,3757505.91,90151.82,127480.91,4109758.87,0.0,139506.87,42372.75,168171.59,210544.34,3517336.19,3656843.06,485177.44,373229.56,22.54,48722.9,48722.9,3188872.45,36504.21,3188872.45,2.95,2183.27,760948.19,12020.240000000002,702311.97,2539169.02,12.0,315312.85,46615.979,100662.85,395025.62,253863.84,0.0,1845955.98,2187320.68,1845955.98,0.0,121631.96,85127.75,168171.59,416185.29,85108.16,-46539.63,-19.59,100662.85,4518454.1,4518454.1,585937.58,AVET BLAU SL_resum
2006-01-01,2673754.04,9682.19,3100118.04,90151.82,109292.74,4109758.87,0.0,515425.91,44590.94,146156.91999999998,190747.86,2582044.61,3097470.52,549879.24,493149.63,286.6,57408.64,57408.64,3859499.07,27429.35,3859499.07,890.15,2779.32,936235.8,12020.240000000002,901419.58,3088414.27,15.0,315312.85,22795.980000000003,2647.52,459727.42,253863.84,0.0,812720.56,2673754.04,812720.56,0.0,91527.6,64098.25,146156.91999999998,416185.29,64701.8,-54629.32,603.55,2647.52,4036353.84,4036353.84,687280.3600000001,AVET BLAU SL_resum
2007-01-01,4753882.51,9682.19,4042609.26,85151.82,103807.93,4109758.87,0.0,269523.31,44678.91,127831.1,172510.01,3773085.95,4042609.26,604008.26,533672.449,677.3,57217.71,57217.71,1702675.15,19429.67,1702675.15,7096.73,1525.87,2141910.39,12020.240000000002,2120022.85,885655.3500000001,15.0,315312.85,9867.299,0.0,518856.44,253863.84,0.0,826628.88,4753882.51,826628.88,0.0,72139.26,52709.59,127831.1,416185.29,59129.02,-55691.84,6419.429,6250.403333333334,6184519.649999999,6184519.649999999,714127.759,AVET BLAU SL_resum
2008-01-01,3359079.26,9682.19,2518134.75,85151.82,98279.49,4109758.87,0.0,994952.76,42429.16,162321.44999999998,204750.61,1504231.98,2489502.55,659858.59,526747.53,0.0,85741.65000000001,85741.65000000001,4525944.159999999,20888.05,4525944.159999999,0.0,158.58,2179353.18,0.0,2095895.64,4795624.28,5.0,315312.85,83457.54,18950.01,574706.7699999999,253863.84,0.0,668867.89,3359079.26,678550.08,0.0,76738.38,55850.33,162321.44999999998,416185.29,55850.33,-85583.069,0.0,9853.286666666667,4697487.930000001,4697487.930000001,731656.72,AVET BLAU SL_resum
2009-01-01,2915980.83,67450.82,2062545.26,85151.82,88646.28,1246086.779,0.0,222353.67,41550.02,126450.16,168000.18,1780191.59,1935094.44,706954.8500000001,373316.75,0.0,68617.06,68617.06,1908465.56,15698.75,1908465.56,0.0,4961.91,2182895.18,0.0,2056245.62,2657652.11,11.0,-121061.849,126649.56,60000.0,621803.03,535928.62,0.0,555053.9400000001,2915980.83,622504.76,0.0,62795.01,47096.26,126450.16,662378.7799999999,47096.26,-63655.149,0.0,13456.17,4245440.44,4245440.44,546278.8400000001,AVET BLAU SL_resum
