Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,94839.33,639934.49,18030.36,92332.93,0.0,0.0,523081.36,13133.92,123583.9,136717.81999999998,0.0,523081.36,140713.08,354496.85,1532.14,7464.5,7463.69,4239311.37,35956.78999999999,4240506.26,0.0,568.55,59362.25,3505.22,49730.41,3498781.93,391.0,-416063.889,6126.619000000001,116853.13,122682.719,6882143.57,2679.88,558583.6699999999,0.0,558583.6699999999,0.0,116687.94,80731.15000000001,123583.9,6953354.96,79199.01,-6895.95,-1532.14,110737.3,699296.74,699296.74,490250.259,AXXON SELECTING ETT SL_resum
2000-01-01,0.0,94839.33,785390.9600000001,18030.36,105469.299,0.0,0.0,678314.2899999999,13190.15,109856.77,123046.92,0.0,678314.2899999999,217966.92,478465.84,0.0,4807.17,4807.17,4906558.930000001,35400.4,4919620.79,210.35,22419.58,67120.03,23787.190000000002,60388.7,4081550.64,427.0,-416063.889,6731.33,107076.669,199936.56,6882143.57,2679.88,634544.07,0.0,634544.07,0.0,127469.19,92068.79,109856.77,6953354.96,92279.15,17612.420000000002,210.35,100047.76,852510.99,852510.99,624142.71,AXXON SELECTING ETT SL_resum
2001-01-01,35615.5,94839.33,830006.6,18030.0,103723.39,0.0,0.0,601288.2899999999,22264.73,95089.15,117353.87900000002,0.0,601288.2899999999,299425.58,524005.4900000001,3041.03,6265.860000000001,6265.860000000001,5460091.72,32182.99,5470993.279,1312.42,26546.980000000003,139079.97999999998,44069.16,84079.63,4574596.84,622.0,-416063.889,10931.19,228718.309,281395.58,6882143.57,2679.88,634045.49,35615.5,634045.49,0.0,115370.26,83187.269,95089.15,6953354.96,81458.66,20281.11,-1728.61,213797.37,969086.57,969086.57,666177.73,AXXON SELECTING ETT SL_resum
2002-01-01,24930.85,94839.33,922115.289,18030.0,34272.14,0.0,0.0,722740.41,25080.86,20186.76,45267.619,0.0,722740.41,308616.86,587806.8200000001,1823.37,7037.67,7037.67,5544455.46,4875.23,5552768.649999999,590.1,2150.69,116804.32,40449.48,65423.66,4637426.68,280.0,-416063.889,10931.179,199374.879,290586.86,6882143.57,2679.88,705371.9,24930.85,705371.9,0.0,15299.78,10424.55,20186.76,6953354.96,9191.28,-4886.98,-1233.27,179395.41,1038919.61,1038919.61,633991.8600000001,AXXON SELECTING ETT SL_resum
2003-01-01,14246.11,94839.33,980925.48,18030.0,34703.21,0.0,10684.68,945236.25,24035.5,20617.54,44653.04,0.0,850396.92,319284.57,597114.9400000001,4087.24,7273.360000000001,6982.04,6036328.970000001,4590.57,6036328.970000001,3103.44,2897.9,133313.76,35288.259999999995,87229.64,5110473.930000001,344.0,-416063.889,10795.86,35689.22899999999,301254.57,6882143.57,2679.88,675184.55,14246.11,780708.56,0.0,16242.08,11651.51,20617.54,6953354.96,10667.71,-4375.46,-983.799,17601.75,1114239.24,1114239.24,643390.76,AXXON SELECTING ETT SL_resum
2004-01-01,3561.46,91335.42,915781.57,18030.0,56493.89,0.0,155273.43,875319.5,26739.06,10293.86,37032.92,0.0,783984.08,349039.4,623610.8300000001,7733.620000000001,4930.05,4930.05,5954917.92,2220.38,5955350.04,8809.57,25535.45,141915.03,41965.16,89154.01,5029814.59,326.0,-416063.889,10795.86,40462.07,331009.4,6882143.57,2679.88,458486.89,3561.46,705095.74,0.0,30899.26,28678.879,10293.86,6953354.96,29754.83,20605.4,1075.949,140.07,1057696.6,1057696.6,687255.15,AXXON SELECTING ETT SL_resum
2005-01-01,0.0,46648.05,822372.2789999999,18030.0,44408.310000000005,0.0,3561.4300000000003,767222.49,30139.39,23176.63,53316.02,0.0,720574.4400000001,363308.32,549059.9400000001,8989.618,3465.58,3756.9,5697902.2700000005,2858.9700000000003,5698323.21,0.44,6406.019,163029.18,44139.58,78267.48,4770331.85,317.0,-416063.889,40622.119,55149.789,345278.32,6882143.57,2679.88,571883.659,0.0,622093.14,0.0,26117.07,23258.1,23176.63,6953354.96,14268.92,2940.44,-8989.178,26305.66,985401.46,985401.46,600084.12,AXXON SELECTING ETT SL_resum
2006-01-01,0.0,47125.310000000005,965275.27,18030.0,40789.479,0.0,0.0,813818.97,29481.960000000003,28932.87,58414.83,0.0,766693.659,374615.84,5671357.08,13232.89,3748.66,3748.66,6098554.1,2946.3700000000003,6098554.1,0.0,2302.57,145000.14,12751.56,90051.73999999999,0.0,330.0,-416063.889,42196.84,151456.3,356585.84,6882143.57,2679.88,688534.26,0.0,735659.57,0.0,27486.78,24540.41,28932.87,6953354.96,11307.52,-1446.09,-13232.89,130645.9,1110275.41,1110275.41,5718841.59,AXXON SELECTING ETT SL_resum
2007-01-01,26722.68,136915.77000000002,937408.47,18030.0,75042.93,0.0,32999.3,880613.1699999999,28549.11,52805.82,81354.93,0.0,743697.4,421109.66,6398352.2700000005,14240.27,4673.92,4673.92,6882082.41,12552.46,6882082.41,19848.13,5306.52,225776.56,17415.88,160301.91,0.0,358.0,-416063.889,48058.76899999999,56795.29899999999,403079.66,6882143.57,2679.88,545437.619,26722.68,715352.69,0.0,53438.42,40885.96,52805.82,6953354.96,46493.82,632.6,5607.860000000001,21907.53,1163185.03,1163185.03,6490621.58,AXXON SELECTING ETT SL_resum
2008-01-01,36783.72,92997.00333333336,767857.97,18030.0,100061.65,0.0,33293.44,651298.55,46184.57,71211.39,117395.959,0.0,651298.55,474986.74,6419895.109999999,0.0,6961.429999999999,6961.429999999999,6953354.96,14865.39,6953354.96,0.0,4492.51,239369.48,9686.38,151732.16,0.0,341.0,-416063.889,77950.93999999999,116559.42,456956.74,6882143.57,2679.88,459483.67,39463.6,492777.11,0.0,68742.47,53877.08,71211.39,6953354.96,53877.08,-2468.92,0.0,14823.33,1007227.45,1007227.45,6541783.58,AXXON SELECTING ETT SL_resum
