Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,305920.0,4115240.0,7766470.0,300510.0,792170.0,23410044.84,791020.0,2145210.0,303120.0,658770.0,961890.0,2646970.0,676940.0,4726140.0,3523570.0,7130.0,35640.0,33000.0,22598730.0,232960.0,22609790.0,31010.0,75000.0,2572590.0,96010.0,1087900.0,15726370.0,149.0,-2701275.699,1388680.0,2974290.0,4425630.0,8098422.1,40000.0,706670.0,40000.0,5612930.0,0.0,698140.0,465180.0,658770.0,8584863.259,489050.0,39370.0,23880.0,2905990.0,10339070.0,10339070.0,4581700.0,BEULAS SA_resum
2000-01-01,305920.0,6134860.0,8686370.0,300510.0,668410.0,23410044.84,650850.0,3976670.0,311370.0,347060.0,658430.0,3397160.0,1238970.0,3312920.0,3735480.0,47000.0,47650.0,30150.0,26575180.0,84710.0,26630970.0,17470.0,171890.0,2446670.0,117080.0,1017310.0,19316420.0,158.0,-2701275.699,1312280.0,1312540.0,3012410.0,8098422.1,40000.0,994410.0,40000.0,7780120.0,40000.0,471300.0,386590.0,347060.0,8584863.259,357040.0,124240.0,-29530.0,1266170.0,11133040.0,11133040.0,4518750.0,BEULAS SA_resum
2001-01-01,305920.0,6503330.0,9540830.0,300510.0,1014180.0,23410044.84,925974.28,2692000.0,311720.0,677290.0,989010.0,4004860.0,193530.0,4015380.0,3911830.0,2640.0,-970.0,13190.0,28040100.0,166260.0,28087600.0,14070.0,179030.0,2399930.0,74150.0,996470.0,20163210.0,159.0,-2701275.699,1329310.0,2843970.0,3714870.0,8098422.1,36207.95875,1116130.0,305920.0,7619460.0,0.0,857290.0,691030.0,677290.0,8584863.259,702460.0,180000.0,11430.0,2827980.0,11940750.0,11940750.0,5105460.0,BEULAS SA_resum
2002-01-01,623249.56,6300218.95,13070652.77,300506.05,1253901.93,23410044.84,1201098.56,6826918.619999999,325448.75,451927.63,777376.38,4974397.859999999,5501097.53,4943846.49,3814707.32,0.0,28054.85,27493.64,28568427.28,-290220.23000000004,28656064.47,4208.79,210151.379,2471393.56,80108.19,1060512.37,20687051.479,157.0,-2701275.699,1330773.0,1269336.289,4643340.44,8098422.1,32415.9175,2473632.7690000003,623249.56,9974950.28,0.0,634024.16,924244.39,451927.63,8584863.259,928453.18,182096.53,4208.79,1196435.85,15542046.33,15542046.33,4805882.658999999,BEULAS SA_resum
2003-01-01,384750.21,6916440.54,13202666.18,300506.05,52730.19,23410044.84,1201908.4,6165241.149999999,345951.9,-637369.7799999999,-291417.88,4959819.1,4208619.71,4650624.78,3972242.65,1101.52,40666.72,40032.56,26925447.97,-188684.46,27002689.099,22491.77,174740.08,1787220.01,26840.28,1030618.73,20454308.91,156.0,-2701275.699,729761.0,2077605.929,4350118.73,8098422.1,28623.87625,1836162.26,384750.21,9954511.2,0.0,-503296.42,-314611.95900000003,-637369.7799999999,8584863.259,-293221.71,134073.35899999997,21390.25,2052842.089,14989886.19,14989886.19,3876320.94,BEULAS SA_resum
2004-01-01,479414.24,8024894.98,15990080.34,300506.05,993424.02,23410044.84,1201900.05,7696529.9,310612.23000000004,668422.72,979034.95,4957623.49,4629258.41,5333436.57,4170381.53,189.31,44862.26,44558.78,33389473.64,322082.21,33449747.38,11099.92,370422.93000000005,2013345.06,7833.18,924603.92,25530408.979,155.0,-2701275.699,1080907.96,3335926.949,5032930.52,8098422.1,24831.835,2963779.559,479414.24,12190574.59,0.0,993983.39,671901.1789999999,668422.72,8584863.259,682811.7899999999,325560.67,10910.61,3311376.63,18003425.4,18003425.4,5530446.54,BEULAS SA_resum
2005-01-01,402884.59,7478326.970000001,15028629.239999998,300506.05,1172373.319,23410044.84,1200732.52,5454077.24,299705.72000000003,1011616.45,1311322.1700000002,4432568.619999999,2408318.889,6206104.17,4253105.74,1150.0,55832.86,55130.82,33279315.110000003,399163.71,33390012.39,92132.7,225065.02,2488829.72,21692.605,807839.71,24957263.93,159.0,-2701275.699,1680990.01,5141983.38,5905598.119999999,8098422.1,21039.793749999997,2229410.71,402884.59,10908470.2,0.0,1180848.61,781684.9,1011616.45,8584863.259,872667.6,169232.16,90982.7,5116619.74,17517458.959999997,17517458.959999997,5879773.59,BEULAS SA_resum
2006-01-01,306638.93000000005,7575585.44,14532738.84,300506.05,974819.86,23410044.84,1201012.33,4974854.26,248299.52,1049448.07,1297747.59,6545801.25,3945070.069,6082624.51,4342089.68,13905.14,55076.57,54540.08,31984727.04,644023.24,32061153.79,105346.6,284730.62,2466785.25,35552.03,749682.88,23397309.610000003,161.0,-2701275.699,1681550.34,3012083.33,5782118.46,8098422.1,17247.7525,1833662.88,306638.93000000005,10610260.65,0.0,1279102.12,635078.88,1049448.07,8584863.259,726520.3400000001,229654.05,91441.46,2973248.11,16999524.09,16999524.09,6015472.858999999,BEULAS SA_resum
2007-01-01,244906.5,5836187.359999999,12991779.94,300506.05,444533.01,23410044.84,1280662.96,4692076.19,241548.51,290465.71,532014.22,6114141.819999999,4970030.649999999,6285609.01,4334302.72,60226.07,84452.4,84076.29,29632979.05,249314.83,29686951.51,39384.65,267127.44,2344667.15,27939.42,635177.39,22274357.34,157.0,-2701275.699,1681550.3390000002,2185561.929,5985102.96,8098422.1,13455.71125,1689081.259,244906.5,8805931.58,0.0,473140.75,223825.92,290465.71,8584863.259,202984.5,182675.04,-20841.42,2142500.03,15336447.09,15336447.09,5112226.85,BEULAS SA_resum
2008-01-01,528654.99,6049842.79,16022277.37,300506.05,707790.6699999999,23410044.84,1254100.06,4550702.63,237387.99,486441.16,723829.149,7719191.56,6220051.398999999,6769771.02,5159758.41,0.0,120611.86,78611.61,31937964.04,134697.99,31994908.099,0.0,239271.37,1338449.21,4927.91,603783.1799999999,25513308.67,162.0,-2701275.699,729738.12,3752383.18,6469264.970000001,8098422.1,9663.67,2748694.05,538318.66,10052636.9,0.0,605100.6699999999,470402.68,486441.16,8584863.259,470402.68,118659.51,0.0,2243390.89,17360726.58,17360726.58,6080858.68,BEULAS SA_resum
