Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,135990.31,507320.67,278210.59,3005.06,21031.309,1508443.42,0.0,146760.97,10122.32,20189.81,30312.13,129207.78,275968.75,102191.35,173053.97,0.0,9657.91,9657.91,822959.08,4675.29,822959.08,5052.38,490.95,133608.84999999998,16058.92,117549.93,523036.4,11.0,-477893.52,0.0,2241.84,99186.29,985582.73,0.0,173637.78,135990.31,173637.78,0.0,10531.9,5856.610000000001,20189.81,1188008.58,10908.99,-9657.91,5052.38,5386.6,411819.44,411819.44,208418.48,BLASAU SL_resum
2000-01-01,136458.18,507320.67,324019.56,3005.06,24225.12,1508443.42,0.0,189235.0,12368.55,32691.1,45059.649,126316.2,315551.2,114047.92,178477.83,0.0,17746.440000000002,17746.440000000002,854606.66,5081.38,854606.66,1502.34,490.95,147974.67,25525.63,122449.05,545171.38,11.0,-477893.52,-0.009,8468.358999999999,111042.86,985582.73,0.0,221488.13,136458.18,221488.13,0.0,15435.62,10354.240000000002,32691.1,1188008.58,11856.57,-17255.480000000003,1502.34,5386.6,471994.22,471994.22,225530.77,BLASAU SL_resum
2001-01-01,117985.92,507320.67,289984.19,3005.06,26790.33,1508443.42,0.0,145578.65,14890.36,33844.93,48735.28999999999,134581.44,280160.08900000004,125947.89,188544.97,0.0,20116.66,20116.66,854916.98,5099.99,854916.98,2363.62,908.07,139374.69,17776.760000000002,121597.93,553341.8300000001,11.0,-477893.52,0.0,9824.1,122942.83,985582.73,0.0,185425.07,117985.92,185425.07,0.0,14636.34,9536.35,33844.93,1188008.58,11899.97,-19208.59,2363.62,7753.72,429358.88,429358.88,240551.949,BLASAU SL_resum
2002-01-01,118531.91,507320.67,401917.86,3010.0,32961.37,1508443.42,0.0,283786.83,16154.81,36270.83,52425.64,115357.68,399144.51,142754.44999999998,217622.66,0.0,14766.3,14766.11,1273379.2,7202.820000000001,1273379.2,0.0,2504.8500000000004,144834.38999999998,28023.23,116811.16,853218.55,18.0,-477893.52,0.0,2773.349,139744.44999999998,985582.73,0.0,285465.89,118531.91,285465.89,0.0,24009.38,16806.56,36270.83,1188008.58,16806.56,-12261.45,0.0,19142.22,546752.25,546752.25,272552.96,BLASAU SL_resum
2003-01-01,111351.37,507320.67,343167.66,3010.0,36765.28999999999,1508443.42,0.0,183636.76,19276.49,24836.65,44113.14,127326.12,310962.88,160243.25,237139.71,0.0,10959.240000000002,10959.240000000002,1191038.74,4990.57,1191038.74,5837.389,2764.57,159389.7,18426.02,140963.68,799230.3500000001,14.0,-477893.52,0.0,32204.779,157233.25,985582.73,0.0,230962.74,111351.37,230962.74,0.0,16641.980000000003,11651.41,24836.65,1188008.58,17488.8,-8194.67,5837.389,30530.72,502557.36,502557.36,289854.81,BLASAU SL_resum
2004-01-01,250503.64,507320.67,451294.87,3010.0,78652.19,1508443.42,0.0,311412.03,39401.42,64854.880000000005,104256.299,127864.59,439276.62,199494.02,266023.78,0.0,11619.62,11619.62,1366974.13,15842.19,1366974.13,337.7,1520.0,278168.71,8365.458999999999,269803.25,842829.76,13.0,-477893.52,0.001,12018.25,196484.02,985582.73,0.0,279465.92000000004,250503.64,279465.92000000004,0.0,54755.26,38913.07,64854.880000000005,1188008.58,39250.77,-10099.62,337.7,10960.25,729463.58,729463.58,372137.78,BLASAU SL_resum
2005-01-01,228660.6,507320.67,446006.339,3010.0,72223.25,1508443.42,0.0,304226.39,52064.39,41685.39,93749.78,71450.07,375676.46,226758.19,267636.97900000005,7105.31,13197.34,13197.34,1370944.32,6880.96,1370944.32,4089.29,1567.79,252501.34,10689.36,241811.98,900381.57,12.0,-477893.52,0.0,70329.87900000002,223748.19,985582.73,0.0,243088.89,228660.6,243088.89,0.0,30055.84,23174.88,41685.39,1188008.58,20158.86,-11629.55,-3016.02,69856.72,698507.6799999999,698507.6799999999,359938.52900000004,BLASAU SL_resum
2006-01-01,232120.47,507320.67,526360.7089999999,3010.0,81431.98,1508443.42,0.0,386235.09,53401.08,44170.33,97571.41,98318.81,484553.9,254789.09,315149.55,0.0,10760.41,10760.41,1852603.38,7998.51,1852603.38,694.0,1925.49,246067.37,7232.37,238835.0,1291205.52,13.0,-477893.52,0.0,41806.809,251779.09,985582.73,0.0,285518.52,232120.47,285518.52,0.0,35335.41,27336.9,44170.33,1188008.58,28030.9,-8834.92,694.0,41628.47,772428.08,772428.08,415340.449,BLASAU SL_resum
2007-01-01,324364.2,507320.67,733118.08,3010.0,126210.37,1508443.42,0.0,571697.8200000001,60323.4,93302.95,153626.34999999998,53575.9,625273.72,320676.06,390491.28,3.93,17739.41,17739.4,2549016.05,21962.33,2549016.05,10340.69,1949.0,367747.2,3670.31,364076.89,1839652.67,16.0,-477893.52,0.0,107844.359,317666.06,985582.73,0.0,455825.019,324364.2,455825.019,0.0,77512.54,55550.209,93302.95,1188008.58,65886.97,-15790.41,10336.76,107844.36,1100865.28,1100865.28,556403.38,BLASAU SL_resum
2008-01-01,265869.0,507320.67,1049239.56,3010.0,208998.22,1508443.42,0.0,605527.62,74051.48999999999,202425.85,276477.34,32135.91,130342.86,455622.79,433637.72,0.0,18881.8,18881.52,2696452.0,49248.43,2696452.0,0.0,651.11,294968.71,0.0,294968.71,1508443.42,17.0,-477893.52,276.6275,411576.03,452612.79,985582.73,0.0,115395.81,265869.0,622716.48,0.0,184195.16,134946.73,202425.85,1188008.58,134946.73,-18230.69,0.0,371576.03,1344208.27,1344208.27,710765.89,BLASAU SL_resum
