Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,42955.23,254976.3,418147.39,30050.61,115667.44,1107319.81,10576.98,366125.58,31529.43,136960.37999999998,168489.81,65789.63,366125.58,195722.17,228911.68,6318.34,10670.91,10670.91,1118783.56,38950.58,1118783.56,2837.04,280.41,105195.04,12720.29,56257.76,642938.12,15.0,-167026.53,36216.99,52021.810000000005,165671.56,805158.72,0.0,284665.03,42955.23,284665.03,0.0,126569.89,87619.31,136960.37999999998,847003.01,84138.01,-10390.5,-3481.3,51215.45,523342.43000000005,523342.43000000005,394200.61,BONJOCH SL_resum
2000-01-01,58321.13,254976.3,512424.74,30050.61,95037.67,1107319.81,10576.98,378304.26,16525.07,122487.42,139012.49,65789.63,378304.26,274234.77,241086.1,714.75,8344.6,8344.6,1234748.53,35341.259999999995,1234748.53,169.23,256.55,91208.73,10453.28,44538.42,742490.09,15.0,-167026.53,36217.03,134120.479,244184.16,805158.72,0.0,271077.58,58321.13,271077.58,0.0,114399.37,79058.10900000001,122487.42,847003.01,78512.6,-8088.05,-545.52,133703.73,603633.47,603633.47,379809.63,BONJOCH SL_resum
2001-01-01,89736.0,254976.3,480882.699,30050.61,80694.83,1107319.81,10576.98,406235.04,13200.17,106060.68,119260.849,65789.63,406235.04,341729.42000000004,262893.87,1198.03,8194.49,8194.49,1222109.93,29408.52,1222109.93,0.0,235.02,168127.86,8186.31,123724.53,734723.64,15.0,-167026.53,36217.019,74647.65900000001,311678.81,805158.72,0.0,217545.14,89736.0,217545.14,0.0,98101.21,68692.69,106060.68,847003.01,67494.66,-7959.469999999999,-1198.03,74497.87000000001,649010.56,649010.56,381191.709,BONJOCH SL_resum
2002-01-01,77804.11,254976.3,553659.3600000001,30050.61,41816.369,1107319.81,10576.98,435153.0,10017.8,51657.5,61675.3,65789.63,435153.0,373528.0,254338.14,445.32,5987.860000000001,5987.860000000001,1164937.4,13627.96,1164937.4,5.05,197.16,212295.61,25189.91,117878.56,780447.51,15.0,-167026.53,69227.13900000001,118506.359,343477.39,805158.72,0.0,314622.86,77804.11,314622.86,0.0,45866.8,32238.84,51657.5,847003.01,31798.57,-5790.7,-440.27,116952.989,765954.97,765954.97,315770.33,BONJOCH SL_resum
2003-01-01,51048.880000000005,254976.3,401746.69,30050.61,43997.09,1107319.81,10576.98,319291.9,16284.19,35908.89,52193.08,65789.63,319291.9,401240.9,229215.18,82.98,3314.57,3314.57,924730.08,11889.81,924730.08,0.18,7091.1900000000005,286718.85,16380.31,111094.79,564180.61,11.0,-167026.53,159243.75,82454.789,371190.29,805158.72,0.0,236175.76,51048.880000000005,236175.76,0.0,39685.51,27795.7,35908.89,847003.01,27712.9,3776.62,-82.8,81433.28,688465.54,688465.54,288416.65,BONJOCH SL_resum
2004-01-01,210333.99,254976.3,664163.75,30050.61,-90005.959,1107319.81,10576.98,285044.73000000004,21685.83,85245.66,106931.49,65789.63,350834.36,289549.11,279013.66,174999.03,4425.23,4425.23,975414.55,19467.480000000003,975414.55,3.01,1951.28,215218.74,19344.59,95587.96,506922.19,13.0,-167026.53,100286.189,313329.39,259498.5,805158.72,0.0,379499.39,210333.99,379499.39,0.0,82771.70999999999,63304.23,85245.66,847003.01,-111691.79,-2473.9500000000003,-174996.02,312634.74,879382.49,879382.49,212900.41,BONJOCH SL_resum
2005-01-01,162351.41999999998,254976.3,700919.4400000001,30050.61,49751.07,1107319.81,10576.98,521120.76,25679.41,45725.45,71404.86,63051.77,584172.53,313620.77,453358.76,1422.44,11247.45,11247.45,1688445.65,10316.43,1688445.65,119.88,1212.65,201718.92,17296.7,83164.43999999999,1065628.05,19.0,-167026.53,101257.78,116746.909,283570.16,805158.72,0.0,426666.17,162351.41999999998,426666.17,0.0,35690.65,25374.22,45725.45,847003.01,24071.66,-10034.8,-1302.56,116275.209,902638.36,902638.36,524673.7089999999,BONJOCH SL_resum
2006-01-01,752023.99,254976.3,658709.4500000001,30050.61,53558.72,1107319.81,10576.98,442184.44,26545.58,47070.95,73616.53,47539.33,489723.77,340633.91000000003,513062.73,1087.29,11475.12,11475.12,1746304.23,11577.06,1746304.23,2144.9100000000003,1936.75,713903.8200000001,42338.350000000006,568575.61,1037387.69,21.0,-167026.53,102989.859,168985.68,310583.3,805158.72,0.0,279955.37,752023.99,279955.37,0.0,37532.58,25955.52,47070.95,847003.01,27013.14,-9538.37,1057.62,165382.62,1372613.27,1372613.27,589673.629,BONJOCH SL_resum
2007-01-01,688870.11,254976.3,544990.49,30050.61,23648.43,1107319.81,10576.98,436472.72,18377.11,41681.850000000006,60058.96,55952.92,492425.639,345905.23000000004,557858.09,3212.26,34883.86,34883.86,1631968.71,2392.8300000000004,1649688.71,1437.59,2640.8300000000004,761508.58,26047.07,629520.8,895273.4,23.0,-167026.53,105940.709,52564.850000000006,315854.62,805158.72,0.0,271723.73000000004,688870.11,271723.73000000004,0.0,9438.82,7045.99,41681.850000000006,847003.01,5271.320000000001,-32243.03,-1774.6699999999998,52564.850000000006,1306499.07,1306499.07,618783.21,BONJOCH SL_resum
2008-01-01,620792.4600000001,254976.3,535519.05,30050.61,22356.81,1107319.81,10576.98,338366.62,20621.86,41844.28999999999,62466.15,75076.72,158467.039,347640.18,617510.3300000001,0.0,41849.24,41849.24,1908451.58,919.1,1954322.82,0.0,2659.0,783389.98,990.9,670691.06,1107319.81,22.0,-167026.53,111708.02,122075.71,317589.57,805158.72,0.0,84923.11,620792.4600000001,350476.39,0.0,2654.05,1734.95,41844.28999999999,847003.01,1734.95,-39190.24,0.0,52254.75,1318909.03,1318909.03,682635.48,BONJOCH SL_resum
