Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,29466.63,16803.97,164435.699,35129.16,26913.28,82934.23,0.0,107113.08,10566.36,23424.24,33990.6,0.0,107113.08,70605.6,74992.63,0.0,2269.3300000000004,2136.4700000000003,407356.13,5761.6,407356.13,0.0,713.7900000000001,48415.350000000006,9455.92,34091.23,173125.88999999998,4.0,-129477.62,4868.1990000000005,57322.619,35476.44,322242.58,6620.33,112778.82,29466.63,112778.82,0.0,21868.7,16107.1,23424.24,340741.35,16346.92,-1555.54,0.0,56641.159,212851.05,212851.05,109803.98,BREDA EXPRESS SL_resum
2000-01-01,29466.63,16803.97,164435.699,35129.16,26913.28,82934.23,0.0,107113.08,10566.36,23424.24,33990.6,0.0,107113.08,70605.6,74992.63,566.65,2269.3300000000004,2136.4700000000003,407356.13,5761.6,407356.13,806.47,713.7900000000001,48415.350000000006,9455.92,34091.23,173125.88999999998,4.0,-129477.62,4868.1990000000005,57322.619,35476.44,322242.58,6620.33,112778.82,29466.63,112778.82,0.0,21868.7,16107.1,23424.24,340741.35,16346.92,-1555.54,239.82,56641.159,212851.05,212851.05,109803.98,BREDA EXPRESS SL_resum
2001-01-01,29477.6,16803.97,210385.18,35129.16,19860.007,82934.23,0.0,136101.27000000002,16708.277000000002,2998.4,19706.678,0.0,136101.27000000002,73757.34,106998.0,46.760000000000005,2054.6,2045.81,486108.12,414.78,486108.12,2204.9500000000003,464.52,68201.02,15669.17,49827.3,190926.39,4.0,-129477.62,2704.55,74283.90999999999,38628.179,322242.58,6620.33,175351.259,29477.6,175351.259,0.0,1408.32,993.54,2998.4,340741.35,3151.73,-1590.08,2158.189,74151.77,278586.2,278586.2,129318.598,BREDA EXPRESS SL_resum
2002-01-01,15629.28,16803.97,165273.84999999998,35129.16,29178.53,82934.23,0.0,103868.33,15132.82,19476.71,34609.53,0.0,103868.33,87803.05,120576.62,38.58,3734.63,3697.54,471844.36,2969.18,471844.36,967.46,343.92999999999995,53068.2,8678.2,41685.45,124190.67,4.0,-129477.62,2704.55,61405.52,52673.89,322242.58,6620.33,114909.72,15629.28,114909.72,0.0,16086.01,13116.83,19476.71,340741.35,14045.71,-3390.7,928.88,61405.52,218342.05,218342.05,156421.87,BREDA EXPRESS SL_resum
2003-01-01,32074.52,16803.97,157015.05,35129.16,30260.379,82934.23,0.0,61760.56,15252.57,21387.24,36639.810000000005,0.0,61760.56,102810.86,133254.81,19.18,2497.05,2497.05,363375.04,6128.969999999999,363375.04,2066.04,199.73,82646.73999999999,43788.3,36153.89,81676.42,1.0,-129477.62,2704.55,95254.489,67681.7,322242.58,6620.33,104776.41,32074.52,104776.41,0.0,19089.92,12960.949,21387.24,340741.35,15007.81,-2297.32,2046.86,94040.049,239661.79,239661.79,172141.21000000002,BREDA EXPRESS SL_resum
2004-01-01,124755.98,16803.97,191852.64,35129.16,52880.84,82934.23,0.0,114112.94,27295.39,13105.69,40401.08,0.0,114112.94,128396.31,125468.96,125.01,4318.620000000001,4318.620000000001,590782.21,4050.3,590782.21,20928.739,44.95,169032.08,144534.94999999998,21792.58,276443.75,4.0,-129477.62,2704.549,77739.7,93267.15,322242.58,6620.33,107732.43,124755.98,107732.43,0.0,8832.02,4781.72,13105.69,340741.35,25585.45,-4273.67,20803.73,68889.22,360884.72,360884.72,186718.72,BREDA EXPRESS SL_resum
2005-01-01,86209.08,16803.97,168951.71000000002,35129.16,42713.77,82934.23,0.0,94544.01,37289.25,12629.25,49918.5,21325.63,115869.64,133820.82899999997,133154.79,470.06,7884.110000000001,7884.110000000001,554136.47,2324.8,554136.47,3473.99,0.25,131742.82899999997,115776.0,13262.28,238782.91,3.0,-129477.62,2704.548,53082.069,98691.669,322242.58,6620.33,80664.63,86209.08,80664.63,0.0,4745.39,2420.59,12629.25,340741.35,5424.52,-7883.860000000001,3003.9300000000003,47215.04,300694.54,300694.54,186077.47,BREDA EXPRESS SL_resum
2006-01-01,60919.86,16803.97,151672.16,35129.16,33528.54,82934.23,0.0,99041.36,32621.55,12544.21,45165.759,16000.0,115041.36,134727.81999999998,132157.109,3554.44,7694.07,7694.07,471634.54,388.71,474129.54,0.0,25.2,115653.25,87316.05,25632.65,139143.61000000002,4.0,-129477.62,2704.549,36630.8,99598.66,322242.58,6620.33,71677.73,60919.86,71677.73,0.0,4850.14,4461.429999999999,12544.21,340741.35,906.99,-7694.07,-3554.44,33103.809,267325.40900000004,267325.40900000004,173768.42899999995,BREDA EXPRESS SL_resum
2007-01-01,36280.7,16803.97,133661.119,35129.16,33624.17,82934.23,0.0,88147.45,28636.6,12517.07,41153.67,0.0,88147.45,139715.38999999998,136625.7,0.0,6573.13,6573.13,486293.36,1151.86,488656.029,145.34,50.15,87805.40999999999,59482.350000000006,25618.51,107023.53,6.0,-129477.62,2704.55,45513.669,104586.23,322242.58,6620.33,45470.44,36280.7,45470.44,0.0,5994.09,4842.23,12517.07,340741.35,4987.57,-6522.98,145.34,43468.82,221466.53,221466.53,177974.86,BREDA EXPRESS SL_resum
2008-01-01,14412.14,16803.97,142792.12,35129.16,21728.42,82934.23,18503.28,128277.49,12543.52,18498.77,31042.29,5476.150000000001,116949.67,146855.44,180221.44,0.0,6252.24,6252.24,421373.86,3061.63,423675.579,0.0,0.0,87514.57,174.39,84635.63,82934.23,2.0,-129477.62,2704.55,9038.48,111726.28,322242.58,6620.33,27111.53,21032.47,62418.78,0.0,12246.53,9184.9,18498.77,340741.35,9184.9,-6252.24,0.0,7375.69,230306.69,230306.69,211263.729,BREDA EXPRESS SL_resum
2009-01-01,57260.87,69347.59,196477.09,35129.16,39106.78999999999,148179.88999999998,50997.77,154228.53,28253.71,21584.84,49838.55,0.0,84880.93999999999,157708.52,116256.52,0.0,9070.47,9070.47,496225.18,1661.29,496225.18,0.0,0.0,176373.0,99.63,173568.81999999998,148179.88999999998,2.0,-181950.22,2704.55,42248.56,122579.36,326460.45,5556.63,31978.71,62817.5,152324.07,0.0,12514.37,10853.08,21584.84,348045.29000000004,10853.08,-9070.47,0.0,28177.75,372850.09,372850.09,166095.07,BREDA EXPRESS SL_resum
