Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,168614.67,62.7,47804.03,6010.120000000001,89068.34,56181.810000000005,27712.38,32159.38,34513.63,81889.65000000001,116403.28,0.0,32159.38,91040.9,99498.13,0.0,7536.160000000001,7536.160000000001,399439.59,23380.59,399439.59,0.0,3581.8,283685.56,0.0,178151.73,42918.51,6.0,-195328.83,105533.829,15644.649,85030.78,508432.4900000001,0.0,71834.01,168614.67,71834.01,0.0,77935.3,54554.71,81889.65000000001,520072.63,54554.71,-3954.35,0.0,15644.65,331489.58,331489.58,219483.22,C D Q HOTEL SL_resum
2000-01-01,165095.0,62.7,48463.13,6010.120000000001,78212.05,56181.810000000005,27712.38,46286.380000000005,35825.65,66165.5,101991.15,0.0,46286.380000000005,121407.06,155140.21000000002,858.1890000000001,9023.56,9023.56,445788.87,18210.14,445788.87,0.02,4312.77,255727.45,851.92,160099.81999999998,59276.12,8.0,-195328.83,94775.709,2176.75,115396.94,508432.4900000001,0.0,17688.52,165095.0,17688.52,0.0,61454.71,43244.57,66165.5,520072.63,42386.4,-4710.79,-858.1700000000001,2176.75,304190.58,304190.58,260585.96,C D Q HOTEL SL_resum
2001-01-01,19575.11,62.7,87270.57,6010.120000000001,68480.97,56181.810000000005,27712.38,78607.8,36691.74,47688.5,84380.239,0.0,78607.8,153196.3,139871.41,82.31,6871.469999999999,6871.469999999999,476959.95,13623.96,476959.95,58.42,4620.05,171405.69,197.42,148156.37,52627.04,7.0,-195328.83,23051.899,8662.77,147186.18,508432.4900000001,0.0,85904.85,19575.11,85904.85,0.0,45437.08,31813.12,47688.5,520072.63,31789.23,-2251.42,-23.89,8662.77,258676.26,258676.26,228847.81,C D Q HOTEL SL_resum
2002-01-01,230749.25,62.7,283989.18,6010.120000000001,45920.6,56181.810000000005,27712.38,281214.42000000004,36571.33,20693.1,57264.43,0.0,281214.42000000004,162545.57,175391.62,147.81,8083.9,8083.9,441025.33,4006.83,441025.33,0.0,894.71,152792.34,1241.6899999999998,132826.07,42974.92,8.0,-195328.83,18724.579,2774.76,156535.44999999998,508432.4900000001,0.0,43486.7,230749.25,43486.7,0.0,13503.91,9497.08,20693.1,520072.63,9349.27,-7189.1900000000005,-147.81,2774.76,436781.52,436781.52,233402.949,C D Q HOTEL SL_resum
2003-01-01,170918.93,62.7,197111.31,6010.120000000001,5549.299,56181.810000000005,27712.38,193620.56,32657.5,-19821.34,12836.16,0.0,193620.56,135437.37999999998,287522.14,0.0,8436.630000000001,8436.630000000001,597434.15,6920.06,597434.15,438.43,711.3399999999999,137422.83,278.33,122529.61,63209.28999999999,14.0,-195328.83,14614.89,3490.75,129427.26,508432.4900000001,0.0,28177.83,170918.93,28177.83,0.0,-27546.63,-27546.63,-19821.34,520072.63,-27108.2,-7725.29,438.43,3490.75,334534.14,334534.14,301508.07,C D Q HOTEL SL_resum
2004-01-01,46770.86,62.7,161640.61000000002,6010.120000000001,74538.0,56181.810000000005,27712.38,147045.33,24239.45,64216.22,88455.67000000001,0.0,147045.33,185735.93,289472.11,0.0,4807.21,4807.21,641163.11,9833.29,641163.11,184.25,538.58,114835.71,2.11,104536.03,57824.19,10.0,-195328.83,10297.57,14595.279,179725.81,508432.4900000001,0.0,43969.53,46770.86,43969.53,0.0,59947.59,50114.29899999999,64216.22,520072.63,50298.55,-4268.63,184.25,14595.28,276476.32,276476.32,378650.61,C D Q HOTEL SL_resum
2005-01-01,48764.51,62.7,220155.57,6010.120000000001,60708.33,56181.810000000005,27712.38,202978.85,18565.41,59974.810000000005,78540.22,0.0,202978.85,227878.85,323040.2,11.52,3242.7,3242.7,652315.14,18061.25,652315.14,3009.259,474.32,119027.9,0.0,113047.65,63364.12,14.0,-195328.83,5980.25,17176.72,221868.73,508432.4900000001,0.0,62540.11,48764.51,62540.11,0.0,57206.43,39145.18,59974.810000000005,520072.63,42142.92,-2768.38,2997.74,17176.72,339183.47000000003,339183.47000000003,405052.48,C D Q HOTEL SL_resum
2006-01-01,5545.04,62.7,329031.78,6010.120000000001,116095.05,56181.810000000005,27712.38,221214.65,23711.74,134194.44999999998,157906.19,0.0,221214.65,320262.16,292585.36,351.28,1679.57,1679.57,729471.4600000001,40176.49,729483.4600000001,0.0,396.2,101204.58,0.0,99551.65,57504.08,15.0,-195328.83,1652.93,107817.13,314252.04,508432.4900000001,0.0,104429.16,5545.04,104429.16,0.0,132911.079,92734.589,134194.44999999998,520072.63,92383.31,-1283.37,-351.28,107817.13,430236.36,430236.36,450536.47,C D Q HOTEL SL_resum
2007-01-01,2295.16,62.7,261102.87,6010.120000000001,111032.0,56181.810000000005,27712.38,38708.78999999999,24968.97,113746.34,138715.31,0.0,38708.78999999999,306325.19,281792.16,877.76,639.3299999999999,639.3299999999999,716278.99,28687.68,716821.3400000001,279.57,2241.8900000000003,87910.58,0.0,87672.95,60970.71,12.0,-195328.83,237.63,222394.08,300315.07,508432.4900000001,0.0,40393.1,2295.16,40393.1,0.0,115348.9,86661.22,113746.34,520072.63,86063.03,1602.56,-598.19,222394.08,349013.45,349013.45,422151.17,C D Q HOTEL SL_resum
2008-01-01,3774.68,62.7,169470.74000000002,6010.120000000001,41135.47,56181.810000000005,27712.38,37558.53,25308.54,11640.14,36948.68,0.0,37495.83,322152.12,287795.12,0.0,331.26,331.26,575967.92,5275.64,576254.4400000001,0.0,9793.69,251565.49,3185.04,248142.82,56181.810000000005,9.0,-195328.83,237.63,131912.209,316142.0,508432.4900000001,0.0,67334.35,3774.68,95109.43,0.0,21102.57,15826.93,11640.14,520072.63,15826.93,9462.43,0.0,2003.01,421036.23,421036.23,334537.49000000005,C D Q HOTEL SL_resum
