Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,122436.8,2200.0,123482.81,36060.73,16979.760000000002,0.0,0.0,58067.19,2770.15,20508.2,23278.35,54170.78999999999,112237.98,100652.78,47773.03,166.82000000000002,358.33,358.33,1675160.16,6089.84,1807435.91,0.0,316.4,14479.64,5680.54,8799.11,1634359.31,4.0,-102846.67,-0.01,11244.829,64592.049,125126.909,0.0,37309.67,122436.8,37309.67,0.0,20466.28,14376.439,20508.2,100171.35,14209.61,-41.93,-166.82000000000002,11244.83,137962.44999999998,137962.44999999998,71200.959,CAMDEBENS SL_resum
2000-01-01,122436.8,2200.0,189095.74,36060.73,18789.78,0.0,0.0,97842.33,7891.8,16555.609999999997,24447.41,57929.87,155772.2,111550.77,59714.48,0.0,1334.79,1334.79,2372998.63,4670.57,2504279.159,26.32,321.42,56839.7,9560.77,47278.93,2337602.8,4.0,-102846.67,0.0,33323.539,75490.04,125126.909,0.0,134384.67,122436.8,134384.67,0.0,15542.23,10871.66,16555.609999999997,100171.35,10897.98,-1013.38,26.32,33323.54,245935.43,245935.43,84509.62000000001,CAMDEBENS SL_resum
2001-01-01,122436.8,2200.0,257164.31,36060.73,27870.17,0.0,0.0,74269.6,8715.9,27613.21,36329.11,69400.15000000001,143669.75,130705.04,68460.93,0.0,1133.45,1133.45,3095167.36,8208.967999999999,3278736.29,0.0,883.48,48123.8,5916.68,42207.12,3047013.32,5.0,-102846.67,0.0,113494.56,94644.31,125126.909,0.0,174583.07,122436.8,174583.07,0.0,27363.24,19154.272,27613.21,100171.35,19154.27,-249.97,0.0,113494.56,305288.11,305288.11,105673.517,CAMDEBENS SL_resum
2002-01-01,122436.8,2200.0,161898.44999999998,36060.73,31717.8,0.0,0.0,65835.05,8938.99,33846.37,42785.36,45212.36,111047.41,153483.86,3790.53,1793.39,166.63,166.63,2881953.38,9762.35,3055278.7800000003,0.0,654.81,75304.36,2591.9500000000003,72712.40999999999,2865303.45,0.0,-102846.67,0.0,50851.04,117423.12900000002,125126.909,0.0,83718.95,122436.8,83718.95,0.0,34334.55,24572.2,33846.37,100171.35,22778.81,488.18,-1793.39,50851.04,237202.81,237202.81,45437.310000000005,CAMDEBENS SL_resum
2003-01-01,122436.8,2200.0,214756.23,36060.73,36415.15,0.0,0.0,95457.27,8007.69,40358.43,48366.12,46389.54,141846.81,181891.32,0.0,0.0,511.73,511.73,2282636.62,12174.62,2436383.7,0.0,735.38,67296.67000000001,863.99,66432.67900000002,2259833.54,0.0,-102846.67,0.0,72909.42,145830.59,125126.909,0.0,100161.58,122436.8,100161.58,0.0,40582.08,28407.460000000003,40358.43,100171.35,28407.460000000003,223.65,0.0,72909.42,282052.9,282052.9,49101.5,CAMDEBENS SL_resum
2004-01-01,122436.8,2200.0,284959.33,36060.73,51521.19,0.0,0.0,114493.1,7840.76,60175.61,68016.37000000001,72685.45999999999,187178.56,225571.75,0.0,0.0,271.96,271.96,2434117.34,17197.86,2588540.23,0.0,974.64,111842.18,0.0,111842.18,2413013.71,0.0,-102846.67,0.0,97780.769,189511.02,125126.909,0.0,171229.76,122436.8,171229.76,0.0,60878.28999999999,43680.43,60175.61,100171.35,43680.43,702.6800000000001,0.0,97780.77,396801.51,396801.51,68991.01,CAMDEBENS SL_resum
2005-01-01,122436.8,2200.0,286295.02,36060.73,32056.22,0.0,0.0,124297.58,10215.2,30233.11,40448.310000000005,60205.380000000005,184502.96,247412.77,0.0,0.0,115.15,115.15,2689927.96,9360.44,2839679.21,0.0,1083.5,143727.31999999998,0.0,143727.31999999998,2682035.19,0.0,-102846.67,0.0,101792.06,211352.039,125126.909,0.0,182609.57,122436.8,182609.57,0.0,31201.460000000003,21841.019,30233.11,100171.35,21841.02,968.35,0.0,101792.06,430022.34,430022.34,41531.810000000005,CAMDEBENS SL_resum
2006-01-01,122436.8,2200.0,311659.53,36060.73,20762.01,0.0,0.0,163726.23,15157.99,12725.51,27883.5,57554.850000000006,221281.08,253016.79,1194.91,0.0,4991.67,4991.67,3032771.16,3001.73,3190083.11,0.0,871.91,297629.33,0.0,297629.33,3019866.85,0.0,-102846.67,0.0,90378.45,216956.06,125126.909,0.0,233835.27,122436.8,233835.27,0.0,8605.75,5604.02,12725.51,100171.35,5604.02,-4119.76,0.0,90378.45,609288.8600000001,609288.8600000001,29950.32,CAMDEBENS SL_resum
2007-01-01,120174.7,2200.0,329101.89,36060.73,30766.89,0.0,0.0,251671.36,17522.4,21332.14,38854.54,49386.55,301057.91000000003,266261.28,0.0,0.0,6231.74,6231.74,2522581.23,4414.83,2670588.26,0.0,2558.92,288333.96,0.0,288333.96,2507631.3,0.0,-102846.67,0.0,28043.980000000003,230200.55,125126.909,0.0,230999.87,120174.7,230999.87,0.0,17659.32,13244.49,21332.14,100171.35,13244.49,-3672.82,0.0,28043.980000000003,617435.8500000001,617435.8500000001,41413.46,CAMDEBENS SL_resum
2008-01-01,377651.26,2200.0,154322.61000000002,36060.73,-12670.9,1089894.81,0.0,134537.4,19198.980000000003,-24955.56,-5756.58,0.0,132337.4,234391.4,3081.26,0.0,19586.72,19586.72,1093510.59,-10623.3,1190066.16,0.0,2049.1,676303.64,393240.82,272439.52,1089894.81,0.0,-102846.67,10623.3,19785.21,198330.669,125126.909,0.0,216383.59,377651.26,218583.59,0.0,-42493.18,-31869.88,-24955.56,100171.35,-31869.88,-17537.62,0.0,19785.21,830626.25,830626.25,-626.219,CAMDEBENS SL_resum
2009-01-01,215397.2,2200.0,72501.61,36060.73,63250.24,0.0,0.0,66143.07,23727.64,64360.5,88088.14,0.0,63943.07,273914.0,0.0,0.0,11908.06,11908.06,914183.8250000001,13174.2,95550.24,0.0,244.36,641952.71,385309.91,256642.79,0.0,0.0,-7462.1,0.01,6358.54,237853.27,31189.739,0.0,222943.12,215397.2,225143.12,0.0,52696.8,39522.6,64360.5,95550.24,39522.6,-11663.699,0.0,6358.54,714454.3200000001,714454.3200000001,88332.5,CAMDEBENS SL_resum
2010-01-01,156068.43,2200.0,83191.34,36060.73,68237.34,0.0,0.0,49341.54,20780.14,68737.66,89517.8,0.0,47141.54,321371.2,0.0,0.0,5506.469999999999,5506.469999999999,734857.06,15819.07,95955.83,0.0,45.08,621172.56,377379.0,243793.56,0.0,0.0,-6438.03,2500.0075,33849.8,285310.47000000003,27218.17,0.0,224724.27,156068.43,226924.27,0.0,63276.27,47457.2,68737.66,95955.83,47457.2,-5461.39,0.0,33849.8,704363.9,704363.9,89562.88,CAMDEBENS SL_resum
2011-01-01,106213.96,2200.0,103115.56,36060.73,69976.349,0.0,0.0,49333.54,19452.95,70889.54,90342.489,0.0,47133.54,371894.6,0.0,0.0,3533.75,3533.75,555530.295,16841.129999999997,97556.41,0.0,8.739999999999998,601719.61,369448.09,232271.52,0.0,0.0,-7213.92,5000.005,53782.02,335833.87,26666.87,0.0,224526.61,106213.96,226726.61,0.0,67364.53,50523.399,70889.54,97556.41,50523.399,-3525.01,0.0,53782.02,704835.1699999999,704835.1699999999,90351.23,CAMDEBENS SL_resum
2012-01-01,102199.63,2200.0,136822.49,36060.73,84643.25,0.0,0.0,50289.56,18910.49,95564.31,114474.8,0.0,48089.56,437627.36,0.0,0.0,3665.81,3665.81,376203.53,28171.19,121566.96,0.0,2005.45,582809.12,361517.18,221291.94,0.0,0.0,-7092.160000000001,7500.0025000000005,86532.93,401566.629,26002.65,0.0,177604.62,102199.63,179804.62,0.0,93903.95,65732.759,95564.31,121566.96,65732.759,-1660.36,0.0,85332.93,719631.61,719631.61,116480.25,CAMDEBENS SL_resum
2013-01-01,98149.18,2200.0,236275.73,36060.73,70671.76,0.0,0.0,53453.37,21637.84,69994.26,91632.099,0.0,51253.37,483293.06,0.0,0.0,3844.28,3844.28,196876.765,21014.54,103068.58,0.0,3898.48,571171.2799999999,0.0,561171.2799999999,0.0,0.0,-11436.48,10000.0,182822.36,447232.329,33074.32,0.0,223804.77,98149.18,226004.77,0.0,70048.45999999999,49033.92,69994.26,103068.58,49033.92,54.199000000000005,0.0,182822.36,807447.01,807447.01,95530.58,CAMDEBENS SL_resum
2014-01-01,94000.94,2200.0,303843.22000000003,36060.73,71875.65000000001,0.0,0.0,58011.39,20838.59,74928.87000000001,95767.459,0.0,55811.39,531166.31,14898.79,0.0,4059.62,4059.62,17550.0,23102.63,122269.45,0.0,3270.44,550332.69,0.0,540332.69,0.0,1.0,-11603.2,10000.0,245831.83,495105.58,47340.58,0.0,226808.66,94000.94,229008.66,0.0,74139.69,51037.06,74928.87000000001,122269.45,51037.06,-789.1790000000001,0.0,5616.33,854175.91,854175.91,113936.69,CAMDEBENS SL_resum
2015-01-01,89690.61,2200.0,223437.85,36060.73,82734.66,0.0,0.0,54188.810000000005,47857.83,46804.75,94662.58,0.0,51988.810000000005,566043.14,18714.52,0.0,3539.11,3539.11,14850.0,9899.34,119301.4,0.0,1510.53,581935.92,0.0,492474.86,0.0,1.0,-5924.3,89461.06,169249.04,529982.41,72496.65000000001,0.0,147440.02,89690.61,149640.02,0.0,44776.17,34876.83,46804.75,119301.4,34876.83,-2028.58,0.0,19033.54,805373.7699999999,805373.7699999999,114887.63,CAMDEBENS SL_resum
2016-01-01,425.0,2200.0,709761.41,36060.73,374844.839,0.0,0.0,54485.94,200440.05,232418.85,432858.9,0.0,52285.94,740447.93,0.0,0.0,2276.27,2276.27,12117.19,57121.63,103896.45,0.0,1383.84,258591.9,0.0,169130.84,0.0,0.0,328962.449,89461.06,655275.47,704387.2,-128522.4,0.0,225280.38,425.0,227480.38,0.0,231526.42,174404.79,232418.85,103896.45,174404.79,-892.43,0.0,505059.97,968353.31,968353.31,434242.74,CAMDEBENS SL_resum
2017-01-01,425.0,2200.0,727195.23,36060.73,63658.7,0.0,0.0,48793.84,12647.4,81917.95,94565.349,0.0,46593.84,791459.23,0.0,0.0,19095.92,104.46,9384.380000000001,14809.73,104610.37,0.0,2999.0,257271.23,0.0,156483.44,0.0,0.0,-10045.02,100787.79,678401.39,755398.5,22692.42,0.0,190382.23,425.0,192582.23,0.0,65821.03,51011.3,81917.95,104610.37,51011.3,-16096.919,0.0,377572.88,984466.46,984466.46,78572.89,CAMDEBENS SL_resum
2018-01-01,79572.55,2200.0,502754.84,36060.73,59003.97,0.0,0.0,62296.67,16206.19,81602.34,97808.53,0.0,60096.67,834257.01,0.0,0.0,29380.980000000003,261.62,6651.57,12784.95,112313.09,0.0,3361.3700000000003,511276.12,0.0,258902.15,0.0,0.0,-14504.56,252373.97,440458.17,798196.2799999999,30710.75,0.0,98001.4,79572.55,100201.4,0.0,55582.73,42797.78,81602.34,112313.09,42797.78,-26019.61,0.0,389629.66,1014030.96,1014030.96,72050.54,CAMDEBENS SL_resum
2019-01-01,63412.51,2200.0,613329.07,36060.73,83490.20999999999,0.0,0.0,51341.53,18617.03,84901.2,103518.23,0.0,49141.53,899130.19,0.0,0.0,2581.29,679.3199999999999,3918.76,20237.59,119782.95,0.0,2790.86,545323.63,0.0,246254.75,0.0,0.0,-16264.72,299068.88,561987.54,863069.4600000001,34881.75,0.0,193910.0,63412.51,196110.0,0.0,85110.77,64873.18,84901.2,119782.95,64873.18,209.57,0.0,481987.54,1158652.7,1158652.7,104407.12,CAMDEBENS SL_resum
2020-01-01,47468.53,2200.0,464613.89,36060.73,89271.53,0.0,0.0,45638.03,18617.03,87482.54,106099.569,0.0,43438.03,969784.69,0.0,0.0,445.38,445.38,1185.95,21531.72,121890.73,0.0,5149.059,745268.9400000001,0.0,227637.72,0.0,0.0,-15791.16,517631.22,418975.86,933723.96,34408.189999999995,0.0,190429.61,47468.53,192629.61,0.0,92186.22,70654.5,87482.54,121890.73,70654.5,4703.679,0.0,88975.86,1209882.83,1209882.83,111248.63,CAMDEBENS SL_resum
2021-01-01,31457.28,2200.0,564938.7699999999,36060.73,130210.739,0.0,0.0,44255.25,18617.03,82501.29,101118.319,0.0,42055.25,1081378.4,0.0,0.0,520.4399999999999,378.11,1185.95,36733.44,121285.04,0.0,66346.3,864904.1,0.0,209924.21,0.0,0.0,-20166.72,654979.89,520683.52,1045317.669,38783.75,0.0,314807.189,31457.28,317007.19,0.0,148327.15,111593.709,82501.29,121285.04,111593.709,65825.86,0.0,190683.52,1429842.87,1429842.87,167322.289,CAMDEBENS SL_resum
2022-01-01,15293.27,2200.0,390160.44,36060.73,65792.45,0.0,0.0,60317.9,18617.03,101808.07,120425.1,0.0,58117.9,1128553.82,0.0,0.0,50686.86,225.35,1185.95,16560.3,129085.46,0.0,12614.51,792322.8600000001,0.0,197276.81,0.0,0.0,-8660.359999999999,595046.05,329842.54,1092493.09,27277.39,0.0,36436.21,15293.27,38636.21,0.0,63735.72,47175.42,101808.07,129085.46,47175.42,-38072.350000000006,0.0,226967.43,1182483.3,1182483.3,82578.1,CAMDEBENS SL_resum
2023-01-01,425.0,2200.0,230459.11,36060.73,102196.89,0.0,0.0,49118.72,18617.03,91713.69,110330.72,0.0,46918.72,1212133.6800000002,0.0,0.0,155.19,155.19,1185.95,31367.3,137683.59,0.0,23388.66,1100136.07,0.0,184629.41,0.0,0.0,-27352.87,915506.66,181340.39,1176072.95,45969.899,0.0,115836.5,425.0,118036.5,0.0,114947.16,83579.86,91713.69,137683.59,83579.86,23233.47,0.0,161340.38999999998,1330595.1800000002,1330595.1800000002,133719.37999999998,CAMDEBENS SL_resum
