Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,214882.19,0.0,148990.11000000002,601012.1,178999.22,0.0,0.0,114461.32,28872.13,22723.81,51595.94,0.0,114461.32,877438.3200000001,8203.82,1202.02,11329.9,11329.9,107093.87,58336.03,107093.87,198206.88,64.36,1121964.98,215.0,999533.27,0.0,1.0,-143064.03,122431.709,34528.789,276426.22000000003,173058.64,34175.73,178634.58,214882.19,178634.58,0.0,11458.27,-46877.759,22723.81,197991.86,150127.09,-11265.54,197004.86,34528.78999999999,1270955.09,1270955.09,256868.97,CAMPAG YELLOW SL_resum
2000-01-01,287718.58,0.0,128465.89,601012.1,31959.559,0.0,0.0,122313.12,22087.19,24993.65,47080.84,0.0,122313.12,887310.69,10962.46,27.41,12971.76,12971.76,51120.25,3684.82,76292.61,0.0,1562.71,1254255.14,215.0,1231273.32,0.0,1.0,-143064.03,22981.819,6152.77,286298.58900000004,173058.64,34175.73,207691.76,287718.58,207691.76,0.0,13584.6,9899.78,24993.65,197991.86,9872.37,-11409.05,-27.41,6152.77,1382721.03,1382721.03,59578.6,CAMPAG YELLOW SL_resum
2001-01-01,259131.92,0.0,88348.95999999999,601000.01,33106.979,0.0,0.0,87639.72,27325.57,24116.44,51442.009,0.0,87639.72,893092.11,10962.46,0.0,16691.329999999998,16691.329999999998,108570.57,1646.37,108570.57,0.0,2.67,1244828.36,215.0,1204993.5,0.0,1.0,-143064.03,39834.86,709.24,292092.1,173058.64,34175.73,180953.29,259131.92,180953.29,0.0,7427.78,5781.41,24116.44,197991.86,5781.41,-16688.66,0.0,709.24,1333177.32,1333177.32,62407.14,CAMPAG YELLOW SL_resum
2002-01-01,212119.11,0.0,76343.57,601000.0,108265.87,0.0,0.0,69242.45,29976.3,26872.1,56848.399,0.0,69242.45,971381.67,10962.48,0.0,13684.08,13684.08,122230.37,13599.76,122230.37,78697.82,3.49,1383065.55,215.0,1313477.89,0.0,1.0,-143064.03,69587.66,7101.120000000001,370381.67,173058.64,34175.73,275908.34,212119.11,275908.34,0.0,13191.51,-408.25,26872.1,197991.86,78289.57,-13680.59,78697.82,7101.120000000001,1459409.12,1459409.12,146512.18899999998,CAMPAG YELLOW SL_resum
2003-01-01,182390.3,0.0,714343.2699999999,703170.0,578588.13,0.0,0.0,711987.53,30762.86,16529.05,47291.91,0.0,711987.53,1621376.94,10962.48,0.0,9027.04,9027.04,172003.31,172079.67,172003.31,712276.3600000001,126.57,1509415.96,215.0,1424153.1700000002,0.0,1.0,-143064.03,85262.79,2355.739,918206.94,173058.64,34175.73,419991.9900000001,182390.3,419991.9900000001,0.0,7628.58,-164451.09,16529.05,197991.86,547825.2699999999,-8900.47,712276.3600000001,2355.74,2223759.23,2223759.23,770657.3200000001,CAMPAG YELLOW SL_resum
2004-01-01,152343.36,0.0,465354.81,703170.0,535845.7089999999,0.0,0.0,444800.7,30872.460000000003,736206.06,767078.52,0.0,444800.7,2126350.19,10962.48,19.45,5356.78,5356.78,866202.2799999999,225862.02,866202.2799999999,0.0,5.44,2755880.49,215.0,2661401.9,0.0,1.0,-143064.03,94478.59,20554.109,1423180.1900000002,173058.64,34175.73,942541.75,152343.36,942541.75,0.0,730854.72,504992.699,736206.06,197991.86,504973.25,-5351.34,-19.45,20554.11,3221235.3,3221235.3,778026.99,CAMPAG YELLOW SL_resum
2005-01-01,69495.72,0.0,120830.73,703170.0,43385.84,0.0,0.0,120652.25,27522.960000000003,-45825.87,-18302.91,0.0,120652.25,2142213.069,10962.48,12047.83,3042.14,3042.14,153754.15,17032.07,153754.15,93790.78,20.01,3107567.5,215.0,3014511.23,0.0,1.0,-143064.03,93056.27,178.47899999999998,1439043.069,173058.64,34175.73,1016689.44,69495.72,1016689.44,0.0,-48848.0,-65880.07,-45825.87,197991.86,15862.88,-3022.13,81742.95,178.48000000000002,3228398.23,3228398.23,74422.52900000001,CAMPAG YELLOW SL_resum
2006-01-01,14183.83,0.0,374121.88,703170.0,1880370.67,0.0,0.0,371315.97,73013.03,-81184.7,-8171.669000000001,0.0,371315.97,3949570.71,10962.48,0.0,4164.6,4164.6,138174.04,200238.27,138174.04,2092772.74,172.47,6091277.52,215.0,5994915.69,0.0,1.0,-143064.03,96361.829,2805.9100000000003,3246400.71,173058.64,34175.73,2501644.86,14183.83,2501644.86,0.0,-85176.83,-285415.1,-81184.7,197991.86,1807357.64,-3992.13,2092772.74,2805.9100000000003,6465399.4,6465399.4,2095736.02,CAMPAG YELLOW SL_resum
2007-01-01,30321.71,0.0,863469.31,703170.0,0.0,0.0,0.0,860316.22,0.0,46215.54,46215.54,0.0,860316.22,3947692.18,15875.95,390.97,83494.86,83494.86,171799.07,-10994.54,171799.07,20381.94,4415.28,6723303.1,215.0,6612489.91,0.0,1.0,-143064.03,110598.189,3153.09,3244522.18,173058.64,34175.73,3608758.52,30321.71,3608758.52,0.0,-32864.04,-21869.5,46215.54,197991.86,-1878.53,-79079.58,19990.97,3153.09,7586772.41,7586772.41,86497.73999999999,CAMPAG YELLOW SL_resum
2008-01-01,278518.67,0.0,1501042.47,703170.0,0.0,0.0,4387844.970000001,1371853.33,0.0,24933.22,24933.22,0.0,1371853.33,3951158.96,29994.61,0.0,85566.98,85566.98,197991.86,1155.6,197991.86,0.0,65256.14,7200953.18,215.0,6838666.69,0.0,2.0,-143064.03,362071.4900000001,129189.14,3247988.96,173058.64,34175.73,50297.32,312694.4,4438142.29,0.0,4622.38,3466.78,24933.22,197991.86,3466.78,-20310.839,0.0,12178.84,8701995.65,8701995.65,120183.97,CAMPAG YELLOW SL_resum
2009-01-01,175114.67,0.0,1583827.38,703170.0,0.0,0.0,4521075.28,1170689.97,0.0,60448.16,60448.16,0.0,1170689.97,3951459.25,31224.99,0.0,239290.68,239290.68,231186.35,-268.98,231186.35,0.0,178873.83,7099558.64,215.0,6990149.45,0.0,2.0,-139513.199,109194.19,413137.41,3248289.25,170738.18899999998,32799.53,2937.29,207914.2,4524012.57,0.0,31.31,300.29,60448.16,231186.35,300.29,-60416.849,0.0,37127.11,8683386.02,8683386.02,270546.98000000004,CAMPAG YELLOW SL_resum
2010-01-01,974344.08,0.0,842124.97,703170.0,0.0,0.0,3901353.29,139964.94999999998,0.0,48890.55,48890.55,0.0,139964.94999999998,3952233.55,30808.34,0.0,48267.880000000005,48267.880000000005,156055.44,-150.47,156559.01,0.0,1.16,8018716.119999999,215.0,7921306.930000001,0.0,2.0,-76860.12000000001,97194.19,702160.019,3249063.55,107668.46,31423.33,1486.84,1005767.41,3902840.13,0.0,623.8299999999999,774.3,48890.55,156559.01,774.3,-48266.719,0.0,124.96,8860841.09,8860841.09,79700.05,CAMPAG YELLOW SL_resum
2011-01-01,2174151.82,0.0,1519418.93,703170.0,0.0,0.0,2924408.14,519335.69,0.0,69150.31,69150.31,0.0,519335.69,3881589.52,25817.49,0.0,141419.5,141419.5,171058.4,-1181.7,171058.4,0.0,443.46,7498838.38,215.0,7389772.89,0.0,2.0,-76090.599,108850.49,1000083.24,3178419.52,101908.09,30047.13,8060.7,2204198.95,2932468.84,0.0,-71825.73,-70644.03,69150.31,171058.4,-70644.03,-140976.04,0.0,13884.85,9018257.31,9018257.31,95411.26,CAMPAG YELLOW SL_resum
2012-01-01,3653542.28,0.0,1916057.31,703170.0,0.0,0.0,1711789.05,529656.2699999999,0.0,41532.01,41532.01,0.0,529656.2699999999,3819323.33,16800.0,0.0,105189.51,105189.51,213551.7,-1376.2,213590.85,0.0,15.11,7334206.56,215.0,7230621.07,0.0,1.0,-155258.84,103370.49,1386401.039,3116153.33,172058.84,28670.93,36938.28,3682213.21,1748727.33,0.0,-63642.39,-62266.19,41532.01,213590.85,-62266.19,-105174.4,0.0,44384.63,9250263.87,9250263.87,58347.119,CAMPAG YELLOW SL_resum
2013-01-01,3827418.13,0.0,2356003.93,703170.0,0.0,0.0,1527826.44,499936.91,0.0,43336.17,43336.17,207000.0,706936.909,3777266.84,16800.0,0.0,87301.66,87301.66,273710.07,-1376.2,273710.07,0.0,532.8,6831872.7,215.0,6731287.21,0.0,1.0,-213573.899,100370.49,1649067.02,3074096.839,230373.899,27294.73,28070.49,3854712.86,1555896.93,0.0,-43432.69,-42056.49,43336.17,273710.07,-42056.49,-86768.86,0.0,26.35,9187876.63,9187876.63,60668.97,CAMPAG YELLOW SL_resum
2014-01-01,1539860.01,0.0,1907631.83,703170.0,0.0,0.0,1565826.25,46668.4,0.0,-954433.15,-954433.15,207000.0,253668.4,2535199.0,16800.0,0.0,289039.32,289039.32,192729.29,-1376.2,192729.29,0.0,28.43,4247221.73,215.0,4150760.41,0.0,1.0,-1130362.439,96246.32,1653963.43,1832028.999,1147162.439,25918.53,488049.77,1565778.54,2053876.02,0.0,-1243444.04,-1242067.84,-954433.15,192729.29,-1242067.84,-289010.89,0.0,357.79333333333335,6154853.56,6154853.56,-937604.72,CAMPAG YELLOW SL_resum
2015-01-01,112060.66,0.0,990078.62,703170.0,0.0,0.0,1605090.15,50352.03,0.0,41044.380000000005,41044.380000000005,207000.0,257352.03,2585431.02,16800.0,0.0,248949.86,248949.86,171190.91999999998,-1376.2,171190.91999999998,0.0,256761.3,3819376.9,215.0,3728836.69,0.0,1.0,-113346.54,90325.21,732726.59,1882261.019,130146.54,24542.33,482331.36,136602.99,2087421.51,0.0,48855.82,50232.02,41044.380000000005,171190.91999999998,50232.02,7811.44,0.0,689.2366666666667,4809455.52,4809455.52,314605.68,CAMPAG YELLOW SL_resum
2016-01-01,94630.89,0.0,729252.9,703170.0,-576217.8300000001,0.0,0.0,69495.19,30551.51,-916192.36,-885640.8500000001,207000.0,276495.19,1978661.68,16800.0,0.0,1627.91,1627.91,107258.14,-24542.33,107258.14,0.0,286508.6,1681612.55,215.0,1680289.55,0.0,1.0,-976098.99,1108.0,452757.71,1275491.6790000002,1023450.5,0.0,337572.88,94630.89,337572.88,0.0,-631311.6699999999,-606769.3400000001,-916192.36,107258.14,-606769.3400000001,284880.69,0.0,1020.68,2410865.45,2410865.45,-582332.25,CAMPAG YELLOW SL_resum
2017-01-01,129975.12,0.0,361705.88,703170.0,0.0,0.0,0.0,19956.5,0.0,-239465.94,-239465.94,0.0,19956.5,1738682.37,4200.0,0.0,517.3199999999999,517.3199999999999,56689.04,-24542.33,56689.04,0.0,3.95,1682412.55,215.0,1680289.55,0.0,1.0,-291954.98000000004,1908.0,341749.38,1035512.369,296154.98000000004,0.0,175460.94,129975.12,175460.94,0.0,-239979.31,-239979.31,-239465.94,56689.04,-239979.31,-513.37,0.0,341749.38,2044118.43,2044118.43,-235261.99,CAMPAG YELLOW SL_resum
