Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,87184.65000000001,270555.33,412475.88,3005.06,37958.75,503120.47,0.0,237792.66,9811.54,54478.1,64289.64,174386.07,412178.73,78917.77,54368.42,0.0,12893.84,12893.84,2185504.54,15156.19,2205975.05,0.0,1719.13,139402.07,0.0,139402.07,1925715.35,1.0,-91380.93,0.0,297.14900000000006,75912.70999999999,143443.168,0.0,385775.52,87184.65000000001,385775.52,0.0,43303.39,28147.199,54478.1,147007.94,28147.21,-11174.71,0.0,297.15000000000003,551877.9500000001,551877.9500000001,120377.2,CAN BASSETS SL_resum
2000-01-01,76981.19,270555.33,407629.87,3005.06,53051.54,503120.47,0.0,315873.55,11426.1,75023.57,86449.67000000001,90963.18,406836.73,120543.21,46734.95,0.0,10984.44,10984.44,1991497.03,22413.69,2022417.64,0.0,859.575,134250.54,0.0,134250.54,1786130.49,4.0,-91380.93,0.0,793.14,117538.15,143443.168,0.0,344356.01,76981.19,344356.01,0.0,64039.13,41625.44,75023.57,147007.94,41625.44,-10984.44,0.0,793.14,541880.4,541880.4,133184.62,CAN BASSETS SL_resum
2001-01-01,66418.259,270555.33,578092.08,3010.0,2874.759,503120.47,0.0,342863.23000000004,11573.71,-1033.2,10540.509,177991.54,520854.77,111844.26,51706.32,0.0,13191.240000000002,13191.240000000002,2050280.25,-4684.05,2073239.19,841.42,0.02,136861.8,0.0,136861.8,1866521.81,2.0,-91380.93,0.0,57237.309,108834.26,143443.168,0.0,536691.3600000001,66418.259,536691.3600000001,0.0,-14224.42,-9540.369,-1033.2,147007.94,-8698.949999999999,-13191.22,841.42,57237.310000000005,714953.88,714953.88,63088.27,CAN BASSETS SL_resum
2002-01-01,55142.9,270555.33,743954.98,3010.0,52298.14,503120.47,0.0,494819.5,12950.85,63353.24,76304.09,155098.77000000002,649918.2699999999,150522.38999999998,52812.09,619.58,7003.74,7003.74,2033214.37,17228.95,2073767.69,0.0,846.3199999999999,139592.61000000002,0.0,139592.61000000002,1783285.12,6.0,-91380.93,0.0,94036.709,147512.38999999998,143443.168,0.0,677882.3,55142.9,677882.3,0.0,57195.82,39966.869,63353.24,147007.94,39347.28999999999,-6157.42,-619.58,94036.71,883547.59,883547.59,129342.92,CAN BASSETS SL_resum
2003-01-01,43256.21,270555.33,552289.04,3010.0,26489.97,503120.47,0.0,249936.9,14173.69,721.98,14895.67,255320.0,505256.9,162838.7,53566.04,0.0,4986.73,4986.73,1674513.6800000002,5278.41,1731150.329,21103.51,755.93,142769.41,0.0,142769.41,1480547.6,3.0,-91380.93,0.0,47032.14,159828.7,143443.168,0.0,488963.54,43256.21,488963.54,0.0,-3508.82,-8787.230000000001,721.98,147007.94,12316.28,-4230.8,21103.51,47032.14,695058.4500000001,695058.4500000001,90321.15,CAN BASSETS SL_resum
2004-01-01,30761.39,270555.33,665602.25,3010.0,25822.26,503120.47,0.0,447110.27,15381.93,417.42,15799.35,158437.47,605547.74,173279.03,53098.02,0.0,4154.5,4154.5,1638473.23,4474.429999999999,1680381.21,18431.49,220.35,141857.47999999998,0.0,141857.47999999998,1459265.22,2.0,-91380.93,0.0,60054.51,170269.03,143443.168,0.0,603419.31,30761.39,603419.31,0.0,-3516.73,-7991.160000000001,417.42,147007.94,10440.33,-3934.15,18431.49,60054.51,807459.73,807459.73,87549.209,CAN BASSETS SL_resum
2005-01-01,17627.309999999998,270555.33,729146.88,3010.0,39010.259,503120.47,0.0,439529.5,12168.66,32356.43,44525.09,129097.0,568626.5,200120.63,50206.62,0.0,6306.57,6306.57,1687414.92,11503.53,1740952.13,11685.91,609.3599999999999,130735.04,0.0,130735.04,1467102.29,1.0,-91380.93,0.0,160520.37999999998,197110.63,143443.168,0.0,642133.98,17627.309999999998,642133.98,0.0,26659.22,15155.69,32356.43,147007.94,26841.6,-5697.21,11685.91,160520.37999999998,859881.92,859881.92,107026.98,CAN BASSETS SL_resum
2006-01-01,3821.26,270555.33,544176.75,3010.0,23899.25,503120.47,0.0,209778.6,9986.05,11479.83,21465.879,306225.0,516003.6,214033.83,48201.850000000006,117.3,2309.58,2309.58,1189807.47,5962.8,1210837.27,9664.26,1158.79,128052.99,0.0,128052.99,977476.2,1.0,-91380.93,0.0,28173.149,211023.83,143443.168,0.0,454374.65,3821.26,454374.65,0.0,10329.04,4366.24,11479.83,147007.94,13913.2,-1150.79,9546.96,28173.15,672229.74,672229.74,80373.48,CAN BASSETS SL_resum
2007-01-01,22494.129999999997,270555.33,530421.449,3010.0,4907.809,503120.47,0.0,199987.89,9790.31,-9463.89,326.42,264384.41900000005,464372.309,209151.33,55888.87,0.0,2557.11,2557.11,812705.8200000001,-1627.5,853023.019,2924.05,2586.9500000000003,118262.68,0.0,118262.68,696899.65,2.0,-91380.93,0.0,66049.14,206141.33,143443.168,0.0,439532.8,22494.129999999997,439532.8,0.0,-9434.05,-7806.549,-9463.89,147007.94,-4882.5,29.84,2924.05,66049.14,648684.13,648684.13,61726.28999999999,CAN BASSETS SL_resum
2008-01-01,41167.0,270555.33,503723.43000000005,3010.0,13839.968,503120.47,0.0,170937.99,8202.638,3564.77,11767.408,252965.27,153347.93,214788.66,43859.6,0.0,811.56,811.56,609704.74,1879.11,650128.41,0.0,4763.23,110060.1,0.0,110060.1,503120.47,2.0,-91380.93,0.0,79820.17000000001,211778.659,143443.168,0.0,128439.54,41167.0,398994.87,0.0,7516.44,5637.33,3564.77,147007.94,5637.33,3951.669,0.0,79820.17000000001,613783.53,613783.53,60390.238,CAN BASSETS SL_resum
