Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,0.0,309032.54,588991.8600000001,18369.460000000003,0.0,0.0,2983.76,4201.59,-16.91,-16.91,0.0,2983.76,695415.47,5859.87,0.0,0.07,0.07,27126.9,6654.360000000001,27126.9,68.14999999999999,10643.02,407520.18,0.0,407520.18,0.0,1.0,-20738.4,0.0,306048.77900000004,106423.609,33488.48,0.0,21137.24,0.0,21137.24,0.0,10626.12,3971.76,-16.91,45928.92,4039.91,10643.02,68.14999999999999,306048.78,716552.71,716552.71,16554.14,CAN CASTELL SL_resum
2000-01-01,0.0,0.0,334920.82,588991.8600000001,18369.460000000003,0.0,0.0,1351.9,4201.59,3989.64,8191.23,0.0,1351.9,709583.3400000001,10820.18,0.0,0.07,0.07,27693.77,6071.94,27693.77,0.0,16250.17,403318.59,0.0,403318.59,0.0,1.0,-20738.4,0.0,333568.92000000004,120591.479,33488.48,0.0,28656.07,0.0,28656.07,0.0,20239.81,14167.87,3989.64,45928.92,14167.87,16250.17,0.0,333568.92000000004,738239.41,738239.41,35261.58,CAN CASTELL SL_resum
2001-01-01,0.0,0.0,338814.53,588980.0,13354.4,0.0,0.0,1717.0,4201.59,1404.1799999999998,5605.77,0.0,1717.0,718736.14,13771.13,0.0,0.07,0.07,28577.91,3922.63,28577.91,0.0,11671.33,399117.0,0.0,399117.0,0.0,1.0,-20738.4,0.0,337097.53,129756.14,33488.48,0.0,19195.39,0.0,19195.39,0.0,13075.44,9152.81,1404.1799999999998,45928.92,9152.81,11671.26,0.0,337097.53,737931.53,737931.53,31048.23,CAN CASTELL SL_resum
2002-01-01,0.0,0.0,347332.48000000004,588980.0,25734.960000000003,0.0,0.0,282.95,6324.02,-868.6,5455.42,0.0,282.95,738147.07,13740.28,0.0,0.12,0.12,29203.68,8318.967999999999,29203.68,0.0,28598.63,392792.98,0.0,392792.98,0.0,1.0,-20738.4,0.0,347049.52900000004,149167.069,33488.48,0.0,1978.39,0.0,1978.39,0.0,27729.91,19410.942000000003,-868.6,45928.92,19410.94,28598.51,0.0,347049.53,740125.4600000001,740125.4600000001,47794.328,CAN CASTELL SL_resum
2003-01-01,0.0,0.0,352582.64,588980.0,15087.71,0.0,0.0,5592.52,6324.02,-942.75,5381.27,0.0,5592.52,737015.7,13869.52,0.0,9.683333333333332,9.683333333333332,30102.72,3755.87,30102.72,73.13,13389.18,386468.96,0.0,386468.96,0.0,1.0,-20738.4,0.0,346990.12,148035.699,33488.48,0.0,2035.9,0.0,2035.9,0.0,12446.43,8690.56,-942.75,45928.92,8763.69,13389.18,73.13,346990.12,739051.6,739051.6,32713.1,CAN CASTELL SL_resum
2004-01-01,0.0,0.0,368147.82,588980.0,16385.989,0.0,0.0,19603.01,8824.81,-1711.51,7113.299,0.0,19603.01,744576.88,13426.84,0.0,19.246666666666666,19.246666666666666,30923.28,3240.5,30923.28,429.26,12083.93,377644.15,0.0,377644.15,0.0,1.0,-20738.4,0.0,348544.81,155596.87999999998,33488.48,0.0,1215.09,0.0,1215.09,0.0,10372.42,7131.92,-1711.51,45928.92,7561.18,12083.93,429.26,348544.81,745791.97,745791.97,33053.33,CAN CASTELL SL_resum
2005-01-01,0.0,0.0,382688.46,588980.0,13825.32,0.0,0.0,958.09,6324.02,-1341.02,4983.0,0.0,958.09,752078.1799999999,13285.58,0.0,28.81,28.81,32085.12,3214.84,32085.12,0.0,12085.97,371320.13,0.0,371320.13,0.0,1.0,-20738.4,0.0,381730.37,163098.18,33488.48,0.0,1930.41,0.0,1930.41,0.0,10716.14,7501.299,-1341.02,45928.92,7501.3,12057.16,0.0,381730.37,754008.59,754008.59,30354.55,CAN CASTELL SL_resum
2006-01-01,0.0,0.0,380620.75,588980.0,17265.809999999998,0.0,0.0,18810.07,6324.02,194.46,6518.48,0.0,18810.07,763019.97,13285.58,0.12,19.206666666666663,21.755,35586.719999999994,4689.34,35586.719999999994,3343.3900000000003,12093.4,383970.31,0.0,383970.31,0.0,1.0,-20738.4,0.0,361810.68,174039.96899999998,33488.48,0.0,1571.09,0.0,1571.09,0.0,12287.86,7598.52,194.46,45928.92,10941.79,12093.4,3343.27,361810.68,764591.06,764591.06,35240.72899999999,CAN CASTELL SL_resum
2007-01-01,0.0,0.0,315978.15,588980.0,14723.939999999999,0.0,0.0,19618.76,6186.875,6089.58,6089.58,0.0,19618.76,776255.8600000001,13011.6,0.0,9.603333333333332,14.7,30190.44,6105.14,39790.44,8.49,13242.96,461915.35,0.0,461915.35,0.0,1.0,-20738.4,0.0,296359.39,187275.86,33488.48,0.0,1637.64,0.0,1637.64,0.0,19332.54,13227.4,6089.58,45928.92,13235.89,13242.96,8.49,296359.39,777893.5,777893.5,32352.629,CAN CASTELL SL_resum
2008-01-01,0.0,0.0,332913.4,588980.0,12182.07,0.0,0.0,7348.76,6049.73,12440.44,12440.44,0.0,7348.76,793154.81,12750.08,0.0,0.0,7.645,36328.92,6982.99,45928.92,0.0,11441.5,461915.35,0.0,461915.35,0.0,1.0,-20738.4,198.68499999999997,325564.64,204174.81,33488.48,0.0,1673.94,0.0,1673.94,0.0,23881.94,16898.949,12440.44,45928.92,16898.949,11441.5,0.0,306764.64,794828.75,794828.75,36632.02,CAN CASTELL SL_resum
2009-01-01,0.0,0.0,342240.4,588980.0,9640.199999999999,0.0,0.0,9906.65,5912.585,3595.94,3595.94,0.0,9906.65,802583.58,21141.54,0.0,0.59,0.59,31671.24,3142.9300000000003,41271.24,0.0,8976.349999999999,461915.35,0.0,461915.35,0.0,1.0,-16533.758,397.36999999999995,332333.75,213603.58,37675.298,0.0,1572.1699999999998,0.0,1572.1699999999998,0.0,12571.7,9428.77,3595.94,41271.24,9428.77,8975.76,0.0,303933.75,804155.75,804155.75,33713.83,CAN CASTELL SL_resum
2010-01-01,0.0,0.0,335186.15,588980.0,7098.33,0.0,0.0,13218.4,5775.44,-8194.03,-2418.59,0.0,13218.4,803906.47,27909.21,0.0,0.0,189.26,31766.22,440.96,47166.22,0.0,9957.88,471121.67,0.0,471121.67,0.0,1.0,-21675.6,596.055,321967.75,214926.47,55360.25,0.0,2401.3500000000004,0.0,2401.3500000000004,0.0,1763.85,1322.889,-8194.03,47166.22,1322.889,9957.88,0.0,321967.75,806307.8200000001,806307.8200000001,35448.5,CAN CASTELL SL_resum
2011-01-01,0.0,0.0,345117.57,588980.0,9967.64,0.0,0.0,13517.43,8814.91,-8958.92,-144.01,0.0,13517.43,805059.2,27906.960000000003,0.0,0.0,377.92999999999995,32496.960000000003,384.25,47896.96,0.0,10495.9,462306.76,0.0,462306.76,0.0,1.0,-20134.01,794.7399999999999,331600.14,216079.2,56855.880000000005,0.0,2365.13,0.0,2365.13,0.0,1536.98,1152.73,-8958.92,47896.96,1152.73,10495.9,0.0,331600.14,807424.3300000001,807424.3300000001,38258.850000000006,CAN CASTELL SL_resum
