Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,328977.67,867913.49,321615.73000000004,60101.21,122697.12,1864326.86,0.0,266218.09,104850.34,43240.8,148091.14,6010.120000000001,266218.09,50336.04,262032.44,0.0,33276.33,33276.33,1113459.37,8944.59,1114295.35,15411.9,1415.01,395954.18,330397.77,20045.13,321883.84,12.0,-278405.13,45511.279,55397.639,-9765.169,763321.2,0.0,338256.199,328977.67,338256.199,0.0,11379.47,2434.8790000000004,43240.8,800323.9789999999,17846.780000000002,-31861.32,15411.9,25914.59,717569.91,717569.91,426950.48,CARGO TP ADVANCE SL._resum
2000-01-01,320517.46,867913.49,409083.41,60101.21,155898.78,1864326.86,0.0,327499.78,121086.58,70767.1,191853.68,6010.120000000001,327499.78,85148.23999999999,307921.29000000004,0.0,29607.079,29561.12,1418047.54,11728.47,1418883.52,4105.75,1274.91,417969.9900000001,348961.19,23681.28,392472.01,12.0,-278405.13,45327.519,81583.63,25047.03,763321.2,0.0,421387.69,320517.46,421387.69,0.0,42434.93,30706.460000000003,70767.1,800323.9789999999,34812.2,-28332.17,4105.75,47027.349,827053.39,827053.39,505109.66,CARGO TP ADVANCE SL._resum
2001-01-01,341571.4,867913.49,527365.76,60101.21,221378.789,1864326.86,0.0,371997.14,193610.61,19549.78,213160.389,6010.120000000001,378007.26,112916.42,358748.96,3664.22,32411.33,32405.99,1693556.95,6726.44,1693556.95,49608.12,1412.27,438950.43000000005,365257.18,26444.68,775793.03,12.4,-278405.13,47248.57,149358.5,52815.21,763321.2,0.0,511828.37,341571.4,511828.37,0.0,-11449.28,-18175.72,19549.78,800323.9789999999,27768.18,-30999.06,45943.9,107269.73,966316.19,966316.19,619260.1789999999,CARGO TP ADVANCE SL._resum
2002-01-01,589915.43,867913.49,599067.98,60101.21,256771.729,1864326.86,0.0,425978.55,193168.55,34300.36,227468.909,7653.177500000001,425978.55,176519.58,330288.85,0.0,31935.54,31935.45,1774838.73,6522.46,1774838.73,66668.209,1092.61,484988.06,380418.5,21963.76,795956.61,12.8,-278405.13,82605.8,173089.43,116418.37,763321.2,0.0,317621.03,589915.43,317621.03,0.0,3457.4300000000003,-3065.03,34300.36,800323.9789999999,63603.18,-30842.93,66668.209,130881.84,1084056.04,1084056.04,625518.49,CARGO TP ADVANCE SL._resum
2003-01-01,517314.8,867913.49,673374.02,60101.21,228142.78,1864326.86,0.0,476683.63,191256.6,10657.240000000002,201913.84,9296.235,476683.63,213405.76,365884.23,18207.88,28135.489,28135.3,2018290.49,4667.969999999999,2018290.49,76181.54,1058.74,407239.94,327201.07,8550.06,959052.9,13.2,-278405.13,71488.81,196690.39,153304.55,763321.2,0.0,349893.4,517314.8,349893.4,0.0,-16419.508,-21087.478000000003,10657.240000000002,800323.9789999999,36886.18,-27076.75,57973.66,168828.53,1080613.96,1080613.96,626830.2799999999,CARGO TP ADVANCE SL._resum
2004-01-01,342677.95,867913.49,687391.039,60101.21,140126.67,1864326.86,0.0,514528.63,100027.46,-71286.75,28740.71,10939.2925,514528.63,253504.97,332805.38,7426.0,15458.6,15458.59,2125046.779,-10237.789999999999,2125046.779,133065.08,1205.48,301018.24,253213.02,403.79,1324704.05,13.6,-278405.13,47401.43,172862.409,193403.76,763321.2,0.0,392226.36,342677.95,392226.36,0.0,-85539.87000000001,-85539.87000000001,-71286.75,800323.9789999999,40099.21,-14253.12,125639.08,157383.84,988409.28,988409.28,488390.64,CARGO TP ADVANCE SL._resum
2005-01-01,195493.71,867913.49,773390.3400000001,60101.21,-19377.649,1864326.86,0.0,599346.72,40569.05,-79025.73999999999,-38456.69,12582.35,611929.07,193558.27,332710.3,140.84,11036.53,11036.41,2365250.14,-25143.55,2365250.14,3947.74,1165.12,240147.66,213047.76,6587.969999999999,1684478.51,14.0,-278405.13,27099.899,161461.27000000002,133457.06,763321.2,0.0,624486.02,195493.71,624486.02,0.0,-88897.15000000001,-63753.599,-79025.73999999999,800323.9789999999,-59946.7,-9871.41,3806.899,154651.63,1013538.0,1013538.0,299225.509,CARGO TP ADVANCE SL._resum
2006-01-01,178106.53,867913.49,760265.81,60101.21,29676.039,1864326.86,0.0,551315.61,42545.59,-21410.42,21135.17,18262.38,569577.99,180688.72,390826.32,89.55,7446.53,7437.48,2420174.2800000003,-5515.52,2420174.2800000003,10343.38,218.049,324001.16,232436.92,12772.15,1728286.57,14.0,-278405.13,78792.089,190687.82,120587.51,763321.2,0.0,725471.72,178106.53,725471.72,0.0,-28638.9,-23123.38,-21410.42,800323.9789999999,-12869.55,-7228.48,10253.83,181249.32,1084266.97,1084266.97,422424.319,CARGO TP ADVANCE SL._resum
2007-01-01,137907.88999999998,867913.49,765643.48,60101.21,94810.48,1864326.86,0.0,652844.2899999999,70130.09,10208.79,80338.88,46582.93,699427.22,205369.11,436747.87,0.0,8949.929,8948.47,2604400.18,14120.67,2611739.17,37511.8,30.4,325518.67,217201.77,35070.09,1837688.53,14.0,-278405.13,73246.81,66216.259,145267.9,763321.2,0.0,747885.15,137907.88999999998,747885.15,0.0,1289.26,-12831.41,10208.79,800323.9789999999,24680.39,-8919.53,37511.8,59417.07,1091162.15,1091162.15,554627.49,CARGO TP ADVANCE SL._resum
2008-01-01,43689.95,867913.49,925803.2,60101.21,110695.16,1864326.86,0.0,818945.8200000001,86446.98999999999,37002.78,123449.77,37907.18,-11060.489,229617.29,398469.08,0.0,4672.23,4672.23,2657501.19,8082.73,2664650.84,0.0,0.35,227586.52,114090.94,165824.87,1864326.86,13.0,-278405.13,61761.65,68950.2,169516.08,763321.2,0.0,12168.99,43689.95,880082.48,0.0,32330.9,24248.17,37002.78,800323.9789999999,24248.17,-4671.879,0.0,68950.13,1153389.72,1153389.72,521919.2,CARGO TP ADVANCE SL._resum
