Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,1019528.52,1073613.25,60101.21,137643.479,7105946.73,0.0,668856.89,54409.25,158151.86,212561.11,404756.36,1073613.25,699394.8300000001,259433.64,0.0,30099.21,30099.21,5824093.609999999,44818.43,5888088.609999999,0.0,38688.36,962368.27,0.0,961797.75,4987569.22,19.0,-717861.08,570.52,0.0,639293.62,1130585.43,0.0,1336586.7,0.0,1336586.7,0.0,128052.65,83234.22,158151.86,1415446.74,83234.23,-30099.21,0.0,55371.54,2035981.52,2035981.52,471994.76,CARNICAS J COLOMER SA_resum
2000-01-01,0.0,1019528.52,772298.2799999999,60101.21,130213.34,7105946.73,0.0,631478.8500000001,47560.08,166149.87999999998,213709.96,85447.89,716926.74,804586.04,333781.6,0.0,38991.03,38991.03,7213809.659999999,44505.6,7278324.41,0.0,38688.36,1139731.91,0.0,1139161.39,6274579.22,19.0,-717861.08,570.52,55371.54,744484.8300000001,1130585.43,0.0,1107444.14,0.0,1107444.14,0.0,127158.85,82653.25,166149.87999999998,1415446.74,82653.26,-38991.03,0.0,55371.54,1912030.18,1912030.18,547491.57,CARNICAS J COLOMER SA_resum
2001-01-01,0.0,1019528.52,1164779.6,60101.21,143040.31999999998,7105946.73,0.0,1012073.86,30773.29,214788.67,245561.96,116150.08,1128223.94,347694.61,315406.09,0.0,42070.15,42070.15,5301423.359999999,60451.49,5620463.04,0.0,38688.36,635089.76,0.0,626869.21,4651948.109999999,19.0,-717861.08,8220.55,36555.66,287593.39900000003,1130585.43,0.0,1452174.75,0.0,1452174.75,0.0,172718.52,112267.03,214788.67,1415446.74,112267.03,-42070.15,0.0,36555.66,1799869.36,1799869.36,560968.049,CARNICAS J COLOMER SA_resum
2002-01-01,0.0,1019528.52,1174297.4,60101.21,161326.73,7105946.73,0.0,986770.93,29739.34,241234.55,270973.89,102212.07,1088983.0,479282.02,329139.32,0.0,42197.89,42197.89,5479662.7,67449.27,5595791.859999999,0.0,38688.36,598211.87,0.0,598211.87,4416407.63,19.0,-717861.08,0.0,85314.399,419180.81,1130585.43,0.0,1293227.25,0.0,1293227.25,0.0,199036.66,131587.38999999998,241234.55,1415446.74,131587.38999999998,-42197.89,0.0,85314.4,1772509.27,1772509.27,600113.21,CARNICAS J COLOMER SA_resum
2003-01-01,0.0,1019528.52,1217604.03,60101.21,164376.75,7105946.73,0.0,765102.02,29606.960000000003,229742.27,259349.229,104973.83,870075.8500000001,614051.81,356551.96,2163.9700000000003,21517.01,21517.01,5466479.7,71291.5,5513639.7,0.0,38688.36,573558.3500000001,0.0,268098.86,4367791.930000001,20.0,-717861.08,305459.49000000005,347528.179,553950.6,1130585.43,0.0,1177110.57,0.0,1177110.57,0.0,208225.26,136933.76,229742.27,1415446.74,134769.79,-21517.01,-2163.9700000000003,347528.18,1791162.38,1791162.38,613737.22,CARNICAS J COLOMER SA_resum
2004-01-01,120202.42,1019528.52,1155321.0,60101.21,159153.8,7105946.73,0.0,876943.26,27831.43,215868.04,243699.47,250124.02,1127067.28,745374.1799999999,370088.47,0.0,15307.04,15307.04,6127758.45,69238.63,6217698.45,0.0,38688.36,827478.58,0.0,257199.43,5071758.0,21.0,-717861.08,570279.149,28253.719,685272.97,1130585.43,0.0,1117222.98,120202.42,1117222.98,0.0,200561.0,131322.37,215868.04,1415446.74,131322.37,-15307.04,0.0,28253.72,1982799.58,1982799.58,613787.9400000001,CARNICAS J COLOMER SA_resum
2005-01-01,120202.42,1019528.52,1139081.1800000002,60101.21,221496.17,7105946.73,0.0,952875.56,26248.85,311880.91000000003,338129.759,132012.0,1084887.56,940621.5,336494.23000000004,7848.91,4375.79,4375.79,7999750.85,104408.89,8003050.85,0.0,38688.36,806676.4500000001,0.0,238018.58,6858650.430000001,15.0,-717861.08,568657.87,54193.619,880520.2899999999,1130585.43,0.0,884933.71,120202.42,884933.71,0.0,307505.12,203096.229,311880.91000000003,1415446.74,195247.32,-4375.79,-7848.91,54193.62,1945757.63,1945757.63,666775.08,CARNICAS J COLOMER SA_resum
2006-01-01,370202.42,1019528.52,1636946.6,60101.21,83050.95,7105946.73,0.0,1061730.409,23052.18,99843.08,122895.26,365880.54,1427610.949,1000620.27,371615.84,1590.81,5946.469999999999,5946.469999999999,7316110.26,32307.03,7319160.26,0.0,38688.36,892211.49,0.0,219061.25,6251762.119999999,15.0,-717861.08,673150.24,209335.651,940519.06,1130585.43,0.0,1158335.4,370202.42,1158335.4,0.0,93896.61,61589.58,99843.08,1415446.74,59998.77,-5946.469999999999,-1590.81,209335.65,2529158.09,2529158.09,492920.29,CARNICAS J COLOMER SA_resum
2007-01-01,370202.42,1019528.52,1559827.43,60101.21,177973.419,7105946.73,0.0,1004746.65,21316.87,229535.87,250852.74,217198.95,1221945.6,1157276.82,324777.82,0.0,854.4399999999999,854.4399999999999,6536230.49,72024.88,6536850.49,0.0,38688.36,809629.9600000001,0.0,197744.38,5216858.63,14.0,-717861.08,611885.58,337881.829,1097175.61,1130585.43,0.0,841978.15,370202.42,841978.15,0.0,228681.43,156656.55,229535.87,1415446.74,156656.55,-854.4399999999999,0.0,337881.83,2369457.39,2369457.39,575630.559,CARNICAS J COLOMER SA_resum
2008-01-01,780137.13,1019528.52,2392691.53,60101.21,229803.96,7105946.73,732763.14,1534822.23,20083.87,284861.31,304945.18,739850.9500000001,1255144.6590000002,1366996.91,392640.48,0.0,25406.78,25406.78,8518393.47,88422.8,8521393.47,0.0,38688.36,1757236.09,0.0,726559.51,7628598.73,14.0,-717861.08,1030676.58,118018.349,1306895.7,1130585.43,0.0,250501.919,780137.13,2002793.58,0.0,298142.89,209720.09,284861.31,1415446.74,209720.09,13281.58,0.0,117186.17,4149927.62,4149927.62,736274.02,CARNICAS J COLOMER SA_resum
