Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,12492.52,67368.08,24040.480000000003,11894.09,204345.28,0.0,38007.54,9672.05,3856.26,13528.31,10178.78,48186.32,39626.07,51700.880000000005,0.0,726.58,726.58,358680.21,952.3,358680.21,0.0,44.66,2103.54,0.0,2103.54,235659.5,4.0,-52128.86,0.0,19181.76,15585.59,123054.75,3023.0,29845.55,0.0,29845.55,0.0,3174.34,2222.04,3856.26,132759.12,2222.04,-681.93,0.0,19181.76,69471.62000000001,69471.62000000001,65273.850000000006,CARNS PEROT SL_resum
2000-01-01,0.0,12492.52,61852.91,24040.480000000003,4646.45,204345.28,0.0,40514.64,2103.54,4295.660000000001,6399.2,9661.27,50175.91,42187.55,48583.28,0.0,663.2900000000001,663.2900000000001,364992.16,1089.82,364992.16,0.0,0.37,7930.910000000001,0.0,7104.5199999999995,254035.05,4.0,-52128.86,0.0,11677.0,18147.07,123054.75,3023.0,19665.37,0.0,19665.37,0.0,3632.73,2542.9100000000003,4295.660000000001,132759.12,2542.9100000000003,-662.92,0.0,11677.0,61852.91,61852.91,54982.84,CARNS PEROT SL_resum
2001-01-01,0.0,12492.52,63232.6,24040.480000000003,4415.26,204345.28,0.0,42300.03,1233.07,3219.29,4452.360000000001,6625.56,48925.59,45369.74,56999.06,0.0,272.37,272.37,385707.35,1363.79,385707.35,1598.6699999999998,0.4,13758.28,1652.78,12105.5,273794.44,4.0,-52128.86,0.0,14307.01,21329.26,123054.75,3023.0,31621.15,0.0,31621.15,0.0,2947.32,1583.53,3219.29,132759.12,3182.19,-271.98,1598.6699999999998,14307.01,76990.88,76990.88,63050.479,CARNS PEROT SL_resum
2002-01-01,0.0,12492.52,56887.26,24040.480000000003,5336.9,204345.28,0.0,41502.47,1479.6799999999998,5510.320000000001,6990.0,6487.01,47989.48,49245.51,47885.14,0.0,181.68666666666667,0.0,339630.74,1653.1,339630.74,0.0,64.64333333333335,12278.61,1652.78,10625.83,235391.96,4.0,-52128.86,0.0,8897.779,25205.03,123054.75,3023.0,19920.36,0.0,19920.36,0.0,5510.320000000001,3857.22,5510.320000000001,132759.12,3857.22,-181.42666666666668,0.0,8897.78,69165.87000000001,69165.87000000001,54875.14,CARNS PEROT SL_resum
2003-01-01,0.0,12492.52,76640.2,24040.480000000003,8297.15,204345.28,0.0,52278.08,1479.6799999999998,9739.240000000002,11218.92,6053.84,58331.92,56062.69,48275.68,0.0,91.00333333333333,0.0,324650.79000000004,2921.77,324650.79000000004,0.0,128.88666666666668,10798.93,1652.78,9146.15,217993.88,4.0,-52128.86,0.0,18308.28,32022.21,123054.75,3023.0,28353.44,3023.0,28353.44,3023.0,9739.240000000002,6817.469,9739.240000000002,132759.12,6817.469999999999,-90.87333333333333,0.0,18308.28,87439.13,87439.13,59494.6,CARNS PEROT SL_resum
2004-01-01,0.0,12492.52,75550.72,24040.480000000003,8557.740000000002,204345.28,0.0,33288.738999999994,1479.6799999999998,10111.84,11591.52,8131.95,41420.689,62906.01,49826.55,0.0,0.32,0.32,312897.3,3033.46,314850.8,0.0,193.13000000000002,9319.25,1652.78,7666.469999999999,205390.89,4.0,-52128.86,0.0,34130.030999999995,38865.53,123054.75,3023.0,18940.960000000003,3023.0,18940.960000000003,3023.0,10111.52,7078.06,10111.84,132759.12,7078.06,-0.32,0.0,34130.03,84869.97,84869.97,61418.07,CARNS PEROT SL_resum
2005-01-01,0.0,12492.52,83874.29,24040.480000000003,7351.06,204345.28,0.0,35849.68,1479.6799999999998,8387.69,9867.37,20647.17,56496.850000000006,68777.39,57567.33,0.0,0.24,0.0,285270.48000000004,2516.3100000000004,288293.48000000004,0.0,257.37333333333333,7839.57,1652.78,6186.79,180495.02,4.0,-52128.86,0.0,27377.439,44736.91,123054.75,2267.25,22936.47,0.0,22936.47,0.0,8387.69,5871.38,8387.69,132759.12,5871.38,128.40666666666667,0.0,27377.44,91713.86,91713.86,67434.7,CARNS PEROT SL_resum
2006-01-01,0.0,12492.52,75632.13,24040.480000000003,10257.27,204345.28,0.0,45592.810000000005,3087.4,10242.67,13330.07,11619.77,57212.58,75947.26,69182.0,0.0,0.16,0.0,342328.67,3072.8,342328.67,0.0,321.6166666666667,18596.55,1652.78,16943.77,198559.04,4.0,-52128.86,0.0,18419.55,51906.78,123054.75,1511.5,18281.42,0.0,18281.42,0.0,10242.67,7169.87,10242.67,132759.12,7169.87,257.1333333333333,0.0,18419.55,94228.68,94228.68,82512.069,CARNS PEROT SL_resum
2007-01-01,0.0,12492.52,85080.77,24040.480000000003,9653.67,204345.28,0.0,25034.61,3087.4,8369.17,11456.57,20754.62,45789.22899999999,82513.53,69970.43,0.0,0.08000000000000002,0.0,312111.23000000004,2188.76,312111.23000000004,0.0,385.86,15509.15,1652.78,13856.37,178372.13,4.0,-52128.86,0.0,39291.54,58473.05,123054.75,755.75,18076.39,0.0,18076.39,0.0,8755.03,6566.27,8369.17,132759.12,6566.27,385.86,0.0,39291.54,100589.92,100589.92,81812.85900000001,CARNS PEROT SL_resum
2008-01-01,0.0,12492.52,97290.97,24040.480000000003,12332.97,204345.28,0.0,31395.01,4740.18,9704.37,14444.55,28580.1,47482.59,90106.27,66185.70999999999,0.0,0.0,0.0,337104.4,2530.9300000000003,337104.4,0.0,419.35,10768.97,0.0,10768.97,204345.28,4.0,-52128.86,0.0,37315.86,66065.789,123054.75,0.0,5461.150000000001,0.0,17953.67,0.0,10123.72,7592.789,9704.37,132759.12,7592.789,419.35,0.0,37315.86,108059.94,108059.94,81049.61,CARNS PEROT SL_resum
