Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,109154.87,321740.24,119299.7,63115.0,12649.278,2506986.81,168783.08,112616.76,11610.21,3930.57,15540.779,5059.77,117676.53,65885.78,47167.48,19.58,2793.67,2793.67,1024795.42,453.55,1024795.42,372.16,3.14,215034.86,2834.3300000000004,211559.54,932265.08,4.0,-143634.15,640.989,1623.1699999999998,2770.779,500012.639,0.0,159293.91,109154.87,159293.91,0.0,1140.04,686.49,3930.57,525139.64,1039.069,-2790.53,352.58,1605.56,334334.55,334334.55,63063.979,CARNS TRIAS SL_resum
2000-01-01,109750.66,321740.24,176286.11000000002,63115.0,15625.9,2506986.81,168783.08,171723.34999999998,14353.17,11895.69,26248.86,2674.53,174397.87999999998,67158.51,49643.73,0.01,11307.89,11307.89,1122263.92,545.4499999999999,1122263.92,1057.13,173.26,306916.54,12989.439,293421.7,1005304.53,3.0,-143634.15,505.399,1888.23,4043.509,500012.639,0.0,306293.49000000005,109750.66,306293.49000000005,0.0,761.06,215.609,11895.69,525139.64,1272.73,-11134.63,1057.12,1043.54,483202.65,483202.65,77122.97,CARNS TRIAS SL_resum
2001-01-01,107519.05,321740.24,158823.3,63115.0,22382.58,2506986.81,168783.08,149655.74000000002,21098.52,13088.36,34186.880000000005,4671.6900000000005,154327.43,68442.57,76078.20999999999,151.07,11697.45,11697.45,1345190.85,614.7,1345190.85,658.92,86.77,319153.73000000004,18186.16,300462.17,1170962.91,7.0,-143634.15,505.4,4495.869000000001,5327.57,500012.639,0.0,302015.41000000003,107519.05,302015.41000000003,0.0,1390.91,776.21,13088.36,525139.64,1284.06,-11697.45,507.8490000000001,2988.5,477977.03,477977.03,110772.94,CARNS TRIAS SL_resum
2002-01-01,88571.2,321740.24,213509.37,128115.0,36592.64,2506986.81,168783.08,199161.12,32369.65,14415.16,46784.810000000005,8950.15,208111.27,137665.59,112975.95,0.8400000000000001,8447.4,8447.4,1700656.41,1809.85,1700656.41,65.64,0.28,421524.73,10751.59,410267.74,1450594.23,7.0,-143634.15,505.399,5398.1,9550.589,500012.639,0.0,408797.31,88571.2,408797.31,0.0,5968.04,4158.1900000000005,14415.16,525139.64,4222.99,-8447.12,64.8,4901.37,635034.1,635034.1,159825.84,CARNS TRIAS SL_resum
2003-01-01,89869.51,321740.24,362954.24,128115.0,42447.78999999999,2506986.81,168783.08,333588.48000000004,32606.9,15293.88,47900.78,28757.54,362346.019,147506.47999999998,90029.72,121.24,9192.67,9192.67,2180738.56,2841.13,2180738.56,6702.05,0.16000000000000003,464330.5,6754.6,457551.87,1917237.96,4.0,-143634.15,24.03,608.22,19391.480000000003,500012.639,0.0,589908.75,89869.51,589908.75,0.0,6101.21,3260.08,15293.88,525139.64,9840.89,-9192.67,6580.81,536.7,827284.74,827284.74,144511.31,CARNS TRIAS SL_resum
2004-01-01,68988.36,321740.24,382557.94,128115.0,44243.63,2506986.81,168783.08,344840.17,33769.49,20009.36,53778.850000000006,36599.83,381440.0,157980.53,110214.04,30.32,8355.09,8355.09,2572285.95,2537.22,2572285.95,1387.37,0.04,474581.19,1799.98,472757.18,2272305.55,5.0,-143634.15,24.03,1117.94,29865.53,500012.639,0.0,630170.24,68988.36,630170.24,0.0,11654.31,9117.09,20009.36,525139.64,10474.14,-8355.049,1357.05,1117.94,857139.13,857139.13,165349.979,CARNS TRIAS SL_resum
2005-01-01,65219.2,321740.24,383843.5,300000.0,28746.789,2506986.81,168783.08,350182.68,23151.6,13847.76,36999.36,33065.83,383248.51,335460.81,156425.07,3520.02,7783.73,7783.73,2825680.13,2279.62,2825680.13,5330.8,0.03,558987.3,30981.18,527982.0889999999,2509323.47,7.0,-143634.15,24.031,594.989,35460.810000000005,500012.639,0.0,542150.7899999999,65219.2,542150.7899999999,0.0,6064.03,3784.41,13847.76,525139.64,5595.1900000000005,-7783.73,1810.78,106.97,942830.8,942830.8,195235.21,CARNS TRIAS SL_resum
2006-01-01,58079.28999999999,321740.24,381146.519,300000.0,33796.47,2506986.81,168783.08,336026.5,27571.24,11169.87,38741.11,43063.03,379089.53,341686.04,194053.13,416.37,10479.89,10479.89,2723361.81,1592.27,2723361.81,7543.89,0.02,595307.22,28443.53,566839.66,2368527.13,7.0,-143634.15,24.029,2056.989,41686.039,500012.639,0.0,576688.41,58079.28999999999,576688.41,0.0,689.98,-902.29,11169.87,525139.64,6225.23,-10479.89,7127.52,1919.07,976453.74,976453.74,239921.76,CARNS TRIAS SL_resum
2007-01-01,32794.44,321740.24,405017.41,300000.0,69147.90999999999,2506986.81,168783.08,335493.8,62229.44,16538.08,78767.52,56907.45,392401.25,348604.51,224508.1,505.45,11923.9,11923.9,2814086.27,1429.94,2814086.27,4239.68,0.010000000000000002,553750.23,20747.44,532966.74,2378115.75,7.0,-143634.15,36.05,12616.16,48604.51,500012.639,0.0,577368.69,32794.44,577368.69,0.0,4614.18,3184.24,16538.08,525139.64,6918.469999999999,-11923.9,3734.23,12614.82,958767.64,958767.64,307009.85,CARNS TRIAS SL_resum
2008-01-01,69207.51,321740.24,454332.12,300000.0,73583.09,2506986.81,168783.08,382971.03,66497.05,25127.0,91624.05,69199.95,130430.74,355690.55,289881.44,0.0,16624.59,16624.59,3032126.45,1416.37,3032126.45,0.0,0.0,556647.81,1417.66,555194.1,2506986.81,9.0,-143634.15,36.05,2161.14,55690.55,500012.639,0.0,95558.55,69207.51,586081.87,0.0,8502.41,7086.04,25127.0,525139.64,7086.04,-16624.59,0.0,2161.14,1010979.93,1010979.93,381505.4900000001,CARNS TRIAS SL_resum
