Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,1229321.97,4744976.109999999,9129368.27,407636.46,591159.8200000001,15131734.98,2272799.03,3244234.77,186929.75,157899.74000000002,344829.49000000005,3642133.47,2141392.13,1642863.15,1071061.8,4317.56,66021.619,61562.310000000005,18202339.88,121835.6,18244164.15,152263.31999999998,286241.78,1391119.9,299955.76,338790.26,15889228.38,44.0,-1517553.03,752373.879,2243000.029,1235226.6900000002,2777067.09,94329.05,630527.909,1229321.97,7648303.05,0.0,378119.9,256284.3,157899.74000000002,3277758.17,404230.07,220220.16,147945.76,2240719.2800000003,10520488.17,10520488.17,1845619.53,CARROCERIAS AYATS SA_resum
2000-01-01,2075864.49,5566040.01,12607152.94,407636.46,957585.32,15131734.98,3963057.88,5870362.26,492389.27,678168.15,1170557.42,4452326.81,4756649.06,2108059.2,1042422.44,273.26,433664.3,208907.71,24966869.77,119745.4,25261887.21,62507.93,278202.93000000005,1337421.01,389218.32,351580.04,21770768.37,53.0,-1517553.03,596622.649,2284463.87,1700422.74,2777067.09,94329.05,231552.379,2075864.49,9760650.27,0.0,522706.78,402961.38,678168.15,3277758.17,465196.05,-155461.37,62234.67,2280532.38,13944573.95,13944573.95,2328660.87,CARROCERIAS AYATS SA_resum
2001-01-01,1723744.14,5129036.58,12409233.329,407628.25,365817.11,15131734.98,4217066.968,5900198.319999999,248211.19,415005.42,663216.61,4414520.59,5185682.33,2225665.12,971716.38,130809.87,351111.37,333973.66,19718786.15,14495.15,19830913.639,26477.489,172539.4,1438685.15,599277.12,366875.13,17091343.330000002,47.0,-1517553.03,472532.899,2094514.419,1818036.87,2777067.09,94329.05,552405.6719999999,1723744.14,9898509.22,0.0,236433.45,221938.3,415005.42,3277758.17,117605.92,-178571.97,-104332.38,2092590.13,13847918.48,13847918.48,1686002.299,CARROCERIAS AYATS SA_resum
2002-01-01,2249324.8,6652508.38,12918682.42,407628.25,459104.07,15131734.98,4221024.48,6282994.89,354110.19,174247.47999999998,528357.6699999999,4219636.94,3850123.45,2330659.0,912659.64,-52735.899,296405.6,295425.55,18818672.2,32782.6,19743328.78,82299.25,124899.45,2992907.62,1145392.49,1104085.85,17161683.41,38.0,-1517553.03,743429.2799999999,2416050.59,1923030.75,2777067.09,94329.05,458073.379,2249324.8,11331606.239999998,0.0,2741.3300000000004,-30041.269,174247.47999999998,3277758.17,104993.88,-171506.15,135035.15,2414931.26,15911590.04,15911590.04,1699971.86,CARROCERIAS AYATS SA_resum
2003-01-01,1907530.16,5312158.02,11231958.719,407628.25,895803.3300000001,15131734.98,3988053.01,4304285.72,772600.0,107862.37,880462.37,4642920.99,3635048.69,2453862.33,932477.43,5925.88,260437.83,258086.42,17534653.759999998,45350.65,17693441.29,196893.93,130161.389,2833205.84,1321873.9,1019222.03,14566890.209,39.0,-1517553.03,492109.909,2284752.009,2046234.08,2777067.09,94329.05,403561.04,1907530.16,9703772.07,0.0,-22414.07,-67764.72,107862.37,3277758.17,123203.33,-130276.44,190968.05,2284255.32,14065164.56,14065164.56,2131717.83,CARROCERIAS AYATS SA_resum
2004-01-01,309788.47000000003,6635165.92,10096775.01,407628.25,1094661.35,15131734.98,3227076.22,3939637.87,907525.96,198560.6,1106086.56,4415441.7700000005,1719913.719,2640997.72,1011689.79,82795.78,186436.289,185654.86,20760000.71,75293.62000000001,21005969.06,224439.89,108660.59,2919801.38,1572358.82,855332.65,17480817.71,40.0,-1517553.03,492109.909,1741695.37,2233369.47,2777067.09,94329.05,203548.059,309788.47000000003,10065790.2,0.0,120784.9,45491.28,198560.6,3277758.17,187135.39,-77775.7,141644.11000000002,1741622.75,13016576.39,13016576.39,2367299.619,CARROCERIAS AYATS SA_resum
2005-01-01,328975.51,8994460.84,12505744.03,407628.25,1712203.88,15131734.98,1776072.82,5088458.649999999,1355245.47,507896.43000000005,1863141.9,5301815.3,1395813.1090000002,2897956.13,1020211.37,52823.43,105406.23,104172.12,22362463.22,163999.78,22521540.81,118978.8,52312.619,2280310.04,1182616.4,605583.73,17576469.130000003,38.0,-1517553.03,492109.91,2115470.08,2490327.88,2777067.09,94329.05,788588.769,328975.51,11559122.43,0.0,454802.82,290803.04,507896.43000000005,3277758.17,356958.41000000003,-53093.61,66155.369,2113891.609,14786054.07,14786054.07,3000587.15,CARROCERIAS AYATS SA_resum
2006-01-01,882331.93,9164145.99,13708681.139,407628.25,1247549.79,15131734.98,1206789.4,4784827.51,753188.6,527350.48,1280539.08,6098939.67,1719621.1890000002,3192317.32,824792.51,10584.83,82823.18000000001,50714.380000000005,24199463.87,94016.96,24420291.67,23455.68,130980.0,1749675.79,855753.51,401812.37,20320495.19,31.0,-1517553.03,492109.91,2824913.959,2784689.07,2777067.09,94329.05,1012772.289,882331.93,11383707.68,0.0,575507.3,481490.34,527350.48,3277758.17,494361.19,48156.82,12870.85,2824089.76,15458356.93,15458356.93,2217073.64,CARROCERIAS AYATS SA_resum
2007-01-01,1239259.26,5573687.06,10901001.44,407628.25,1224253.25,15131734.98,1184247.55,4169567.13,576960.1799999999,711613.31,1288573.49,5431104.609999999,4026984.68,3639610.39,760515.76,52505.8,109184.68,78241.31,20548930.79,65812.89,20869183.79,5847.24,157335.88899999997,1389150.34,564477.5,332562.93000000005,16912543.41,25.0,-1517553.03,492109.91,1300329.7,3231982.14,2777067.09,94329.05,653347.52,1239259.26,7411282.13,0.0,759764.52,693951.63,711613.31,3277758.17,647293.07,48151.21,-46658.56,1300214.23,12290151.78,12290151.78,2128823.21,CARROCERIAS AYATS SA_resum
2008-01-01,1731359.62,3713326.44,10140933.0,407628.25,1032819.37,15131734.98,848068.74,2288037.76,523749.4,500691.08,1024440.48,4914782.33,3489493.65,3948680.36,735764.66,0.0,104266.95,74500.45,18355126.18,58725.21,18409493.15,0.0,171371.05,1341590.1700000002,329116.29000000004,520363.97,14723170.67,23.0,-1517553.03,492109.91,2938112.91,3541052.109,2777067.09,94329.05,1146758.96,1825688.67,5708154.14,0.0,567795.1799999999,509069.97,500691.08,3277758.17,509069.97,67104.099,0.0,469503.38,11482523.17,11482523.17,1901809.69,CARROCERIAS AYATS SA_resum
2009-01-01,2642039.65,3798740.69,10635160.09,407628.25,708466.14,11922057.65,926003.98,3402610.01,368260.27,410088.08,778348.3500000001,2853292.11,2457161.429,3588824.89,685521.65,0.0,90441.24,89432.43999999999,14256909.35,90204.55,14329525.0,0.0,110763.58,1867077.68,284013.35,852559.42,10235914.18,27.0,-943597.35,730504.909,4379257.970000001,3181196.64,1997379.27,111692.23,1434936.33,2753731.88,6159681.0,0.0,430410.42,340205.87,410088.08,2407467.349,340205.87,20322.339,0.0,514719.97,12502237.77,12502237.77,1573624.78,CARROCERIAS AYATS SA_resum
2010-01-01,2479565.03,3930989.86,10838082.07,407628.25,766111.75,12843652.7,697077.05,3410952.19,435267.21,312687.03,747954.24,4415756.29,3895718.62,3919669.43,790669.2799999999,0.0,74226.92,72204.23,15698861.3,50499.92,15763612.56,0.0,142884.34999999998,1979516.43,290643.29000000004,974826.23,14042456.19,33.0,-1381336.34,714046.909,3011373.59,3512041.18,2607272.83,97932.52,1692364.61,2577497.55,6320431.52,0.0,381344.46,330844.54,312687.03,2919959.86,330844.54,68657.43,0.0,177085.16,12817598.5,12817598.5,1679485.1800000002,CARROCERIAS AYATS SA_resum
2011-01-01,4012883.86,3422497.52,9427937.99,407628.25,859965.3600000001,14605160.48,27476.59,2941619.23,551827.62,494030.41,1045858.03,4265248.44,3784370.15,4525864.31,851790.52,0.0,198329.05,108733.22,17515113.53,67592.73999999999,17603268.24,0.0,80029.12000000001,3565481.31,228905.83,1555970.61,14537171.65,36.0,-1100459.21,1780604.87,2221070.32,4118236.06,2504077.35,247704.27,756992.75,4260588.13,4206966.859999999,0.0,375730.48,308137.74,494030.41,2998107.76,308137.74,-118299.93,0.0,471173.11,12993419.3,12993419.3,1888081.84,CARROCERIAS AYATS SA_resum
2012-01-01,3669858.76,3922804.57,10844879.96,407628.25,841199.6699999999,16249831.17,3972.03,3742850.59,478142.25,463399.93000000005,941542.179,4048443.74,3868489.76,4594701.53,720546.7,0.0,154551.46,117172.41,18957181.48,37875.97,19076949.09,0.0,92084.92,2709934.26,167731.91999999998,1270743.37,16063729.25,30.0,-1165029.04,1271458.97,3053585.63,4187073.28,2363717.989,183012.52,1180464.81,3852871.28,5107241.41,0.0,400933.39,363057.42,463399.93000000005,2827117.919,363057.42,-62466.54,0.0,523169.83,13554814.22,13554814.22,1716794.749,CARROCERIAS AYATS SA_resum
2013-01-01,3539508.03,4659613.41,11850091.6,407628.25,738135.19,14891076.0,49405.155,4294820.058999999,315344.73000000004,738219.62,1053564.35,3309404.15,2944610.799,4972955.31,751076.08,0.0,400891.71,94328.72,18087592.62,31203.16,18187419.37,0.0,116665.71,2500281.54,127338.34,1116609.33,14289640.99,30.0,-1491702.94,1256333.8690000002,4245867.389,4565327.06,2558123.75,118747.12,1059549.27,3658255.15,5719162.68,0.0,453993.62,422790.46,738219.62,3296343.369,422790.46,-284226.0,0.0,2857582.71,14350373.14,14350373.14,1614743.15,CARROCERIAS AYATS SA_resum
2014-01-01,3504774.27,3849311.29,12467305.38,326102.6,975225.54,17327632.16,94838.28,2297176.22,343382.91000000003,898314.65,1241697.56,3001916.05,1449780.979,4666187.159999999,820723.11,0.0,114329.349,69981.51,22254148.89,253753.61,22344844.56,0.0,101610.94,3516303.66,96903.87,880303.21,17230889.55,32.0,-2954791.73,2636000.45,7168213.109999999,4340084.56,4118897.75,347528.87,3520969.169,3852303.14,7465118.74,257725.59,885596.24,631842.63,898314.65,5017212.4,631842.63,-12718.409,0.0,6072394.5,15983609.04,15983609.04,2119683.77,CARROCERIAS AYATS SA_resum
2015-01-01,3269168.86,4244410.359999999,13240717.35,326102.6,783884.19,17914756.59,97576.78,5666697.35,54014.37,1145617.15,1199631.52,2472195.94,3894482.929,5027609.87,686485.71,0.0,261648.16,100326.11,22255702.25,292442.58,22348698.56,0.0,138343.41,2042435.88,66469.4,829607.31,17237579.23,24.0,-2547824.739,1212828.57,5101824.06,4701507.2700000005,3288324.82,323903.569,2320483.79,3593072.43,6662470.930000001,257725.59,1022312.4,729869.8200000001,1145617.15,4433941.969,729869.8200000001,-123304.75,0.0,1967769.79,15283153.23,15283153.23,1863138.59,CARROCERIAS AYATS SA_resum
2016-01-01,2644743.58,5337016.91,14134840.18,326102.6,998680.08,17357350.14,133819.85899999997,7066786.84,58452.58,1126619.43,1185072.01,2481892.65,4211662.58,5552557.359999999,729473.11,0.0,142725.88999999998,142725.88999999998,22205131.51,275770.74,22302871.79,0.0,232104.699,2621565.6,36034.93000000001,939461.78,17546711.16,25.0,-3030976.53,1682103.819,4586160.688999999,5226454.76,3818902.22,286452.07,2801816.0,2931195.65,8272652.77,257725.59,1215998.24,940227.5,1126619.43,4945521.649999999,940227.5,89378.80900000001,0.0,2819554.0,16756405.78,16756405.78,2146649.82,CARROCERIAS AYATS SA_resum
2017-01-01,2383288.33,4872276.92,14010443.5,326102.6,1078632.74,15075036.569,101377.48,5437503.24,86813.75,1033203.88,1120017.63,3257979.47,3823205.79,6072490.83,805868.42,0.0,97072.45,56640.55,18624956.76,156331.43,18749183.95,0.0,212018.99,2534727.96,5600.46,1000099.0,15588619.95,30.0,-1748261.33,1529028.5,5314960.79,5746388.23,2640943.5,279617.77900000004,2836120.12,2662906.11,7809774.52,257725.59,1148150.42,991818.99,1033203.88,3674147.38,991818.99,114946.539,0.0,4658316.970000001,16545171.46,16545171.46,2097473.139,CARROCERIAS AYATS SA_resum
2018-01-01,3278459.96,2078762.9,12389818.99,326102.6,818243.23,13918825.37,282394.05,6290935.53,114210.19,971346.58,1085556.77,4717084.81,8929257.44,6286663.23,704897.9400000001,0.0,115024.79,54094.44,17168845.6,172275.6,17297741.64,0.0,19986.85,2473231.7800000003,4521.429999999999,1085820.52,14753658.68,25.0,-1588461.56,1382889.829,1381798.65,5960560.63,2407569.69,274089.77900000004,2662680.849,3552549.74,5023837.8,257725.59,876308.64,704033.04,971346.58,3378916.2690000003,704033.04,-95037.94,0.0,1055008.61,14863050.77,14863050.77,1749511.21,CARROCERIAS AYATS SA_resum
