Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,109455.09,699480.92,3476891.58,450759.08,138170.52,689550.91,0.0,973428.5,85098.8,40460.77,125559.57,463538.1,1436966.6,3398116.77,543735.39,0.0,4267.17,4267.17,2215526.29,28130.86,2215526.29,1099.7,43909.28,893539.74,47329.7,580196.07,13291.95,28.0,-2307135.21,266013.97000000003,2039924.98,2947357.69,3594218.23,0.0,862859.4500000001,109455.09,862859.4500000001,0.0,80102.88,51972.02,40460.77,3408255.48,53071.72,39642.11,1099.7,2039798.08,4370431.319999999,4370431.319999999,714303.9400000001,CELULOSA INDUSTRIAL DEL ALTO TER SA_resum
2000-01-01,95297.1,699480.92,3576817.54,450759.08,149299.44,689550.91,0.0,1038464.23,99047.89,-6812.54,92235.35,747460.93,1785925.16,3448368.33,462285.52,0.0,8435.88,8435.88,2646753.6,25520.38,2646753.6,43237.18,47783.18,1026832.03,15625.83,745192.23,532959.2089999999,28.0,-2307135.21,266013.97000000003,1790892.38,2997609.25,3594218.23,0.0,1059984.1490000002,95297.1,1059984.1490000002,0.0,32534.76,7014.379,-6812.54,3408255.48,50251.55,39347.28999999999,43237.18,1789252.92,4603649.58,4603649.58,645541.22,CELULOSA INDUSTRIAL DEL ALTO TER SA_resum
2001-01-01,138363.79,699480.92,3454185.96,450759.08,168353.33,689550.91,0.0,875967.02,99902.37,47788.98,147691.34999999998,360760.91,1236727.93,3516819.3,616541.9,0.0,10612.4,10612.32,3682865.29,36858.2,3682865.29,1958.22,66174.36,1165390.43,62556.95,836819.51,1002741.3,28.0,-2307135.21,266013.96900000004,2217458.03,3066060.219,3594218.23,0.0,964393.3,138363.79,964393.3,0.0,103350.94,66492.73999999999,47788.98,3408255.48,68450.95999999999,55561.96,1958.22,2217458.03,4619576.39,4619576.39,832365.75,CELULOSA INDUSTRIAL DEL ALTO TER SA_resum
2002-01-01,84895.8,699480.92,3702906.17,450759.08,197250.4,689550.91,0.0,1052243.8990000002,118348.58,76693.86,195042.44,288154.91000000003,1340398.809,3595721.1,906947.59,20512.16,15477.73,15477.73,4207471.44,35092.89,4207471.44,29179.149,44111.59,1181183.9,54460.6,860709.3300000001,692179.08,35.0,-2307135.21,266013.96900000004,2362507.36,3144962.02,3594218.23,0.0,1203473.1700000002,84895.8,1203473.1700000002,0.0,105327.72,70234.83,76693.86,3408255.48,78901.82,28633.86,8666.989,2362507.36,4884090.07,4884090.07,1154768.6090000002,CELULOSA INDUSTRIAL DEL ALTO TER SA_resum
2003-01-01,108857.96,699480.92,3959590.22,450759.08,307463.49000000005,689550.91,0.0,1001436.01,158776.18,171346.12,330122.3,217028.65,1218464.66,3744408.41,1018114.44,12530.75,40732.27,40732.27,4597326.23,52821.96,4625930.41,66685.31,16740.86,1206194.53,98665.44,721312.7,721499.69,33.0,-2307135.21,386216.39,2741125.56,3293649.33,3594218.23,0.0,1312518.38,108857.96,1312518.38,0.0,147354.71000000002,94532.75,171346.12,3408255.48,148687.31,-23991.41,54154.56,2741125.56,5165784.75,5165784.75,1419132.16,CELULOSA INDUSTRIAL DEL ALTO TER SA_resum
2004-01-01,191996.32,699480.92,3920378.69,433922.0,290558.01,689550.91,0.0,1061814.1900000002,174612.14,155290.65,329902.79000000004,79912.73,1141726.92,3761871.47,1206798.94,0.0,9247.59,9247.59,4720000.06,53134.34,4720000.06,5991.52,17045.629999999997,1022332.5,104496.09,630102.8300000001,732493.04,38.0,-2307135.21,287733.58,2778651.77,3327949.47,3594218.23,0.0,988843.4,191996.32,988843.4,0.0,163088.69,109954.35,155290.65,3408255.48,115945.87,7798.04,5991.52,2778651.77,4942711.19,4942711.19,1559738.88,CELULOSA INDUSTRIAL DEL ALTO TER SA_resum
2005-01-01,657767.6799999999,699480.92,4098497.12,433922.0,273744.63,689550.91,0.0,1147996.49,203467.9,69715.42,273183.32,158244.44999999998,1306240.94,3832148.2,1353005.66,0.0,13763.07,13763.07,4339980.149999999,23265.01,4339980.149999999,12807.03,24782.36,1417506.34,65783.84,1063988.919,670955.07,41.0,-2307135.21,287733.581,2792256.179,3398226.2,3594218.23,0.0,1026087.58,657767.6799999999,1026087.58,0.0,80734.70999999999,57469.7,69715.42,3408255.48,70276.73,11019.29,12807.03,2792256.179,5516003.46,5516003.46,1663778.3690000002,CELULOSA INDUSTRIAL DEL ALTO TER SA_resum
2006-01-01,957341.89,699480.92,3553248.01,433922.0,308808.29000000004,689550.91,0.0,938102.19,247150.28,91107.31,338257.58900000004,842844.09,1780946.279,3893806.21,1315877.61,0.0,27186.27,27186.27,3807552.29,20932.16,3807552.29,0.0,18669.13,2166281.69,28973.86,1676081.25,-24294.13,39.0,-2307135.21,461226.58,1772301.73,3459884.21,3594218.23,0.0,868381.6,957341.89,868381.6,0.0,82590.17000000001,61658.009,91107.31,3408255.48,61658.01,-8517.140000000001,0.0,1772301.73,5719529.7,5719529.7,1672804.33,CELULOSA INDUSTRIAL DEL ALTO TER SA_resum
2007-01-01,898952.4600000001,699480.92,3522719.37,433922.0,267386.02,689550.91,0.0,949209.86,191876.39,94478.64,286355.03,788809.57,1738019.43,3942315.84,1138993.01,0.0,37199.97,37199.97,4188387.03,15693.91,4188387.03,26499.399,7425.469999999999,2068374.62,77879.7,1529268.34,756994.26,36.0,-2307135.21,461226.58,1784699.94,3508393.84,3594218.23,0.0,749825.69,898952.4600000001,749825.69,0.0,64704.14,49010.22899999999,94478.64,3408255.48,75509.63,-29774.5,26499.399,1784699.94,5591093.99,5591093.99,1459272.91,CELULOSA INDUSTRIAL DEL ALTO TER SA_resum
2008-01-01,893644.9500000001,699480.92,3809423.45,433922.0,322508.52,689550.91,0.0,945426.95,174142.03,-185962.75,-11820.72,842581.3,1088527.33,3562909.02,1112940.99,0.0,37062.86,37062.86,4097806.39,62590.4,4097806.39,0.0,433982.5,1462760.97,5790.54,1456970.43,743322.64,36.0,-2307135.21,374835.292,2021415.2,3128987.019,3594218.23,0.0,116149.53,893644.9500000001,815630.4500000001,0.0,210956.89,148366.49,-185962.75,3408255.48,148366.49,396919.64,0.0,321779.75,5272184.42,5272184.42,1535102.77,CELULOSA INDUSTRIAL DEL ALTO TER SA_resum
2009-01-01,747369.6,715990.3600000001,3941054.8,433922.0,252447.469,1423633.94,0.0,1192246.4,164440.4,17471.41,181911.81,91180.93,567436.969,3650916.09,1219655.91,0.0,16830.93,16830.93,5050088.359999999,29335.69,5050088.359999999,0.0,116702.28,1364685.97,1790.54,1362895.43,672233.57,35.0,-2224886.7,288444.004,2657627.469,3216994.09,3608983.01,0.0,191464.72,747369.6,907455.08,0.0,117342.76,88007.069,17471.41,3626454.42,88007.069,99871.35,0.0,636189.9400000001,5305740.7700000005,5305740.7700000005,1518269.999,CELULOSA INDUSTRIAL DEL ALTO TER SA_resum
2010-01-01,1395160.6,862679.05,4572790.2,433922.0,334519.259,978770.86,0.0,1093023.88,287193.72000000003,6778.25,293971.97000000003,92084.78,322429.609,3611234.63,1091699.2,0.0,14238.65,14238.65,4400881.69,15775.18,4480785.73,0.0,70561.12000000001,1439029.45,0.0,1439029.45,979674.71,32.0,-2116343.7,202052.71600000001,3387681.54,3177312.63,3495236.62,0.0,142745.37,1395160.6,1005424.42,0.0,63100.72,47325.54,6778.25,3502014.87,47325.54,56322.469,0.0,1495235.36,6011819.649999999,6011819.649999999,1456232.289,CELULOSA INDUSTRIAL DEL ALTO TER SA_resum
2011-01-01,1625984.3,873346.7699999999,4117422.95,433922.0,405301.329,1129643.96,0.0,1570829.1900000002,356911.36,20573.78,377485.14,107854.79,805337.21,3649317.55,1229912.29,0.0,34526.219999999994,34526.219999999994,5223377.51,16129.99,5223377.51,0.0,78472.4,2180116.08,0.0,2180116.08,1145413.97,34.0,-2486336.12,115661.42800000001,2438738.969,3215395.55,4073159.77,0.0,148890.41,1625984.3,1022237.18,0.0,64519.96,48389.97,20573.78,4093733.55,48389.97,43946.179,0.0,488292.79,6297539.03,6297539.03,1685869.829,CELULOSA INDUSTRIAL DEL ALTO TER SA_resum
2012-01-01,1406334.91,1124183.56,4911617.0,433922.0,856372.51,1595667.84,0.0,1667403.85,737173.05,49090.4,786263.4500000001,118714.78,661935.07,3768517.01,1389815.59,0.0,30345.75,30345.75,7205618.53,-8517.220000000001,7205618.53,0.0,91937.59,1868832.3,0.0,1839562.16,1606527.83,33.0,-3433871.65,29270.14,3125498.37,3334595.01,5560860.289,0.0,481413.82,1406334.91,1605597.38,0.0,110682.24,119199.46,49090.4,5609950.69,119199.46,61591.84,0.0,707831.71,6780449.3,6780449.3,2268016.63,CELULOSA INDUSTRIAL DEL ALTO TER SA_resum
2013-01-01,1196200.99,1166627.89,2731592.95,433922.0,1193363.1800000002,1212756.97,260135.85,1599823.36,1062923.83,88103.98999999999,1151027.82,451194.57,884390.04,3898956.36,1472611.95,0.0,26442.97,26442.97,7369901.359999999,23018.71,7369901.359999999,0.0,91797.04,4035444.54,0.0,1610753.06,1559086.15,38.0,-3533504.62,2424691.48,680575.02,3465034.36,6069040.4,0.0,245116.4,1196200.99,1671880.14,0.0,153458.06,130439.35,88103.98999999999,6157144.39,130439.35,65354.069,0.0,365575.02,6767037.49,6767037.49,2715436.81,CELULOSA INDUSTRIAL DEL ALTO TER SA_resum
