Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,84079.9,2785274.59,5073468.470000001,258435.2,365873.81,18797333.6,1401419.05,3782074.91,88236.13,616310.89,704547.02,1057312.929,2054113.248,1175948.99,755762.3400000001,674.91,207714.63,182361.71,11188145.35,135883.21000000002,11875618.11,3790.83,1808.71,1120017.91,150036.66,565014.61,7690987.359999999,28.0,-5468761.76,404966.64,234080.63,917513.79,8010252.51,0.0,746763.8500000001,84079.9,4933457.49,0.0,410404.97,274521.76,616310.89,8978998.969,277637.68,-205905.92,3115.92,228533.17,6193486.38,6193486.38,1439881.069,COMERCIAL MASOLIVER SOCIEDAD ANONIMA_resum
2000-01-01,64695.04,2584195.8,5240711.819999999,258435.2,376008.01,18797333.6,1659280.0,4083202.17,97934.84,656874.4500000001,754809.2889999999,1069493.84,2568500.21,1454022.16,916454.88,12731.68,299720.45,237977.71,12430219.01,124174.08,12947597.79,12080.87,45744.08,1280560.24,136816.34,596061.47,8485724.48,33.0,-5468761.76,547682.429,88015.81,1195586.96,8010252.51,0.0,759079.06,64695.04,5002554.859999999,0.0,402898.07,278723.99000000005,656874.4500000001,8978998.969,278073.17,-253976.38,-650.809,82842.43,6521272.06,6521272.06,1654614.6800000002,COMERCIAL MASOLIVER SOCIEDAD ANONIMA_resum
2001-01-01,43060.12,2824869.62,6947444.8,258430.0,416975.25,18797333.6,1893100.72,5323257.87,112125.0,627339.3400000001,739464.3400000001,1327731.33,3826119.58,1758872.4,1083295.62,22732.118999999995,267373.72900000005,254774.81,14092741.18,126780.19,14491286.95,65791.259,28605.69,1408844.86,180936.52,617905.7799999999,9611847.96,39.0,-5468761.76,610002.56,296455.6,1500442.4,8010252.51,0.0,1836386.799,43060.12,6554357.14,0.0,388571.3,261791.11,627339.3400000001,8978998.969,304850.25,-238768.04,43059.14,263435.09900000005,8356289.659999999,8356289.659999999,1881825.87,COMERCIAL MASOLIVER SOCIEDAD ANONIMA_resum
2002-01-01,349761.6,3147739.26,7388019.5,258430.0,417931.37,18797333.6,1937574.09,5989766.119999999,137171.01,695486.15,832657.16,1175907.6900000002,4017934.55,2039632.76,1260397.21,4297.34,286040.1,272447.52,15705876.63,168605.3,16206881.95,18786.95,25430.0,1798442.44,149624.72,959629.16,10846018.83,44.0,-5468761.76,689188.559,222345.69,1781202.76,8010252.51,0.0,1711754.23,349761.6,6797067.58,0.0,434876.05,266270.75,695486.15,8978998.969,280760.36,-260610.1,14489.61,219410.27,9186461.94,9186461.94,2119381.4,COMERCIAL MASOLIVER SOCIEDAD ANONIMA_resum
2003-01-01,289286.23000000004,3770174.96,8890726.06,258430.0,508046.209,18797333.6,2642210.53,7262907.54,163745.84,825839.8400000001,989585.679,1415673.14,4908405.72,2383933.13,1485363.98,69381.93,308938.1,268636.14,18260481.3,164821.52,18906419.94,18050.989,43551.09,1837443.34,171587.36,925528.49,12634361.62,49.0,-5468761.76,740327.49,212145.38,2125503.13,8010252.51,0.0,1642564.549,289286.23000000004,8054950.04,0.0,560452.8300000001,395631.309,825839.8400000001,8978998.969,344300.37,-265387.01,-51330.94,179770.02,10728169.4,10728169.4,2426867.85,COMERCIAL MASOLIVER SOCIEDAD ANONIMA_resum
2004-01-01,516564.88,4683024.05,11025129.03,258430.0,925382.98,18797333.6,2858411.2,8900904.18,176812.56,1443530.7,1620343.26,1835284.36,6053164.489,3132503.55,1545181.08,3844.58,355433.14,280428.24,22483343.75,374186.48,23358530.07,5448.929999999999,33054.989,2176391.47,137816.7,1301790.26,15568200.33,49.0,-5468761.76,736784.51,288940.49000000005,2874073.55,8010252.51,0.0,2011016.82,516564.88,9552452.07,0.0,1121152.55,746966.07,1443530.7,8978998.969,748570.42,-322378.15,1604.35,286046.53,13201520.5,13201520.5,3125178.7800000003,COMERCIAL MASOLIVER SOCIEDAD ANONIMA_resum
2005-01-01,363655.84,4777303.92,12130083.39,258430.0,937837.48,18797333.6,2989104.26,9846735.09,194883.68,1337981.03,1532864.71,1808213.9,6877645.07,3875457.35,1888585.09,9669.68,303116.02,303116.02,24134581.110000003,372872.0,25070934.84,21518.45,69112.02,2217004.19,104863.14,1375356.54,16658598.26,55.0,-5468761.76,736784.509,475134.4,3617027.35,8010252.51,0.0,2341566.21,363655.84,10107974.39,0.0,1103977.03,731105.03,1337981.03,8978998.969,742953.8,-234004.0,11848.77,446379.27,14347087.58,14347087.58,3502410.59,COMERCIAL MASOLIVER SOCIEDAD ANONIMA_resum
2006-01-01,286489.64,4839114.81,11737363.659,258430.0,986452.929,18797333.6,1756746.73,9356783.35,196560.7,1492409.11,1688969.81,1872662.46,6390330.999,4665349.58,1926368.33,11359.99,350931.24,291452.6,24635380.1,385647.57,25588222.28,7153.02,38268.9,2236371.48,111240.16,1388346.81,17053845.21,59.0,-5468761.76,736784.509,507917.849,4406919.58,8010252.51,0.0,2426034.38,286489.64,9021895.92,0.0,1179746.77,794099.2,1492409.11,8978998.969,789892.23,-312662.34,-4206.969,502068.06,13973735.14,13973735.14,3589921.43,COMERCIAL MASOLIVER SOCIEDAD ANONIMA_resum
2007-01-01,352135.78,5228645.75,12297670.19,258430.0,904482.52,18797333.6,1348432.15,9756679.96,220490.9,1314625.21,1535116.1090000002,2076436.0,6604470.21,5349341.159999999,2108350.279,45249.82,365199.199,304014.61,25383149.86,304150.61,26354367.3,55914.59,28051.449,2375831.64,465010.29,1314033.15,17311091.34,62.0,-5468761.76,596788.2,464554.2290000001,5090911.159999999,8010252.51,0.0,2394946.99,352135.78,8972024.89,0.0,977477.46,673326.8500000001,1314625.21,8978998.969,683991.62,-337147.75,10664.77,444501.71,14673501.83,14673501.83,3620998.019,COMERCIAL MASOLIVER SOCIEDAD ANONIMA_resum
2008-01-01,130366.0,3969324.79,12254075.7,258430.0,941633.82,18797333.6,1926065.06,9547648.37,241025.63,968746.46,1209772.0890000002,2292771.79,7871095.37,6049949.39,2300465.12,0.0,90768.37,90768.37,26875997.74,272101.89,27776332.569,0.0,94731.989,3271984.49,304942.26,1965444.03,18797333.6,63.0,-5468761.76,1001598.2,413655.54,5791519.39,8010252.51,0.0,3450354.949,130366.0,9345744.8,0.0,972710.08,700608.19,968746.46,8978998.969,700608.19,3963.619,0.0,250381.51,15526060.19,15526060.19,3604969.2,COMERCIAL MASOLIVER SOCIEDAD ANONIMA_resum
