Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,180.3,52271.77,329492.23000000004,12020.240000000002,48017.3,598655.74,0.0,15854.09,33722.61,19672.27,53394.880000000005,233501.62,249355.71,336901.55,198907.47,0.0,64.14999999999999,64.14999999999999,880820.15,6126.3,884933.48,0.0,812.8599999999999,86785.79,447.26,85727.51,501692.64,10.0,-124228.9,611.02,80136.519,324881.31,372865.72,3270.05,79196.17000000001,180.3,79196.17000000001,0.0,20420.980000000003,14294.68,19672.27,411828.41900000005,14294.69,748.72,0.0,80136.53,416278.02,416278.02,253115.22,COMERCIAL ROVIRA PONS SL_resum
2000-01-01,180.3,52271.77,373984.35,12020.240000000002,40713.02,598655.74,0.0,11856.23,24535.78,21719.18,46254.96,270396.05,282252.27900000004,353078.79000000004,171101.61000000002,0.0,197.065,197.065,838343.4,6933.1,842456.73,0.0,1391.16,63008.51,66.61999999999999,62330.880000000005,486402.69,10.0,-124228.9,611.01,91732.069,341058.55,372865.72,3270.05,83733.77,180.3,83733.77,0.0,23110.34,16177.240000000002,21719.18,411828.41900000005,16177.240000000002,1391.16,0.0,91732.06,436992.86,436992.86,218747.729,COMERCIAL ROVIRA PONS SL_resum
2001-01-01,180.3,52271.77,412125.28,12020.240000000002,34604.92,598655.74,0.0,9772.49,18466.87,21471.38,39938.25,354192.91000000003,363965.399,369216.84,177896.86,0.0,329.98,329.98,852504.14,6916.320000000001,852504.14,0.0,1912.97,48397.89,592.99,47193.880000000005,491934.6,10.0,-124228.9,611.02,48159.880000000005,357196.6,372865.72,3270.05,91126.03,180.3,91126.03,0.0,23054.37,16138.05,21471.38,411828.41900000005,16138.05,1582.99,0.0,48159.880000000005,460523.17,460523.17,219748.08,COMERCIAL ROVIRA PONS SL_resum
2002-01-01,180.3,52271.77,425805.82,12020.240000000002,32108.85,598655.74,0.0,10050.12,15845.6,21132.57,36978.17,392942.12,402992.24,385480.09,175390.13,0.0,523.73,523.73,845456.61,6036.23,845456.61,1453.49,237.15,56157.64,589.8,52421.880000000005,498069.07,10.0,-124228.9,3145.9590000000003,22813.58,373459.85,372865.72,3270.05,96303.07,180.3,96303.07,0.0,20845.99,14809.76,21132.57,411828.41900000005,16263.25,-286.58,1453.49,22813.58,481963.46,481963.46,214058.94,COMERCIAL ROVIRA PONS SL_resum
2003-01-01,4737.660000000001,52271.77,446475.84,12020.240000000002,30889.35,598655.74,0.0,2653.58,17319.01,20439.82,37758.83,430927.24,433580.82,399050.43000000005,173767.09,0.0,1145.08,1145.08,871102.12,5815.860000000001,871102.12,89.03,2.43,44762.94,399.86,38237.07,511083.92,10.0,-124228.9,6126.01,12895.02,387030.19,372865.72,3270.05,87450.69,4737.660000000001,87450.69,0.0,19297.17,13481.309,20439.82,411828.41900000005,13570.34,-1142.65,89.03,12895.02,491238.78,491238.78,211617.38,COMERCIAL ROVIRA PONS SL_resum
2004-01-01,29684.32,52271.77,471138.72,12020.240000000002,35365.77,598655.74,0.0,2194.0,20528.7,22580.97,43109.67,428940.94,431134.94,413887.5,179694.09,0.0,1385.16,1385.16,917689.28,6358.74,917689.28,0.0,15.280000000000001,89698.5,82.21000000000001,83490.28,539939.76,10.0,-124228.9,6126.009,40003.779,401867.26,372865.72,3270.05,117265.4,29684.32,117265.4,0.0,21195.81,14837.07,22580.97,411828.41900000005,14837.07,-1385.16,0.0,40003.78,560837.22,560837.22,222803.76,COMERCIAL ROVIRA PONS SL_resum
2005-01-01,16580.97,52271.77,499697.87,12020.240000000002,55289.23,598655.74,0.0,4400.0,13257.97,40124.05,53382.02,451941.6,456341.6,455918.76,166826.84,5172.41,1903.65,1903.65,900097.73,18013.4,900097.73,26968.54,28.130000000000003,90285.22,7.8,74508.77,536215.05,8.0,-124228.9,15768.649,43356.27,443898.52,372865.72,3270.05,117483.359,16580.97,117483.359,0.0,38248.53,20235.129,40124.05,411828.41900000005,42031.26,-1875.52,21796.13,43356.27,589983.09,589983.09,242033.12,COMERCIAL ROVIRA PONS SL_resum
2006-01-01,6808.95,52271.77,557883.9600000001,12020.240000000002,53792.21,598655.74,0.0,24330.81,13433.54,57204.48,70638.02,483335.29,507666.1,496277.43000000005,160826.37,0.0,1199.51,1199.51,908396.64,17296.57,908396.64,1311.7,338.57,84403.77,350.206,67385.12000000001,549461.3500000001,7.0,-124228.9,17018.649999999998,50217.859,484257.19,372865.72,3270.05,139201.34999999998,6808.95,139201.34999999998,0.0,56343.54,39046.97,57204.48,411828.41900000005,40358.67,-860.9399999999999,1311.7,50217.86,642287.73,642287.73,233114.66,COMERCIAL ROVIRA PONS SL_resum
2007-01-01,2011.11,52271.77,565988.38,12020.240000000002,65014.56,598655.74,0.0,1245.0,13597.52,67041.45,80638.97,487091.25,488336.25,547694.47,199619.1,0.0,653.19,653.19,1010553.26,17483.129999999997,1010553.26,1200.0,1311.91,98159.43,692.612,54798.6,607221.05,6.0,-124228.9,43360.829,77652.13,535674.23,372865.72,3270.05,114442.23,2011.11,114442.23,0.0,67700.17000000001,50217.039,67041.45,411828.41900000005,51417.04,658.72,1200.0,77652.13,664147.81,664147.81,282769.98000000004,COMERCIAL ROVIRA PONS SL_resum
2008-01-01,546.4399999999999,52271.77,621049.01,12020.240000000002,44190.810000000005,598655.74,0.0,803.02,13579.04,38962.7,52541.74,555745.19,504276.4390000001,575845.9600000001,235057.78,0.0,425.08,425.08,1010301.59,10203.92,1010484.159,0.0,2278.07,72835.79,1035.018,72835.79,598655.74,8.0,-124228.9,35746.021199999996,64500.8,563825.7189999999,372865.72,3270.05,61950.58,3816.49,114222.35,0.0,40815.69,30611.77,38962.7,411828.41900000005,30611.77,1852.99,0.0,32286.99,693884.8,693884.8,289877.58900000004,COMERCIAL ROVIRA PONS SL_resum
2009-01-01,200180.3,33187.189999999995,863111.7899999999,12020.240000000002,44047.78,601866.31,0.0,1318.0,14644.68,36066.11,50710.78999999999,581615.48,549746.2899999999,607098.39,239779.1,0.0,791.52,791.52,1024393.52,6870.18,1024393.52,0.0,998.69,59408.11,1377.424,59408.11,601866.31,8.0,-132037.318,28131.2134,280178.31,595078.149,386461.0990000001,3653.78,78400.23999999999,203834.08,111587.43,0.0,36273.28,29403.1,36066.11,422527.209,29403.1,207.17,0.0,254937.18,922519.9,922519.9,291488.58,COMERCIAL ROVIRA PONS SL_resum
2010-01-01,187627.92,42192.58,753727.73,12020.240000000002,31539.419,480418.95,49570.9,3027.32,16546.918999999998,28118.77,44665.689,721466.3500000001,682301.09,620796.55,254290.69,0.0,11148.740000000002,11148.740000000002,903166.24,3748.13,903166.24,0.0,1770.6,251375.91,1719.83,249656.08,480418.95,8.0,-123790.91,20516.4056,29234.06,608776.31,394628.519,2823.02,102092.67,190450.94,193856.15,0.0,18740.63,14992.5,28118.77,422747.29,14992.5,-9378.14,0.0,29234.06,1005103.64,1005103.64,300726.97900000005,COMERCIAL ROVIRA PONS SL_resum
2011-01-01,169334.07,79388.29,811579.54,12020.240000000002,19789.2,446460.83,34989.43,2594.9100000000003,20163.66,9701.84,29865.5,801484.43,724691.05,630648.71,252881.34,0.0,10191.43,10191.43,851810.0,-93.62,851810.0,0.0,21.51,231212.25,1381.02,229831.23,446460.83,9.0,-122602.329,12901.5978,7500.2,618628.47,395647.33,5233.4,123197.89,174567.47,237575.61,0.0,-468.08,-374.46,9701.84,405349.17,-374.46,-10169.92,0.0,7500.2,1042791.79,1042791.79,282768.35,COMERCIAL ROVIRA PONS SL_resum
