Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,41395.77,1913.31,154783.17,60101.21,68241.11,510858.86,165417.34,79477.48999999999,60972.33,24952.62,85924.95,1682.83,81160.32,103300.51,214748.22,0.0,11453.13,11453.13,506794.35,6862.1900000000005,514504.93000000005,548.22,83.26,164907.56,152566.06,12255.56,64650.09,12.0,-182618.51,85.94000000000001,73622.85,43199.29899999999,646637.72,4412.110000000001,174994.46,41395.77,174994.46,0.0,13582.75,6720.56,24952.62,689537.48,7268.78,-11369.86,548.22,67500.45999999999,319690.73000000004,319690.73000000004,301304.65,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2000-01-01,9562.1,1913.31,159547.14,60101.21,60424.15,510858.86,165417.34,110537.25,55362.66,17596.07,72958.73,1682.83,112220.08,108362.0,198645.53,79.19,5040.17,5040.17,517962.08,9770.37,533826.05,2262.19,92.96,110145.91,57885.68,52174.28999999999,102453.25,12.0,-182618.51,85.94000000000001,47327.06,48260.78999999999,646637.72,4412.110000000001,151768.94999999998,9562.1,151768.94999999998,0.0,12648.85,2878.4790000000003,17596.07,689537.48,5061.49,-4947.21,2183.0,46244.83,269693.05,269693.05,273880.22000000003,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2001-01-01,9562.1,1913.31,250180.06,60101.21,63977.11,510858.86,165417.34,222840.12,57643.54,4403.360000000001,62046.9,1682.83,224522.949,114695.57,256386.02,79.85,1061.11,1002.37,600298.8300000001,-457.99,608117.51,2552.6,60.59,75173.59,2419.25,72668.4,107811.74,13.5,-182618.51,85.94000000000001,25657.11,54594.36,646637.72,4412.110000000001,201095.98,9562.1,201095.98,0.0,3402.84,3860.83,4403.360000000001,689537.48,6333.57,-1000.52,2472.75,25657.11,325353.65,325353.65,320907.509,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2002-01-01,170699.13,1913.31,252252.26,60101.21,56674.1,510858.86,165417.34,143530.91999999998,48768.78999999999,14157.02,62925.810000000005,740.0,144270.91999999998,122600.87,307747.71,15529.26,4559.64,4559.64,729996.4,-3685.34,740681.62,10073.579,78.27,195390.12,164477.63,30826.55,159733.18,15.0,-182618.51,85.93900000000001,107981.34,62499.659,646637.72,4412.110000000001,154342.37999999998,170699.13,154342.37999999998,0.0,9675.65,13360.99,14157.02,689537.48,7905.31,-4481.37,-5455.68,78594.33,447642.38,447642.38,365296.11,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2003-01-01,470712.63,1913.31,391401.72,60101.21,66437.48999999999,510858.86,165417.34,206207.42,47975.87,-19312.17,28663.7,1200.0,207407.42,141062.49,352375.07,150.0,12519.48,12519.48,720409.3600000001,3970.1,727313.7699999999,54300.61,112.76,479528.54,465036.64,14405.96,141698.65,19.0,-182618.51,85.93900000000001,183994.3,80961.28,646637.72,4412.110000000001,259155.14,470712.63,259155.14,0.0,-31718.89,-35688.99,-19312.17,689537.48,18461.62,-12406.72,54150.61,100976.72,870930.26,870930.26,435302.139,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2004-01-01,865132.2699999999,1913.31,506721.79,60101.21,114500.13,510858.86,165417.34,270053.82,84944.23,26526.91,111471.14,1200.0,271253.82,170618.38999999998,422760.93000000005,1036.1899999999998,24940.65,24940.65,984435.26,6430.18,992108.16,35374.93,61.08,942154.79,876583.64,62569.27,199239.84,19.0,-182618.51,3001.88,235467.969,110517.18,646637.72,4412.110000000001,413125.92,865132.2699999999,413125.92,0.0,1647.34,-4782.84,26526.91,689537.48,29555.9,-24879.57,34338.74,106537.98,1448876.58,1448876.58,568631.89,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2005-01-01,720031.15,1913.31,463554.74,60101.21,162867.38999999998,510858.86,165417.34,352706.15,138407.47,13039.32,151446.79,2000.0,354706.15,195078.31,592247.88,326.45,28484.16,28484.16,1242803.58,5929.820000000001,1253250.4,42432.15,3728.88,951567.95,755477.2,193088.87,220530.51,23.5,-182618.51,3001.88,108848.589,134977.1,646637.72,4412.110000000001,500013.23,720031.15,500013.23,0.0,-11715.96,-17645.780000000002,13039.32,689537.48,24459.92,-24755.28,42105.7,8402.76,1415122.6900000002,1415122.6900000002,789529.25,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2006-01-01,862158.3500000001,1913.31,563101.74,60101.21,92485.9,510858.86,165417.34,444662.32,180935.97,-123609.99,57325.979,6000.0,450662.32,106628.24,722247.08,4403.769,33613.91,33613.91,1293071.21,1496.23,1375221.27,74661.19,12.64,1173073.74,1012851.86,157220.0,211756.0,28.0,-182618.51,3001.88,112439.419,46527.03,646637.72,4412.110000000001,767388.89,862158.3500000001,767388.89,0.0,-157211.26,-158707.49,-123609.99,689537.48,-88450.07,-33601.27,70257.42,62981.33,1736175.48,1736175.48,849843.12,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2007-01-01,646858.55,1913.31,1055316.31,60101.21,237874.3,510858.86,165417.34,856732.7799999999,207740.35,-8068.23,199672.12,7220.0,863952.7799999999,136762.19,480897.46,36380.850000000006,43187.28999999999,43187.28999999999,1439912.26,1201.5,1590217.28,118966.92,4.9,845873.56,842594.81,389269.38499999995,619928.51,18.0,-182618.51,3278.75,191363.53,76660.98,646637.72,4412.110000000001,1117569.13,646858.55,1117569.13,0.0,-51250.62,-52452.12,-8068.23,689537.48,30133.95,-43182.39,82586.07,117559.9,1901189.87,1901189.87,763160.55,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2008-01-01,444992.1,1913.31,820294.3500000001,60101.21,172877.56,510858.86,165417.34,659401.52,170394.72,42899.76,213294.48,7310.2,664798.409,281013.55,293624.49000000005,0.0,38040.2,38040.2,1067756.55,2656.4700000000003,1200396.34,0.0,279.75,677034.4,52436.880000000005,621318.7699999999,510858.86,9.0,-182618.51,3278.75,153582.63,220912.34,646637.72,4412.110000000001,599580.3400000001,449404.21,766910.99,0.0,5139.31,2482.84,42899.76,689537.48,2482.84,-37760.45,0.0,153150.12,1497328.75,1497328.75,507198.72,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2009-01-01,286247.49000000005,10712.05,452260.77,60101.21,175032.599,246134.5,159980.47999999998,292932.63,170494.11000000002,27447.66,197941.77,7315.0,289535.58,203020.11,316851.32,0.0,22680.89,22680.89,987687.29,413.8,987834.6,0.0,185.52,516927.68,54427.02,459221.91,246134.5,10.0,-226907.009,3278.75,152013.14,142918.9,714252.4400000001,30213.01,279015.31,316460.5,449707.84,0.0,4952.29,4538.49,27447.66,741700.1,4538.49,-22495.37,0.0,151580.63,969188.45,969188.45,514978.61,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2010-01-01,133713.93,2951.5,334592.37,60101.21,192179.8,260224.04,152534.1,276301.48000000004,171112.75,28132.19,199244.94,7001.5,280351.48000000004,241063.26,396011.33,0.0,9522.61,9522.61,1023156.1,-2150.62,1023156.1,0.0,306.85,346242.83,51318.56,291217.62,260224.04,9.0,-167675.789,3706.65,51289.39,180962.05,734799.87,35337.850000000006,115234.56,169051.78,270720.16,0.0,18916.43,21067.05,28132.19,762932.059,21067.05,-9215.76,0.0,50856.880000000005,680835.2,680835.2,595563.12,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2011-01-01,198288.17,1647.96,445135.42,60101.21,248629.5,282790.96,121887.3,222762.18,192153.34,69503.64,261656.979,6958.25,228072.47,227208.98,312305.33,0.0,7154.7,7154.7,1199796.71,7378.58,1199796.71,0.0,1505.8,347040.49000000005,47955.22,295378.62,282790.96,10.0,-343043.44,3706.65,215414.99,167107.77000000002,847502.1089999999,12232.5,230911.0,210520.67,354446.26,0.0,63854.74,56476.159,69503.64,917005.75,56476.159,-5648.9,0.0,214982.48,792175.91,792175.91,575468.11,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2012-01-01,298169.2,762.3599999999999,477809.66,60101.21,156494.669,258145.42,73125.3,225856.16,128633.12,54942.72,183575.84,5975.120000000001,231068.92,249188.28,327958.88,0.0,15374.94,15374.94,1209345.61,11940.68,1211861.25,0.0,234.45,403883.53,43803.380000000005,356373.5,258145.42,13.0,-442181.11,3706.65,245978.38,189087.069,898773.11,21652.23,238795.819,319821.43000000005,312683.48000000004,0.0,39802.23,27861.55,54942.72,953715.83,27861.55,-15140.49,0.0,245545.87,881693.19,881693.19,511769.17,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2013-01-01,416771.8,1448.01,626091.06,60101.21,120931.15,254345.82,81628.45,276707.6,103184.6,39429.91,142614.51,6005.25,281264.83900000004,266934.83,362824.91,0.0,16710.309999999998,16710.309999999998,1151521.53,5280.360000000001,1152815.82,0.0,307.31,519014.27,39651.54,462374.44,254345.82,14.0,-393030.579,16988.29,343378.21,206833.62,859040.09,34968.96,343353.28,451740.76,426429.74,0.0,23026.91,17746.55,39429.91,898470.0,17746.55,-16403.0,0.0,217945.7,1145105.33,1145105.33,505746.7290000001,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2014-01-01,343554.75,80056.3,708638.7799999999,60101.21,250178.54,273199.69,81628.45,320947.36,110301.78,197888.92,308190.7,750.5,241641.56,406811.59,419466.57,0.0,25195.37,25195.37,1259829.75,34231.02,1259829.75,0.0,1414.23,413088.55,35499.71,356224.49000000005,273199.69,20.0,-258972.79,21364.35,386940.92,346710.38,788741.14,19291.54,190384.699,362846.29,352069.45,0.0,174107.78,139876.76,197888.92,986630.06,139876.76,-23781.14,0.0,311508.41000000003,1121727.33,1121727.33,729071.5,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2015-01-01,265993.36,2799.67,803623.76,60101.21,240755.91,221087.07,81628.45,185605.02,111546.81,190825.95,302372.76,1525.0,184330.349,545020.69,429860.84,0.0,20279.71,20279.71,1123563.93,42386.13,1123563.93,0.0,1048.99,298073.26,31602.79,248574.6,221087.07,14.0,-170243.26,17895.87,616493.74,484919.48,711650.91,5719.67,200535.18,271713.03,284963.3,0.0,171595.23,129209.1,190825.95,902476.859,129209.1,-19230.719,0.0,243933.68,1101697.02,1101697.02,733282.59,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2016-01-01,184061.61,3022.9300000000003,1000782.97,60101.21,202652.55,186766.17,81628.45,367327.69,107587.74,137498.93,245086.669,3575.0,367879.76,640085.5,460985.75,0.0,15454.44,15454.44,1115575.1,27427.12,1115575.1,0.0,447.44,200674.56,28725.58,146904.07,186766.17,14.0,-222736.51,25044.91,629880.2799999999,579984.2899999999,791310.0,3376.65,289282.39,187438.26,373933.77,0.0,122491.93,95064.81,137498.93,928808.93,95064.81,-15007.0,0.0,510472.22,1201457.53,1201457.53,706519.859,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2017-01-01,275593.43000000005,3440.59,1229739.46,60101.21,317043.8,223524.82,115721.25,460818.67,89667.79,311026.48000000004,400694.269,2578.0,459956.079,867461.51,448237.47,0.0,11213.66,11213.66,1275004.93,72586.81,1284434.5990000002,0.0,150.0,330715.99000000005,25848.36,279383.5,223524.82,16.0,-211978.04,25484.129,766342.7899999999,807360.3,749883.3,0.0,298238.67,275593.43000000005,417400.51,0.0,299962.82,227376.01,311026.48000000004,1060909.779,227376.01,-11063.66,0.0,716785.02,1560455.45,1560455.45,849081.74,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2018-01-01,290033.32,5820.59,1211550.72,60101.21,198534.45,219394.09,108958.58,268305.02,94993.45,142313.8,237307.25,3758.0,266242.43000000005,971002.51,541580.6799999999,0.0,9012.92,9012.92,1240520.83,29759.88,1251976.32,0.0,0.0,382443.32,22971.14,334036.87,219394.09,16.0,-253694.3,25435.309,939487.7,910901.3,890268.43,0.0,218179.04,290033.32,332958.21,0.0,133300.87999999998,103541.0,142313.8,1032582.23,103541.0,-9012.92,0.0,894233.87,1593994.04,1593994.04,778887.93,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2019-01-01,196849.48,31146.195000000003,1279828.83,60101.21,154455.28,212876.16,93183.84,256831.75,85803.9,94486.05,180289.95,10750.0,267581.75,1039653.89,560919.8300000001,0.0,5453.3,5453.3,1152566.1800000002,20381.37,1152566.1800000002,0.0,0.0,291346.19,20097.37,251106.74,212876.16,18.0,-198480.24,20142.077,1012247.08,979552.68,845203.97,0.0,241487.81,196849.48,334671.65,0.0,89032.75,68651.38,94486.05,939690.019,68651.38,-5453.3,0.0,961339.9,1571175.02,1571175.02,741209.7799999999,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2020-01-01,324050.43000000005,56471.8,1267376.4,60101.21,91939.08,181672.41,92147.87,95147.95,89796.83,16102.64,105899.47,14100.0,52776.149,1041796.14,451423.6,0.0,3846.59,3846.59,914124.74,10113.8,947307.939,0.0,0.0,427270.98,17226.32,399505.96,181672.41,19.0,-208312.46,10538.7,1158128.45,981694.93,749532.889,0.0,180181.14,324050.43000000005,328800.81,0.0,12256.05,2142.25,16102.64,765635.529,2142.25,-3846.59,0.0,1122977.97,1694647.38,1694647.38,557323.07,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2021-01-01,231235.59,69459.98999999999,1349089.21,78945.0,161682.53,196110.85,92814.84,138589.4,110976.09,58877.36,169853.44999999998,76250.0,145379.409,1092502.58,669753.49,0.0,3156.49,3156.49,1035961.52,5014.429999999999,1208520.52,0.0,0.0,319203.93000000005,14355.26,291400.93000000005,196110.85,24.0,-172802.73,13447.740000000002,1134249.81,1013557.58,953532.309,0.0,182280.139,231235.59,344554.97000000003,0.0,55720.87,50706.44,58877.36,1012409.67,50706.44,-3156.49,0.0,1084261.8,1668293.14,1668293.14,839606.9400000001,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2022-01-01,623528.7799999999,12979.21,1393393.81,78945.0,226746.88,405094.01,149221.37999999998,394784.15,164940.57,86400.59,251341.16,36200.0,418004.94,1154308.89,604359.76,0.0,5812.54,5812.54,1368102.24,18781.8,1442516.29,0.0,0.06,704569.9600000001,6385.73,694945.13,405094.01,43.0,-181721.36,3239.1,962409.66,1075363.89,951021.69,0.0,157925.51,623528.7799999999,320126.1,0.0,80588.11,61806.310000000005,86400.59,1037422.28,61806.310000000005,-5812.48,0.0,913624.42,2097963.77,2097963.77,855700.98,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
2023-01-01,1113692.5,3102.9100000000003,1583777.37,78945.0,323264.98000000004,283271.02,248202.62,574090.3,242631.6,134179.0,376810.6,35050.0,606037.39,1234942.27,811823.24,0.0,29008.47,29008.47,1556378.97,24537.15,1652596.73,0.0,0.0,1213641.78,8613.210000000001,1203366.05,283271.02,22.0,-180691.87,1662.52,974637.07,1155997.27,1235146.71,0.0,197478.85,1113692.5,448784.38,0.0,105170.53,80633.38,134179.0,1369325.71,80633.38,-29008.47,0.0,918879.11,2797419.15,2797419.15,1188633.84,"COMPANYIA DEL FERROCARRIL D'OLOT A GIRONA, SA_resum"
