Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,306204.69,260490.31,60100.0,22868.85,1022687.86,0.0,172071.29,11386.77,18919.75,30306.52,83202.2,255273.49,71582.08,40613.93,0.0,2401.34,2401.34,493960.09,4920.89,493960.09,0.0,8.34,8973.91,3565.59,5408.320000000001,391720.96,2.0,-74398.9,0.0,5216.820000000001,11482.08,240331.44,0.0,195565.42,2316.72,195565.42,0.0,16526.75,11605.86,18919.75,294086.98000000004,11482.08,-2393.0,0.0,4847.429999999999,269464.22000000003,269464.22000000003,70805.01,COMPONENTS ELECTRICS OLOT SL_resum
2000-01-01,2316.72,306204.69,260490.31,60100.0,22868.85,1022687.86,0.0,172071.29,11386.77,18919.75,30306.52,83202.2,255273.49,71582.08,40613.93,146.45000000000002,2401.34,2401.34,493960.09,4920.89,493960.09,22.68,8.34,8973.91,3565.59,5408.320000000001,391720.96,2.0,-74398.9,0.0,5216.820000000001,11482.08,240331.44,0.0,195565.42,2316.72,195565.42,0.0,16526.75,11605.86,18919.75,294086.98000000004,11482.08,-2393.0,-123.769,4847.429999999999,269464.22000000003,269464.22000000003,70805.01,COMPONENTS ELECTRICS OLOT SL_resum
2001-01-01,463.34,306204.69,247335.62,60100.0,14995.3,1022687.86,0.0,140233.69,3631.85,20309.960000000003,23941.809,102311.98,242545.669,82945.53,50882.49,29.45,4117.55,4117.55,550670.9600000001,4870.05,550670.9600000001,0.0,70.54,6303.68,1528.11,3813.95,439180.8,3.0,-74398.9,961.62,4789.95,22845.53,240331.44,0.0,170230.43,463.34,170230.43,0.0,16262.95,11392.9,20309.960000000003,294086.98000000004,11363.45,-4047.01,-29.45,4656.150000000001,253639.3,253639.3,74865.39,COMPONENTS ELECTRICS OLOT SL_resum
2002-01-01,0.0,306204.69,324504.81,60100.0,26278.23,1022687.86,0.0,199513.48,3122.46,36833.47,39955.93,111418.76,310932.24,106101.3,59371.350000000006,0.0,3832.28,3832.28,730079.51,9923.95,730079.51,0.03,78.5,3181.22,4252.305,2219.6,586190.62,3.0,-74398.9,961.619,13572.569,46001.3,240331.44,0.0,221584.73,3237.1125,221584.73,0.0,33079.689999999995,23155.74,36833.47,294086.98000000004,23155.77,-3753.78,0.03,13540.08,327686.03,327686.03,99405.81,COMPONENTS ELECTRICS OLOT SL_resum
2003-01-01,0.0,306204.69,394077.3,60100.0,35300.53,1022687.86,0.0,249158.8,1594.37,47577.56,49171.93,117871.46,367030.26,139807.46,74714.70999999999,11.57,3256.32,3256.32,867581.73,14445.5,867581.73,3816.0,25.99,8563.349999999999,6976.5,625.23,696149.59,3.0,-74398.9,961.62,27047.039,79707.459,240331.44,0.0,262833.19,6010.885,262833.19,0.0,44347.23,29901.73,47577.56,294086.98000000004,33706.16,-3230.3300000000004,3804.43,27047.04,402640.65,402640.65,127717.06,COMPONENTS ELECTRICS OLOT SL_resum
2004-01-01,0.0,306204.69,465398.41,60100.0,34910.13,1022687.86,0.0,314152.18,4638.45,41842.54,46480.99,135841.83,449994.01,170078.84,96525.84,11.87,2414.64,2414.64,919468.2,9171.53,919468.2,11.87,15.31,23562.69,13008.54,9592.53,723529.49,4.0,-74398.9,961.619,15404.399,109978.84,240331.44,0.0,318882.26,8784.657500000001,318882.26,0.0,39443.21,30271.68,41842.54,294086.98000000004,30271.68,-2399.3300000000004,0.0,15404.4,488961.1,488961.1,143022.14,COMPONENTS ELECTRICS OLOT SL_resum
2005-01-01,11558.43,306204.69,408991.46,60100.0,22542.41,1022687.86,0.0,246993.4,9777.26,19601.88,29379.14,136670.78,383664.18,152843.99,102472.45,0.0,3372.58,3372.58,861731.56,4581.7,861731.56,1099.33,18.22,35290.39,26912.59,7416.18,673253.21,4.0,-74398.9,961.619,25327.28,92743.989,240331.44,0.0,279879.43000000005,11558.43,279879.43000000005,0.0,16247.52,11665.82,19601.88,294086.98000000004,12765.15,-3354.36,1099.33,23342.5,444281.85,444281.85,132969.139,COMPONENTS ELECTRICS OLOT SL_resum
2006-01-01,8001.99,306204.69,497009.56,60100.0,33472.589,1022687.86,0.0,317930.88,12081.52,34512.09,46593.61,144525.46,462456.339,174235.06,111262.53,0.0,4022.33,4022.33,965424.09,9167.6,965424.09,17.05,51.86,23208.87,18092.72,4154.529,748577.14,4.0,-74398.9,961.62,34553.219,114135.06,240331.44,0.0,337981.38,8001.99,337981.38,0.0,30541.62,21374.019,34512.09,294086.98000000004,21391.07,-3970.47,17.05,33373.850000000006,520218.43000000005,520218.43000000005,157925.05,COMPONENTS ELECTRICS OLOT SL_resum
2007-01-01,12889.96,306204.69,543626.99,60100.0,35650.59,1022687.86,0.0,324495.32,13536.240000000002,30770.23,44306.47,141835.26,466330.58,196349.41,132627.06,129.19,3804.82,3804.82,1298984.34,5468.06,1298984.34,33.309999999999995,712.88,32291.67,30437.17,892.88,1058495.21,4.0,-74398.9,961.62,77296.409,136249.41,240331.44,0.0,366679.29,12889.96,366679.29,0.0,27678.29,22210.23,30770.23,294086.98000000004,22114.35,-3091.94,-95.88,75637.13,575918.66,575918.66,177550.53,COMPONENTS ELECTRICS OLOT SL_resum
2008-01-01,6010.660000000001,306204.69,533414.13,60100.0,46941.43,1022687.86,5694.28,303636.45,8913.25,53755.54,62668.78999999999,147081.41999999998,144513.18,214377.59,157019.29,0.0,3655.94,3655.94,1316774.84,12676.06,1316774.84,0.0,604.64,21880.97,8235.83,9683.52,1022687.86,4.0,-74398.9,3961.62,82696.26,154277.59,240331.44,0.0,23007.88,6010.660000000001,334906.85,0.0,50704.24,38028.18,53755.54,294086.98000000004,38028.18,-3051.3,0.0,82696.26,555295.1,555295.1,220292.72,COMPONENTS ELECTRICS OLOT SL_resum
