Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,252338.84,279833.63,93762.82,3005.06,16097.33,1385193.22,34084.7,34463.67,18090.54,6380.9,24471.44,4192.37,38656.04,2462.8100000000004,110838.3,2322.3900000000003,6910.68,6910.68,561483.11,-854.24,561483.11,0.0,4.72,263113.87,14067.07,246642.75,356477.6,12.0,-88582.36,2404.049,55106.78,-542.25,231379.33,0.0,102075.04,252338.84,102075.04,0.0,-525.06,329.18,6380.9,249746.29,-1993.21,-6905.96,-2322.3900000000003,3.22,356876.69,356876.69,132992.07,CONSORCI GIRONA SL_resum
2000-01-01,222513.2,279833.63,197488.66,3005.06,15558.380000000001,1385193.22,34084.7,29757.37,16578.760000000002,23727.77,23727.77,115189.96,144947.33,2340.9100000000003,83856.87000000001,1942.69,22132.07,22132.07,646178.22,-52.25,646178.22,171.43,1.41,320939.96,60149.62,258386.29,471343.26,8.0,-88582.36,2404.05,52541.33,-664.15,231379.33,0.0,293574.52,222513.2,293574.52,0.0,1597.11,1649.36,23727.77,249746.29,-121.9,-22130.66,-1771.26,3.22,518428.62,518428.62,105814.79,CONSORCI GIRONA SL_resum
2001-01-01,208008.56,279833.63,298674.02,3005.94,15019.43,1385193.22,34084.7,42590.72,15066.98,13312.67,13312.67,177049.31999999998,219640.04,3670.55,66682.95999999999,0.0,15919.79,15919.79,770567.24,587.71,770567.3400000001,4564.44,1.7200000000000002,283218.86,46082.56,234732.25,621381.72,4.0,-88582.36,2404.049,79033.98,664.61,231379.33,0.0,370213.77,208008.56,370213.77,0.0,-2605.4,-3193.11,13312.67,249746.29,1371.33,-15918.07,4564.44,29619.52,581892.88,581892.88,84561.79,CONSORCI GIRONA SL_resum
2002-01-01,106564.39,279833.63,252466.53,23082.24,14480.48,1385193.22,34084.7,15561.83,13555.2,33109.03,33109.03,182799.0,198360.83,24440.6,39605.61,7873.650000000001,25040.23,25040.23,635680.3300000001,297.33,635680.3300000001,300.0,495.94,179522.41,46359.56,130758.8,493521.74,4.0,-88582.36,2404.05,54105.7,1358.359,231379.33,0.0,300983.95,106564.39,300983.95,0.0,8564.740000000002,8267.41,33109.03,249746.29,693.76,-24544.29,-7573.650000000001,6525.1,431988.94,431988.94,65636.929,CONSORCI GIRONA SL_resum
2003-01-01,97381.19,279833.63,185441.2,43158.98,13941.53,1385193.22,34084.7,88.45,12043.42,9251.55,21294.97,176195.63,176284.08,46415.45,44071.49,0.0,19470.03,19470.03,673099.73,782.8399999999999,673099.73,12895.25,4.18,211384.27,55121.05,156263.22,550017.9600000001,3.0,-88582.36,0.0,9157.12,3256.469,231379.33,0.0,253028.83,97381.19,253028.83,0.0,-10214.3,-10997.14,9251.55,249746.29,1898.11,-19465.85,12895.25,5530.24,396825.47,396825.47,78265.88900000001,CONSORCI GIRONA SL_resum
2004-01-01,95477.44,279833.63,148682.93,43158.98,31521.3,1385193.22,34084.7,80.16999999999999,29679.17,14767.740000000002,44446.909,143607.61000000002,143687.78,48484.78999999999,47176.75,0.0,12139.41,12139.41,771386.89,789.49,771386.89,0.0,3.29,203491.78,55637.36,147852.08,618476.97,1.0,-88582.36,2.3389999999999995,4995.150000000001,5325.809,231379.33,0.0,208212.48,95477.44,208212.48,0.0,2631.62,1842.129,14767.740000000002,249746.29,1842.13,-12136.12,0.0,30184.58,352174.71,352174.71,91626.95,CONSORCI GIRONA SL_resum
2005-01-01,76179.78,279833.63,148160.77000000002,43158.98,25816.89,1385193.22,34084.7,28694.260000000002,23836.3,8732.91,32569.21,143266.44,143266.44,50465.380000000005,68649.64,0.0,11903.82,11903.82,849164.81,848.8199999999999,849164.81,6000.0,0.32,198590.11,56029.63,142276.91999999998,695044.8600000001,2.0,-88582.36,283.559,4894.329000000001,7306.399,231379.33,0.0,220105.72,76179.78,220105.72,0.0,-3170.59,-4019.41,8732.91,249746.29,1980.59,-11903.5,6000.0,54838.92,346750.88,346750.88,107219.17,CONSORCI GIRONA SL_resum
2006-01-01,61675.16,279833.63,206267.27,67158.98,30890.149,1385193.22,34084.7,57308.350000000006,27432.6,16925.1,44357.7,143266.44,200574.79,77922.93,92564.81,0.0,11999.21,11999.21,1004371.69,1481.8,1004371.69,7.0,6.46,191517.58,64476.21,126757.81,812978.43,3.0,-88582.36,283.559,5692.48,10763.949,231379.33,0.0,258186.76,61675.16,258186.76,0.0,4932.35,3450.55,16925.1,249746.29,3457.55,-11992.75,7.0,79493.26000000001,397784.85,397784.85,136935.97,CONSORCI GIRONA SL_resum
2007-01-01,121277.33,279833.63,329203.28,47126.24,30528.87,1385193.22,34084.7,124789.24,23371.47,21073.8,44445.27,100266.44,225055.68,65047.58,119224.25,11.96,11518.64,11518.64,1257053.21,2385.8,1257053.21,0.0,4.745,195902.02,14472.5,181145.96,1027323.39,5.0,-88582.36,283.559,104147.6,17921.34,231379.33,0.0,338780.39,121277.33,338780.39,0.0,9555.16,7169.360000000001,21073.8,249746.29,7157.4,-11518.64,-11.96,104147.6,525105.3,525105.3,163657.56,CONSORCI GIRONA SL_resum
2008-01-01,59653.68,279833.63,330927.94,47126.24,14548.11,1385193.22,34084.7,239741.03,6334.8,18366.960000000003,24701.76,62652.6,22560.0,73260.89,136462.17,0.0,7418.92,7418.92,1634939.51,2737.76,1634939.51,0.0,3.03,131547.16,908.16,126755.44,1385193.22,5.0,-88582.36,3883.56,28534.31,26134.648,231379.33,0.0,15642.2,59653.68,329560.53,0.0,10951.07,8213.309,18366.960000000003,249746.29,8213.309,-7415.89,0.0,28534.31,462475.1,462475.1,161166.96,CONSORCI GIRONA SL_resum
