Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,375024.15,426099.8,360082.96,3005.06,8192.81,87903.45999999999,14408.68,89505.98999999999,3444.38,5122.14,8566.52,355084.11,355084.11,37513.08,64918.67,90.15,10128.45,10128.45,18641.71,2035.05,18641.71,0.0,1751.48,19870.04,0.0,18315.07,-54843.48,5.0,-116029.81,1554.97,4998.85,34508.02,244464.3,0.0,342439.93000000005,375024.15,342439.93000000005,0.0,6873.63,4838.58,5122.14,302761.63,4748.429999999999,1751.48,-90.15,4998.860000000001,379953.01,379953.01,75146.53,CONSTRUCCIONS CAMPCARDOS SL_resum
2000-01-01,375024.15,426099.8,918221.3,3005.06,12109.43,87903.45999999999,14408.68,89505.98999999999,4972.13,18698.15,23670.28,913223.92,913223.92,44650.380000000005,103518.04,0.0,10128.45,10128.45,199830.3,3058.8500000000004,199830.3,1268.5,357.94,16765.29,0.0,13758.4,28625.4,7.0,-116029.81,3006.8900000000003,4997.38,41645.32,244464.3,0.0,890336.21,375024.15,890336.21,0.0,8927.640000000001,5868.789,18698.15,302761.63,7137.3,-9770.51,1268.5,4997.38,934986.58,934986.58,128814.769,CONSTRUCCIONS CAMPCARDOS SL_resum
2001-01-01,375024.15,426099.8,890267.3200000001,6130.320000000001,13971.279,87903.45999999999,14408.68,89505.98999999999,6536.41,18422.68,24959.09,795763.9500000001,885269.9400000001,55210.5,131156.4,111.76,8073.23,8073.23,1324177.83,3186.38,1324177.83,139.92000000000002,243.64,27797.69,0.0,23491.56,1125316.1,9.0,-116029.81,4306.129000000001,4997.379,49080.18,244464.3,0.0,862854.51,375024.15,862854.51,0.0,10593.09,7406.71,18422.68,302761.63,7434.87,-7829.59,28.159,4997.38,918065.01,918065.01,156387.29,CONSTRUCCIONS CAMPCARDOS SL_resum
2002-01-01,375024.15,426099.8,1530795.37,6130.320000000001,6713.389,87903.45999999999,14408.68,208704.82,4318.03,33426.07,37744.1,1262252.97,1470957.79,57605.86,147188.08,1547.43,28797.66,28797.66,364566.94,1026.579,365863.14,120.0,220.96,24832.980000000003,0.0,19173.52,102973.54,9.0,-116029.81,5659.459,59837.58,51475.54,244464.3,0.0,1122998.34,375024.15,1122998.34,0.0,4849.37,3822.791,33426.07,302761.63,2395.36,-28576.7,-1427.43,59837.579,1555628.35,1555628.35,183725.709,CONSTRUCCIONS CAMPCARDOS SL_resum
2003-01-01,240000.0,426099.8,1397401.12,6130.320000000001,8142.79,87903.45999999999,14408.68,547159.1799999999,5010.14,10783.37,15793.51,784878.8600000001,1332038.04,60738.51,125159.61,102.17,16825.91,16825.91,1045953.72,1342.56,1045953.72,10399.07,220.85,29435.21,0.0,22577.55,827721.7799999999,8.0,-116029.81,6857.660000000001,65363.08,54608.19,244464.3,0.0,1126097.82,240000.0,1126097.82,0.0,-5821.6900000000005,-7164.25,10783.37,302761.63,3132.65,-16605.06,10296.9,65363.08,1426836.33,1426836.33,151470.87,CONSTRUCCIONS CAMPCARDOS SL_resum
2004-01-01,240000.0,426099.8,1427578.1,6130.320000000001,10547.5,87903.45999999999,14408.68,466538.18,5035.07,10842.17,15877.240000000002,904273.7,1370811.88,66250.93999999999,101649.67,0.0,4605.820000000001,4605.820000000001,705273.06,2362.4700000000003,705273.06,33.37,1605.1799999999998,29394.51,0.0,20787.480000000003,531096.2699999999,6.0,-116029.81,8607.029,56766.22,60120.62,244464.3,0.0,1150721.6700000002,240000.0,1150721.6700000002,0.0,7841.53,5479.059,10842.17,302761.63,5512.429999999999,-3000.64,33.37,56766.219,1456972.61,1456972.61,119165.459,CONSTRUCCIONS CAMPCARDOS SL_resum
2005-01-01,582890.5,426099.8,2173629.14,6130.320000000001,15309.240000000002,87903.45999999999,14408.68,350283.51,10181.240000000002,9188.87,19370.11,1698599.28,2048882.79,71378.93999999999,115657.19,1756.6,210.55,210.55,406554.8,2197.72,406554.8,0.0,104.0,20498.51,0.0,10606.240000000002,212209.58,6.0,-116029.81,9892.269,124746.35,65248.62,244464.3,0.0,1539858.21,582890.5,1539858.21,0.0,9082.32,6884.6,9188.87,302761.63,5128.0,-106.55,-1756.6,124746.35,2194127.65,2194127.65,133374.699,CONSTRUCCIONS CAMPCARDOS SL_resum
2006-01-01,1470306.04,426099.8,2979447.77,6130.320000000001,197676.71,87903.45999999999,14408.68,395651.88,8210.5,279416.99000000005,287627.49000000005,2491733.93,2887385.81,260845.15,84766.88,0.0,650.7,650.7,886242.43,92773.94,886242.43,2000.0,1473.86,29508.9,0.0,23457.460000000003,438035.98,3.0,-116029.81,6051.44,92061.959,254714.83,244464.3,0.0,1277805.48,1470306.04,1277805.48,0.0,280240.15,187466.21,279416.99000000005,302761.63,189466.21,823.16,2000.0,90222.79,3008956.67,3008956.67,375868.23,CONSTRUCCIONS CAMPCARDOS SL_resum
2007-01-01,1381480.54,426099.8,3225561.58,6130.320000000001,382031.27,87903.45999999999,14408.68,186206.32,5409.6900000000005,524073.3,529482.99,1491701.93,1677908.25,637466.73,88957.2,2942.02,2656.8700000000003,2656.8700000000003,3223139.4,152823.36,3223139.4,0.0,10970.53,25688.17,20480.92,3884.43,2314345.11,2.0,-116029.81,1322.82,1547653.33,631336.41,244464.3,0.0,1232302.48,1381480.54,1232302.48,0.0,532386.959,379563.5990000001,524073.3,302761.63,376621.58,8313.66,-2942.02,1546755.6190000002,3251249.75,3251249.75,626468.6989999999,CONSTRUCCIONS CAMPCARDOS SL_resum
2008-01-01,1361546.26,426099.8,3154207.31,6130.320000000001,59987.36,87903.45999999999,14408.68,296568.25,6186.25,58297.33,64483.58,1754454.74,1624923.1900000002,691267.8400000001,122248.24,0.0,71779.1,71779.1,370935.09,17933.71,390665.09,0.0,85216.59,18867.89,0.0,18867.89,350656.27,6.0,-116029.81,0.0,1103184.32,685137.52,244464.3,0.0,679752.62,1361546.26,1120261.1,0.0,71734.82,53801.11,58297.33,302761.63,53801.11,13437.489,0.0,1103184.32,3173075.2,3173075.2,271948.41000000003,CONSTRUCCIONS CAMPCARDOS SL_resum
