Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,32006.33,997329.89,521147.48,60101.21,77522.93,3198165.09,0.0,259010.67,34295.87,56168.72,90464.59,25262.960000000003,284273.63,367394.53,250176.05,160.93,2148.32,2148.32,1231085.6,18858.65,1231085.6,6377.74,1848.5,273693.01,41668.850000000006,225863.21,729962.26,14.0,-386189.47,6160.95,236873.849,307293.32,1393125.39,30460.25,395439.63,32006.33,395439.63,0.0,55868.91,37010.26,56168.72,1417917.799,43227.06,-299.81,6216.809,236224.219,794840.5,794840.5,348705.95,CONSTRUCCIONS REBUJENT SA_resum
2000-01-01,38899.66,997329.89,450901.899,60101.21,96033.33,3198165.09,0.0,209896.23,46356.87,62352.43,108709.3,19939.93,229836.16,417070.9900000001,323626.6,355.4,2885.28,2885.28,1542223.37,21329.85,1550386.8,3451.96,8442.6,313192.92000000004,46743.99,259006.97,989053.66,17.0,-386189.47,7441.959,221065.739,356969.77900000004,1393125.39,30460.25,308124.17,38899.66,308124.17,0.0,67909.75,46579.9,62352.43,1417917.799,49676.46,5557.320000000001,3096.56,219359.58,764094.8200000001,764094.8200000001,443875.06,CONSTRUCCIONS REBUJENT SA_resum
2001-01-01,30897.01,997329.89,1026611.2,60110.0,119681.22,3198165.09,0.0,745776.4400000001,47040.72,98264.44,145305.16,5031.73,750808.169,489711.4900000001,457969.39,4924.620000000001,2701.77,2701.77,2510450.34,31131.63,2518970.05,394.53,12739.55,322515.04,37984.01,265069.07,1737330.36,24.0,-386189.47,19461.959,275803.03,429601.4900000001,1393125.39,30460.25,828517.74,30897.01,828517.74,0.0,108302.22,77170.59,98264.44,1417917.799,72640.5,10037.78,-4530.09,273358.15,1349126.24,1349126.24,611484.01,CONSTRUCCIONS REBUJENT SA_resum
2002-01-01,27997.45,997329.89,1273808.57,60110.0,117007.14,3198165.09,0.0,1006399.51,53920.53,82531.6,136452.13,2518.34,1008917.85,552798.09,584026.11,1250.51,2385.49,2385.49,2145732.02,26741.35,2153658.62,2716.74,8215.62,330586.59,72453.23,238671.39,1200369.78,29.0,-386189.47,19461.97,264890.71900000004,492688.089,1393125.39,30460.25,1023599.62,27997.45,1023599.62,0.0,88361.73,61620.380000000005,82531.6,1417917.799,63086.61,5830.13,1466.229,262374.76,1604395.16,1604395.16,730160.09,CONSTRUCCIONS REBUJENT SA_resum
2003-01-01,73338.55,997329.89,1139043.65,60110.0,81739.43,3198165.09,0.0,1058284.8990000002,65116.44,21291.57,86408.01,1879.27,1060164.1690000002,569421.08,545252.53,0.0,2554.58,2554.58,2275738.33,7124.14,2275738.33,1840.93,3169.21,450132.38,30158.34,402661.84,1297449.32,29.0,-386189.47,17312.198999999997,78879.481,509311.079,1393125.39,30460.25,946416.4,73338.55,946416.4,0.0,21906.2,14782.06,21291.57,1417917.799,16622.99,614.63,1840.93,77386.68000000001,1589176.03,1589176.03,636670.6799999999,CONSTRUCCIONS REBUJENT SA_resum
2004-01-01,265005.05,997329.89,1302861.48,60110.0,87324.73999999999,3198165.09,0.0,1220280.39,73066.86,31689.97,104756.83,6866.85,1227147.24,583678.9600000001,723404.21,6367.57,7722.22,7722.22,3084658.15,6110.52,3520446.36,372.69,2395.53,850617.99,42568.56,777880.1799999999,2371135.56,29.0,-386189.47,30169.249,75714.239,523568.959,1393125.39,30460.25,1304795.46,265005.05,1304795.46,0.0,26363.28,20252.76,31689.97,1417917.799,14257.88,-5326.6900000000005,-5994.88,75113.53,2153479.47,2153479.47,824561.69,CONSTRUCCIONS REBUJENT SA_resum
2005-01-01,319792.99000000005,997329.89,1347665.51,60110.0,110291.92,3198165.09,0.0,1075568.98,80745.87000000001,-2585.17,78160.7,186984.81,1262553.79,613225.01,800018.4400000001,2523.24,17235.87,17235.87,3423294.39,12662.59,3423294.39,64489.61,63.31,884454.48,66753.009,793326.41,2172354.91,51.0,-386189.47,24375.06,85111.719,553115.01,1393125.39,30460.25,1299101.99,319792.99000000005,1299101.99,0.0,-19757.73,-32420.32,-2585.17,1417917.799,29546.05,-17172.56,61966.37,83326.739,2232119.99,2232119.99,940208.82,CONSTRUCCIONS REBUJENT SA_resum
2006-01-01,292687.69,997329.89,1668956.98,60110.0,96284.34,3198165.09,0.0,1211429.34,83245.17000000001,35166.7,118411.87,366311.43000000005,1577740.77,626264.1799999999,809973.54,0.0,16783.23,16783.23,4857383.03,5588.21,5073923.03,232.32,11.59,1105964.1,60213.48,1027805.75,3753014.26,29.0,-386189.47,17944.87,91216.209,566154.1799999999,1393125.39,30460.25,1855969.21,292687.69,1855969.21,0.0,18395.06,12806.85,35166.7,1417917.799,13039.17,-16771.64,232.32,90315.76,2774921.08,2774921.08,928629.32,CONSTRUCCIONS REBUJENT SA_resum
2007-01-01,266740.56,997329.89,645407.26,60110.0,382963.74,3198165.09,0.0,356779.52,108262.57,417364.29,525626.8600000001,10090.85,366870.37,900965.35,831465.38,897.6700000000001,34138.52,34138.52,7096587.6,109143.2,7096587.6,1506.659,9.61,1016732.03,60519.47,940644.2,5300630.54,24.0,-386189.47,15568.36,278536.89,840855.3500000001,1393125.39,30460.25,494433.38,266740.56,494433.38,0.0,383235.38,274092.18,417364.29,1417917.799,274701.17,-34128.91,608.989,277809.75,1662139.29,1662139.29,1357710.84,CONSTRUCCIONS REBUJENT SA_resum
2008-01-01,195157.72,997329.89,1284062.82,60110.0,108849.18,3198165.09,45520.17,987658.78,101993.0,24792.41,126785.41,199737.3,190066.19,907821.53,904942.92,0.0,17183.25,16909.09,4616082.89,2285.3900000000003,4616082.89,0.0,1532.41,950795.12,41279.64666666667,933767.98,3198165.09,19.0,-386189.47,17027.14,96666.739,847711.53,1393125.39,30460.25,58568.380000000005,225617.97,1101418.44,0.0,9141.57,6856.18,24792.41,1417917.799,6856.18,-15650.84,0.0,88666.73,2234857.94,2234857.94,1032986.58,CONSTRUCCIONS REBUJENT SA_resum
