Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,34981.05,80427.33,3005.06,16132.57,301215.14,0.0,72774.81,4924.01,22851.23,27775.239,1294.58,74069.39,43382.9,98164.78,0.0,6838.99,6838.99,344517.95,4803.67,344517.95,0.0,0.01,12802.43,0.0,12802.43,214635.56,6.0,-135020.51,0.0,6357.94,40377.84,396610.15,0.0,49846.850000000006,0.0,49846.850000000006,0.0,16012.240000000002,11208.57,22851.23,450773.79900000006,11208.56,-6838.99,0.0,6357.929999999999,93229.75,93229.75,125940.01,CONSTRUCCIONS SANT JAUME DE LLIERCA SL_resum
2000-01-01,20143.41,34981.05,114220.77,3005.06,12396.08,301215.14,0.0,66014.039,5177.88,19064.28,24242.16,30952.12,96966.159,50601.11,111136.89,0.0,8752.56,8752.56,288891.93000000005,3093.52,288891.93000000005,0.0,0.01,26887.61,0.0,26887.61,138196.6,6.0,-135020.51,0.0,17254.610999999997,47596.05,396610.15,0.0,70363.86,20143.41,70363.86,0.0,10311.72,7218.199,19064.28,450773.79900000006,7218.2,-8752.56,0.0,17254.609999999997,141108.37999999998,141108.37999999998,135379.05,CONSTRUCCIONS SANT JAUME DE LLIERCA SL_resum
2001-01-01,0.0,34981.05,214055.39,3005.06,41381.53,301215.14,0.0,191537.64,7218.2,60936.23,68154.43,1472.48,193010.12,84764.43999999999,116747.31,0.0,12131.76,12131.76,502652.6,14641.15,502652.6,0.0,0.01,19669.41,0.0,19669.41,297940.18,6.0,-135020.51,0.0,21045.269,81759.38,396610.15,0.0,148960.36,0.0,148960.36,0.0,48804.48,34163.33,60936.23,450773.79900000006,34163.33,-12131.75,0.0,21045.27,233724.8,233724.8,184901.75,CONSTRUCCIONS SANT JAUME DE LLIERCA SL_resum
2002-01-01,12562.81,34981.05,344819.48000000004,3005.06,38015.57,301215.14,0.0,284745.86,11722.4,58963.17,70685.569,738.5,285484.36,111057.41,143278.72,0.0,21401.5,21401.5,713407.58,11268.5,713407.58,0.0,2.455,7947.01,0.0,7947.01,348789.5,6.0,-135020.51,0.0,59335.119,108052.35,396610.15,0.0,229146.27,12562.81,229146.27,0.0,37561.67,26293.17,58963.17,450773.79900000006,26293.17,-21401.5,0.0,59335.12,352766.49000000005,352766.49000000005,213964.29,CONSTRUCCIONS SANT JAUME DE LLIERCA SL_resum
2003-01-01,0.0,34981.05,597922.5,3005.06,84288.13,301215.14,0.0,308639.69,9102.0,127317.24,136419.24000000002,324.5,308964.19,186243.54,150911.54,0.0,18585.93,18585.93,823833.16,33550.08,823833.16,0.0,4.9,15765.443749999999,0.0,13992.66,367036.57,6.0,-135020.51,0.0,288958.31,183238.48,396610.15,0.0,411678.96,0.0,411678.96,0.0,108736.21,75186.13,127317.24,450773.79900000006,75186.13,-18581.03,0.0,288958.31,597922.5,597922.5,287335.68,CONSTRUCCIONS SANT JAUME DE LLIERCA SL_resum
2004-01-01,0.0,34981.05,449837.93000000005,3005.06,76639.46875,301215.14,0.0,134730.34,8753.275,63078.42,63078.42,1249.8,135980.139,223352.89,243268.38,0.0,10716.73,10716.73,575705.31,15904.01,575705.31,0.0,651.6700000000001,23583.8775,0.0,20038.309999999998,306124.6,6.0,-135020.51,0.0,313857.79000000004,220347.83,396610.15,0.0,226485.04,0.0,226485.04,0.0,53013.36,37109.350000000006,63078.42,450773.79900000006,37109.350000000006,-10065.06,0.0,313857.79000000004,449837.93000000005,449837.93000000005,306998.47000000003,CONSTRUCCIONS SANT JAUME DE LLIERCA SL_resum
2005-01-01,0.0,34981.05,483661.67,3005.06,68990.8075,301215.14,0.0,27814.02,8404.55,89861.45,89861.45,3255.0,31069.02,277017.3,247697.73,0.0,14986.3,14986.3,864868.62,22999.04,864868.62,0.0,1788.3,31402.31125,0.0,26083.96,362539.07,6.0,-135020.51,0.0,452592.649,274012.24,396610.15,0.0,206644.37,0.0,206644.37,0.0,76663.45,53664.409,89861.45,450773.79900000006,53664.41,-13198.0,0.0,452592.649,483661.67,483661.67,339347.48000000004,CONSTRUCCIONS SANT JAUME DE LLIERCA SL_resum
2006-01-01,0.0,34981.05,458093.74,3005.06,61342.146250000005,301215.14,0.0,98919.72,8055.825,96393.94,96393.94,12140.0,111059.72,334144.91000000003,236748.52,0.0,17373.38,17373.38,796477.47,24483.25,796477.47,0.0,2590.3,39220.744999999995,0.0,32129.61,512676.41,3.0,-135020.51,0.0,347034.02,331139.85,396610.15,0.0,123948.83,0.0,123948.83,0.0,81610.86,57127.61,96393.94,450773.79900000006,57127.61,-14783.08,0.0,347034.02,458093.74,458093.74,335732.76,CONSTRUCCIONS SANT JAUME DE LLIERCA SL_resum
2007-01-01,0.0,34981.05,434071.8,3005.06,53693.485,301215.14,0.0,220472.72,7707.1,71474.31,71474.31,12855.0,233327.72,367773.93000000005,212946.12,0.0,26933.95,26933.95,582308.61,11209.67,582308.61,0.0,298.33,47039.17875,0.0,38175.26,314285.31,3.0,-135020.51,0.0,200744.08,364768.87,396610.15,0.0,66297.869,0.0,66297.869,0.0,44838.69,33629.02,71474.31,450773.79900000006,33629.02,-26635.62,0.0,200744.08,434071.8,434071.8,284718.76,CONSTRUCCIONS SANT JAUME DE LLIERCA SL_resum
2008-01-01,0.0,34981.05,437601.42,3005.06,46044.823749999996,301215.14,0.0,95834.66,7358.375,54163.65,54163.65,5114.0,65967.61,402620.37,261589.64,0.0,10283.26,10283.26,751988.9400000001,11615.47,751988.9400000001,0.0,2581.52,54857.612499999996,0.0,44220.909999999996,301215.14,3.0,-135020.51,0.0,336652.76,399615.31,396610.15,0.0,48038.63266666667,0.0,34981.05,0.0,46461.91,34846.44,54163.65,450773.79900000006,34846.44,-7701.74,0.0,82402.26,437601.42,437601.42,318334.81,CONSTRUCCIONS SANT JAUME DE LLIERCA SL_resum
