Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,22183.22,344518.39,249482.43,154940.91999999998,22820.45,314284.74,0.0,85015.69,9355.84,20670.4,30026.24,157067.3,242082.99,189680.28,97704.76,0.0,1439.1899999999998,1439.1899999999998,384039.4900000001,5770.55,384039.4900000001,0.0,3.94,42190.91,14431.5,27759.4,187997.67,8.0,-95132.53,0.01,7399.44,34739.359000000004,258741.13,0.0,79809.83,22183.22,79809.83,0.0,19235.15,13464.6,20670.4,280478.26,13464.61,-1435.25,0.0,6384.4,291673.33,291673.33,127734.95,CRISTALLERIES OLOT SL_resum
2000-01-01,1167.54,344518.39,284683.82,154940.91999999998,28125.32,314284.74,0.0,81462.73999999999,10698.02,24243.5,34941.52,163169.07,244631.81,207107.58,104064.55,0.0,1528.7,1528.7,414735.61,7468.84,414735.61,2175.66,5.67,41079.82,10948.04,30131.78,210702.41,8.0,-95132.53,0.0,40052.009,52166.659,258741.13,0.0,117488.52,1167.54,117488.52,0.0,22720.47,15251.63,24243.5,280478.26,17427.3,-1523.03,2175.66,39803.93,325763.63,325763.63,141187.41,CRISTALLERIES OLOT SL_resum
2001-01-01,22534.1,344518.39,333548.8,154940.91999999998,34715.73,314284.74,0.0,154370.9,16065.85,27346.64,43412.49,173452.09,327822.99000000005,225757.45,109108.66,0.0,703.9499999999999,703.9499999999999,444053.01,7992.81,444053.01,0.0,41.74333333333334,69745.89,7464.57,62281.32,224709.62,8.0,-95132.53,0.0,5725.809,70816.53,258741.13,0.0,155003.14,22534.1,155003.14,0.0,26642.69,18649.879,27346.64,280478.26,18649.88,-703.9499999999999,0.0,5477.74,403294.69,403294.69,152521.15,CRISTALLERIES OLOT SL_resum
2002-01-01,17050.6,344518.39,331953.21,154940.91999999998,36357.77,314284.74,0.0,117537.09,16065.86,28840.9,44906.76,160827.33,278364.42000000004,246049.36,118399.29,0.0,1294.88,1294.88,483145.61,8696.54,483145.61,1442.43,77.81666666666668,76156.86,3981.1,71575.76,245684.5,8.0,-95132.53,600.0,53588.78999999999,91108.439,258741.13,0.0,145010.11000000002,17050.6,145010.11000000002,0.0,27546.02,18849.480000000003,28840.9,280478.26,20291.91,-1294.88,1442.43,53588.78999999999,408110.07,408110.07,164748.479,CRISTALLERIES OLOT SL_resum
2003-01-01,12504.78,344518.39,333524.85,154940.91999999998,35982.51,314284.74,0.0,140345.8,17992.7,26518.65,44511.350000000006,88297.0,228642.8,264039.169,112266.52,0.0,818.92,818.92,514201.85,7709.92,514201.85,0.0,113.89000000000001,58164.16,497.63,57066.53,287166.31,8.0,-95132.53,600.0,104882.049,109098.248,258741.13,0.0,115145.06,12504.78,115145.06,0.0,25699.73,17989.808999999997,26518.65,280478.26,17989.809999999998,-818.92,0.0,104882.05,391689.01,391689.01,156777.87,CRISTALLERIES OLOT SL_resum
2004-01-01,7718.52,344518.39,339169.59,154940.91999999998,38972.850000000006,314284.74,0.0,102640.66,17656.64,30949.45,48606.09,32000.0,134640.66,285355.38,106678.08,0.0,497.72,497.72,563815.12,9135.52,563815.12,0.0,149.96333333333334,59434.52,0.0,58834.52,324588.09,8.0,-95132.53,600.0,204528.93,130414.459,258741.13,0.0,105530.21,7718.52,105530.21,0.0,30451.73,21316.21,30949.45,280478.26,21316.21,-497.72,0.0,204528.93,398604.11,398604.11,155284.17,CRISTALLERIES OLOT SL_resum
2005-01-01,2660.65,344518.39,358259.52,154940.91999999998,37349.27,314284.74,0.0,148915.47999999998,18647.28,14847.83,33495.11,42500.0,191415.48,304057.37,118373.42,0.0,594.37,594.37,477005.03,8015.150000000001,480027.64,12463.68,186.03666666666666,83884.85,0.0,83284.85,243562.3,8.0,-95132.53,600.0,166844.04,149116.449,258741.13,0.0,135426.34999999998,2660.65,135426.34999999998,0.0,14253.46,6238.309,14847.83,280478.26,18701.99,-594.37,12463.68,166844.04,442144.37,442144.37,164332.21000000002,CRISTALLERIES OLOT SL_resum
2006-01-01,4352.157777777778,344518.39,434373.28,154940.91999999998,47076.09,314284.74,0.0,110320.21,18933.68,39995.41,58929.09,27577.0,137897.21000000002,332199.78,123472.1,0.0,14.08,14.08,574294.2,12061.03,574294.2,0.0,222.11,70961.17000000001,0.0,70361.17000000001,303637.32,8.0,-95132.53,600.0,296476.07,177258.86,258741.13,0.0,173134.67,4352.157777777778,173134.67,0.0,40203.44,28142.41,39995.41,280478.26,28142.41,208.03,0.0,296476.07,505334.45,505334.45,182623.3,CRISTALLERIES OLOT SL_resum
2007-01-01,6043.665555555555,344518.39,479645.5,154940.91999999998,41380.869,314284.74,0.0,116109.07,20891.87,22564.7,43456.57,42934.0,159043.07,352688.78,130762.35,0.0,7.04,71.17,546374.2699999999,6829.660000000001,546374.2699999999,3757.62,996.34,80069.3,0.0,79469.3,287343.6,8.0,-95132.53,600.0,320602.43000000005,197747.86,258741.13,0.0,207026.02,6043.665555555555,207026.02,0.0,23561.04,16731.38,22564.7,280478.26,20489.0,996.34,3757.62,320602.43000000005,559714.8,559714.8,178972.87999999998,CRISTALLERIES OLOT SL_resum
2008-01-01,7735.173333333334,344518.39,660718.21,154940.91999999998,43580.34,314284.74,0.0,248006.05,20891.87,21737.13,42629.0,58694.0,-37818.34,375377.25,142716.73,0.0,0.0,128.26,594763.0,7562.820000000001,594763.0,0.0,8514.16,59177.43,0.0,64554.69,330044.74,8.0,-95132.53,59177.43,354018.16,220436.33,258741.13,0.0,126906.595,7735.173333333334,344518.39,0.0,30251.29,22688.47,21737.13,280478.26,22688.47,8514.16,0.0,53700.82,719895.64,719895.64,193859.89,CRISTALLERIES OLOT SL_resum
2009-01-01,9426.681111111111,152950.62,546533.66,154940.91999999998,38972.009,136105.97,0.0,109912.52,17313.309999999998,20507.45,37820.76,157494.0,114455.9,397035.95,136473.84999999998,0.0,185.35,185.35,403423.97,5414.67,403423.97,0.0,6751.27,50240.08,0.0,49640.08,234905.97,8.0,-93023.39,600.0,279127.14,242095.03,246810.55,0.0,46787.17,9426.681111111111,199737.79,0.0,27073.37,21658.699,20507.45,267318.0,21658.699,6565.92,0.0,29127.14,596773.74,596773.74,181045.88,CRISTALLERIES OLOT SL_resum
2010-01-01,11118.188888888888,185945.76,628491.74,154940.91999999998,34189.42,220488.38,0.0,157781.94999999998,15707.76,18923.49,34631.25,173547.7,145383.88999999998,415490.06,134617.52,0.0,63.52,63.52,483383.08,4620.41,483911.7,0.0,4242.1,34532.32,0.0,33932.32,220488.38,6.0,-94174.55,600.0,297162.08900000004,260549.14,244499.83,0.0,61588.24,11118.188888888888,247534.0,0.0,23102.07,18481.66,18923.49,263423.32,18481.66,4178.58,0.0,10540.35,663024.06,663024.06,173490.87,CRISTALLERIES OLOT SL_resum
2011-01-01,12809.696666666667,125796.3,555481.81,154940.91999999998,29297.028,194788.05,0.0,161005.17,16669.027000000002,10511.47,27180.498000000003,196155.2,231364.07,428117.96,151695.51,0.0,0.0,55.035,396469.72,3157.0,396469.72,0.0,5273.53,39530.9,0.0,38930.9,221713.05,5.0,-22805.66,600.0,198321.44,273177.04,191170.198,0.0,41098.45,12809.696666666667,166894.75,0.0,15785.0,12628.0,10511.47,201681.669,12628.0,5273.53,0.0,5321.44,595012.71,595012.71,184149.538,CRISTALLERIES OLOT SL_resum
2012-01-01,14501.204444444445,37615.810000000005,451735.6,154940.91999999998,-81306.29,294071.28900000005,0.0,161896.13,9843.58,-94356.45,-84512.87000000001,189070.45,313350.77,336968.09,194758.16,0.0,46.55,46.55,449485.58,2938.3075,449485.58,0.0,3253.13,30497.980000000003,0.0,29897.980000000003,267146.28900000005,6.0,-45169.0,600.0,100769.019,182027.169,249770.74,0.0,107649.68,14501.204444444445,145265.49,0.0,-91149.87,-91149.87,-94356.45,155414.291,-91149.87,3206.58,0.0,50769.02,482233.58,482233.58,113498.42,CRISTALLERIES OLOT SL_resum
2013-01-01,16192.712222222222,41264.69,404226.26,154940.91999999998,-66727.78,279873.28,30427.97,203211.73,8781.26,-75120.06,-66338.8,199138.7,361085.74,318359.05,184817.84,0.0,413.3,413.3,494138.89,2719.615,494778.89,0.0,24.32,21716.72,0.0,21116.72,279873.28,6.0,-96426.57,600.0,1875.83,163418.13,290025.67,0.0,35891.27,16192.712222222222,107583.93,0.0,-75509.04,-75509.04,-75120.06,214905.61,-75509.04,-388.98,0.0,1875.83,425942.98,425942.98,118503.36,CRISTALLERIES OLOT SL_resum
2014-01-01,17884.22,45431.03,367577.01,154940.91999999998,-44445.77,195410.5,22789.51,176203.21000000002,8438.16,-49683.350000000006,-41245.19,189500.25,320272.42900000006,265475.12,168389.64,0.0,3200.58,3200.58,410761.7,2500.9225,411591.7,0.0,0.0,24355.56,0.0,20155.56,195410.5,5.0,-89036.75,4200.0,1873.55,110534.199,265864.55,0.0,40352.69,17884.22,108573.23,0.0,-52883.93,-52883.93,-49683.350000000006,216181.2,-52883.93,-3200.58,0.0,1873.55,391932.57,391932.57,127144.45,CRISTALLERIES OLOT SL_resum
2015-01-01,4749.77,41336.850000000006,365210.83,154940.91999999998,7637.78,221035.8,34889.77,159331.67,6362.01,6458.71,12820.72,201000.0,318994.82,266750.89,152721.84,0.0,2900.71,2900.71,455007.17,2282.23,455447.17,0.0,0.0,17993.55,0.0,13793.55,221035.8,5.0,-68868.81,4200.0,4879.160000000001,111809.969,227952.66,0.0,35477.1,4749.77,111703.72,0.0,3558.0,1275.77,6458.71,234411.37,1275.77,-2900.71,0.0,4879.160000000001,383204.38,383204.38,165542.56,CRISTALLERIES OLOT SL_resum
2016-01-01,14808.63,46649.98,363471.43000000005,154940.91999999998,29112.62,169836.26,10457.86,185197.0,8153.69,23436.45,31590.14,169095.0,307642.02,287709.82,149611.18,0.0,2477.52,2477.52,414970.65,2282.23,415390.66,0.0,0.0,35444.87,0.0,31244.87,156256.26,5.0,-64353.08,4200.0,9179.43,132768.89899999998,222117.95,0.0,39290.01,14808.63,96397.85,0.0,20958.93,20958.93,23436.45,245554.4,20958.93,-2477.52,0.0,9179.43,398916.3,398916.3,181201.319,CRISTALLERIES OLOT SL_resum
2017-01-01,8510.75,58938.64,408824.31,154940.91999999998,20816.44,188398.97,23531.53,227251.53,8455.140000000001,14363.32,22818.460000000003,167825.0,336137.89,300071.12,154445.7,0.0,2002.02,2002.02,439232.63,2282.23,439232.63,0.0,0.0,26989.73,0.0,22789.73,188398.97,5.0,-73569.5,4200.0,13747.78,145130.199,236470.34,0.0,44762.0,8510.75,127232.17,0.0,12361.3,12361.3,14363.32,250833.66,12361.3,-2002.02,0.0,13747.78,435814.04,435814.04,177264.16,CRISTALLERIES OLOT SL_resum
2018-01-01,39791.23,52533.3,394825.71,154940.91999999998,29585.14,221149.26,20408.5,203174.48,11056.65,20463.83,31520.480000000003,165750.0,316391.18,318599.61,141962.59,0.0,1935.34,1935.34,470727.52,2282.23,470727.52,0.0,0.0,72723.08,0.0,68523.08,221149.26,5.0,-76095.18900000001,4200.0,25901.23,163658.68899999998,229114.429,0.0,36216.15,39791.23,109157.95,0.0,18528.49,18528.49,20463.83,249578.26,18528.49,-1935.34,0.0,25901.23,467548.79,467548.79,173483.069,CRISTALLERIES OLOT SL_resum
2019-01-01,26618.85,29681.88,384924.88,154940.91999999998,18227.71,203505.47,26870.019,219380.56,12985.44,8104.08,21089.52,163520.0,353218.68,323708.92000000004,150064.91999999998,0.0,2861.8100000000004,2861.8100000000004,452169.26,2282.23,452169.26,0.0,0.0,80840.33,0.0,76640.33,203505.47,5.0,-77509.349,4200.0,2024.32,168767.99899999998,240559.71,0.0,58885.54,26618.85,115437.44,0.0,5242.27,5242.27,8104.08,248663.79,5242.27,-2861.8100000000004,0.0,2024.32,465765.21,465765.21,171154.44,CRISTALLERIES OLOT SL_resum
2020-01-01,36591.63,55694.41,438166.07,154940.91999999998,17709.56,236364.91,31294.84,265134.81,14973.76,5351.29,20325.05,170239.91,379680.309,326444.72000000003,149482.68,0.0,2615.49,2615.49,478184.74,2282.23,478184.74,0.0,0.0,85642.18000000001,0.0,81442.18000000001,236364.91,4.0,-72012.099,4200.0,2791.3500000000004,171503.8,236468.54,0.0,73782.65000000001,36591.63,160771.9,0.0,2735.8,2735.8,5351.29,241819.83,2735.8,-2615.49,0.0,2791.3500000000004,523808.25,523808.25,169807.729,CRISTALLERIES OLOT SL_resum
2021-01-01,69461.02,64048.18,475815.68,154940.91999999998,27562.52,234473.76,51184.86,301007.58,20241.43,10625.35,30866.78,167950.25,404909.65,333765.81,157838.91,0.0,3304.26,3304.26,487329.64,2282.23,491787.76,0.0,0.0,126524.72,0.0,122324.72,234473.76,4.0,-68608.31,4200.0,6857.85,178824.88899999997,246688.65,0.0,83880.53,69461.02,199113.57,0.0,7321.09,7321.09,10625.35,257314.0,7321.09,-3304.26,0.0,6857.85,602340.4,602340.4,188705.69,CRISTALLERIES OLOT SL_resum
2022-01-01,57019.83,25216.85,440728.32,154940.91999999998,25648.04,142142.01,54043.32,255043.93,21397.41,7819.49,29216.9,185280.0,415107.08,338016.44,146072.81,0.0,3568.86,3568.86,388718.68,2282.23,391358.779,0.0,0.0,111930.31,0.0,107730.31,142142.01,3.0,-73927.06,4200.0,404.39,183075.52,241397.28,0.0,78362.19,57019.83,157622.36,0.0,4250.63,4250.63,7819.49,249216.769,4250.63,-3568.86,0.0,404.39,552658.63,552658.63,175289.71000000002,CRISTALLERIES OLOT SL_resum
2023-01-01,43168.03,64454.2,520121.32,154940.91999999998,22450.18,204340.26,91557.7,318013.99000000005,19551.28,7160.67,26711.949,200550.0,454109.79,340915.34,148529.78,0.0,4261.77,4261.77,441019.63,2282.23,444607.43000000005,0.0,0.0,103801.03,1154.04,98446.99,204340.26,2.0,-65025.44,4200.0,1557.33,185974.419,233106.499,0.0,83827.08,43168.03,239838.98,0.0,2898.9,2898.9,7160.67,240267.169,2898.9,-4261.77,0.0,1557.33,623922.3500000001,623922.3500000001,175241.729,CRISTALLERIES OLOT SL_resum
