Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,200644.13,174035.0,1232415.28,45075.91,256059.86,2553648.599,40065.04,946344.69,103894.44,265206.46,369100.9,180812.0,1127156.6900000002,616998.7899999999,638413.51,0.0,34604.379,33402.238999999994,3667053.78,81849.19,3668555.65,0.0,3412.53,189919.2,122.97,186791.17,2484099.95,37.0,-223668.61,3005.059,105258.59,571922.88,1409399.1700000002,16737.5,805335.69,200644.13,805335.69,0.0,234014.6,152165.41,265206.46,1421416.23,152165.41999999998,-31191.86,0.0,105258.59,1422334.48,1422334.48,1009724.799,DERIVADOS DEL MOTOR SLU_resum
2000-01-01,200644.13,174035.0,1251106.8,45075.91,201090.88,2553648.599,40065.04,925038.08,70398.01,245575.9,315973.91000000003,217090.62,1142128.7,669560.09,584583.88,3395.73,44882.28,43788.34,3977832.54,72154.29,3977832.54,0.0,5549.269,182631.49,9186.652,182631.49,2903260.25,31.0,-223668.61,0.0,108978.1,624484.1789999999,1409399.1700000002,16737.5,764178.2,200644.13,764178.2,0.0,206242.89,134088.6,245575.9,1421416.23,130692.87,-39333.01,-3395.73,108978.1,1433738.29,1433738.29,901617.39,DERIVADOS DEL MOTOR SLU_resum
2001-01-01,200644.13,174035.0,1042083.1,45075.0,158908.83,2553648.599,40065.04,658148.19,61985.32,181567.4,243552.72,212628.96,870777.149,730422.87,571238.6699999999,1276.15,47557.11,47516.26,3614785.61,50270.54,3615763.369,4032.49,10427.42,161545.44999999998,18250.334000000003,153131.28,2664119.48,29.0,-223668.61,8414.17,171305.94999999998,685347.87,1409399.1700000002,16737.5,473205.68,200644.13,473205.68,0.0,144437.71000000002,94167.169,181567.4,1421416.23,96923.51,-37129.69,2756.3390000000004,171305.949,1203628.55,1203628.55,827934.2989999999,DERIVADOS DEL MOTOR SLU_resum
2002-01-01,200644.13,174035.0,1178673.46,45075.0,175453.56,2553648.599,40065.04,944662.13,59615.28999999999,199242.59,258857.88,173245.84999999998,1117907.98,804261.15,654138.2799999999,42.51,38503.93,38503.93,4127849.0,53265.04,4127849.0,8256.549,150.61,135450.27000000002,27314.016000000003,127036.1,3017442.8,33.0,-223668.61,8414.169,60765.479,759186.15,1409399.1700000002,16737.5,509862.58,200644.13,509862.58,0.0,160889.27000000002,107624.229,199242.59,1421416.23,115838.27,-38353.32,8214.039,60765.479,1314123.73,1314123.73,921360.81,DERIVADOS DEL MOTOR SLU_resum
2003-01-01,200644.13,174035.0,1639720.08,45075.0,186434.81,2553648.599,40065.04,1321870.76,53065.72,246030.28,299096.0,250501.87,1572372.63,877630.24,548509.0,378.29,48609.21,48609.21,5042543.13,64869.68,5042543.13,693.47,502.52,147721.55,36377.698000000004,139307.37999999998,3966013.08,26.0,-223668.61,8414.169,67347.449,832555.24,1409399.1700000002,16737.5,909811.39,200644.13,909811.39,0.0,197923.59,133053.91,246030.28,1421416.23,133369.09,-48106.69,315.18,67347.45,1787441.63,1787441.63,848422.7,DERIVADOS DEL MOTOR SLU_resum
2004-01-01,200644.13,174035.0,1650625.029,45075.0,228693.729,2553648.599,40065.04,1243135.2,135153.21000000002,171279.8,306433.01,405991.44,1649126.64,971170.76,535329.1889999999,0.0,28116.66,28116.66,4803669.71,49906.43,4803669.71,148.16,135.65,413574.64,45441.380000000005,359719.09,3740075.47,24.0,-223668.61,8414.169,1498.389,926095.76,1409399.1700000002,16737.5,892384.7799999999,200644.13,892384.7799999999,0.0,143298.79,93392.36,171279.8,1421416.23,93540.52,-27981.01,148.16,155460.89,2064199.67,2064199.67,842046.009,DERIVADOS DEL MOTOR SLU_resum
2005-01-01,166186.41,174035.0,1549682.46,45075.0,201601.01,2553648.599,40065.04,777866.58,143054.18,116244.07,259298.25,524734.55,1302601.13,1029717.59,636436.0,1891.5,41466.33,41466.33,4305035.619999999,24059.14,4305090.42,673.3199999999999,9046.41,365222.83,88662.52,268146.14,3150767.44,29.0,-223668.61,8414.169,247081.329,984642.59,1409399.1700000002,16737.5,719001.2899999999,166186.41,719001.2899999999,0.0,83824.15000000001,59765.009,116244.07,1421416.23,58546.83,-32419.92,-1218.179,243574.33,1914905.29,1914905.29,903562.479,DERIVADOS DEL MOTOR SLU_resum
2006-01-01,93579.12,174035.0,1611335.41,45075.0,222445.01,2553648.599,40065.04,587681.4400000001,152662.47999999998,154021.44999999998,306683.93000000005,844351.1,1432032.54,1343987.89,1177960.04,11477.689,66353.539,66353.539,5044279.51,18282.89,5186418.71,11837.39,37.809,520492.57,94936.92,423331.91,3252784.15,44.0,-223668.61,2223.74,179302.87,1298912.89,1409399.1700000002,16737.5,694260.97,93579.12,694260.97,0.0,87705.72,69422.83,154021.44999999998,1421416.23,69782.53,-66315.729,359.7,176738.0,2131827.98,2131827.98,1485041.479,DERIVADOS DEL MOTOR SLU_resum
2007-01-01,30224.0,174035.0,1631351.64,45075.0,223683.06,2553648.599,40065.04,628820.3500000001,183911.6,134043.79,317955.39,852755.93,1481576.28,1383759.35,1064907.09,9016.14,83681.65000000001,83681.65000000001,4628060.22,5312.23,4882526.83,3715.68,22.01,451192.37,49482.380000000005,399486.25,2976687.83,43.0,-223668.61,2223.739,149775.35899999997,1338684.35,1409399.1700000002,16737.5,668560.66,30224.0,668560.66,0.0,50384.15,45071.92,134043.79,1421416.23,39771.46,-83659.64,-5300.459,148259.71000000002,2082544.01,2082544.01,1377584.03,DERIVADOS DEL MOTOR SLU_resum
2008-01-01,37136.63,174035.0,1885439.89,45075.0,158990.81999999998,2553648.599,40065.04,987184.12,196740.28,12017.06,208757.34,789577.37,1602726.49,1381047.28,988990.28,0.0,70345.65000000001,70345.65000000001,3974845.63,-20565.64,3975064.83,0.0,13.49,543969.4,5281.56,513123.27,2542997.07,38.0,-223668.61,25564.57,108678.4,1335972.28,1409399.1700000002,16737.5,780387.8400000001,53874.13,994487.88,0.0,-58315.1,-37749.46,12017.06,1421416.23,-37749.46,-70332.15900000001,0.0,108678.4,2429409.29,2429409.29,1197761.1090000002,DERIVADOS DEL MOTOR SLU_resum
2009-01-01,99734.83,131859.63,1445742.23,45075.0,140556.229,1139457.79,35766.28,233655.85,198859.15,-47955.11,150904.039,1166288.93,1268085.15,1322744.36,677668.73,0.0,41361.54,41361.54,2273356.88,-31012.18,2273576.08,0.0,1.55,638124.22,4106.1,579120.69,1449117.52,28.0,-305545.52,54897.43,45797.45,1277669.36,1182073.4,15058.18,478703.17,114793.01,646329.08,0.0,-89315.1,-58302.92,-47955.11,1134118.29,-58302.92,-41359.99,0.0,45797.45,2083866.45,2083866.45,828574.3200000001,DERIVADOS DEL MOTOR SLU_resum
2010-01-01,111959.65,240845.7,1563699.07,45075.0,122972.08,1493497.3490000002,43980.95,340043.49000000005,185540.89,-72671.2,112869.69,1157320.42,1256518.21,1260175.55,668423.8600000001,0.0,34994.32,34994.32,2395017.03,-44827.44,2395181.429,0.0,269.27,874306.81,8493.67,767460.64,1506592.14,27.0,-120390.529,98352.5,66335.16,1215100.549,974355.28,12585.81,768458.22,124545.46,1053284.87,0.0,-107396.25,-62568.810000000005,-72671.2,901684.079,-62568.810000000005,-34725.05,0.0,41565.9,2438005.88,2438005.88,781562.8200000001,DERIVADOS DEL MOTOR SLU_resum
2011-01-01,65909.16,202262.88,1621792.07,45075.0,211733.41,1533409.789,46050.49,246905.01,180120.29,77376.35,257496.64,1295642.1700000002,1340284.299,1291788.6700000002,792545.4400000001,0.0,51785.2,51785.2,2654888.16,-5745.48,2654888.16,0.0,276.489,1000855.12,21909.34,878608.3600000001,1599796.4,30.0,-71436.289,100337.42,79244.89,1246713.6700000002,1044102.02,8825.25,1007810.74,74734.40999999999,1256124.11,0.0,25867.64,31613.12,77376.35,1121478.37,31613.12,-51508.71,0.0,79244.89,2622647.19,2622647.19,1050318.57,DERIVADOS DEL MOTOR SLU_resum
2012-01-01,38003.810000000005,100480.42,1675822.01,45075.0,76390.27,1563693.52,95800.61,148792.41,157484.63,-23267.05,134217.58,1486534.79,1534846.78,2563857.86,805602.4400000001,0.0,84837.099,84814.4,2590295.83,-27001.45,2590295.83,0.0,8.34,2906694.52,30578.95,1094331.99,1621509.92,30.0,-86782.29,1781783.579,40494.810000000005,2518782.86,1049869.36,6299.8,1778074.03,44303.61,1974355.06,0.0,-108095.81,-81094.36,-23267.05,1026602.31,-81094.36,-84828.76,0.0,32926.92,4582516.53,4582516.53,939805.659,DERIVADOS DEL MOTOR SLU_resum
2013-01-01,1662870.89,191084.96,1745149.62,45075.0,-18695.509,1351275.75,250361.0,219603.33,204258.73,-194984.57,9274.16,1479322.71,1507841.08,2340903.62,890729.88,0.0,106433.32,106433.32,2347075.25,-74303.08,2363585.83,0.0,4160.569,2943138.4,27958.21,1607116.5,1410728.55,33.0,-112306.04,1308063.6900000002,46223.58,2295828.62,1207294.65,4943.48,238124.07,1667814.37,679570.03,0.0,-297257.32,-222954.24,-194984.57,1012310.079,-222954.24,-102272.751,0.0,46223.58,4688288.02,4688288.02,904164.61,DERIVADOS DEL MOTOR SLU_resum
2014-01-01,1078939.86,177686.28,1944301.2,45075.0,224547.639,1408661.75,334871.44,225614.76,191210.9,235577.24,426788.14,1686455.57,1734384.05,2398184.89,1032921.13,0.0,166046.36,163681.28,2959804.36,36208.91,2967961.73,0.0,14.77,3023303.33,24821.56,1709115.64,1630964.77,39.0,-99590.709,1289366.13,32230.87,2353109.889,1323722.74,11638.84,966283.22,1090578.7,1478840.94,0.0,69545.65000000001,33336.738999999994,235577.24,1559299.98,33336.738999999994,-166031.59,0.0,13105.87,4967604.53,4967604.53,1457358.96,DERIVADOS DEL MOTOR SLU_resum
2015-01-01,1300456.72,204081.83,2229032.62,45075.0,230670.37,1460385.34,330460.72000000003,231517.53,200722.15,178945.47,379667.62,1907765.57,1935201.27,2424142.35,1038149.53,0.0,144106.38999999998,144106.38999999998,3016150.19,10054.41,3031021.63,0.0,5163.549,2288936.64,31070.16,1785699.79,1659770.34,39.0,-152819.139,472166.689,89749.52,2379067.35,1391690.819,9181.72,249645.919,1309638.44,784188.47,0.0,40002.63,29948.219,178945.47,1570636.289,29948.219,-138942.84,0.0,72749.52,4517969.26,4517969.26,1422980.6990000005,DERIVADOS DEL MOTOR SLU_resum
2016-01-01,1573576.82,441276.23,2656380.65,45075.0,273441.33,2554979.09,611462.72,322983.96,236020.32,156547.16,392567.48,2087405.42,1969113.15,2457572.6,1423627.29,0.0,106587.08,105782.0,4403021.5,12549.29,4417991.48,0.0,10.22,2668249.59,43268.68,2166015.54,2725869.96,51.0,-46817.62,458965.37,245991.27,2412497.599,1706465.23,6899.44,233842.43,1580476.26,1286581.38,0.0,49970.3,37421.01,156547.16,1863012.39,37421.01,-106576.86,0.0,147887.52,5324630.24,5324630.24,1815399.91,DERIVADOS DEL MOTOR SLU_resum
