Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,444073.75,1811952.14,1943401.25,93156.88,128840.459,0.0,0.0,934120.02,49386.350000000006,204370.07,253756.42,904005.02,1838125.04,239652.23,203030.92,28379.45,93201.33,93201.33,5339934.42,42782.97,5370170.54,22739.3,16708.5,378213.14,0.0,372203.02,4304905.72,10.0,-58832.61,6010.119000000001,105276.209,146495.34999999998,288149.03,0.0,1637888.41,444073.75,1637888.41,0.0,127877.23,85094.26,204370.07,180000.0,79454.11,-76492.84,-5640.150000000001,105276.21,2321614.39,2321614.39,467855.68,DESCAYRE MATERIALS CONSTRUCCIO SL_resum
2000-01-01,371435.81,1811952.14,2208053.66,93156.88,184401.4,0.0,0.0,1145277.43,57336.350000000006,237756.44,295092.79000000004,633231.3600000001,1778508.79,366717.28,214208.15,0.0,96812.36,96812.36,6140980.45,68419.64,6166580.1,32287.93,22252.68,445712.11,0.0,376098.9900000001,5025135.53,12.0,-58832.61,69613.12000000001,429544.87,273560.4,288149.03,0.0,1915612.69,371435.81,1915612.69,0.0,163196.76,94777.12,237756.44,180000.0,127065.05,-74559.68000000001,32287.93,429544.88,2653765.7800000003,2653765.7800000003,563841.549,DESCAYRE MATERIALS CONSTRUCCIO SL_resum
2001-01-01,51382.9,1811952.14,1655132.12,100000.0,246162.729,0.0,0.0,1194304.65,59417.58,176897.83,236315.409,366543.19,1560847.8390000002,560305.55,402486.33,8104.55,127334.97,127334.97,6423158.4,100555.08,6424117.609999999,223223.949,22617.960000000003,1331919.52,68.43,1262237.96,5000665.49,12.0,-58832.61,69613.13,94284.28,460305.55,288149.03,0.0,2375363.18,51382.9,2375363.18,0.0,72180.82,-28374.259,176897.83,180000.0,186745.15,-104717.01,215119.4,94284.28,2987051.64,2987051.64,876539.11,DESCAYRE MATERIALS CONSTRUCCIO SL_resum
2002-01-01,7881.89,1811952.14,2361856.9,100000.0,144267.86,0.0,1138257.79,1840656.46,48461.22,224575.65,273036.87,324984.15,353688.47000000003,656112.2,424016.68,19416.38,78679.16,78678.35,6476103.89,51588.19,6476103.89,12396.4,8518.32,1311792.91,0.0,1246663.2,5009599.8,17.0,-58832.61,65129.709,196216.29,556112.2,288149.03,0.0,59445.78999999999,7881.89,3009655.72,0.0,154414.81,102826.62,224575.65,180000.0,95806.64,-70160.84,-7019.98,183037.79,3673649.81,3673649.81,698551.08,DESCAYRE MATERIALS CONSTRUCCIO SL_resum
2003-01-01,298390.17,1851962.77,4120573.4,100000.0,176046.55,0.0,1186766.24,3353996.64,45756.96,154818.24000000002,200575.199,428178.73,1930212.6,786401.7899999999,536144.03,16985.87,75827.66,75827.66,6418318.57,70155.93,6418318.57,128834.519,9606.29,286765.64,0.0,221074.48,4983905.29,17.0,-58832.61,65691.16,338398.02900000004,686401.7899999999,288149.03,0.0,283818.069,298390.17,3322547.08,0.0,88596.87000000001,18440.94,154818.24000000002,180000.0,130289.59,-66221.369,111848.65,321351.93000000005,4407339.04,4407339.04,858174.1699999999,DESCAYRE MATERIALS CONSTRUCCIO SL_resum
2004-01-01,0.0,1587633.99,2495279.3,100000.0,72661.69,0.0,747993.69,1719445.79,51633.67,65085.48,116719.15,510736.67,642548.47,807429.81,518966.32,15000.0,36356.14,36356.14,6313702.72,11322.77,6313702.72,9227.789,9393.66,665981.6799999999,0.0,600572.73,4833780.46,16.0,-58832.61,65408.95,265096.83900000004,707429.81,288149.03,0.0,18203.489,0.0,2353831.17,0.0,38123.0,26800.23,65085.48,180000.0,21028.02,-26962.480000000003,-5772.21,256269.35,3161260.98,3161260.98,639306.92,DESCAYRE MATERIALS CONSTRUCCIO SL_resum
2005-01-01,0.0,37096.91,495632.98,100000.0,142531.0,0.0,15255.67,472976.4,25983.99,-337964.54,-311980.55,0.0,435879.4900000001,923976.82,231876.11,17428.56,31418.86,31418.86,1800538.44,62756.08,1800538.44,564535.429,1579.62,514418.59,0.0,452119.28,1511338.01,3.0,-58832.61,62299.310000000005,22656.579,823976.8200000001,288149.03,0.0,33722.17,0.0,86074.75,0.0,-367803.78,-430559.86,-337964.54,180000.0,116547.01,-29839.24,547106.8690000001,22656.58,1010051.57,1010051.57,468582.049,DESCAYRE MATERIALS CONSTRUCCIO SL_resum
2006-01-01,221765.33,36436.9,629237.1,100000.0,3187.169,0.0,0.0,495418.89,33218.53,-75909.4,-42690.869,0.0,495418.89,893945.4600000001,185424.74,0.0,617.04,617.04,231750.0,0.0,231750.0,46467.82,27.26,486473.69,0.0,486473.69,0.0,3.0,-58832.61,0.0,133818.209,793945.4600000001,288149.03,0.0,71780.12,221765.33,97956.41,0.0,-76499.18000000001,-76499.18000000001,-75909.4,180000.0,-30031.36,-589.7800000000001,46467.82,133818.209,1115710.79,1115710.79,189228.95,DESCAYRE MATERIALS CONSTRUCCIO SL_resum
2007-01-01,0.0,35776.89000000001,493463.82,100000.0,-16822.86,0.0,0.0,459555.65,35437.86,-37097.9,-1660.04,0.0,459555.65,841684.74,186876.9,15000.0,406.15,406.15,291000.0,0.0,301818.0,173.16,70.16999999999999,458058.9900000001,0.0,458058.9900000001,0.0,3.0,-58832.61,0.0,33908.168999999994,741684.74,288149.03,0.0,109838.07,0.0,109838.07,0.0,-37433.880000000005,-37433.880000000005,-37097.9,180000.0,-52260.72,-335.98,-14826.84,33908.17,951522.81,951522.81,170460.18899999998,DESCAYRE MATERIALS CONSTRUCCIO SL_resum
2008-01-01,0.0,35116.880000000005,362388.26,100000.0,-71894.90999999999,0.0,0.0,358655.17,36251.68,-108149.03,-71897.35,0.0,323538.29000000004,733538.15,193064.74,0.0,7.859999999999999,7.859999999999999,180000.0,0.0,180000.0,0.0,10.3,421807.31,0.0,421807.31,0.0,3.0,-58832.61,0.0,3733.09,633538.15,288149.03,0.0,15540.54,0.0,50657.42,0.0,-108146.59,-108146.59,-108149.03,180000.0,-108146.59,2.44,0.0,3733.09,784195.57,784195.57,121177.689,DESCAYRE MATERIALS CONSTRUCCIO SL_resum
