Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,380556.4,386443.02,60101.21,6461.35,821159.69,0.0,256308.7,1430.46,10905.77,12336.23,80038.93,336347.63,230356.95,176087.59,0.0,3732.41,3732.41,587986.63,2156.09,587986.63,0.0,13.62,8338.59,0.0,3090.57,335953.57,9.0,-150998.16,5248.02,50095.39,170255.74000000002,420066.44,0.0,164424.66,0.0,164424.66,0.0,7186.98,5030.889,10905.77,546451.09,5030.89,-3718.79,0.0,50095.39,394781.61,394781.61,188437.44,ELECTRICA RIAM SA_resum
2000-01-01,0.0,380556.4,382727.32,60101.21,9811.35,821159.69,0.0,305575.26,810.16,18568.7,19378.86,8321.09,313896.35,239358.14,172181.1,0.0,7395.14,7395.14,778620.1799999999,3857.66,778620.1799999999,0.0,1685.29,18635.13,0.0,10382.05,509598.21,9.0,-150998.16,8253.08,68830.969,179256.93,420066.44,0.0,162004.31,0.0,162004.31,0.0,12858.85,9001.19,18568.7,546451.09,9001.19,-5709.860000000001,0.0,68830.97,401362.45,401362.45,193245.25,ELECTRICA RIAM SA_resum
2001-01-01,0.0,380556.4,386239.03,60200.0,16376.67,821159.69,0.0,260663.33,5723.35,20137.33,25860.68,9930.91,270594.24,250011.46,149669.02,0.0,5191.39,5191.39,611089.71,4565.71,611089.71,0.0,273.09,12911.78,0.0,4658.6900000000005,303277.04,7.0,-150998.16,8253.09,115644.79,189811.46,420066.44,0.0,149139.34999999998,0.0,149139.34999999998,0.0,15219.03,10653.32,20137.33,546451.09,10653.32,-4918.3,0.0,115644.79,399150.81,399150.81,175802.79,ELECTRICA RIAM SA_resum
2002-01-01,0.0,380556.4,568508.4500000001,60200.0,23310.13,821159.69,0.0,307175.235,7604.769999999999,26493.66,34098.43,495984.45,495984.45,253708.09,170974.12,0.0,4420.91,4420.91,826199.0,6730.87,826199.0,0.0,363.48,13720.0,0.0,2426.8650000000002,497541.57,7.0,-150998.16,13720.0,72523.999,193508.09,420066.44,0.0,328520.36,0.0,328520.36,0.0,22436.23,15705.36,26493.66,546451.09,15705.36,-4057.43,0.0,72524.0,582228.4500000001,582228.4500000001,205436.03,ELECTRICA RIAM SA_resum
2003-01-01,0.0,380556.4,458975.29,60200.0,20133.0,821159.69,0.0,353687.14,5271.87,23548.08,28819.95,7996.160000000001,361683.3,268387.65,191993.28,0.0,2549.3300000000004,2549.3300000000004,807212.88,6369.05,807212.88,0.0,231.43,8448.130000000001,0.0,195.04,454600.29,9.0,-150998.16,8253.089,97291.989,208187.65,420066.44,0.0,199035.77,0.0,199035.77,0.0,21230.18,14861.13,23548.08,546451.09,14861.13,-2317.9,0.0,97291.99,467423.42,467423.42,221044.659,ELECTRICA RIAM SA_resum
2004-01-01,0.0,380556.4,488957.03,60101.21,31821.17,821159.69,0.0,405632.17,195.04,46208.21,46403.25,14354.93,419987.1,300013.78,181609.74,0.0,1248.41,1248.41,954946.0,13554.05,954946.0,0.0,220.38,8253.09,0.0,707.0225,586247.62,7.0,-150998.16,8253.09,68969.93,239912.57,420066.44,0.0,197196.34,0.0,197196.34,0.0,45180.18,31626.13,46208.21,546451.09,31626.13,-1028.03,0.0,68969.93,497210.12,497210.12,228233.37,ELECTRICA RIAM SA_resum
2005-01-01,0.0,380556.4,479877.9,60200.0,47989.965,821159.69,0.0,369063.7,545.625,21899.980000000003,21899.980000000003,19734.77,388798.47,270445.97000000003,154527.07,0.0,706.6700000000001,706.6700000000001,769554.11,9013.79,769554.11,8620.69,231.98,8253.09,0.0,1219.005,459412.96,8.0,-150998.16,8253.09,91079.43,210245.969,420066.44,0.0,217685.02,0.0,217685.02,0.0,21425.29,12411.5,21899.980000000003,546451.09,21032.19,-474.69,8620.69,91079.43,488130.9900000001,488130.9900000001,185279.72,ELECTRICA RIAM SA_resum
2006-01-01,0.0,380556.4,496807.62,60200.0,64158.76,821159.69,0.0,380302.29,896.21,50732.54,50732.54,22310.11,402612.399,93183.5,165265.61000000002,0.0,2514.57,2511.86,1008439.94,14587.51,1008439.94,0.0,407.07,8253.09,0.0,1730.9875000000002,655422.52,8.0,-150998.16,8253.09,94195.22,32983.5,420066.44,0.0,411877.21,0.0,411877.21,0.0,48625.04,34037.53,50732.54,546451.09,34037.53,-2107.5,0.0,94195.22,505060.71,505060.71,216402.509,ELECTRICA RIAM SA_resum
2007-01-01,0.0,380556.4,503372.35,60200.0,80327.55500000001,821159.69,0.0,375750.22,1246.795,80625.52,80625.52,21300.0,397050.22,152899.02,232116.86,0.0,1959.65,1959.65,1062433.3990000002,19905.17,1062433.3990000002,0.0,954.82,2414.3500000000004,171.38000000000002,2242.9700000000003,684759.2799999999,8.0,-150998.16,0.0,106322.13,92699.019,420066.44,0.0,352887.68,0.0,352887.68,0.0,79620.69,59715.52,80625.52,546451.09,59715.52,-1004.83,0.0,106322.13,505786.7,505786.7,313697.2,ELECTRICA RIAM SA_resum
2008-01-01,0.0,380556.4,426358.05,60200.0,96496.35,821159.69,0.0,299213.04,1597.38,126384.65,127982.03,19730.0,-61613.36,243943.0,267470.9,0.0,0.0,1310.91,1367610.78,32085.1,1367610.78,0.0,599.42,265334.46,253483.0,9608.49,821159.69,8.0,-150998.16,2242.9700000000003,107415.01,183743.0,420066.44,0.0,67193.11,0.0,447749.51,0.0,126984.07,94898.97,126384.65,546451.09,94898.97,599.42,0.0,107415.01,691692.51,691692.51,396052.35,ELECTRICA RIAM SA_resum
2009-01-01,0.0,239686.57,433820.47,60200.0,173156.259,323910.4,0.0,385841.11,9343.78,210241.89,219585.67,14310.0,160464.539,407755.48,270482.28,0.0,0.0,662.1700000000001,941326.65,46590.67,944126.65,0.0,161.26,267618.26,0.0,265375.28900000005,323910.4,10.0,-130148.3,2242.9700000000003,33669.36,347555.48000000004,409974.36,0.0,53996.68,0.0,293683.25,0.0,210403.15,163812.479,210241.89,620216.25,163812.479,161.26,0.0,33669.36,701438.73,701438.73,490229.21,ELECTRICA RIAM SA_resum
2010-01-01,0.0,119733.57,351598.06,60200.0,72256.68000000001,201428.65,0.0,265023.59,9035.11,79035.92,88071.03,9620.0,154910.02,470977.05,282050.78,0.0,13.43,13.43,576813.09,15805.39,581613.09,0.0,4.470000000000001,258583.15,0.0,256340.18,201428.65,10.0,-10062.63,2242.9700000000003,76954.47,410777.05,301148.52,0.0,19470.59,0.0,139204.16,0.0,79026.95999999999,63221.57,79035.92,380184.4390000001,63221.57,-8.96,0.0,76954.47,610181.21,610181.21,370126.28,ELECTRICA RIAM SA_resum
2011-01-01,0.0,160176.87,433078.53,60200.0,48038.82,333526.97000000003,0.0,389893.34,9065.1,51962.72,61027.82,9910.0,239626.47,509950.77,237078.06,0.0,0.0,84.013,659290.4,12991.240000000002,663690.4,0.0,2.24,252653.64,0.0,250410.67,333526.97000000003,9.0,-32057.55,2242.9700000000003,33275.189999999995,449750.77,278200.70900000003,0.0,15604.53,0.0,175781.4,0.0,51964.96,38973.72,51962.72,330163.43000000005,38973.72,2.24,0.0,33275.189999999995,685732.1699999999,685732.1699999999,298108.12,ELECTRICA RIAM SA_resum
