Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,1070606.05,2763512.05,479006.65,284304.39,3942257.77,0.0,1230510.08,34144.13,375964.29,410108.42,1254917.71,1414821.74,2123634.25,540257.42,46.720000000000006,4812.77,4812.77,5480730.119999999,138508.56,5483640.42,9497.42,8066.6,570291.62,0.0,198745.96,4244100.139,29.0,-461012.529,371545.66,278084.259,1644627.6,1383962.96,0.0,139563.36899999998,0.0,1210169.42,0.0,379218.13,240709.57,375964.29,1653243.26,250160.26,3253.84,9450.7,278084.26900000003,3333803.67,3333803.67,967883.14,ELECTRO YMBERT SOCIEDAD ANONIMA._resum
2000-01-01,0.0,1173957.77,3181091.21,479006.65,334996.71,3942257.77,0.0,1308112.26,30804.960000000003,455881.37,486686.33,1484764.34,1618918.83,2427825.6,531272.5789999999,6.9,4790.6,4790.6,6038940.53,163795.55,6043577.24,1536.07,15367.37,567234.7899999999,0.0,192494.64,4723696.35,30.0,-461012.529,374740.15,388214.609,1948818.95,1383962.96,0.0,146542.629,0.0,1320500.4,0.0,466458.13,302662.58,455881.37,1653243.26,304191.75,10576.77,1529.169,388214.61,3748326.0,3748326.0,1034855.438,ELECTRO YMBERT SOCIEDAD ANONIMA._resum
2001-01-01,0.0,1114333.06,3342709.1,479006.65,287435.47000000003,3942257.77,0.0,1257948.3,30878.55,472887.92,503766.47,1564627.25,1708242.489,2684382.52,566301.91,118825.67,3546.54,3546.54,6091036.5,138146.04,6097603.84,21389.55,22797.7,642062.57,0.0,161591.22,4727501.33,29.0,-461012.529,480471.35,520133.55,2205375.87,1383962.96,0.0,186056.089,0.0,1300389.15,0.0,492139.08,353993.04,472887.92,1653243.26,256556.92,19251.16,-97436.12,520133.55,3984771.67,3984771.67,995429.96,ELECTRO YMBERT SOCIEDAD ANONIMA._resum
2002-01-01,0.0,982800.08,3595397.2,479006.65,312065.81,3942257.77,0.0,1321162.64,27870.43,417697.38,445567.81,1532555.53,1870918.089,2968577.9,544030.63,5247.76,2898.59,2898.59,6220993.59,153028.28,6227053.898999999,3251.3,24421.33,521079.88,0.0,139210.74000000002,4928408.659999999,29.0,-461012.529,381869.14,741679.03,2489571.25,1383962.96,0.0,165099.099,0.0,1147899.1800000002,0.0,439220.12,286191.83900000004,417697.38,1653243.26,284195.38,21522.74,-1996.46,741679.03,4116477.08,4116477.08,1012023.31,ELECTRO YMBERT SOCIEDAD ANONIMA._resum
2003-01-01,0.0,938494.01,3330083.27,479006.65,303122.97000000003,3942257.77,146122.0,1339459.97,28037.460000000003,407725.34,435762.8,1308070.13,1709036.0890000002,3243663.41,655904.54,1791.72,3500.59,3500.59,6157153.63,148122.96,6163865.8,3533.19,17242.25,1099776.6,0.0,115438.84,4700917.25,30.0,-461012.529,984337.76,682553.1699999999,2764656.76,1383962.96,0.0,101580.449,0.0,1186196.46,0.0,421467.0,273344.04,407725.34,1653243.26,275085.51,13741.66,1741.47,677194.8200000001,4429859.87,4429859.87,1110651.06,ELECTRO YMBERT SOCIEDAD ANONIMA._resum
2004-01-01,0.0,1047497.63,3211857.98,479006.65,314359.41000000003,3942257.77,209874.5,1428722.37,24895.460000000003,419261.9900000001,444157.45,1181316.99,1562541.73,3533127.36,683049.9500000001,5820.42,2936.53,2936.53,6415467.22,155865.2,6422140.09,6894.92,27929.19,1707070.92,0.0,99439.52,4894014.41,29.0,-461012.529,1607631.4,601818.619,3054120.71,1383962.96,0.0,128429.41,0.0,1385801.54,0.0,444254.65,288389.45,419261.9900000001,1653243.26,289463.95,24992.66,1074.5,596215.15,4918928.9,4918928.9,1156211.09,ELECTRO YMBERT SOCIEDAD ANONIMA._resum
2005-01-01,0.0,649256.61,3207827.57,479006.65,418661.55,3942257.77,240333.68,1335424.74,16493.960000000003,598521.01,615014.97,1052844.0,1739012.13,3935294.95,740982.69,7487.57,3174.74,3174.74,6717232.24,207305.43,6725154.87,1622.64,19991.68,1786356.36,0.0,94885.92,4957297.359999999,27.0,-461012.529,1691470.44,819558.829,3456288.3,1383962.96,0.0,169298.69,0.0,1058888.98,0.0,615337.9500000001,408032.519,598521.01,1653243.26,402167.59,16816.940000000002,-5864.929,813940.88,4994183.930000001,4994183.930000001,1370124.41,ELECTRO YMBERT SOCIEDAD ANONIMA._resum
2006-01-01,0.0,564921.58,2905969.45,479006.65,471725.6,3942257.77,0.0,1326478.58,14317.93,636929.49,651247.42,940633.5,1702190.5,4392702.619999999,850926.4,22408.67,3062.05,3062.05,7313398.09,239202.66,7321785.84,13153.11,71998.45,2279452.65,0.0,107896.35,5413796.22,28.0,-461012.529,2171556.3,638857.37,3913695.97,1383962.96,0.0,227797.9,0.0,792719.48,0.0,705865.89,466663.23,636929.49,1653243.26,457407.67,68936.4,-9255.559,632553.19,5185422.1,5185422.1,1564916.71,ELECTRO YMBERT SOCIEDAD ANONIMA._resum
2007-01-01,0.0,395578.37,2724686.62,479006.65,429244.36,3942257.77,0.0,1104652.6800000002,11711.46,510390.17,522101.63,960999.7,1670074.009,4625847.08,941069.74,7053.96,2623.6,2623.6,6852883.41,170356.78,6862499.44,867.92,86309.15000000001,2492700.99,0.0,113145.65,5034282.69,31.0,-461012.529,2379555.34,659034.24,4146840.43,1383962.96,0.0,195962.16,0.0,591540.53,0.0,594075.72,423718.9390000001,510390.17,1653243.26,417532.9,83685.55,-6186.04,653472.7,5217387.609999999,5217387.609999999,1543294.48,ELECTRO YMBERT SOCIEDAD ANONIMA._resum
2008-01-01,0.0,211012.36,4796324.119999999,479006.65,239438.71,3942257.77,0.0,821187.56,12132.51,269280.3,281412.81,773571.3400000001,1383746.54,4730227.649999999,910817.92,0.0,19257.86,1171.87,5586172.109999999,88831.06,5595501.03,0.0,66114.82,249603.81,0.0,74544.98999999999,3942257.77,28.0,-461012.529,175058.81999999998,3201565.219,4251221.0,1383962.96,0.0,104687.92,0.0,315700.28,0.0,316137.26,227306.2,269280.3,1653243.26,227306.2,46856.96,0.0,1086769.91,5045927.930000001,5045927.930000001,1240259.56,ELECTRO YMBERT SOCIEDAD ANONIMA._resum
