Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,342382.16,12485.91,176167.71000000002,363011.31,111335.67,5663.98,0.0,141602.27000000002,51612.350000000006,102766.55,154378.9,0.0,141602.27000000002,486925.35,86783.92,14507.06,4498.64,4498.64,425584.83,25595.71,425584.83,0.0,1558.1899999999998,678840.58,1511.98,153062.65,2338.9300000000003,3.0,-231978.77,524265.949,34565.44,123914.039,551098.2699999999,0.0,25700.78,342382.16,25700.78,0.0,99826.1,74230.39,102766.55,890332.12,59723.32,-2940.4500000000003,-14507.06,34565.44,855008.2899999999,855008.2899999999,228213.94,ELECTRONICS GIRONA SL_resum
2000-01-01,0.0,12485.91,64989.3,363011.31,239498.12,5663.98,0.0,16848.97,89148.72,236304.05,325452.77,0.0,16848.97,517072.33,82163.34,17261.58,10685.88,10685.88,592856.0,64435.46,592856.0,6394.77,33.5,632588.65,17791.07,85813.69,4690.74,4.0,-231978.77,528983.89,48140.33,154061.02,551098.2699999999,0.0,180505.63,0.0,180505.63,0.0,225651.67,161216.21000000002,236304.05,890332.12,150349.4,-10652.37,-10866.81,48140.34,697577.9500000001,697577.9500000001,396782.79900000006,ELECTRONICS GIRONA SL_resum
2001-01-01,0.0,12485.91,241832.71,363011.31,216509.4,5663.98,0.0,130574.46,37181.93,291263.34,328445.27,0.0,130574.46,762851.22,95751.58,19420.16,9350.144999999999,9721.667272727273,590903.9600000001,92981.69,590903.9600000001,60.120000000000005,405.87,616648.89,14670.099,72994.9,1369.42,4.0,-231978.77,528983.89,111258.249,399839.91,551098.2699999999,0.0,95630.38,0.0,95630.38,0.0,291669.21,198687.52,291263.34,890332.12,179327.47,405.87,-19360.04,111258.25,858481.6,858481.6,405242.67,ELECTRONICS GIRONA SL_resum
2002-01-01,0.0,12485.91,293720.2,242808.89,199780.29,5663.98,0.0,39192.37,42269.37,257462.34,299731.71,0.0,39192.37,853910.7,88705.12000000001,23935.79,8014.41,8757.454545454544,582014.4500000001,77878.82,582014.4500000001,266.71,1596.48,605290.2699999999,11161.169,64846.41,4548.68,4.0,-231978.77,529282.6889999999,254527.83,611101.809,551098.2699999999,0.0,45099.77,0.0,45099.77,0.0,259058.82,181180.0,257462.34,890332.12,157510.91999999998,1596.48,-23669.08,254527.83,899010.47,899010.47,366364.23,ELECTRONICS GIRONA SL_resum
2003-01-01,0.0,12485.91,1213558.94,5134.0,625596.11,5663.98,0.0,19243.53,32500.19,275006.85,307507.04,0.0,19243.53,1209358.66,90376.42,20457.7,6678.674999999999,7793.2418181818175,591416.69,237694.44,591416.69,572459.48,3781.73,484646.0,6695.91,477950.09,2655.22,4.0,-231978.77,0.0,1194315.41,1204224.66,551098.2699999999,0.0,488846.28,0.0,488846.28,0.0,278788.58,41094.14,275006.85,890332.12,593095.92,3781.73,552001.7799999999,1194315.41,1698204.94,1698204.94,953666.97,ELECTRONICS GIRONA SL_resum
2004-01-01,0.0,12485.91,746110.4400000001,5134.0,194826.47,5663.98,0.0,55812.91,49958.91,191512.06,241470.97,0.0,55812.91,1354226.22,108484.53,3902.81,5342.94,6829.029090909091,521652.17,43631.89,522335.47,629.61,260.589,619488.92,8183.05,611305.87,2731.61,4.0,-231978.77,0.0,690297.529,1349092.22,551098.2699999999,0.0,11373.14,0.0,11373.14,0.0,191772.65,148140.76,191512.06,890332.12,144867.56,260.589,-3273.2,690297.53,1365599.36,1365599.36,346942.89,ELECTRONICS GIRONA SL_resum
2005-01-01,0.0,12485.91,850966.55,5134.0,262494.37,5663.98,0.0,10272.38,58954.05,273476.37,332430.42000000004,0.0,10272.38,1557766.54,96292.66,11287.779,4007.205,5864.816363636364,603338.74,58725.46,604187.38,25.0,52.190000000000005,874331.66,16638.5,785693.16,831.07,4.0,-231978.77,72000.0,840694.1699999999,1552632.54,551098.2699999999,0.0,167531.67,0.0,167531.67,0.0,273528.56,214803.1,273476.37,890332.12,203540.32,52.190000000000005,-11262.779,840694.1699999999,1725298.21,1725298.21,417512.4900000001,ELECTRONICS GIRONA SL_resum
2006-01-01,0.0,12485.91,1125249.3,5134.0,313854.25,5663.98,0.0,15634.5,139007.18,251079.66,390086.839,0.0,15634.5,1732613.61,131686.81,8406.51,2671.4699999999993,4900.603636363637,717833.91,81262.66,718711.3500000001,509.69,12926.89,677928.22,11945.23,665982.99,8810.93,4.0,-231978.77,0.0,1109614.8,1727479.61,551098.2699999999,0.0,70563.90999999999,0.0,70563.90999999999,0.0,264006.55,182743.889,251079.66,890332.12,174847.07,12926.89,-7896.820000000001,1109614.8,1803177.52,1803177.52,526803.72,ELECTRONICS GIRONA SL_resum
2007-01-01,0.0,12485.91,1434819.1700000002,5134.0,433564.459,5663.98,0.0,293260.25,135442.11000000002,501379.75,636821.8600000001,0.0,293260.25,2030735.96,128496.89,87866.75,1335.7350000000006,3936.390909090909,975420.32,119180.83,976320.559,3592.42,197.76,704764.8,33658.07,671106.73,8734.08,6.0,-231978.77,0.0,1141558.92,2025601.96,551098.2699999999,0.0,108848.01,0.0,108848.01,0.0,501577.51,382396.68,501379.75,890332.12,298122.35,197.76,-84274.33,1141558.92,2139583.97,2139583.97,681242.1789999999,ELECTRONICS GIRONA SL_resum
2008-01-01,0.0,12485.91,1061683.1900000002,5134.0,410325.51,5663.98,0.0,28845.460000000003,153707.11000000002,339233.85,492940.959,0.0,16359.55,2287354.36,165412.38999999998,0.0,0.0,2972.1781818181826,895059.8600000001,101393.42,895996.1,0.0,18777.97,1280957.29,24031.84,597225.8,5663.98,5.0,-231978.77,659699.65,1032837.73,2282220.36,551098.2699999999,0.0,42800.21,0.0,55286.12,0.0,358011.82,256618.4,339233.85,890332.12,256618.4,18777.97,0.0,406604.28,2342640.48,2342640.48,677131.3200000001,ELECTRONICS GIRONA SL_resum
2009-01-01,0.0,5370.820000000001,1234900.1700000002,5134.0,188141.55,12200.83,0.0,99302.5,164288.57,36313.92,200602.49,0.0,93931.68,2311207.34,191505.99,0.0,37038.25,2007.965454545456,643351.87,6713.24,644334.6699999999,0.0,31290.55,1094124.85,15521.97,456633.61,12200.83,6.0,-240025.36,621969.2699999999,1135597.6700000002,2306073.34,595819.92,0.0,12446.86,0.0,17817.68,0.0,30566.22,23852.980000000003,36313.92,632133.8400000001,23852.980000000003,-5747.7,0.0,473245.94,2329025.02,2329025.02,386360.78,ELECTRONICS GIRONA SL_resum
2010-01-01,0.0,14251.4,918056.88,5134.0,86831.35,19777.8,0.0,55760.67,53317.55,54076.16,107393.71,0.0,41509.27,2344721.14,214356.74,0.0,38066.28,1043.7527272727293,571757.56,8378.449999999999,572792.08,0.0,25882.37,1453454.36,24680.86,844870.51,19777.8,6.0,-231263.83,583902.99,862296.21,2339587.139,498938.12,0.0,12538.7,0.0,26790.1,0.0,41892.25,33513.8,54076.16,553014.2799999999,33513.8,-12183.91,0.0,161637.23,2371511.24,2371511.24,309566.54,ELECTRONICS GIRONA SL_resum
2011-01-01,0.0,143924.46,225636.18,5134.0,80710.0,15582.68,0.0,90262.02,78448.72,-115420.67,-36971.95,0.0,-53662.439,1979801.42,221679.41,0.0,79.54,79.54,499132.77,4792.911666666665,500190.45,0.0,117761.49,2024793.38,541476.21,1479945.09,15582.68,6.0,-299900.31,3372.08,135374.16,1974667.42,600028.4400000001,0.0,126703.68,0.0,270628.14,0.0,2261.28,2261.28,-115420.67,484607.77,2261.28,117681.95,0.0,135374.16,2250429.56,2250429.56,302468.95,ELECTRONICS GIRONA SL_resum
2012-01-01,0.0,60602.22,218900.78,5134.0,133626.049,21935.15,0.0,69340.87000000001,170493.56,-36752.3,133741.26,0.0,8738.649000000001,1942933.91,280799.45,0.0,5481.650000000001,5481.650000000001,811966.4600000001,1207.373333333332,813024.14,0.0,5366.44,1888444.14,571833.9400000001,1316243.1800000002,21935.15,8.0,-376548.28,367.02,149559.91,1937799.91,827841.2889999999,0.0,103808.79,0.0,164411.01,0.0,-36867.51,-36867.51,-36752.3,791088.99,-36867.51,-115.21,0.0,149559.91,2107344.92,2107344.92,419907.15,ELECTRONICS GIRONA SL_resum
2013-01-01,0.0,7791.429999999999,166718.24000000002,5134.0,34771.7,19445.84,0.0,94429.17,184674.41,-146186.3,38488.11,0.0,86637.739,1793031.2,299053.99000000005,0.0,3750.0,3750.0,714680.05,-2378.165000000001,715737.73,0.0,33.59,1730906.56,574208.21,1155958.38,19445.84,8.0,-358749.79000000004,739.97,72289.07,1787897.2,842478.19,0.0,96802.17,0.0,104593.6,0.0,-149902.71000000002,-149902.71000000002,-146186.3,696291.89,-149902.71000000002,-3716.41,0.0,72289.07,1897624.8,1897624.8,337575.69,ELECTRONICS GIRONA SL_resum
2014-01-01,0.0,35018.450000000004,113677.33,5134.0,119113.87,21298.83,0.0,10372.240000000002,150591.4,-27727.53,122863.87,0.0,-24646.21,1761553.6700000002,295594.48000000004,0.0,3750.0,3750.0,793045.11,-5963.703333333335,794102.7899999999,0.0,0.0,1770976.36,562746.8400000001,1175489.55,21298.83,8.0,-354345.61,32739.97,103305.09,1756419.6700000002,800531.49,0.0,88081.57,0.0,123100.02,0.0,-31477.53,-31477.53,-27727.53,772803.9600000001,-31477.53,-3750.0,0.0,93233.59,1884653.69,1884653.69,418458.35,ELECTRONICS GIRONA SL_resum
2015-01-01,0.0,70524.06,222862.11,5134.0,263073.58900000004,23888.03,0.0,14327.6,146984.05,120459.58,267443.63,0.0,-56196.46,1877643.21,342195.26,0.0,4370.04,4370.04,1046251.68,-9549.241666666667,1047309.36,0.0,0.0,1831816.94,561218.21,1205858.76,23888.03,9.0,-413782.44,64739.97,208534.51,1872509.21,902961.75,0.0,106511.78,0.0,177035.84,0.0,116089.54,116089.54,120459.58,1023421.33,116089.54,-4370.04,0.0,207689.5,2054679.05,2054679.05,609638.89,ELECTRONICS GIRONA SL_resum
