Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,0.0,11727.77,3005.06,0.0,0.0,1733.91,6257.110000000001,0.0,8143.53,8143.53,320.9,6578.009,5106.72,0.0,0.01,5256.969999999999,5256.969999999999,166476.67,1131.66,166476.67,0.0,346.76,41545.56,0.0,0.0,124741.53,0.0,0.0,41545.56,5149.76,2101.66,0.0,0.0,6621.05,0.0,6621.05,0.0,3233.32,2101.66,8143.53,0.0,2101.66,-4910.21,-0.01,5149.75,11727.77,11727.77,8490.29,EMBUTIDOS Y JAMONES OLOT SL_resum
2000-01-01,0.0,0.0,17725.5,3005.06,0.0,0.0,1733.91,15669.09,0.0,13284.55,13284.55,1199.92,16869.01,11182.52,0.0,0.0,3937.17,3937.17,77131.5,3271.59,77131.5,0.01,729.28,41545.56,0.0,0.0,82155.08,0.0,0.0,41545.56,856.49,8177.46,0.0,0.0,48088.54,0.0,48088.54,0.0,9347.38,6075.789,13284.55,0.0,6075.8,-3937.17,0.01,856.49,59271.06,59271.06,13284.56,EMBUTIDOS Y JAMONES OLOT SL_resum
2001-01-01,51614.49,0.0,91540.38,3005.06,0.0,0.0,1733.91,88635.25,0.0,11905.37,11905.37,2155.19,90790.44,15311.16,0.0,0.47,5553.14,5553.14,380575.44,2223.13,380575.44,0.01,1111.8,41545.56,0.0,0.0,358785.02,0.0,0.0,41545.56,749.9399999999999,12306.1,0.0,0.0,66160.289,51614.49,66160.289,0.0,6352.23,4129.099,11905.37,0.0,4128.64,-5553.14,-0.459,749.9399999999999,133085.94,133085.94,11904.91,EMBUTIDOS Y JAMONES OLOT SL_resum
2002-01-01,139562.94999999998,0.0,193573.57,3005.06,0.0,0.0,1733.91,189809.51,0.0,17174.21,17174.21,0.0,189809.51,19294.07,0.0,5.4,12536.43,12536.43,735330.55,2144.64,735330.55,0.8500000000000001,1494.32,41545.56,0.0,0.0,682572.76,0.0,0.0,41545.56,3764.059,16289.01,0.0,0.0,76262.11,139562.94999999998,76262.11,0.0,6132.1,3987.46,17174.21,0.0,3982.91,-11042.11,-4.55,3764.06,235119.13,235119.13,18663.980000000003,EMBUTIDOS Y JAMONES OLOT SL_resum
2003-01-01,108237.85,0.0,113798.03,3005.06,0.0,0.0,1733.91,113193.92,0.0,7785.58,7785.58,0.0,113193.92,22274.960000000003,0.0,0.02,5547.22,5547.22,305966.84,1605.1,305966.84,0.59,2347.06,41545.56,0.0,0.0,286856.74,0.0,0.0,41545.56,604.11,19269.899,0.0,0.0,24830.78,108237.85,24830.78,0.0,4585.42,2980.32,7785.58,0.0,2980.8900000000003,-3200.16,0.5700000000000001,604.11,155343.59,155343.59,10133.21,EMBUTIDOS Y JAMONES OLOT SL_resum
2004-01-01,56691.28,0.0,84928.81,3005.06,0.0,0.0,1733.91,83793.51,0.0,5874.54,5874.54,0.0,83793.51,24728.960000000003,0.0,0.0,2862.4300000000003,2862.4300000000003,197903.28,1321.38,197903.28,127.47,635.8,41545.56,0.0,0.0,184382.29,0.0,0.0,41545.56,1135.3,21723.899,0.0,0.0,45054.13,56691.28,45054.13,0.0,3647.91,2326.529,5874.54,0.0,2454.0,-2226.63,127.47,1135.3,126474.37,126474.37,6637.809,EMBUTIDOS Y JAMONES OLOT SL_resum
2005-01-01,51942.44,0.0,69900.15000000001,3005.06,0.0,0.0,1733.91,64185.96,0.0,4013.67,4013.67,4803.21,68989.17000000001,26843.24,0.0,0.02,1022.33,1022.33,112819.66,906.12,112819.66,0.0,29.08,41545.56,0.0,0.0,102875.24,0.0,0.0,41545.56,910.979,23838.18,0.0,0.0,32660.03,51942.44,32660.03,0.0,3020.42,2114.3,4013.67,0.0,2114.28,-993.25,-0.02,910.98,111445.71,111445.71,4042.73,EMBUTIDOS Y JAMONES OLOT SL_resum
2006-01-01,42335.72,0.0,72400.45,3005.06,0.0,0.0,1733.91,65808.27,0.0,2848.4700000000003,2848.4700000000003,5508.360000000001,71316.63,28410.61,0.0,0.06,860.75,860.75,106643.3,671.73,106643.3,0.0,251.44,41545.56,0.0,0.0,98222.24,0.0,0.0,41545.56,1083.819,25405.55,0.0,0.0,43199.68,42335.72,43199.68,0.0,2239.16,1567.429,2848.4700000000003,0.0,1567.37,-609.31,-0.06,1083.82,113946.01,113946.01,3099.8500000000004,EMBUTIDOS Y JAMONES OLOT SL_resum
2007-01-01,0.0,0.0,34733.77,3005.06,0.0,0.0,1733.91,26760.55,0.0,2709.4100000000003,2709.4100000000003,4928.0,31688.55,29332.94,0.0,0.0,1805.66,1805.66,210818.13,307.44,210818.13,0.0,326.02,41545.56,0.0,0.0,166835.88999999998,0.0,0.0,41545.56,3045.219,26327.879,0.0,0.0,46946.39,0.0,46946.39,0.0,1229.77,922.329,2709.4100000000003,0.0,922.33,-1479.64,0.0,3045.22,76279.33,76279.33,3035.4300000000003,EMBUTIDOS Y JAMONES OLOT SL_resum
2008-01-01,0.0,0.0,2254.9100000000003,3005.06,0.0,142148.38999999998,1733.91,838.05,0.0,2131.08,2131.08,0.0,838.05,30070.980000000003,0.0,0.0,1147.04,1147.04,150417.74000000002,246.0,150417.74000000002,0.0,0.0,41545.56,0.0,0.0,142148.38999999998,0.0,-6138.27,41545.56,1416.86,27065.92,6138.27,0.0,13729.49,0.0,13729.49,0.0,984.04,738.04,2131.08,8269.349,738.04,-1147.04,0.0,1416.86,43800.47,43800.47,2131.08,EMBUTIDOS Y JAMONES OLOT SL_resum
