Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,0.0,1631052.66,36060.73,343801.92000000004,0.0,0.0,865676.41,21337.79,467819.64,489157.43000000005,0.0,865676.41,1252131.95,4335599.69,0.0,1876.36,1876.36,5069625.7,167979.36,5069625.7,0.0,24500.21,428681.1,0.0,427340.84,0.0,278.0,-326647.96,1340.259,765376.249,1216071.22,4568005.728999999,1184.06,807601.8,0.0,807601.8,0.0,490443.4900000001,322464.13,467819.64,4351299.649999999,322464.13,22623.85,0.0,765376.24,2059733.76,2059733.76,4849257.33,EMERGENT CATALUNYA EMPRESA DE TREBALL TEMPORAL SL_resum
2000-01-01,0.0,58804.32,2404956.74,35999.99,333304.75,0.0,0.0,1612881.2,18862.49,476099.56,494962.05,0.0,1554076.88,1566513.48,6411054.44,12227.49,5438.39,5438.39,7412462.109999999,166877.01,7412462.109999999,2205.74,20679.86,11084.53,0.0,9924.58,180353.64,12.0,-326647.96,1159.95,792075.54,1530513.49,4568005.728999999,1184.06,790723.47,0.0,849527.7899999999,0.0,491341.03,324464.02,476099.56,4351299.649999999,314442.26,15241.47,-10021.75,788664.649,2416041.27,2416041.27,6916674.59,EMERGENT CATALUNYA EMPRESA DE TREBALL TEMPORAL SL_resum
2001-01-01,0.0,31556.5,1948675.32,35999.99,22444.15,0.0,0.0,1413124.13,3443.2,2465.3500000000004,5908.549,0.0,1381567.63,1585514.43,4282673.178,90.96,1206.95,1206.95,4792115.6,10231.28,4792115.6,5605.01,22459.79,25411.6,0.0,21300.67,0.0,361.0,-326647.96,4110.929999999999,535551.19,1549514.44,4568005.728999999,1184.06,357015.99000000005,0.0,388572.4900000001,0.0,23718.18,13486.9,2465.3500000000004,4351299.649999999,19000.95,21252.83,5514.05,535551.1989999999,1974086.92,1974086.92,4316555.558,EMERGENT CATALUNYA EMPRESA DE TREBALL TEMPORAL SL_resum
2002-01-01,0.0,26724.52,2639850.83,51480.0,212856.33,0.0,0.0,1757176.85,4717.1900000000005,303908.63,308625.82,0.0,1730452.33,1809133.58,6091913.159999999,0.0,1477.0,1477.0,6886513.37,112074.92,6886513.37,0.0,17782.43,36789.810000000005,14378.54,19141.76,0.0,341.0,-326647.96,3269.509,882673.98,1757653.58,4568005.728999999,1184.06,840782.54,0.0,867507.06,0.0,320214.06,208139.14,303908.63,4351299.649999999,208139.14,16305.43,0.0,882673.98,2676640.64,2676640.64,6418321.41,EMERGENT CATALUNYA EMPRESA DE TREBALL TEMPORAL SL_resum
2003-01-01,0.0,45559.92,2348213.77,51480.0,115324.099,0.0,0.0,1666151.01,10214.09,143425.41,153639.5,0.0,1620591.09,1709188.3,5596749.2700000005,0.0,3138.36,3138.36,6343522.57,50377.04,6354687.18,18.12,15181.88,48014.0,12853.82,31890.67,297.0,321.0,-326647.96,3269.51,682062.76,1657708.3,4568005.728999999,1184.06,641479.549,0.0,687039.47,0.0,155468.93,105091.889,143425.41,4351299.649999999,105110.01,12043.52,18.12,682062.76,2396227.77,2396227.77,5765588.7700000005,EMERGENT CATALUNYA EMPRESA DE TREBALL TEMPORAL SL_resum
2004-01-01,0.0,37357.11,2221124.4,51480.0,156799.3,0.0,0.0,1536236.37,14222.41,207477.5,221699.91,0.0,1498879.26,1746655.1800000002,5481007.94,0.0,270.11,270.11,6136959.07,75287.68000000001,6143515.48,397.8,10259.38,99867.99,6891.1900000000005,89707.29,0.0,301.0,-326647.96,3269.51,684888.029,1695175.1800000002,4568005.728999999,1184.06,536980.1,0.0,574337.21,0.0,217466.77,142179.09,207477.5,4351299.649999999,142576.88999999998,9989.27,397.8,684888.03,2320992.39,2320992.39,5713365.03,EMERGENT CATALUNYA EMPRESA DE TREBALL TEMPORAL SL_resum
2005-01-01,9332.4,38907.87,2107631.239,51480.0,23975.489,0.0,4141.478999999999,1250324.1,15770.25,704.73,16474.980000000003,0.0,1211416.23,1612283.53,5156453.53,0.0,1241.3,1241.3,5675795.06,4418.21,5687088.25,0.0,13160.02,114039.99,14905.0,95865.48,18289.2,266.0,-326647.96,3269.51,857307.139,1560803.53,4568005.728999999,1184.06,557005.9510000001,9332.4,600055.3,0.0,12623.45,8205.240000000002,704.73,4351299.649999999,8205.240000000002,11918.72,0.0,856491.2799999999,2221671.23,2221671.23,5186088.53,EMERGENT CATALUNYA EMPRESA DE TREBALL TEMPORAL SL_resum
2006-01-01,5242.9,44652.6,2349771.03,51480.0,33608.11,0.0,4192.38,1193082.37,12802.68,11290.5,24093.18,0.0,1148429.77,1624883.72,5457001.13,0.0,893.31,893.31,5910216.0,8916.62,5910216.0,98.6,19226.26,63727.4,11336.35,45431.19,9172.9,265.0,-326647.96,6959.860000000001,1156688.6590000002,1573403.72,4568005.728999999,1184.06,734526.8300000001,5242.9,783371.81,0.0,29623.45,20706.83,11290.5,4351299.649999999,20805.43,18332.95,98.6,1156161.3390000002,2413498.43,2413498.43,5500419.168999999,EMERGENT CATALUNYA EMPRESA DE TREBALL TEMPORAL SL_resum
2007-01-01,14344.68,56720.310000000005,2494594.32,51480.0,38429.54,0.0,9316.18,1566442.6900000002,15366.81,58123.48,73490.29,0.0,1509722.38,1627141.02,6030246.94,65741.42,1754.44,1754.44,6499182.69,5588.38,6520330.09,1149.42,36874.07,111067.59,25797.84,64718.19,4630.0,300.0,-326647.96,20551.559,928151.629,1575661.02,4568005.728999999,1184.06,898139.72,14344.68,964176.21,0.0,93243.11,87654.73,58123.48,4351299.649999999,23062.73,35119.63,-64592.0,926044.46,2605661.91,2605661.91,6076019.3,EMERGENT CATALUNYA EMPRESA DE TREBALL TEMPORAL SL_resum
2008-01-01,7774.2,0.0,1114385.71,51480.0,-126814.97,0.0,5544.0,404499.17,19459.01,-216706.08,-197247.069,0.0,404499.17,754244.31,4221898.76,0.0,2716.04,2716.04,4340125.96,-45867.84,4351299.649999999,0.0,27280.3,154568.19,0.0,87226.5,0.0,20.0,-326647.96,67341.69,709886.539,702764.31,4568005.728999999,1184.06,500207.33,8958.26,505751.33,0.0,-192141.82,-146273.97999999998,-216706.08,4351299.649999999,-146273.97999999998,24564.26,0.0,120953.21,1268953.9,1268953.9,4051931.989,EMERGENT CATALUNYA EMPRESA DE TREBALL TEMPORAL SL_resum
