Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,7230.360000000001,273158.64,605584.58,222554.78,381370.93000000005,2345141.79,0.0,530178.1699999999,2306.4100000000003,59410.5,61716.91,55052.310000000005,585230.48,729846.8300000001,812575.62,0.0,2579.05,2579.05,3788976.12,204111.66,3788976.12,513080.43000000005,13264.3,1063170.09,11978.81,959666.62,731370.75,50.0,-9411110.21,91524.66,20354.099,507292.049,16078013.58,4831.6,931677.49,7230.360000000001,931677.49,0.0,70095.75,-134015.91,59410.5,16073797.96,379064.52,10685.25,513080.43000000005,20154.29,1668754.6700000002,1668754.6700000002,1400637.26,EROLES SA_resum
2000-01-01,53200.59,273158.64,651579.26,222554.78,181741.229,2345141.79,0.0,602306.87,133731.4,90852.88,224584.28,37563.26,639870.13,777856.65,1167745.94,0.0,20249.43,20249.43,4969908.28,25851.45,4969908.28,0.0,3257.82,2053571.95,70847.51,1888590.3,1025982.67,76.0,-9411110.21,94134.139,11709.13,555301.87,16078013.58,4831.6,1874093.96,53200.59,1874093.96,0.0,73861.27,48009.82,90852.88,16073797.96,48009.83,-16991.609999999997,0.0,3753.2,2705151.2,2705151.2,1395588.049,EROLES SA_resum
2001-01-01,45536.61,273158.64,493293.64,222554.78,300284.02,2345141.79,0.0,407426.95,244157.0,120206.47,364363.47,68679.03,476105.98,833983.6699999999,1450548.7,0.0,37371.18,37311.16,5503983.78,30222.25,5503983.78,0.0,3513.98,1911874.82,68574.63,1746447.91,1366228.55,86.0,-9411110.21,96852.28,17187.658999999996,611428.89,16078013.58,4831.6,1525648.1800000002,45536.61,1525648.1800000002,0.0,86349.27,56127.02,120206.47,16073797.96,56127.02,-33857.2,0.0,11527.83,2405168.46,2405168.46,1818366.13,EROLES SA_resum
2002-01-01,609455.14,273158.64,1247248.76,222554.78,318456.38,2345141.79,390611.9,1100889.05,260948.07,94299.21,355247.28,65071.48,892801.89,891491.62,2238296.92,0.0,21695.27,21695.27,8586132.93,30966.01,8596283.43,13000.15,2870.23,1695239.21,71535.51,1524499.23,2015554.14,137.0,-9411110.21,99204.469,81288.229,668936.8400000001,16078013.58,4831.6,777770.6699999999,609455.14,1441541.21,0.0,75474.17000000001,44508.16,94299.21,16073797.96,57508.310000000005,-18825.04,13000.15,76261.77,2942487.97,2942487.97,2609414.579,EROLES SA_resum
2003-01-01,204458.88,657011.48,2147948.97,222554.78,467878.4900000001,2345141.79,788005.4,1621325.71,313829.64,278035.78,591865.42,69841.48,1034155.71,1045540.47,3124830.68,0.0,43974.71,43974.71,12059148.55,82949.37000000001,12070226.61,0.0,2937.15,1454402.1700000002,107054.24,1318499.35,2406292.23,160.0,-9411110.21,28848.579,456781.78,822985.69,16078013.58,4831.6,907334.91,204458.88,2352351.79,0.0,236998.22,154048.84999999998,278035.78,16073797.96,154048.84999999998,-41037.56,0.0,448764.53,3602351.14,3602351.14,3719633.25,EROLES SA_resum
2004-01-01,157170.74000000002,1122258.59,2463799.35,222554.78,434846.29,2345141.79,308749.98000000004,1600999.73,315731.65,96660.17,412391.82,53150.0,531891.139,1480186.46,3244126.72,28848.58,32269.92,32269.92,12662251.65,29452.23,12749146.54,113025.2,19851.67666666667,1261409.86,78596.29,1182813.57,2165096.65,200.0,-9411110.21,0.0,809649.62,1257631.6800000002,16078013.58,4831.6,656843.4400000001,157170.74000000002,2087852.01,0.0,64390.25,34938.02,96660.17,16073797.96,119114.64,-32269.92,84176.62000000001,804110.1,3725209.21,3725209.21,3740695.16,EROLES SA_resum
2005-01-01,120682.64,903668.3,2132105.349,222554.78,285107.94,2345141.79,47832.73,1562501.06,219831.4,151333.93,371165.329,66200.0,725032.76,1435027.04,3931474.35,0.0,55424.09,55424.09,13674458.99,35148.9,13721788.61,4515.6,36766.20333333334,1133636.1900000002,55862.03,1077774.16,2551705.86,192.0,-9411110.21,0.0,503404.288,1212472.26,16078013.58,4831.6,758530.8300000001,120682.64,1710031.86,0.0,95909.84,60760.939,151333.93,16073797.96,65276.54,-55424.09,4515.6,499680.47,3265741.54,3265741.54,4307155.28,EROLES SA_resum
2006-01-01,76876.70999999999,308740.78,2577852.2,222554.78,311029.56,2345141.79,760209.3,1580572.13,221617.43,-26181.59,195435.84,130530.0,1402361.3490000002,1303850.94,4958461.91,0.0,6597.660000000001,6597.660000000001,14754493.26,17278.88,14754531.76,85789.53,53680.73,1075196.07,38612.28,1036583.79,3353904.94,223.0,-9411110.21,0.0,866750.07,1081296.16,16078013.58,4831.6,1203370.54,76876.70999999999,2272320.62,0.0,20901.480000000003,3622.599,-26181.59,16073797.96,89412.13,47083.07,85789.53,864815.3600000001,3653048.27,3653048.27,5293368.01,EROLES SA_resum
2007-01-01,69204.97,909897.49,2383585.52,222554.78,413198.15,2345141.79,21089.87,1913804.09,334386.21,74787.03,409173.24,50175.0,1054081.6,1382662.88,5907407.2700000005,0.0,24922.82,24922.82,18456140.75,35115.46,18590353.07,62691.24,1371.95,1084145.93,66552.86,1002593.07,2770432.82,297.0,-9411110.21,15000.0,419606.42900000006,1160108.0990000002,16078013.58,4831.6,1084876.24,69204.97,2015863.6,0.0,51236.16,16120.7,74787.03,16073797.96,78811.93999999999,-23550.87,62691.24,414506.269,3467731.45,3467731.45,6380643.7,EROLES SA_resum
2008-01-01,24346.67,210697.06,2172365.7,222554.78,282776.47000000003,2345141.79,553563.53,1577242.66,295153.61,-4215.620000000001,290937.99000000005,65450.0,1431995.5990000002,1370285.74,6371749.76,0.0,14536.08,14536.08,18309417.5,-5304.5,18418939.75,0.0,1070.06,1155913.26,1847.71,1154065.55,2345141.79,279.0,-9411110.21,42477.42,529673.04,1147730.96,16078013.58,4831.6,1164554.3590000002,29178.27,1928814.95,0.0,-17681.64,-12377.14,-4215.620000000001,16073797.96,-12377.14,-13466.02,0.0,125914.95,3328278.96,3328278.96,6663757.81,EROLES SA_resum
