Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,0.0,927646.98,180303.63,87772.48999999999,50720.9,0.0,343626.87,59938.04,43818.810000000005,103756.85,845.7,344472.57,560343.53,117344.28,5037.610000000001,5826.06,5826.06,753235.64,11929.05,756591.7899999999,386.14,6422.22,76129.04,0.0,69820.65000000001,5778.120000000001,9.0,-680893.52,6308.389,583174.41,380039.9,1198450.82,0.0,443432.4900000001,0.0,443432.4900000001,0.0,44414.97,32485.92,43818.810000000005,1220768.65,27834.45,596.16,-4651.469,554699.52,1003776.02,1003776.02,222871.88,ESCOLA DE GESTIO EMPRESARIAL SOCIETAT ANONIMA_resum
2000-01-01,0.0,0.0,949088.06,180303.63,83802.54,50720.9,0.0,298745.32,31855.63,-29.56,31826.07,845.7,299591.02,612290.43,203802.6,0.0,3925.14,3925.14,615562.41,22262.960000000003,745063.91,0.0,78164.58,98263.53,0.0,91955.13,2201.5,12.0,-680893.52,6308.399,649497.04,431986.8,1198450.82,0.0,435061.15,0.0,435061.15,0.0,74209.87000000001,51946.909,-29.56,1220768.65,51946.91,74239.43,0.0,649497.04,1047351.59,1047351.59,313793.24,ESCOLA DE GESTIO EMPRESARIAL SOCIETAT ANONIMA_resum
2001-01-01,0.0,0.0,859903.8600000001,180300.0,34525.119999999995,50720.9,0.0,257891.82,26908.09,296.76,27204.85,7486.88,265378.7,619907.47,213582.53,0.0,4913.34,4913.34,483577.85,3264.44,814476.48,6812.84,8685.210000000001,108176.85,0.0,101868.45,-6641.18,17.0,-680893.52,6308.4,594525.159,439607.47,1198450.82,0.0,348173.24,0.0,348173.24,0.0,4068.63,804.19,296.76,1220768.65,7617.03,3771.87,6812.84,590075.12,968080.71,968080.71,256285.43,ESCOLA DE GESTIO EMPRESARIAL SOCIETAT ANONIMA_resum
2002-01-01,0.0,0.0,897123.4400000001,180300.0,40254.8,50720.9,0.0,396034.67,31765.34,5665.85,37431.19,7486.88,403521.55,628396.93,404762.04,0.0,381.35,381.35,503268.91,3638.34,857539.3600000001,0.0,6843.3,104689.26,0.0,98380.86,19101.32,16.0,-680893.52,6308.399,493601.889,448096.93000000005,1198450.82,0.0,373415.77,0.0,373415.77,0.0,12127.8,8489.46,5665.85,1220768.65,8489.46,6461.95,0.0,493601.889,1001812.7,1001812.7,449036.529,ESCOLA DE GESTIO EMPRESARIAL SOCIETAT ANONIMA_resum
2003-01-01,0.0,0.0,846527.03,180300.0,55803.869,50720.9,0.0,332956.31,38140.6,22775.41,60916.009,7486.88,340443.19,646060.2,522429.23,0.0,676.91,676.91,801712.75,7398.55,1088087.54,1100.0,1863.32,184628.92,0.0,178320.52,23575.91,23.0,-680893.52,6308.4,506083.84,465760.199,1198450.82,0.0,385095.75,0.0,385095.75,0.0,23961.82,16563.27,22775.41,1220768.65,17663.27,1186.41,1100.0,481975.529,1031155.95,1031155.95,586308.559,ESCOLA DE GESTIO EMPRESARIAL SOCIETAT ANONIMA_resum
2004-01-01,0.0,0.0,869602.7699999999,180300.0,61948.08,50720.9,0.0,207662.5,52827.01,12674.63,65501.64,7486.88,215149.38,655181.2699999999,342682.59,0.0,3928.38,3928.38,971138.58,2409.03,1193126.31,0.0,2783.8500000000004,181004.25,0.0,174695.84999999998,23103.88,25.0,-680893.52,6308.399,654453.39,474881.27,1198450.82,0.0,395425.75,0.0,395425.75,0.0,11530.1,9121.07,12674.63,1220768.65,9121.07,-1144.53,0.0,654453.39,1050607.02,1050607.02,410968.08,ESCOLA DE GESTIO EMPRESARIAL SOCIETAT ANONIMA_resum
2005-01-01,0.0,0.0,734102.8500000001,180300.0,56325.15,50720.9,0.0,126985.48,52017.16,-10018.16,41999.0,2166.78,129152.26,659489.26,374927.22,0.0,2095.98,2095.98,943732.46,1846.28,943732.46,0.0,18268.41,164856.04,0.0,158547.64,14696.07,26.0,-680893.52,6308.399,604950.59,479189.26,1198450.82,0.0,239469.63,0.0,239469.63,0.0,6154.27,4307.99,-10018.16,1220768.65,4307.99,16172.43,0.0,603364.919,898958.89,898958.89,435194.63,ESCOLA DE GESTIO EMPRESARIAL SOCIETAT ANONIMA_resum
2006-01-01,0.0,0.0,900998.99,180300.0,56540.08,50720.9,0.0,228038.34,44182.82,9981.88,54164.7,11292.38,239330.72,671846.52,410047.09,0.0,613.15,613.15,1053538.04,3762.21,1054103.31,0.0,6750.74,145698.69,0.0,139390.29,33340.91,27.0,-680893.52,6308.399,661668.2699999999,491546.52,1198450.82,0.0,374851.16,0.0,374851.16,0.0,16119.47,12357.259,9981.88,1220768.65,12357.26,6137.59,0.0,644427.51,1046697.68,1046697.68,470962.53,ESCOLA DE GESTIO EMPRESARIAL SOCIETAT ANONIMA_resum
2007-01-01,0.0,0.0,1202032.9,180300.0,62146.659,50720.9,0.0,560202.4500000001,34834.13,30537.2,65371.33,9678.28,569880.73,699159.05,481940.5,0.0,956.24,956.24,1241778.87,5299.45,1244466.6700000002,439.72,2591.3,174477.76,0.0,168169.36,61967.24,26.0,-680893.52,6308.4,632152.169,518859.05,1198450.82,0.0,677351.61,0.0,677351.61,0.0,32172.26,26872.809,30537.2,1220768.65,27312.53,1635.06,439.72,630761.57,1376510.66,1376510.66,550342.8500000001,ESCOLA DE GESTIO EMPRESARIAL SOCIETAT ANONIMA_resum
2008-01-01,0.0,0.0,1259330.36,180300.0,65314.72899999999,50720.9,0.0,610679.11,38770.58,22317.83,61088.41,5833.05,616512.16,725703.2,478786.72,0.0,1108.34,1108.34,1271489.55,6164.27,1271489.55,0.0,11498.93,220942.77,0.0,214634.37,46875.67,24.0,-680893.52,6308.4,642818.2,545403.2,1198450.82,0.0,754569.93,0.0,754569.93,0.0,32708.42,26544.149,22317.83,1220768.65,26544.149,10390.59,0.0,151540.61000000002,1480273.13,1480273.13,551374.059,ESCOLA DE GESTIO EMPRESARIAL SOCIETAT ANONIMA_resum
