Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,2314.48,295479.22000000003,427064.81,18030.36,30118.82,339795.62,0.0,401208.45,4186.74,37311.46,41498.2,16760.960000000003,417969.41,164858.47,158904.57,0.0,1900.42,1900.42,729248.37,11113.75,729248.37,0.0,1634.78,48523.47,0.0,39508.28999999999,452934.14,9.0,-91755.97,9015.18,9095.399,146828.11000000002,433159.0,0.0,310729.81,2314.48,310729.81,0.0,37045.83,25932.08,37311.46,478056.92,25932.08,-265.64000000000004,0.0,9095.4,475588.28,475588.28,202037.56,ESTAÑOL-CASADEMONT SL_resum
2000-01-01,2314.48,295479.22000000003,418492.92,18030.36,27272.18,339795.62,0.0,370084.53,9879.23,27545.41,37424.64,15488.38,385572.91,182251.43,189099.08,0.0,2698.3300000000004,2698.3300000000004,731475.38,7454.120000000001,731475.38,0.0,826.025,47840.76,0.0,38825.58,430702.82,9.0,-91755.97,9015.18,32920.009,164221.07,433159.0,0.0,284082.25,2314.48,284082.25,0.0,24847.08,17392.960000000003,27545.41,478056.92,17392.95,-2698.3300000000004,0.0,32920.01,466333.68,466333.68,226523.71,ESTAÑOL-CASADEMONT SL_resum
2001-01-01,2314.48,295479.22000000003,564091.89,18030.0,41398.457,339795.62,0.0,532316.47,8284.467999999999,54936.92,63221.388000000006,6571.07,538887.539,215365.43,208475.35,0.0,7648.469999999999,7648.469999999999,908570.32,14191.72,908570.32,0.0,17.27,36551.24,0.0,30541.12,553143.9600000001,11.0,-91755.97,6010.119000000001,25204.35,197335.43,433159.0,0.0,385277.7,2314.48,385277.7,0.0,47305.71,33113.989,54936.92,478056.92,33113.989,-7631.21,0.0,25204.35,600643.13,600643.13,271713.99700000003,ESTAÑOL-CASADEMONT SL_resum
2002-01-01,2314.48,295479.22000000003,650593.14,18030.0,48911.92,339795.62,0.0,404950.56,10419.9,53811.48,64231.380000000005,16576.47,421527.03,253857.44,207442.74,0.0,6904.81,6904.81,997975.46,16496.58,997975.46,5566.87,2515.06,33435.738999999994,6318.360000000001,21107.26,634680.07,10.0,-91755.97,6010.119000000001,229066.11,235827.44,433159.0,0.0,427856.96,2314.48,427856.96,0.0,49421.73,32925.15,53811.48,478056.92,38492.02,-4389.75,5566.87,228804.87,684028.88,684028.88,279756.05,ESTAÑOL-CASADEMONT SL_resum
2003-01-01,11076.56,295479.22000000003,674840.3600000001,18030.0,48751.02,339795.62,0.0,550735.9400000001,14402.77,56780.76,71183.53,97291.57,648027.51,288205.69,245304.75,0.0,7590.85,7590.85,979379.42,14876.67,979379.42,0.0,35.01,19032.97,4917.23,8105.620000000001,561274.2899999999,12.0,-91755.97,6010.120000000001,26812.85,270175.69,433159.0,0.0,405667.64,11076.56,405667.64,0.0,49224.92,34348.25,56780.76,478056.92,34348.25,-7555.84,0.0,26812.85,693873.3300000001,693873.3300000001,316523.29000000004,ESTAÑOL-CASADEMONT SL_resum
2004-01-01,19838.64,295479.22000000003,866642.1,18030.0,107999.51,339795.62,0.0,781866.15,52994.03,86373.69,139367.72,60080.45,841946.6,343211.17,295230.87,0.0,8074.42,8074.42,1447953.43,23573.78,1447953.43,0.0,279.98999999999995,6010.120000000001,0.0,8852.927142857143,903893.42,19.0,-91755.97,6010.120000000001,24695.5,325181.17,433159.0,0.0,509602.41,19838.64,509602.41,0.0,78579.26,55005.479,86373.69,478056.92,55005.48,-7794.429999999999,0.0,23520.14,872652.22,872652.22,434878.58,ESTAÑOL-CASADEMONT SL_resum
2005-01-01,19838.64,295479.22000000003,961875.7,18030.0,95440.97499999999,339795.62,0.0,948080.58,37106.85,96933.04,96933.04,6968.3,955048.88,405601.43000000005,362673.91,0.0,7876.429999999999,7876.429999999999,1149414.3,26738.68,1149414.3,0.0,72.33,6010.120000000001,0.0,9600.234285714287,514313.33,19.0,-91755.97,6010.120000000001,6826.819,387571.43000000005,433159.0,0.0,542445.75,19838.64,542445.75,0.0,89128.93999999999,62390.26,96933.04,478056.92,62390.26,-7804.1,0.0,6826.820000000001,967885.82,967885.82,459679.279,ESTAÑOL-CASADEMONT SL_resum
2006-01-01,19838.64,295479.22000000003,1036737.75,18030.0,82882.43999999999,339795.62,0.0,1015345.62,21219.67,94658.57,115878.24,8392.42,1023738.04,467264.2,431896.91,0.0,6628.1900000000005,6628.1900000000005,1399438.6900000002,26426.9,1399438.6900000002,0.0,59.290000000000006,6010.120000000001,0.0,10347.541428571429,728389.53,16.0,-91755.97,6010.120000000001,12999.709,449234.2,433159.0,0.0,555645.03,19838.64,555645.03,0.0,88089.67000000001,61662.77,94658.57,478056.92,61662.77,-6568.9,0.0,12999.71,1042747.87,1042747.87,547834.4400000001,ESTAÑOL-CASADEMONT SL_resum
2007-01-01,18277.507999999998,295479.22000000003,1069842.98,18030.0,69539.76,339795.62,0.0,769694.8600000001,1161.74,108070.15,109231.89,7378.21,777073.07,535642.22,346100.13,0.0,16899.460000000003,16899.460000000003,992200.82,22792.67,993960.22,0.0,1187.98,6010.120000000001,0.0,11094.848571428573,438629.87,10.0,-91755.97,6010.120000000001,292769.91000000003,517612.22,433159.0,0.0,540210.88,18277.507999999998,540210.88,0.0,91170.69,68378.02,108070.15,478056.92,68378.02,-16899.460000000003,0.0,292769.91000000003,1075853.1,1075853.1,455332.02,ESTAÑOL-CASADEMONT SL_resum
2008-01-01,16716.376,295479.22000000003,969090.92,18030.0,50789.884999999995,339795.62,1187.01,850694.8200000001,2064.12,44897.92,44897.92,38276.28999999999,593491.89,570897.64,341403.03,0.0,207.36,207.36,817852.54,11751.81,817852.54,0.0,2316.67,6010.120000000001,0.0,11842.155714285715,339795.62,13.0,-91755.97,6010.120000000001,80119.81,552867.64,433159.0,0.0,107537.17,16716.376,404203.4,0.0,47007.23,35255.42,44897.92,478056.92,35255.42,2109.3100000000004,0.0,80119.81,975101.04,975101.04,388617.62,ESTAÑOL-CASADEMONT SL_resum
