Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,12553.79,67861.5,115828.28,54091.09,3937.6,337869.2,24401.33,59246.4,2572.25,6180.67,8752.92,53204.26,112450.66,72296.33,11878.72,283.14000000000004,4033.46,4033.46,296988.91000000003,585.15,296988.91000000003,86.28,0.16,6628.51,0.0,6628.51,237649.5,1.0,-114340.22,0.0,3377.619,18205.24,256840.8,5549.78,50160.46,12553.79,50160.46,0.0,2147.3700000000003,1562.219,6180.67,308319.59900000005,1365.35,-4033.3,-196.859,3377.62,122456.79,122456.79,20434.93,ESTEVE PELEGRI SL_resum
2000-01-01,12553.79,67861.5,101573.98,54091.09,2410.22,337869.2,24401.33,43402.93,1331.85,5617.56,6949.41,57140.71,100543.64,73374.69,13773.66,0.05,4195.83,4195.83,273892.8,462.15,273892.8,118.46,0.39,6365.42,0.0,6365.42,219881.97,1.0,-114340.22,0.0,1030.339,19283.6,256840.8,5549.78,34564.71,12553.79,34564.71,0.0,1422.11,959.959,5617.56,308319.59900000005,1078.37,-4195.44,118.41,1030.348,107939.41,107939.41,20841.86,ESTEVE PELEGRI SL_resum
2001-01-01,12553.79,67861.5,97112.57,54091.09,2183.9395,337869.2,24401.33,36160.61,1260.065,5839.42,5839.42,60951.96,97112.57,73883.87000000001,19003.84,0.01,5112.03,5112.03,260993.65,218.22,260993.65,0.01,0.23,6365.41,0.0,6365.41,212204.03,1.0,-114340.22,0.0,0.0,19792.78,256840.8,5549.78,29594.11,12553.79,29594.11,0.0,727.39,509.169,5839.42,308319.59900000005,509.17,-5112.03,0.0,1848.8453333333332,103477.98,103477.98,24843.26,ESTEVE PELEGRI SL_resum
2002-01-01,12553.79,67861.5,110886.12,54091.09,1957.659,337869.2,24401.33,45451.52,1188.28,4302.01,5490.29,65434.6,110886.12,74653.25,19367.02,65.239,4137.609,4137.609,337410.67,329.73,337410.67,999.88,0.07,5684.150000000001,0.0,5684.150000000001,274337.42000000004,1.0,-114340.22,0.0,0.0,20562.16,256840.8,5549.78,41917.02,12553.79,41917.02,0.0,164.47,-165.26,4302.01,308319.59900000005,769.38,-4137.54,934.641,2667.3426666666664,116570.27,116570.27,25792.019,ESTEVE PELEGRI SL_resum
2003-01-01,12553.79,67861.5,129938.49,54090.0,5411.639,337869.2,24401.33,66858.53,2374.94,6052.41,8427.349999999999,58142.62,125001.15,77689.95,20886.27,180.02,2047.81,2047.81,419170.67,1267.21,419170.67,479.33,0.05833333333333334,20922.09,15426.56,5495.53,357016.51,1.0,-114340.22,0.0,4937.339,23599.949,256840.8,5549.78,60616.84,12553.79,60616.84,0.0,4004.6,2737.3900000000003,6052.41,308319.59900000005,3036.7,-2047.81,299.309,3485.84,150860.58,150860.58,29612.93,ESTEVE PELEGRI SL_resum
2004-01-01,8879.51,67861.5,139374.46,54091.09,12876.06,337869.2,24401.33,77190.98,2824.8300000000004,16345.18,19170.01,58126.32,135317.3,87741.18000000001,16138.99,106.34,2066.92,2066.92,471386.78,4307.67,471386.78,186.98,0.046666666666666676,18097.26,13414.4,4682.860000000001,406690.79,1.0,-114340.22,0.0,4057.16,33650.09,256840.8,5549.78,60851.03,8879.51,60851.03,0.0,14278.26,9970.59,16345.18,308319.59900000005,10051.23,-2066.92,80.639,3181.12,157471.72,157471.72,35389.64,ESTEVE PELEGRI SL_resum
2005-01-01,5205.23,67861.5,203585.56,54090.0,24194.72,337869.2,24401.33,119356.38,2786.4500000000003,33158.28999999999,35944.74,55036.26,174392.64,109149.45,29319.63,0.0,2575.05,2575.05,618841.7699999999,9174.97,618841.7699999999,0.0,0.035,16601.25,11402.240000000002,5199.01,502216.87,2.0,-114340.22,0.0,29192.919,55059.45,256840.8,5549.78,105832.13,5205.23,105832.13,0.0,30583.24,21408.27,33158.28999999999,308319.59900000005,21408.27,-2575.05,0.0,28753.02,220186.81,220186.81,65264.369,ESTEVE PELEGRI SL_resum
2006-01-01,39648.47,67861.5,257761.479,54090.0,31120.56,337869.2,24401.33,147346.3,7789.72,37398.5,45188.22,82886.26,230232.56,132479.2,60364.96,0.0,4549.78,4549.78,676846.9400000001,9998.94,676846.9400000001,481.06,0.023333333333333338,57811.53,54053.05,3758.48,532922.16,3.0,-114340.22,0.0,27528.919,78389.2,256840.8,5549.78,143445.34,39648.47,143445.34,0.0,32848.719999999994,22849.78,37398.5,308319.59900000005,23330.84,-4549.78,481.06,22358.81,315573.01,315573.01,106034.239,ESTEVE PELEGRI SL_resum
2007-01-01,99709.9,67861.5,268105.27,54090.0,57013.310000000005,337869.2,24401.33,191364.06,19647.43,58786.73,78434.16,76645.76,268009.82,169845.08,127792.15,0.0,9653.77,9653.77,935842.81,12455.3,935842.81,688.22,0.011666666666666672,122164.1,113115.53,9048.57,619862.54,3.0,-114340.22,0.0,95.45,115755.079,256840.8,5549.78,120714.39,99709.9,120714.39,0.0,49132.96,36677.66,58786.73,308319.59900000005,37365.880000000005,-9653.77,688.22,95.45,390269.37,390269.37,206914.529,ESTEVE PELEGRI SL_resum
2008-01-01,46716.33,67861.5,265317.0,54090.0,58605.79899999999,337869.2,24401.33,141310.67,21665.43,51478.8,73144.23,88311.76,161760.93,206785.45,120835.15,0.0,2224.98,2224.98,646168.4600000001,12313.45,646188.7989999999,0.0,0.0,100498.67,0.0,100498.67,337869.2,6.0,-114340.22,2455.8700000000003,35694.57,152695.44999999998,256840.8,5549.78,14501.28,52266.11,106764.11,0.0,49253.82,36940.369,51478.8,308319.59900000005,36940.369,-2224.98,0.0,35694.57,365815.67,365815.67,193979.379,ESTEVE PELEGRI SL_resum
