Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,39534.97,897203.9500000001,1085074.23,60101.21,74561.08,2495801.26,4631.28,627787.41,50163.78,43023.01,93186.79,372472.78,1000260.19,410781.47,298918.82,6460.860000000001,40836.34,40787.4,3044411.44,12336.6,3044411.44,36728.28,4279.809,323684.34,45600.78,249535.48,2344852.37,16.0,-353127.68,28548.08,84814.039,350680.259,1058632.54,11924.740000000002,958442.13,39534.97,958442.13,0.0,6466.48,-5870.120000000001,43023.01,1131007.71,24397.3,-36556.53,30267.42,81838.08,1408758.57,1408758.57,426603.9,EXCLUSIVES TOT COLOR SA_resum
2000-01-01,20725.03,897203.9500000001,1132724.14,60101.21,75033.18000000001,2495801.26,4631.28,633707.02,41645.350000000006,84457.04,126102.389,341952.17,975659.19,435910.24,355990.35,777.9,38272.69,38257.61,3419167.26,16075.82,3419167.26,3150.049,907.15,283958.81,29348.93,226061.81,2598401.2,19.0,-353127.68,28548.07,157064.94999999998,375809.029,1058632.54,11924.740000000002,960047.67,20725.03,960047.67,0.0,47091.5,31015.68,84457.04,1131007.71,33387.83,-37365.54,2372.149,155791.1,1416682.95,1416682.95,485356.959,EXCLUSIVES TOT COLOR SA_resum
2001-01-01,21955.480000000003,897203.9500000001,1252456.77,60101.21,55531.09,2495801.26,4631.28,634364.51,41978.74,60005.59,101984.329,349595.09,983959.6,444049.53,404545.35,210.1,40836.03,40741.43,3193125.5,9706.76,3193125.5,3004.3500000000004,1295.3,268314.63,32292.3,207474.26,2405285.92,19.0,-353127.68,28548.07,268497.169,383948.32,1058632.54,11924.740000000002,1054766.39,21955.480000000003,1054766.39,0.0,20464.86,10758.1,60005.59,1131007.71,13552.35,-39540.73,2794.25,265840.58,1520771.4,1520771.4,510524.629,EXCLUSIVES TOT COLOR SA_resum
2002-01-01,37715.46,897203.9500000001,1712061.93,60101.21,77278.86,2495801.26,4631.28,997322.64,36242.63,93623.34,129865.97,358033.3,1355355.94,485085.76,450411.58,3757.6,36219.61,36219.61,3849651.25,22096.44,3849651.25,8290.1,1196.44,260546.06,40231.99,191750.6,3265346.81,18.0,-353127.68,28563.47,356705.98900000006,424984.55,1058632.54,11924.740000000002,1449806.77,37715.46,1449806.77,0.0,58600.17,36503.72899999999,93623.34,1131007.71,41036.23,-35023.17,4532.5,353571.94,1972607.99,1972607.99,586006.49,EXCLUSIVES TOT COLOR SA_resum
2003-01-01,36896.72,897203.9500000001,1646219.27,60101.21,70744.13,2495801.26,4631.28,1019594.18,35882.66,82109.82,117992.48,364360.7,1383954.88,519947.23,405617.21,0.0,33978.450000000004,33978.43,3513373.43,14966.8,3513373.43,0.0,1696.9,237724.15,37377.9,171782.78,2678742.32,23.0,-353127.68,28563.47,262264.39,459846.019,1058632.54,11924.740000000002,1327099.47,36896.72,1327099.47,0.0,49828.27,34861.47,82109.82,1131007.71,34861.47,-32281.55,0.0,260719.57,1883943.42,1883943.42,525306.57,EXCLUSIVES TOT COLOR SA_resum
2004-01-01,4542.52,897203.9500000001,1678124.89,90152.42,53057.86,2495801.26,4631.28,1154935.27,24447.15,68069.82,92516.97,359390.5,1514325.77,547205.3500000001,450216.54,0.0,29542.79,29542.79,3414304.31,12051.65,3414304.31,966.0,1169.33,232517.18,38155.13,165798.58,2587138.0,28.0,-353127.68,28563.47,163799.12,457052.93000000005,1058632.54,11924.740000000002,1358894.2,4542.52,1358894.2,0.0,39696.36,27644.71,68069.82,1131007.71,28610.71,-28373.460000000003,966.0,163087.3,1910642.07,1910642.07,544868.8400000001,EXCLUSIVES TOT COLOR SA_resum
2005-01-01,4133.29,897203.9500000001,1808351.98,90152.42,53163.93,2495801.26,4631.28,1146021.03,20069.71,74533.33,94603.04,310970.5,1456991.53,580299.57,490485.56,0.0,40080.53,40079.76,3547337.81,14236.0,3547337.81,12083.9,793.52,229858.92,43570.75,152616.1,2667219.6,18.0,-353127.68,33672.07,351360.45,490147.149,1058632.54,11924.740000000002,1453778.04,4133.29,1453778.04,0.0,35246.32,21010.32,74533.33,1131007.71,33094.219999999994,-39287.01,12083.9,350588.58,2038210.9,2038210.9,597965.25,EXCLUSIVES TOT COLOR SA_resum
2006-01-01,37704.78999999999,897203.9500000001,1735112.41,90152.42,47302.75,2495801.26,4631.28,1154959.6,40484.46,46328.5,86812.959,356190.5,1511150.1,587117.8600000001,660132.8500000001,0.0,42431.47,42426.89,4111911.99,2539.05,4111911.99,472.37,4987.94,241709.45,43786.94,164250.44,2978021.31,18.0,-353127.68,33672.07,223962.309,496965.44,1058632.54,11924.740000000002,1351999.21,37704.78999999999,1351999.21,0.0,8884.97,6345.919,46328.5,1131007.71,6818.29,-37443.53,472.37,219920.42,1976821.86,1976821.86,752401.539,EXCLUSIVES TOT COLOR SA_resum
2007-01-01,32154.53,897203.9500000001,1699834.6800000002,90152.42,66838.619,2495801.26,4631.28,1156479.71,47404.84,61523.37,108928.209,470481.0,1626960.71,606551.64,701155.26,36.39,47033.19,47031.48,4066021.52,5695.929999999999,4066021.52,3094.64,7581.28,255135.42,41511.94,179951.41,2877289.22,24.0,-353127.68,33672.07,72873.969,516399.22,1058632.54,11924.740000000002,1316263.93,32154.53,1316263.93,0.0,22071.460000000003,16375.529,61523.37,1131007.71,19433.78,-39451.91,3058.25,68832.08,1954970.1,1954970.1,820721.2889999999,EXCLUSIVES TOT COLOR SA_resum
2008-01-01,27149.41,897203.9500000001,1598459.38,90152.42,49331.32,2495801.26,4631.28,994988.68,29670.02,72375.17000000001,102045.19,516131.0,613915.73,627282.05,675834.8400000001,0.0,51146.99,51146.99,3626808.97,7396.25,3626808.97,0.0,5829.37,234090.13,2430.01,197988.05,2495801.26,19.0,-353127.68,33672.07,87339.7,537129.63,1058632.54,11924.740000000002,264358.08,39074.15,1166193.31,0.0,27057.55,19661.3,72375.17000000001,1131007.71,19661.3,-45317.619,0.0,87339.7,1832549.51,1832549.51,783709.4,EXCLUSIVES TOT COLOR SA_resum
