Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,27207.82,86719.08,69741.72,7212.150000000001,6189.150000000001,239738.04,0.0,2763.25,1686.94,5681.660000000001,5681.660000000001,66978.47,69741.72,20507.33,57553.84,0.0,1029.31,1029.31,156360.08,1395.71,156360.08,0.0,1.01,16723.367000000002,0.0,16723.367000000002,80170.87000000001,4.0,-77317.47,0.0,0.0,13295.18,272096.85,0.0,38749.94,27207.82,38749.94,0.0,4652.35,3256.64,5681.660000000001,300677.38,3256.64,-1029.31,0.0,3334.26,86465.09,86465.09,63235.499,FERNANDO MAQUEDA SL_resum
2000-01-01,27207.82,86719.08,93867.79,7212.150000000001,6189.150000000001,239738.04,0.0,23555.06,1686.94,4510.929999999999,4510.929999999999,66978.47,90533.53,22819.51,57654.83,0.0,1207.82,1207.82,197280.62,990.93,197280.62,0.0,1.01,16723.367000000002,0.0,16723.367000000002,123751.54,5.0,-77317.47,0.0,3334.259,15607.359,272096.85,0.0,60563.83,27207.82,60563.83,0.0,3303.11,2312.18,4510.929999999999,300677.38,2312.18,-1207.82,0.0,3334.26,110591.16,110591.16,62165.76,FERNANDO MAQUEDA SL_resum
2001-01-01,141400.12,86719.08,176966.78,7212.150000000001,6189.150000000001,239738.04,0.0,50108.33,1686.94,10154.81,11841.75,126858.45,176966.78,27321.72,65134.6,0.0,3723.09,3723.09,166230.78,1929.51,166230.78,0.0,1.01,15036.43,0.0,15036.43,68958.23999999999,5.0,-77317.47,0.0,0.0,20109.57,272096.85,0.0,23281.38,141400.12,23281.38,0.0,6431.72,4502.21,10154.81,300677.38,4502.21,-3723.09,0.0,9612.355714285713,192003.21,192003.21,76976.349,FERNANDO MAQUEDA SL_resum
2002-01-01,367893.68,86719.08,257781.9,7212.150000000001,6274.23,239738.04,0.0,173432.58,1919.73,13191.46,15111.189,82226.6,255659.18,31676.22,85592.07,0.0,6970.74,6970.74,301857.93000000005,1866.22,301857.93000000005,0.0,1.01,195007.42,13004.66,182002.76,181089.23,4.0,-77317.47,0.0,2122.72,24464.07,272096.85,0.0,53219.42,367893.68,53219.42,0.0,6220.72,4354.5,13191.46,300677.38,4354.5,-6970.74,0.0,15890.451428571429,452789.32,452789.32,100703.26,FERNANDO MAQUEDA SL_resum
2003-01-01,238018.46,86719.08,98902.16,7212.150000000001,14497.249000000002,239738.04,0.0,73542.78,10398.02,27804.94,38202.96,19120.33,92663.11,35775.450000000004,97446.68,0.0,21948.89,21948.89,307760.16,1756.82,307760.16,0.0,1.01,393389.62,63569.24,329820.38,148011.93,6.0,-77317.47,0.0,6239.05,28563.299,272096.85,0.0,218497.87,238018.46,218497.87,0.0,5856.05,4099.23,27804.94,300677.38,4099.229,-21948.89,0.0,22168.54714285714,492291.78,492291.78,135649.639,FERNANDO MAQUEDA SL_resum
2004-01-01,226026.24,86719.08,94372.98,7212.150000000001,16465.3995,239738.04,0.0,58027.810000000005,11914.635,30722.85,30722.85,30106.12,88133.93,40514.28,148109.11000000002,0.0,30722.85,23953.09,437075.05,2030.93,437075.05,0.0,1.01,396380.07,63569.24,332810.83,235385.54,7.25,-77317.47,0.0,6239.05,33302.12899999999,272096.85,0.0,224212.53,226026.24,224212.53,0.0,6501.1,-2030.93,30722.85,300677.38,-2030.93,-30722.85,0.0,28446.642857142855,490753.05,490753.05,172062.199,FERNANDO MAQUEDA SL_resum
2005-01-01,194329.44,86719.08,84647.67000000001,7212.150000000001,18433.55,239738.04,0.0,41151.93,13431.25,34788.13,48219.380000000005,38019.02,79170.95,45516.58,178125.28,0.0,27641.980000000003,27641.980000000003,572116.6,2143.8500000000004,572116.6,0.0,1.01,414298.9900000001,82763.90999999999,331535.08,300866.01,8.5,-77317.47,0.0,5476.72,38304.43,272096.85,0.0,259100.64,194329.44,259100.64,0.0,7146.150000000001,5002.299,34788.13,300677.38,5002.3,-27641.980000000003,0.0,34724.73857142857,498946.66,498946.66,226344.66,FERNANDO MAQUEDA SL_resum
2006-01-01,166880.58,86719.08,195396.62,7212.150000000001,-1021.229,239738.04,0.0,100455.93,9784.65,13209.44,22994.09,93620.0,194075.93,34710.7,223423.35,0.0,24015.32,24015.32,591814.02,1644.4100000000003,591814.02,0.0,1.01,411888.55,82763.90999999999,329124.64,296919.61,9.75,-77317.47,0.0,1320.6899999999998,27498.549,272096.85,0.0,405693.89,166880.58,405693.89,0.0,-10805.88,-10805.88,13209.44,300677.38,-10805.88,-24015.32,0.0,41002.834285714285,607285.1699999999,607285.1699999999,246417.44,FERNANDO MAQUEDA SL_resum
2007-01-01,252790.06,86719.08,215308.52,7212.150000000001,41736.18,239738.04,0.0,76160.785,27495.38,39871.42,67366.8,166706.9,166706.9,148951.5,223868.79,2994.069,21492.59,21492.59,664348.4600000001,1144.97,664348.4600000001,0.0,1.01,401804.94,92238.79,309566.15,279328.75,11.0,-77317.47,0.0,48601.619,141739.34999999998,272096.85,0.0,215371.9,252790.06,215371.9,0.0,18379.84,17234.87,39871.42,300677.38,14240.8,-21491.58,-2994.069,47280.93,617113.4600000001,617113.4600000001,288242.53,FERNANDO MAQUEDA SL_resum
2008-01-01,271717.68,86719.08,169885.54,7212.150000000001,32500.13,239738.04,7999.51,51865.64,21845.705,28580.53,28580.53,112103.05,77249.61,139626.64,194779.38,0.0,19309.3,18974.54,540415.42,2558.38,540415.42,0.0,962.29,411558.42,0.0,411558.42,232060.53,8.0,-77317.47,0.0,5916.85,132414.49,272096.85,0.0,75381.05,271717.68,170099.64,0.0,10233.52,7675.14,28580.53,300677.38,7675.14,-18347.01,0.0,5916.85,581443.9600000001,581443.9600000001,223987.44,FERNANDO MAQUEDA SL_resum
