Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,1202.02,673358.1,1598436.87,342576.9,142277.979,3382457.51,462578.92,460586.95,32751.19,121255.92,154007.11000000002,652979.99,1113566.94,1158219.39,598249.06,0.0,31747.45,31747.45,5042488.649999999,58975.96,5042699.0,0.0,78994.27,600919.2,4365.7,389174.7,3969747.69,40.0,-503477.3,211744.499,484869.93000000005,815642.489,1418205.92,0.0,1041136.69,1202.02,1041136.69,0.0,168502.75,109526.79,121255.92,1491717.78,109526.79,47246.82,0.0,481754.65,2199356.07,2199356.07,831250.4500000001,FERRETERIES CATALONIA SA_resum
2000-01-01,1202.02,673358.1,1768944.35,342576.9,191200.03,3382457.51,462578.92,495866.44,29630.86,202171.67,231802.53,781361.11,1277227.55,1319788.56,503174.02,0.0,39493.65,39493.65,5562384.91,86998.79,5562384.91,0.0,85889.93,737284.24,4365.7,432224.25,4457518.39,40.0,-503477.3,300694.29000000004,491716.8,977211.66,1418205.92,0.0,1186440.04,1202.02,1186440.04,0.0,248567.96,161569.169,202171.67,1491717.78,161569.17,46396.28,0.0,491716.81,2506228.59,2506228.59,820866.49,FERRETERIES CATALONIA SA_resum
2001-01-01,1202.02,673358.1,1434667.26,342576.9,190082.05,3382457.51,462578.92,299318.35,23954.79,201610.61,225565.4,571967.37,871285.72,1485915.82,647583.8400000001,0.0,45455.59,45455.59,6582805.25,89453.15000000001,6582805.25,0.0,99425.39,936587.81,4365.7,427183.71,5259610.85,40.0,-503477.3,505038.4,563381.54,1143338.92,1418205.92,0.0,885339.25,1202.02,885339.25,0.0,255580.41,166127.26,201610.61,1491717.78,166127.26,53969.8,0.0,563381.54,2371255.07,2371255.07,972574.63,FERRETERIES CATALONIA SA_resum
2002-01-01,1202.02,673358.1,1078069.66,342576.9,129266.05,3382457.51,462578.92,839695.69,11977.39,114792.53,126769.92,90992.51,930688.2,1603204.45,721138.51,0.0,32515.22,32515.22,6773471.57,63155.43,6773471.57,0.0,98166.78,1287515.46,4365.7,197540.73,5486667.89,40.0,-503477.3,1085609.03,147381.45899999997,1260627.549,1418205.92,0.0,762380.6699999999,1202.02,762380.6699999999,0.0,180444.09,117288.66,114792.53,1491717.78,117288.66,65651.56,0.0,147381.46,2365585.12,2365585.12,946075.21,FERRETERIES CATALONIA SA_resum
2003-01-01,1202.02,673358.1,924959.5,342576.89,143899.16,3382457.51,462578.92,636526.75,33720.7,88862.45,122583.15,145647.25,782174.0,1713382.91,597381.03,0.0,13900.51,13900.51,4843817.84,59326.86,4843817.84,0.0,94543.38,1460323.38,4365.7,251348.65,3826063.05,40.0,-503477.3,1204609.03,142785.5,1370806.02,1418205.92,0.0,671899.97,1202.02,671899.97,0.0,169505.31999999998,110178.46,88862.45,1491717.78,110178.46,80642.87000000001,0.0,142785.5,2385282.88,2385282.88,814507.56,FERRETERIES CATALONIA SA_resum
2004-01-01,1202.02,673358.1,740798.73,342576.89,166299.65,3382457.51,462578.92,298500.5,43088.71,108090.56,151179.27000000002,265485.59900000005,563986.098,1836593.85,563309.14,0.0,11790.45,11790.45,4862913.6,66344.35,4862913.6,0.0,93255.18,1368499.4,4365.7,294524.67,3778309.06,40.0,-503477.3,1069609.03,176812.631,1494016.96,1418205.92,0.0,272704.28,1202.02,272704.28,0.0,189555.29,123210.94,108090.56,1491717.78,123210.94,81464.73,0.0,176812.63,2109298.13,2109298.13,807743.59,FERRETERIES CATALONIA SA_resum
2005-01-01,1202.02,673358.1,816904.54,342576.89,174536.479,3382457.51,462578.92,416266.76,44333.19,121235.86,165569.05,500325.8,500325.8,1966797.14,572315.16,0.0,12861.17,12861.17,5174127.859999999,60863.12,5174127.859999999,2235.0,80456.72,1333328.01,4365.7,424638.85,4056962.17,40.0,-503477.3,904323.46,316578.74,1624220.25,1418205.92,0.0,183435.41,1202.02,183435.41,0.0,188831.41,127968.29,121235.86,1491717.78,130203.29,67595.55,2235.0,316578.74,2150232.55,2150232.55,820575.93,FERRETERIES CATALONIA SA_resum
2006-01-01,1202.02,673358.1,1426070.25,342576.89,237831.69,3382457.51,462578.92,534033.02,90365.08,157096.51,247461.59,509477.95,1043510.97,2114263.75,572761.8200000001,0.0,18448.56,18448.56,5649125.319999999,70158.76,5649125.319999999,0.0,78977.42,1341622.09,4365.7,378458.16,4455746.56,40.0,-503477.3,958798.23,382559.28,1771686.8590000002,1418205.92,0.0,653428.59,1202.02,653428.59,0.0,217625.37,147466.61000000002,157096.51,1491717.78,147466.61000000002,60528.86,0.0,382559.28,2767692.34,2767692.34,899200.8300000001,FERRETERIES CATALONIA SA_resum
2007-01-01,1202.02,673358.1,1326973.96,342576.89,232280.31,3382457.51,462578.92,966615.25,106812.72,112706.72,219519.44,1230354.87,1230354.87,2239731.34,711539.2,0.0,28271.88,28271.88,5439793.49,45185.93,5439793.49,9401.0,76817.68000000001,1368420.1,4365.7,354655.16,3986285.01,40.0,-503477.3,1009399.24,96619.089,1897154.449,1418205.92,0.0,455662.72,1202.02,455662.72,0.0,161252.52,116066.59,112706.72,1491717.78,125467.59,48545.8,9401.0,96619.09,2695394.06,2695394.06,1017277.32,FERRETERIES CATALONIA SA_resum
2008-01-01,1202.02,673358.1,2831555.05,342576.89,149732.5,3382457.51,462578.92,1399197.48,87261.23,73511.86,160773.09,1270900.62,1996740.0,2302139.91,827467.39,0.0,25874.53,25874.53,4874175.29,20823.76,4874175.29,0.0,35657.7,1022031.11,4079.346,283631.86,3382457.51,40.0,-503477.3,738399.25,161456.94999999998,1959563.02,1418205.92,0.0,414307.209,1202.02,1550244.23,0.0,83295.03,62471.27,73511.86,1491717.78,62471.27,9783.169,0.0,161456.94999999998,3853586.16,3853586.16,1023898.18,FERRETERIES CATALONIA SA_resum
2009-01-01,1202.02,773834.38,3232623.86,342576.89,82906.82100000001,2544108.86,524575.61,2108841.2,70527.0,14522.19,85049.19,955015.58,2290022.4,2314519.73,730433.2,0.0,13036.99,13036.99,3752727.02,4126.609,3752727.02,0.0,15021.23,1047029.34,3792.9919999999997,213104.86,2544108.86,40.0,-393135.77,833924.48,168767.08,1971942.84,1194095.97,0.0,665521.4600000001,1202.02,1963931.45,0.0,16506.43,12379.821,14522.19,1208618.16,12379.821,1984.239,0.0,168767.08,4279653.2,4279653.2,830503.62,FERRETERIES CATALONIA SA_resum
2010-01-01,1202.02,488462.64,2655794.63,342576.89,77293.82,2617517.32,521612.39,2015273.45,63995.0,8053.52,72048.52,584282.9,2111093.71,2327818.55,685963.3200000001,0.0,10929.08,10929.08,3744067.34,5699.49,3744067.34,0.0,21873.87,1038893.34,3506.638,161168.86,2617517.32,38.0,-368538.18,877724.48,56238.28,1985241.66,1118496.5,0.0,355592.37,1202.02,1365667.4,0.0,18998.31,13298.82,8053.52,1126550.02,13298.82,10944.789,0.0,56238.28,3694687.97,3694687.97,779885.71,FERRETERIES CATALONIA SA_resum
2011-01-01,1202.02,587776.3,3207489.36,342576.89,93921.54,2550419.1,353298.67,2260036.05,52168.45,52728.32,104896.769,648588.72,2320848.469,2344476.4,704785.8600000001,0.0,11641.33,11641.33,3680390.2,17894.18,3680390.2,0.0,18560.28,211629.34,3220.2839999999997,113904.86,2550419.1,38.0,-320288.47000000003,97724.48,298864.58900000004,2001899.51,1077242.78,0.0,132365.31,1202.02,1073440.28,0.0,59647.27,41753.09,52728.32,1129971.1,41753.09,6918.949,0.0,296122.98000000004,3419118.7,3419118.7,828242.909,FERRETERIES CATALONIA SA_resum
2012-01-01,1202.02,304576.17,2649950.99,342576.89,50492.87,2332114.27,89.02,2107427.89,24696.91,2790.69,27487.6,400165.85,2203017.57,2370272.36,751453.22,0.0,0.0,9158.21,3495232.31,11055.41,3495232.31,0.0,34060.68,206179.34,2933.93,108454.86,2332114.27,38.0,-384177.22,97724.48,142357.25,2027695.47,1160327.3490000002,0.0,179990.76,1202.02,484655.95,0.0,36851.37,25795.960000000003,2790.69,1163118.04,25795.960000000003,34060.68,0.0,137497.41999999998,2856130.33,2856130.33,813001.5,FERRETERIES CATALONIA SA_resum
2013-01-01,1202.02,449389.12,2767094.22,342576.89,73068.85,2511730.14,8721.0,1799026.4,44647.46,9192.95,53840.41,741643.8500000001,2091281.13,2398693.75,770412.6,0.0,0.0,6675.089999999999,3727483.7,12180.59,3728296.96,0.0,31409.03,248629.43,2647.576,142908.86,2511730.14,33.0,-392313.81,105720.569,226423.97,2056116.859,1207373.8690000002,0.0,157717.76,1202.02,615827.88,0.0,40601.98,28421.39,9192.95,1216566.819,28421.39,31409.03,0.0,222216.68,3015723.65,3015723.65,855662.039,FERRETERIES CATALONIA SA_resum
2014-01-01,1202.02,741688.49,3157679.65,342576.89,82198.23,2783361.09,33921.8,1867347.77,28553.52,61625.43,90178.95,940717.92,2066377.2,2452338.46,760178.03,0.0,4191.969999999999,4191.969999999999,4111227.42,22990.58,4111243.969,0.0,19201.83,239459.25,2361.2219999999998,131168.85899999997,2783361.09,31.0,-477525.9,108290.39,349613.96,2109761.57,1266257.45,0.0,167988.13,1202.02,943598.42,0.0,76635.29,53644.709,61625.43,1327882.88,53644.709,15009.86,0.0,346682.89,3397138.9,3397138.9,869558.81,FERRETERIES CATALONIA SA_resum
2015-01-01,1202.02,697364.19,3301719.84,342576.89,151603.22,3723855.41,9240.05,2195034.91,31238.4,155122.26,186360.66,766367.9,2264038.62,2572703.27,765656.06,0.0,4395.83,4395.83,5157568.24,44722.350000000006,5158064.119999999,0.0,14360.740000000002,219395.66,2074.868,112161.86,3723855.41,36.0,-482191.9900000001,107233.799,340317.03,2230126.38,1279086.45,0.0,240605.97,1202.02,947210.21,0.0,165087.17,120364.82,155122.26,1434208.71,120364.82,9964.91,0.0,340317.03,3521115.5,3521115.5,966377.46,FERRETERIES CATALONIA SA_resum
2016-01-01,1202.02,838138.2799999999,3648011.03,342576.89,236859.669,3982309.61,41066.13,2391121.2,32422.74,259894.65,292317.39,744871.13,2297854.05,2777140.2,925857.4,0.0,3040.77,3040.77,5700358.45,64312.28999999999,5700358.45,0.0,11895.34,226044.07,1788.5140000000001,119866.86,3982309.61,35.0,-499874.05,106177.209,512018.7,2434563.31,1458154.1900000002,0.0,216508.47,1202.02,1095712.88,0.0,268749.22000000003,204436.929,259894.65,1718048.84,204436.929,8854.57,0.0,512018.7,3874055.1,3874055.1,1230070.13,FERRETERIES CATALONIA SA_resum
2017-01-01,1202.02,498480.38,3784664.81,342576.89,338149.27900000004,3927256.69,171039.25,2678585.05,36339.310000000005,376153.19,412492.5,603157.4500000001,2783262.12,3078950.17,1062828.51,0.0,3458.55,3458.55,5866350.819999999,94172.09,5866350.819999999,0.0,23287.42,254967.48,1502.16,148344.7,3927256.69,38.0,-463773.12,105120.62,502922.31,2736373.2800000003,1562940.94,0.0,289960.47000000003,1202.02,959480.1,0.0,395982.06,301809.97000000003,376153.19,1939094.13,301809.97000000003,19828.87,0.0,502922.31,4039632.29,4039632.29,1498608.43,FERRETERIES CATALONIA SA_resum
2018-01-01,1202.02,746440.25,4527533.859999999,342576.89,1046025.34,3055812.24,639.48,1947143.37,34434.51,1327713.89,1362148.4,1364457.97,2565161.09,4090541.0,1203591.62,0.0,0.0,3878.896666666667,6168200.89,327779.73000000004,6168200.89,0.0,11656.67,864405.89,1635.16,167706.7,2718187.98,41.0,-546648.63,695064.03,1215932.52,3747964.11,1784674.76,0.0,553117.0,1202.02,1300196.73,0.0,1339370.56,1011590.83,1327713.89,3112388.65,1011590.83,11656.67,0.0,1215932.52,5391939.75,5391939.75,2577396.69,FERRETERIES CATALONIA SA_resum
2019-01-01,1202.02,635982.64,4870002.01,342576.89,344119.49000000005,4009055.02,584444.3300000001,2192332.75,36226.54,378298.29,414524.829,1466726.43,3023076.539,4398433.95,1312188.72,0.0,0.0,4299.243333333334,6195671.470000001,89501.89,6195671.470000001,0.0,19096.55,893126.3,1635.16,197483.7,4009055.02,38.0,-459902.9,694007.4400000001,1210942.83,4055857.06,1808318.16,0.0,143065.37,1202.02,1363492.34,0.0,397394.84,307892.95,378298.29,2186616.449,307892.95,19096.55,0.0,1210942.83,5763128.31,5763128.31,1745810.1,FERRETERIES CATALONIA SA_resum
2020-01-01,1202.02,1157223.6,4600728.45,342576.9,280694.78,3647461.63,174012.11000000002,2028817.54,37483.71,315881.69,353365.4,1843712.11,2715306.05,4026057.25,1315076.07,0.0,4719.59,4719.59,5865440.78,94691.8,5865440.78,0.0,26740.77,875185.41,1635.16,177708.7,3647461.63,20.0,-549537.6799999999,695841.55,728198.8,3683480.349,1902097.46,0.0,117418.88,1202.02,1448654.59,0.0,337902.87,243211.07,315881.69,2217979.15,243211.07,22021.18,0.0,728198.8,5475913.859999999,5475913.859999999,1695182.24,FERRETERIES CATALONIA SA_resum
