Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,300000.0,1481127.85,9946081.41,378637.63,1523182.3,7729951.75,1175146.55,6912878.78,796187.52,910511.18,1706698.7,2274864.46,7706615.39,11711001.76,9196416.07,17795.41,26376.039,21925.76,20563852.92,311348.44,20578281.86,137130.14,34873.36,5588917.45,12769.45,5576148.0,6556695.470000001,329.0,-6407612.37,0.0,758338.169,11332364.129,18478500.1,85430.32,1167722.6990000005,85430.32,3823997.1,85430.32,919008.49,607660.05,910511.18,20379371.25,726994.7799999999,8497.31,119334.73,758338.16,15534998.86,15534998.86,11052872.57,"FIBRAN, SA_resum"
2000-01-01,300000.0,2015347.11,10256909.37,378637.63,1781174.1900000002,7729951.75,240374.19,7234157.52,802165.01,1367802.7,2169967.71,2188819.7800000003,7407630.188999999,12354656.13,9461139.41,13405.03,15103.75,13417.08,21911974.18,418394.22,22118959.97,15794.78,42314.7,5775225.21,11266.92,5763958.29,6922476.24,329.0,-6407612.37,0.0,833932.07,11976018.5,18478500.1,85430.32,1421757.15,85430.32,3677478.45,85430.32,1395013.65,976619.429,1367802.7,20379371.25,979009.18,27210.94,2389.75,833932.07,16032134.58,16032134.58,11674124.9,"FIBRAN, SA_resum"
2001-01-01,300000.0,1900544.83,10471685.34,378000.0,1561112.41,7729951.75,413529.98,6897866.38,820630.51,927802.61,1748433.12,2858894.04,7856215.59,12761936.93,9112970.93,25962.58,4272.6900000000005,3432.4700000000003,20661136.93,272444.74,20662904.21,67317.02,48042.28,6323375.319999999,15757.07,6307618.25,6680277.2700000005,319.0,-6407612.37,0.0,714924.919,12383936.93,18478500.1,85430.32,1633618.6,85430.32,3947693.41,85430.32,971572.2,699127.4600000001,927802.61,20379371.25,740481.9,43769.59,41354.44,714924.92,16795060.66,16795060.66,10949960.55,"FIBRAN, SA_resum"
2002-01-01,300000.0,1726257.08,9997792.37,378000.0,1604564.72,7729951.75,1226715.83,6549221.3,914253.52,798658.4,1712911.92,3071139.27,7894103.49,13119608.13,9237779.76,0.0,1170.28,13972.345000000001,20274141.54,225755.33,20369486.869,75030.84,43547.57,7825513.609999999,12097.54,7813113.07,5942478.49,316.0,-6407612.37,303.0,377431.79900000006,12741608.13,18478500.1,108344.25600000001,1450724.939,300000.0,4403697.85,108344.25600000001,841035.69,615280.3600000001,798658.4,20379371.25,690311.2,42377.28999999999,75030.84,356653.68,17823305.979999997,17823305.979999997,11068099.809,"FIBRAN, SA_resum"
2003-01-01,353161.82,2404154.42,9398432.52,378000.0,1688783.56,7729951.75,216154.0,5949515.09,1049912.04,874110.38,1924022.42,3030598.27,6575958.939,13425839.65,9330052.07,52985.87,25975.31,24512.22,21735526.48,245942.32,21772077.88,70567.02,19097.62,8533804.618999999,8438.01,8525063.606999999,6475443.31,313.0,-6407612.37,303.001,418319.16,13047839.65,18478500.1,131258.192,1532927.25,353161.82,4153235.67,131258.192,867232.69,621290.3690000001,874110.38,20379371.25,638871.52,-6877.6900000000005,17581.149999999998,415519.16,17932237.14,17932237.14,11289290.17,"FIBRAN, SA_resum"
2004-01-01,803047.57,2107825.77,11165356.92,378000.0,1400657.64,7729951.75,3043734.76,6887517.96,1082328.62,356643.77,1438972.39,3673982.59,8453674.78,13411528.67,9270128.91,0.0,57829.49,57829.49,20734193.06,70542.6,20753261.36,70567.02,19490.32,13102647.33,3535984.37,9564159.96,5994624.21,315.0,-6407612.37,2503.0,603856.37,13033528.67,18478500.1,154172.128,4901867.48,803047.57,10053428.01,154172.128,318304.6,247761.999,356643.77,20379371.25,318329.02,-38339.17,70567.02,545765.4600000001,24268004.25,24268004.25,10799158.639,"FIBRAN, SA_resum"
2005-01-01,641107.4600000001,3537372.87,12924193.86,378000.0,1288016.29,7729951.75,3895881.92,8580320.869,1333480.54,-424812.47,908668.07,3808699.7,8851647.699,13199744.42,9553630.09,3209.65,132355.84999999998,131315.12,22571072.37,-402555.55,22826232.01,70567.02,41791.15,13522198.69,3901485.41,9618210.28,6376903.5,307.0,-6407612.37,2503.0,535173.2899999999,12821744.42,18478500.1,177086.064,5172285.88,641107.4600000001,12605540.67,177086.064,-515377.17,-112821.62,-424812.47,20379371.25,-45464.25,-90564.7,67357.37000000001,510114.75,26446392.55,26446392.55,10570405.949,"FIBRAN, SA_resum"
2006-01-01,2030617.42,3125573.4,14093791.479,378000.0,2973433.05,7729951.75,3399283.5,10047479.86,1594465.87,1909410.77,3503876.64,3576365.55,10498272.01,14412391.59,10400405.9,200000.0,194276.99,194027.63,27857253.12,281040.58,27858295.29,93854.209,51019.77,14475093.0,3900843.11,9513504.37,8267849.4,290.0,-6407612.37,1060745.52,469946.07,14034391.59,18478500.1,200000.0,5401018.57,2230617.42,11925875.47,200000.0,1766153.55,1485112.97,1909410.77,20379371.25,1378967.1800000002,-143257.22,-106145.79,427002.53,28568884.48,28568884.48,13848907.16,"FIBRAN, SA_resum"
2007-01-01,1683390.95,2949012.81,14744174.69,378000.0,3837835.68,7729951.75,1899649.5,9860875.2,1610600.83,3350558.87,4961159.7,4242139.808999999,11154002.199,16306986.44,10705931.239999998,10622.0,213165.36,213165.36,29482130.97,1048566.95,29518601.619000003,73001.73999999999,76028.55,13755125.19,3571041.86,8793337.81,7831914.659999999,279.0,-6407612.37,1390745.519,641159.6799999999,15928986.44,18478500.1,884074.1799999999,4776186.0,2567465.13,9624848.31,884074.1799999999,3213422.06,2164855.11,3350558.87,20379371.25,2227234.85,-137136.81,62379.74,617992.02,28499299.88,28499299.88,15805499.228999998,"FIBRAN, SA_resum"
2008-01-01,1949758.98,2820300.1,14670935.35,378000.0,3067489.79,7729951.75,2448177.5,9801101.79,1843037.89,1900871.15,3743909.04,4143935.85,11124737.54,16669873.46,10227849.84,0.0,214435.68,214051.84,27826574.29,519550.43000000005,28109323.0,0.0,57566.86,12265874.33,2607800.35,8506758.3,7806892.75,275.0,-6407612.37,1151315.6800000002,725897.71,16291873.46,18478500.1,692653.3,2356046.34,2642412.2800000003,7624523.94,600000.0,1744002.33,1224451.9,1900871.15,20379371.25,1224451.9,-156868.81999999998,0.0,560897.71,26936809.68,26936809.68,14028941.9,"FIBRAN, SA_resum"
2009-01-01,1204921.43,2452060.97,14314570.89,378000.0,2859718.84,6932531.87,1593842.6,8230682.64,1805282.22,1591481.38,3396763.599,4422056.75,10200678.42,17339224.85,8989462.33,0.0,123145.32,123145.32,26126114.51,458907.65,26279189.48,0.0,45008.21,11104959.67,2202841.54,7841372.6,7301786.87,264.0,-6960431.68,1060745.53,1661831.5,16961224.849,17755176.229,1020277.5,1809203.21,2225198.93,5855106.78,900000.0,1513344.27,1054436.62,1591481.38,19346657.610000003,1054436.62,-78137.11,0.0,1578262.03,25419530.56,25419530.56,12431234.14,"FIBRAN, SA_resum"
2010-01-01,849310.73,2628818.08,14643182.51,378000.0,3878408.149,9103958.049,514163.399,9622740.19,1719751.89,3045440.47,4765192.359999999,4130100.76,11124022.87,19000394.49,9353840.29,0.0,44726.810000000005,40433.87,29922194.71,905938.28,30100924.5,0.0,63880.880000000005,11200776.59,1797882.73,8342148.33,8828017.950000001,271.0,-6877933.8,1060745.53,890341.56,18622394.49,17951525.979999997,1008452.96,1842819.44,1857763.69,4985800.92,765398.01,3064594.54,2158656.26,3045440.47,20996966.45,2158656.26,19154.069,0.0,875774.81,25843959.1,25843959.1,14178620.589,"FIBRAN, SA_resum"
2011-01-01,727065.58,3749913.01,15477065.31,378000.0,3607460.54,10176366.73,295018.18,8708233.18,1590511.6700000002,2764442.68,4354954.35,4085744.99,9044065.16,18658753.67,9750370.97,0.0,18067.93,17862.84,32152642.72,840661.98,32635945.08,0.0,111236.1,11152740.93,1459383.6900000002,8631433.360000001,9833078.73,280.0,-8354253.03,1061923.88,2683087.139,18280753.67,19695135.67,1477802.8,1721253.0,2204868.38,5766184.19,1204931.27,2857610.85,2016948.87,2764442.68,22459578.349,2016948.87,93168.17,0.0,1460241.5,26629806.24,26629806.24,14216356.33,"FIBRAN, SA_resum"
2012-01-01,695073.24,2403502.3,14522968.81,378000.0,3697860.51,12818432.28,253499.82,9597455.37,1646376.24,2805827.16,4452203.4,4174602.09,11368555.16,18799937.38,10348262.88,0.0,11067.05,11067.05,34701383.8,855778.7,35028424.33,0.0,112502.86,11277781.14,1205956.48,9009900.78,12873838.38,302.0,-7409525.77,1061923.88,750911.3500000001,18421937.379,19404164.89,1231545.34,2417191.87,1926618.58,5074193.99,868931.2699999999,2907262.97,2051484.27,2805827.16,22209992.049,2051484.27,101435.81,0.0,729324.7,25800749.95,25800749.95,14912969.14,"FIBRAN, SA_resum"
