Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,35400.59,272847.08,176463.27000000002,30050.61,20983.8,767242.81,49684.6,60568.49,13840.34,21391.78,35232.119,114748.7,175317.19,41310.65,319428.34,0.0,11620.62,11620.62,681197.25,2627.7,681197.25,0.0,0.0,126018.79,31577.52,92932.73,209201.7,55.0,-361730.74,1508.539,1146.079,11260.04,918979.38,0.0,225770.83,35400.59,225770.83,0.0,9771.16,7143.46,21391.78,967788.649,7143.46,-11620.62,0.0,0.0,302482.07,302482.07,354660.46,FILICOR SOCIEDAD LIMITADA_resum
2000-01-01,17332.8,272847.08,171994.13,30050.61,20379.55,767242.81,49684.6,58048.5,17957.920000000002,22889.84,40847.759,113651.79,171700.289,43732.28,337235.25,0.0,19430.37,19430.37,735465.07,1037.848,735465.07,0.0,0.0,111769.12,26381.26,83879.32,236536.4,28.0,-361730.74,1508.539,293.84000000000003,13681.669,918979.38,0.0,222698.18,17332.8,222698.18,0.0,3459.4700000000003,2421.622,22889.84,967788.649,2421.63,-19430.37,0.0,0.0,283763.26,283763.26,378083.018,FILICOR SOCIEDAD LIMITADA_resum
2001-01-01,1235.65,272847.08,163125.91999999998,30050.61,24505.28,767242.81,49684.6,24680.52,17957.920000000002,30183.53,48141.45,138445.4,163125.919,50279.64,294982.87,0.0,20830.15,20830.15,620969.64,2806.02,623854.5,0.0,0.0,93919.38,2305.4100000000003,89997.25,160320.04,24.0,-361730.74,1616.72,0.0,20229.03,918979.38,0.0,205530.01,1235.65,205530.01,0.0,9353.38,6547.359,30183.53,967788.649,6547.360000000001,-20830.15,0.0,0.0,257045.3,257045.3,343124.32,FILICOR SOCIEDAD LIMITADA_resum
2002-01-01,5132.52,272847.08,234199.67,30050.61,23375.92,767242.81,49684.6,39244.32,20958.99,20423.73,41382.72,194955.35,234199.67,52696.58,389592.73,0.0,16970.980000000003,16970.980000000003,739202.6699999999,1035.819,745994.1,0.0,0.0,78098.90999999999,0.0,76476.18000000001,164639.03,29.0,-361730.74,1622.73,0.0,22645.97,918979.38,0.0,254469.48,5132.52,254469.48,0.0,3452.75,2416.9310000000005,20423.73,967788.649,2416.9300000000003,-16970.980000000003,0.0,0.0,312298.58,312298.58,430975.448,FILICOR SOCIEDAD LIMITADA_resum
2003-01-01,39872.5,272847.08,275547.85,30050.61,16341.04,767242.81,49684.6,82745.1,16159.84,-36678.63,-20518.789,192802.75,275547.85,52877.78,428117.38,154341.11000000002,18936.12,18936.12,792671.39,77.66,792671.39,210214.72,0.0,63441.27,0.0,61818.54,234178.96,29.0,-361730.74,1622.729,0.0,22827.17,918979.38,0.0,246238.84,39872.5,246238.84,0.0,-55614.75,-55692.41,-36678.63,967788.649,181.2,-18936.12,55873.61,0.0,338989.12,338989.12,463472.2,FILICOR SOCIEDAD LIMITADA_resum
2004-01-01,162782.96,272847.08,332422.11,30050.61,35014.340000000004,767242.81,49684.6,118429.38,33901.92,47495.32,81397.239,208301.06,326730.44,53990.2,425229.7,24187.12,21719.03,21719.03,962663.57,476.75,962663.57,0.0,0.0,172660.97,120027.28,51010.96,306719.2,27.0,-361730.74,1622.73,5691.669000000001,23939.589,918979.38,0.0,288309.92000000004,162782.96,288309.92000000004,0.0,25776.29,25299.54,47495.32,967788.649,1112.42,-21719.03,-24187.12,0.0,505083.08,505083.08,482439.819,FILICOR SOCIEDAD LIMITADA_resum
2005-01-01,219003.81,272847.08,315801.35,30050.61,34102.89,767242.81,49684.6,98964.23,30803.18,27135.83,57939.01,213493.87,312458.1,57289.91,422983.43000000005,15000.0,27474.25,27474.25,857468.57,1414.16,857468.57,20052.29,0.0,141857.79,101700.78,38534.28,217197.22,29.0,-361730.74,1622.73,3343.249,27239.3,918979.38,0.0,181365.42,219003.81,181365.42,0.0,-338.42,-1752.58,27135.83,967788.649,3299.71,-27474.25,5052.29,0.0,457659.14,457659.14,485974.73,FILICOR SOCIEDAD LIMITADA_resum
2006-01-01,262837.41900000005,272847.08,376361.0,30050.61,20827.95,767242.81,49684.6,176941.615,20061.460000000003,47174.96,67236.42,311618.97000000003,311618.97000000003,58056.4,387936.85,15000.0,31054.87,31054.87,762443.39,353.6,763885.8200000001,0.0,0.0,121796.33,87744.12000000001,32429.480000000003,132467.95899999997,24.0,-361730.74,1622.73,64742.03,28005.79,918979.38,0.0,177263.51,262837.41900000005,177263.51,0.0,16120.09,15766.49,47174.96,967788.649,766.49,-31054.87,-15000.0,63141.3,498157.33,498157.33,440173.27,FILICOR SOCIEDAD LIMITADA_resum
2007-01-01,148499.21000000002,272847.08,532978.8,30050.61,26751.67,767242.81,49684.6,254919.0,20912.47,42474.27,63386.74,277575.67,532494.669,63954.18,515045.51,450.66,34238.02,34238.02,1774896.46,1946.39,1774896.46,0.0,0.0,100883.86,73787.45999999999,25473.67,909774.44,32.0,-361730.74,1622.729,484.13,33903.57,918979.38,0.0,421409.27,148499.21000000002,421409.27,0.0,8236.25,6289.860000000001,42474.27,967788.649,5839.2,-34238.02,-450.66,0.0,633862.66,633862.66,577981.59,FILICOR SOCIEDAD LIMITADA_resum
2008-01-01,141243.21000000002,272847.08,593229.81,30050.61,16461.21,767242.81,49684.6,274548.96,10906.35,48809.27,59715.619,318680.85,320382.73000000004,69509.04,546342.2899999999,0.0,41402.78999999999,41402.78999999999,1735031.46,1851.62,1735031.46,0.0,0.0,223228.23,0.0,218205.5,767242.81,34.0,-361730.74,5022.73,7721.765,39458.43,918979.38,0.0,283174.11,141243.21000000002,605705.7899999999,0.0,7406.48,5554.860000000001,48809.27,967788.649,5554.860000000001,-41402.78999999999,0.0,0.0,816458.04,816458.04,606057.91,FILICOR SOCIEDAD LIMITADA_resum
