Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,17729.86,279625.63,100819.59,1526991.45,106157.08,0.0,0.0,6862.74,96596.34,9619.09,106215.43,0.0,6862.74,2407731.4,28342.18,0.0,65.9,65.9,211183.21,3185.65,211664.02,0.0,7.55,2720377.05,10354.6,2710022.45,0.0,2.0,-512939.05,0.0,93956.849,880739.9500000001,797284.6789999999,0.0,395735.39,17729.86,395735.39,0.0,9560.740000000002,9560.740000000002,9619.09,915286.17,9560.740000000002,-58.35,0.0,93956.85,2821196.64,2821196.64,134565.16,FIQUART SL_resum
2000-01-01,17729.86,279625.63,145577.04,1568069.1,123588.15,0.0,0.0,2624.13,109053.5,10854.93,119908.43,0.0,2624.13,2494387.01,28861.47,0.0,81.08,81.08,243212.39,3185.65,243212.39,0.0,3760.8,2715250.93,10364.06,2704886.88,0.0,2.0,-512939.05,-0.009,142952.91,926317.909,797284.6789999999,0.0,348711.11,17729.86,348711.11,0.0,14534.65,14534.65,10854.93,915286.17,14534.65,3679.72,0.0,142952.91999999998,2860827.98,2860827.98,152530.699,FIQUART SL_resum
2001-01-01,440343.82,279625.63,169898.94999999998,1568069.1,133363.58,0.0,0.0,42114.42999999999,123914.97,26982.64,150897.61000000002,0.0,42114.42999999999,2503835.63,31111.15,0.0,17122.89,17122.89,262860.28900000005,3185.65,262860.28900000005,0.0,2774.51,3098642.3,6864.160000000001,3091778.14,0.0,2.0,-512939.05,0.0,169898.94999999998,935766.529,797284.6789999999,0.0,324361.8,440343.82,324361.8,0.0,12634.26,9448.61,26982.64,915286.17,9448.61,-14348.38,0.0,169898.94999999998,3268541.25,3268541.25,184783.27,FIQUART SL_resum
2002-01-01,393631.28,279625.63,155298.59,1568069.1,143612.19,0.0,0.0,81604.73,128888.23,26211.78,155100.01,0.0,81604.73,2518559.59,31912.05,1029.1799999999998,26458.22,26458.22,274071.25,-13659.58,274143.69,2142.15,197.85,3555574.95,3364.26,3492687.69,0.0,2.0,-512939.05,59523.0,73693.86,950490.489,797284.6789999999,0.0,798682.6699999999,393631.28,798682.6699999999,0.0,-48.59,13610.99,26211.78,915286.17,14723.96,-26260.37,1112.97,73693.86,3710873.54,3710873.54,188322.88,FIQUART SL_resum
2003-01-01,406809.18,279625.63,234635.71,1568069.1,266197.669,0.0,0.0,102346.85,133164.31,-17065.84,116098.47,0.0,102346.85,2651592.95,32572.06,104.4,14824.81,14824.81,277230.68,24818.15,277235.33900000004,189846.56,561.8566666666667,3381225.83,1868.1,3319834.73,0.0,2.0,-512939.05,59523.0,132288.85899999997,1083523.85,797284.6789999999,0.0,557459.41,406809.18,557459.41,0.0,-31890.65,-56708.8,-17065.84,915286.17,133033.35899999997,-14824.81,189742.16,132288.85899999997,3615861.54,3615861.54,338412.688,FIQUART SL_resum
2004-01-01,356369.75,279625.63,195917.69,1568069.1,123451.33,0.0,0.0,65056.59,121965.42,19858.35,141823.77000000002,0.0,65056.59,2653078.86,33966.49,5197.57,13174.87,13174.87,283364.97000000003,19869.57,283364.97000000003,0.0,925.8633333333333,3250951.73,556.1,3190872.63,0.0,2.0,-512939.05,59523.0,130861.1,1085009.759,797284.6789999999,0.0,437420.81,356369.75,437420.81,0.0,6683.48,6683.48,19858.35,915286.17,1485.91,-13174.87,-5197.57,130861.1,3446869.42,3446869.42,170592.69,FIQUART SL_resum
2005-01-01,309260.18,279625.63,184219.91,1568069.1,150319.0,0.0,0.0,102266.05,121654.72,54094.7,175749.419,0.0,102266.05,2681743.14,35620.32,0.0,11799.3,11799.3,396439.55,14920.99,396439.55,0.0,1289.87,3133688.0,1357.6,3072619.6,0.0,2.0,-512939.05,59710.79899999999,81953.86,1113674.04,797284.6789999999,0.0,326904.59,309260.18,326904.59,0.0,43585.27,28664.28,54094.7,915286.17,28664.28,-10509.43,0.0,81953.86,3317907.91,3317907.91,212659.61,FIQUART SL_resum
2006-01-01,1463381.81,279625.63,1067176.36,1568069.1,149247.479,0.0,0.0,34947.49,131202.34,47442.11,178644.44999999998,0.0,34947.49,2699788.2800000003,82233.39,0.0,19680.35,19680.35,411970.61,9716.62,411970.61,0.0,1160.9033333333332,3442168.69,1357.6,3378558.01,0.0,2.0,-512939.05,62253.08,1032228.87,1131719.1790000002,797284.6789999999,0.0,346174.96,1463381.81,346174.96,0.0,27761.76,18045.14,47442.11,915286.17,18045.14,-19680.35,0.0,1032228.87,4509345.05,4509345.05,260877.84,FIQUART SL_resum
2007-01-01,1786911.36,279625.63,1640678.1,1568069.1,253757.39,0.0,0.0,823485.13,147167.59,205959.09,353126.68,0.0,823485.13,2980072.49,112744.05,0.0,48048.27,48048.27,758701.19,51321.02,758701.19,0.0,1031.9366666666667,4219266.389,37835.799999999996,4181580.31,0.0,2.0,-512939.05,37686.079,817192.97,1412003.39,797284.6789999999,0.0,1092960.64,1786911.36,1092960.64,0.0,157910.81999999998,106589.8,205959.09,915286.17,106589.8,-48048.27,0.0,817192.97,5859944.49,5859944.49,465870.73,FIQUART SL_resum
2008-01-01,1551500.31,279625.63,696760.65,1568069.1,200471.69,0.0,0.0,10721.12,145177.83,118001.49,263179.32,0.0,-268904.51,3035366.35,139167.8,0.0,39913.23,39913.23,915224.51,23697.37,915286.17,0.0,902.97,4198910.558999999,74314.0,89372.17000000001,0.0,2.0,-512939.05,4035224.39,686039.53,1467297.25,797284.6789999999,0.0,29178.92,1551500.31,308804.55,0.0,78991.23,55293.86,118001.49,915286.17,55293.86,-39010.26,0.0,676600.54,4895671.21,4895671.21,403250.089,FIQUART SL_resum
