Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,1843803.29,0.0,2472508.32,1803036.31,678329.12,4530891.78,0.0,1286784.42,295970.05,700708.4600000001,996678.51,454796.35,1741580.77,1953985.08,877279.48,0.07,196750.12,95782.18,3942805.13,168187.26,3942805.13,4644.06,41943.99,1671460.1,3364.66,1665176.97,1429866.58,36.0,-1240142.82,2918.469,730927.549,150948.77000000002,2551469.97,0.0,346180.05,1843803.29,346180.05,0.0,545902.3400000001,377715.079,700708.4600000001,2824651.979,382359.07,-154806.13,4643.99,729500.09,4143968.41,4143968.41,1819578.04,FISCHBACH IBERICA SOCIEDAD ANONIMA_resum
2000-01-01,654485.15,0.0,1940308.23,1803036.31,602494.7899999999,4530891.78,0.0,1104501.94,279770.96,521690.81,801461.7699999999,495672.65,1600174.5890000002,2276708.9,1007445.84,0.26,76074.709,71272.68000000001,4429873.649999999,148496.93,4432815.17,4.35,25600.57,1422485.39,2381.32,1417185.6,2029772.22,39.0,-1240142.82,2918.469,340133.64,473672.589,2551469.97,0.0,431599.57,654485.15,431599.57,0.0,471216.67,322719.74,521690.81,2824651.979,322723.83,-50474.14,4.09,340133.64,3362793.62,3362793.62,1829710.24,FISCHBACH IBERICA SOCIEDAD ANONIMA_resum
2001-01-01,616292.92,0.0,1859562.84,1803036.31,550307.3600000001,4530891.78,0.0,1250457.74,262573.86,380066.19,642640.05,357324.8,1607782.54,2564442.38,1073055.53,0.7500000000000001,34781.27,34360.380000000005,4322552.74,156977.47999999998,4326859.42,80268.35,19158.460000000003,1883143.0,1466.6699999999998,1878757.86,1952771.41,42.0,-1240142.82,2918.469,251780.3,761406.069,2551469.97,0.0,561970.54,616292.92,561970.54,0.0,364443.38,207465.9,380066.19,2824651.979,287733.5,-15622.81,80267.6,249967.82,3742705.84,3742705.84,1814700.75,FISCHBACH IBERICA SOCIEDAD ANONIMA_resum
2002-01-01,615790.89,0.0,1706477.77,1803036.31,295319.89,4530891.78,0.0,1184429.48,385824.9,-84880.55,300944.35,268603.39,1453032.87,2473937.37,1261411.53,0.48,37566.369,35792.77,4170492.5,117994.47499999999,4170492.5,21929.8,10012.59,1621667.12,552.03,1618196.62,1934143.85,42.0,-1240142.82,2918.469,253444.899,670901.06,2551469.97,0.0,238416.63,615790.89,238416.63,0.0,-112434.33,-112434.33,-84880.55,2824651.979,-90505.01,-27553.78,21929.32,253444.9,3328144.89,3328144.89,1592524.1900000002,FISCHBACH IBERICA SOCIEDAD ANONIMA_resum
2003-01-01,1311843.1675,0.0,1743857.06,1803036.31,599988.6789999999,4530891.78,0.0,1117981.1800000002,349584.23000000004,267329.0,616913.23,263581.19,1381562.3690000002,2724341.82,1032869.74,0.04,23834.719,20620.44,4330125.54,79011.47,4330125.54,332.04,85589.64,1333897.93,2058.09,1328921.37,2090562.65,33.0,-1240142.82,2918.469,362294.69,921305.509,2551469.97,0.0,353413.17,1311843.1675,353413.17,0.0,329083.92000000004,250072.449,267329.0,2824651.979,250404.45,61754.92,332.0,362294.69,3077754.99,3077754.99,1732490.33,FISCHBACH IBERICA SOCIEDAD ANONIMA_resum
2004-01-01,2007895.4449999998,0.0,1854650.85,1803036.31,322835.76,4530891.78,0.0,1260919.42,215078.78,150453.7,365532.48,421815.39,1682734.81,2432098.81,1053370.49,0.0,0.03,0.03,4598654.21,51197.12,4598654.21,616.7900000000001,7883.639,1377224.14,2058.09,1372247.58,2446986.64,31.0,-1240142.82,2918.469,171916.04,629062.5,2551469.97,0.0,799776.1799999999,2007895.4449999998,799776.1799999999,0.0,158337.31,107140.19,150453.7,2824651.979,107756.98,7883.610000000001,616.7900000000001,171916.04,3231874.99,3231874.99,1427403.4,FISCHBACH IBERICA SOCIEDAD ANONIMA_resum
2005-01-01,2703947.7225,0.0,1770692.44,1803036.31,309882.0,4530891.78,0.0,1320587.15,223018.06,112500.71,335518.77,346384.17,1666971.319,2518962.75,948668.92,0.05,1350.1799999999998,1350.1799999999998,4321057.970000001,37525.26,4321057.970000001,11311.14,1927.58,1182366.57,2058.09,1177390.01,2346227.86,28.0,-1240142.82,2918.469,103721.12,715926.4400000001,2551469.97,0.0,434096.26,2703947.7225,434096.26,0.0,113078.11,75552.85,112500.71,2824651.979,86863.93999999999,577.4,11311.09,103721.12,2953059.01,2953059.01,1297426.36,FISCHBACH IBERICA SOCIEDAD ANONIMA_resum
2006-01-01,3400000.0,0.0,2497318.03,1803036.31,12233.029,4530891.78,0.0,1745499.36,131686.25,-117916.2,13770.05,375299.28,2120798.64,2399509.53,959163.36,7764.57,85330.209,85328.2,4940145.74,30366.185,4945686.05,9686.12,81871.64,4095024.36,2058.09,1114584.43,3082077.04,28.0,-1240142.82,2978381.84,376519.389,596473.2189999999,2551469.97,0.0,792832.8600000001,3400000.0,792832.8600000001,0.0,-121374.77,-121374.77,-117916.2,2824651.979,-119453.22,-3458.57,1921.55,376519.39,6592342.39,6592342.39,1056724.59,FISCHBACH IBERICA SOCIEDAD ANONIMA_resum
2007-01-01,3400000.0,0.0,2686689.15,1803036.31,-61113.64,4530891.78,0.0,1869657.43,126261.81,-222802.12,-96540.31,398600.52,2268257.95,2212134.08,1025625.59,0.08,153000.0,153000.0,5938646.55,23207.11,5939304.2700000005,341.11,188085.64,3560444.96,3545.04,1182228.12,3577487.43,31.0,-1240142.82,2374671.8,418431.199,409097.77,2551469.97,0.0,635000.03,3400000.0,635000.03,0.0,-187716.48,-187716.48,-222802.12,2824651.979,-187375.45,35085.64,341.03,418431.2,6247134.109999999,6247134.109999999,1117511.95,FISCHBACH IBERICA SOCIEDAD ANONIMA_resum
2008-01-01,3650000.0,0.0,3264820.0,1803036.31,365461.52,4530891.78,0.0,2585600.77,135366.88999999998,273182.01,408548.9,308086.09,2893686.86,2442228.71,1175960.26,0.0,161115.71000000002,161115.71000000002,7355543.76,16048.035,7355543.76,0.0,118028.33,4530895.819999999,3054.36,2158537.06,4472815.2,32.0,-1240142.82,2369304.4,371133.14,639192.399,2551469.97,0.0,1703487.1090000002,3650000.0,1703487.11,0.0,230094.63,230094.63,273182.01,2824651.979,230094.63,-43087.379,0.0,65275.57,7795715.819999999,7795715.819999999,1702537.49,FISCHBACH IBERICA SOCIEDAD ANONIMA_resum
