Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,99156.56,1276811.22,237052.56,18000.0,50622.479,7169795.84,0.0,194030.18,30713.86,31686.67,62400.53,9848.58,203878.759,37908.62,60558.76,0.0,1076.11,1076.11,416376.07,10720.03,426224.65,0.0,18.08,283221.0,1111.87,281580.84,240629.53,3.0,-1939644.4,528.2890000000001,33173.8,19908.62,3003091.16,0.0,383208.36,99156.56,383208.36,0.0,30628.65,19908.62,31686.67,3844450.08,19908.62,-1058.02,0.0,23829.38,520273.55,520273.55,122977.38,FORMIGONS LA VALL D'EN BAS SL_resum
2000-01-01,89431.6,1276811.22,344855.68,18000.0,79091.73999999999,7169795.84,0.0,250768.19,69852.3,21822.2,91674.5,17079.23,267847.41900000005,47148.06,110707.69,0.0,8979.01,8979.01,1043233.29,4975.08,1043233.29,1347.47,23.87,374437.58,833.9,373075.38,640602.02,7.0,-1939644.4,528.2990000000001,77008.26,29148.059,3003091.16,0.0,582713.6,89431.6,582713.6,0.0,12867.05,7891.969,21822.2,3844450.08,9239.44,-8955.15,1347.47,65469.51,719293.26,719293.26,203753.52,FORMIGONS LA VALL D'EN BAS SL_resum
2001-01-01,89474.97,1276811.22,411373.78,18000.0,91235.38,7169795.84,0.0,355930.28,82209.39,20373.0,102582.39,22879.55,378809.83,56174.05,108567.67,0.0,8628.6,8628.58,1021294.83,4860.160000000001,1021294.83,2048.15,93.6,308455.51,555.93,307371.29000000004,672844.19,7.0,-1939644.4,528.2900000000001,32563.95,38174.05,3003091.16,0.0,574180.2699999999,89474.97,574180.2699999999,0.0,11838.0,6977.84,20373.0,3844450.08,9025.99,-8535.0,2048.15,25933.18,719829.2899999999,719829.2899999999,213291.789,FORMIGONS LA VALL D'EN BAS SL_resum
2002-01-01,47132.62,1276811.22,335210.98000000004,18000.0,135772.84999999998,7169795.84,0.0,306367.79000000004,88909.86,76375.25,165285.11000000002,23685.980000000003,330053.76900000003,103037.06,130844.01,0.0,5928.06,5928.06,1385687.99,25233.91,1385687.99,1250.82,398.89,307606.93000000005,277.96,306800.68,936098.21,7.0,-1939644.4,528.2890000000001,5157.21,85037.06,3003091.16,0.0,492648.23,47132.62,492648.23,0.0,70846.08,45612.17,76375.25,3844450.08,46862.99,-5529.17,1250.82,569.0,642817.91,642817.91,297778.829,FORMIGONS LA VALL D'EN BAS SL_resum
2003-01-01,45383.05,1276811.22,285015.43000000005,18000.0,120589.92,7169795.84,0.0,231118.73,101542.6,30193.06,131735.66,33296.0,264414.72900000005,122084.38,159652.63,0.0,7869.35,7869.35,1394497.54,10256.25,1394497.54,6969.67,10.19,298862.88,291030.6020000001,298334.59,965996.81,9.0,-1939644.4,528.2890000000001,20600.699,104084.38,3003091.16,0.0,416410.88,45383.05,416410.88,0.0,22333.9,12077.65,30193.06,3844450.08,19047.32,-7859.160000000001,6969.67,20600.7,583878.31,583878.31,298368.15,FORMIGONS LA VALL D'EN BAS SL_resum
2004-01-01,43360.56,1276811.22,329505.45,18000.0,133780.15,7169795.84,0.0,282654.04,104930.4,29753.66,134684.06,41990.65,324644.69,150934.13,160281.22,0.0,7419.42,7419.42,1780439.62,8496.210000000001,1780439.62,15000.0,11.72,262154.88,581783.2440000001,261626.59,1331634.82,9.0,-1939644.4,528.2900000000001,4860.76,132934.13,3003091.16,0.0,397365.64,43360.56,397365.64,0.0,22345.960000000003,13849.75,29753.66,3844450.08,28849.75,-7407.7,15000.0,4860.76,591660.3300000001,591660.3300000001,309976.99900000007,FORMIGONS LA VALL D'EN BAS SL_resum
2005-01-01,91806.97,1276811.22,823419.97,18000.0,152162.66,7169795.84,0.0,784146.8600000001,80852.57,111636.17,192488.74,16620.649999999998,800767.51,222244.22,170753.84,0.0,4338.26,4338.26,2347288.18,35989.83,2347288.18,0.0,2.009,191263.52,872535.8860000002,190735.23,1680174.61,9.0,-1939644.4,528.2890000000001,22652.459,204244.22,3003091.16,0.0,700632.3,91806.97,700632.3,0.0,107299.92,71310.09,111636.17,3844450.08,71310.09,-4336.25,0.0,22652.460000000003,1014683.49,1014683.49,363244.59,FORMIGONS LA VALL D'EN BAS SL_resum
2006-01-01,191027.67,1276811.22,1909939.56,18000.0,402674.7,7169795.84,0.0,1838957.88,125188.0,423749.21,548937.21,14980.26,1853938.14,499730.92,231913.4,0.0,9901.69,9901.69,4230137.018999999,137646.64,4230137.018999999,1282.41,3.41,390569.29,1163288.5280000002,390041.0,3058646.24,9.0,-1939644.4,528.2890000000001,56001.42,481730.92,3003091.16,0.0,1609750.26,191027.67,1609750.26,0.0,413850.93000000005,276204.29000000004,423749.21,3844450.08,277486.7,-9898.28,1282.41,56001.42,2300508.85,2300508.85,782136.429,FORMIGONS LA VALL D'EN BAS SL_resum
2007-01-01,1072600.09,1276811.22,2457418.7800000003,18000.0,568277.249,7169795.84,0.0,2369433.65,262519.09900000005,482557.53,745076.629,31930.15,2401363.8,689823.9400000001,640280.2899999999,0.0,94427.88,94427.88,8202432.44,90992.15,8202609.95,8157.98,462.67,1982818.86,1454041.1700000002,500187.93000000005,5362889.0,9.0,-1939644.4,28589.76,56054.979,671823.9400000001,3003091.16,0.0,2677813.61,1072600.09,2677813.61,0.0,388592.32,297600.17,482557.53,3844450.08,305758.15,-93965.21,8157.98,56054.98,4440237.64,4440237.64,1393977.569,FORMIGONS LA VALL D'EN BAS SL_resum
2008-01-01,961974.57,1276811.22,4678475.05,18000.0,727915.08,7169795.84,2312256.84,4352461.76,246650.44,841358.92,1088009.36,16345.25,3091995.79,1171088.58,816796.3200000001,0.0,155658.55,155658.55,11011228.39,206256.27,11014245.92,0.0,1820.54,2250719.5,1185990.38,1040139.36,7169795.84,9.0,-1939644.4,24589.76,309668.04,1153088.58,3003091.16,0.0,1207063.34,961974.57,4796131.4,0.0,687520.91,481264.64,841358.92,3844450.08,481264.64,-153838.009,0.0,272528.84,6929194.55,6929194.55,1906626.22,FORMIGONS LA VALL D'EN BAS SL_resum
