Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,9929.29,47965.32,400641.34,60101.21,41073.8,459962.11,0.0,67227.77,14066.78,40119.82,54186.6,120267.96,187495.73,254023.87,223758.24,0.0,3150.8500000000004,3150.8500000000004,767774.05,11574.44,767774.06,0.36,1612.13,52860.11,26866.07,25883.35,422362.09,15.0,-81069.39,110.69,213145.61,193922.66,419683.07,0.0,189548.3,9929.29,189548.3,0.0,38581.09,27006.649,40119.82,458916.73,27007.02,-1538.72,0.36,212080.96,453501.46,453501.46,279557.33,FRANCISCO ROCAS SA_resum
2000-01-01,19380.45,47965.32,477310.27,60101.21,61889.929,459962.11,0.0,103340.52,27143.55,43025.36,70168.90999999999,108247.72,211588.24,288770.25,246712.69,0.0,3895.09,3892.92,834233.04,14891.31,834233.04,8475.08,2032.35,54562.16,15197.18,39254.28,445685.92,28.0,-81069.39,110.7,265722.03,228669.04,419683.07,0.0,223721.73,19380.45,223721.73,0.0,41162.62,26271.31,43025.36,458916.73,34746.380000000005,-1862.75,8475.08,256287.83,531872.43,531872.43,327386.85,FRANCISCO ROCAS SA_resum
2001-01-01,19380.45,47965.32,512454.54,60101.21,37740.57,459962.11,0.0,161418.84999999998,15361.63,29675.26,45036.89,108247.72,269666.57,311149.19,258860.2,0.0,1483.55,1482.07,754297.75,9590.98,754297.75,144.68,3633.53,47077.41,13367.57,33599.15,392984.41,16.0,-81069.39,110.69,242787.97,251047.98,419683.07,0.0,229002.31,19380.45,229002.31,0.0,31825.24,22234.26,29675.26,458916.73,22378.94,2149.98,144.68,233353.77,559531.9500000001,559531.9500000001,307673.82,FRANCISCO ROCAS SA_resum
2002-01-01,20406.74,47965.32,448032.11,60101.21,47069.86,459962.11,0.0,136889.9,11515.25,52614.06,64129.310000000005,25700.47,162590.37,346039.95,290141.39,0.0,2233.98,2233.98,1007051.56,15237.69,1007051.56,38.99,373.23,86494.73,14344.95,47999.09,598445.59,16.0,-81069.39,24150.69,285441.74,285938.74,419683.07,0.0,168080.15,20406.74,168080.15,0.0,50753.310000000005,35515.619,52614.06,458916.73,35554.61,-1860.75,38.99,275228.0,534526.839,534526.839,354682.92000000004,FRANCISCO ROCAS SA_resum
2003-01-01,12773.75,47965.32,255160.15,60101.21,40988.54,459962.11,0.0,97160.64,10673.04,39842.57,50515.61,25320.0,122480.64,361330.15,281020.36,319.44,1372.91,1372.91,811542.1,13113.42,812232.3200000001,480.81,4797.889,251044.75,12584.17,73415.57,412956.31,16.0,-81069.39,165045.009,132679.51,301228.94,419683.07,0.0,132101.0,12773.75,132101.0,0.0,43267.55,30154.13,39842.57,458916.73,30315.5,3424.98,161.37,132364.5,506204.9,506204.9,336495.22900000005,FRANCISCO ROCAS SA_resum
2004-01-01,4108.79,47965.32,344277.34,60101.21,47218.34,459962.11,0.0,110493.6,17772.34,40187.62,57959.96,95230.0,205723.6,375618.4,267756.14,168.96,1055.5,1055.5,813579.24,12619.71,814139.2899999999,1090.6,2011.95,235245.76,7511.76,61963.96,416768.7,13.0,-81069.39,165770.04,138553.74000000002,315517.19,419683.07,0.0,199795.91,4108.79,199795.91,0.0,41144.07,28524.36,40187.62,458916.73,29446.0,956.45,921.639,138512.47999999998,579523.1,579523.1,328649.69,FRANCISCO ROCAS SA_resum
2005-01-01,31467.43,47965.32,383325.64,60101.21,72641.34,459962.11,0.0,185047.06,18662.38,74108.82,92771.2,62743.16,247790.22,414874.36,300612.38,53.24,2385.25,2385.25,1109283.4,23184.81,1110021.52,4402.48,1090.96,265252.9,50411.67,53517.03,651497.3200000001,12.0,-81069.39,161324.2,135535.419,354773.149,419683.07,0.0,202236.75,31467.43,202236.75,0.0,72814.53,49629.72,74108.82,458916.73,53978.96,-1294.29,4349.24,133083.53,648578.54,648578.54,398823.78,FRANCISCO ROCAS SA_resum
2006-01-01,31182.53,47965.32,467071.64,60101.21,81843.62000000001,459962.11,0.0,275305.4,24215.67,84993.84,109209.51,63685.0,338990.4,452502.31,275335.72000000003,1070.51,4544.92,4544.92,1409626.5,24697.7,1409626.5,414.71,2532.53,266288.84,61716.58,54460.01,930087.77,12.0,-81069.39,150112.25,128081.239,392401.1,419683.07,0.0,249675.64,31182.53,249675.64,0.0,82981.45,58283.75,84993.84,458916.73,57627.95,-2012.39,-655.8,125917.99,733360.48,733360.48,386421.959,FRANCISCO ROCAS SA_resum
2007-01-01,24359.34,47965.32,414088.9900000001,60101.21,128710.049,459962.11,0.0,245239.81,27385.960000000003,137174.13,164560.09,41842.5,245239.81,528826.4,299330.08,301.3,2932.74,2932.74,1642440.09,35499.6,1643540.09,621.99,2261.61,279064.98000000004,71200.64,59952.09,1073179.97,13.0,-81069.39,147912.249,168849.18,468725.19,419683.07,0.0,139968.23,24359.34,139968.23,0.0,136503.0,101003.4,137174.13,458916.73,101324.09,-671.13,320.69,166079.47999999998,693153.97,693153.97,466472.47,FRANCISCO ROCAS SA_resum
2008-01-01,16642.668999999998,47965.32,392384.08,60101.21,55336.869,459962.11,24386.45,233987.56,26025.0,39233.66,65258.66,20000.0,206022.24,518138.27,312588.68,0.0,2349.23,2349.23,917318.84,10082.27,918878.84,0.0,2509.71,265573.03900000005,50328.19333333333,127090.44,459962.11,14.0,-81069.39,138482.6,138396.52,458037.06,419683.07,0.0,50824.409,16642.668999999998,123176.18,0.0,39394.14,29311.87,39233.66,458916.73,29311.87,160.48000000000002,0.0,133712.16,657957.12,657957.12,380357.05,FRANCISCO ROCAS SA_resum
